train/actor_loss,rollout/ep_rew_mean,train/ent_coef_loss,rollout/ep_len_mean,train/n_updates,time/total_timesteps,time/episodes,train/learning_rate,train/critic_loss,time/fps,time/time_elapsed,train/ent_coef
89133.8984375,-1653644.2626964904,-116.18086242675781,47.92,2474,10000,146,0.0055,81504440.0,337,29,54.31011199951172
113754.046875,-207886.5091624,-12.054346084594727,11.46,4974,20000,660,0.0055,130746912.0,335,59,129.25680541992188
158248.046875,-212715.97792610002,16.68111801147461,10.23,7474,30000,1456,0.0055,83250744.0,334,89,131.907958984375
139422.96875,-198339.99348557997,-4.330353260040283,10.79,9974,40000,2465,0.0055,85649448.0,333,119,83.53412628173828
115890.703125,-141583.26632358003,6.229043006896973,5.94,12474,50000,3736,0.0055,29083234.0,332,150,41.490760803222656
110355.53125,-125768.16506536999,-0.8626747727394104,4.03,14974,60000,5524,0.0055,19297228.0,332,180,36.88444900512695
106853.4765625,-126266.09119025999,4.879539966583252,4.0,17474,70000,7576,0.0055,8696556.0,331,210,30.805444717407227
106904.8125,-125345.29944201,-3.3315234184265137,4.0,19974,80000,10070,0.0055,2798915.0,331,241,20.523693084716797
129258.03125,-125542.59174841002,17.765727996826172,4.0,22474,90000,11463,0.0055,22916688.0,331,271,53.52815246582031
110466.6171875,-125548.68069444,3.9105772972106934,4.0,24974,100000,13936,0.0055,18846350.0,331,301,28.87349510192871
111310.078125,-126188.94027683,-2.6543400287628174,4.13,27474,110000,16420,0.0055,6607330.0,330,332,21.610855102539062
138657.6875,-199996.62930565997,5.138368129730225,7.21,29974,120000,18528,0.0055,197534816.0,330,362,59.486515045166016
128443.84375,-125566.56427234999,-2.4302501678466797,4.0,32474,130000,20332,0.0055,15635969.0,330,393,56.63001251220703
109955.015625,-125957.98168201999,-3.0851516723632812,4.08,34974,140000,22678,0.0055,7537190.0,330,423,29.357221603393555
111134.140625,-125326.52884526999,-2.6287994384765625,4.01,37474,150000,25108,0.0055,10525524.0,330,453,25.98882484436035
105937.015625,-125291.31806459,3.125544548034668,4.0,39974,160000,27565,0.0055,3667044.5,330,484,18.765317916870117
144176.5,-148414.03174174,7.506431579589844,5.17,42474,170000,28625,0.0055,68647984.0,330,514,81.88914489746094
138174.90625,-125100.16811875,1.0864187479019165,4.0,44974,180000,30600,0.0055,24360788.0,330,544,60.24285125732422
127317.1171875,-150813.34618998002,-0.45939159393310547,5.93,47474,190000,32994,0.0055,17248018.0,330,575,42.548065185546875
113287.890625,-125494.98602943002,8.076837539672852,4.0,49974,200000,35075,0.0055,28290372.0,330,605,37.6133918762207
106117.859375,-124873.87825858999,0.6143703460693359,4.01,52474,210000,37515,0.0055,5798919.5,330,635,17.941028594970703
113932.5625,-125947.46233344,-2.850200891494751,4.09,54974,220000,39436,0.0055,10879132.0,330,666,22.291189193725586
105391.109375,-130117.5382924,-0.2140253782272339,4.52,57474,230000,41913,0.0055,2882511.25,330,696,11.285499572753906
148280.34375,-130795.18067411002,3.345442771911621,4.31,59974,240000,43332,0.0055,85276480.0,330,726,124.08688354492188
122683.8828125,-132793.13086285,-12.943127632141113,4.81,62474,250000,45697,0.0055,46632208.0,330,757,32.63010025024414
113537.3125,-125420.69203765,-1.355629324913025,4.01,64974,260000,48150,0.0055,24924000.0,330,787,24.66031265258789
108310.921875,-128399.81638753001,-0.8928846120834351,4.21,67474,270000,50568,0.0055,6280707.0,330,817,25.993045806884766
148893.46875,-126501.35586196,8.842222213745117,4.0,69974,280000,52322,0.0055,509637536.0,330,848,167.12435913085938
277187.0,-213046.18105101996,-1.2103252410888672,7.18,72474,290000,53975,0.0055,1083531008.0,330,878,1783.7327880859375
155082.984375,-125689.67455993002,42.862274169921875,4.0,74974,300000,55983,0.0055,76372264.0,330,908,146.76202392578125
136612.4375,-125702.22675357998,12.485980987548828,4.0,77474,310000,58457,0.0055,47600168.0,330,939,45.46411895751953
122139.375,-125782.05399988998,1.681175708770752,4.0,79974,320000,60937,0.0055,19698704.0,330,969,24.868764877319336
137231.15625,-133132.40415015002,2.9976425170898438,4.45,82474,330000,62926,0.0055,18374468.0,330,999,54.952110290527344
171628.109375,-133172.69472922003,18.467554092407227,4.01,84974,340000,64124,0.0055,73414064.0,330,1029,177.2644805908203
177427.6875,-132621.78879821,82.55259704589844,4.5,87474,350000,65755,0.0055,670032768.0,330,1060,579.6272583007812
137283.015625,-125970.96853936,-0.05106091499328613,4.02,89974,360000,68218,0.0055,65769420.0,330,1090,40.06511688232422
119125.2421875,-125207.63665013,-3.8635430335998535,4.0,92474,370000,70696,0.0055,28172540.0,330,1120,27.416240692138672
103715.8671875,-193513.78573921,-11.051641464233398,7.57,94974,380000,73039,0.0055,112518016.0,330,1151,53.487735748291016
258419.40625,-908444.5306210498,17.053646087646484,23.94,97474,390000,74372,0.0055,819861248.0,330,1181,824.7463989257812
144846.71875,-127763.3015841,-4.084697723388672,4.21,99974,400000,76570,0.0055,115418936.0,330,1211,62.001590728759766
138821.25,-125496.34498792999,3.7051634788513184,4.0,102474,410000,79047,0.0055,57417992.0,329,1244,40.02935791015625
155917.65625,-126286.35602666001,18.332427978515625,4.0,104974,420000,81108,0.0055,35069920.0,328,1278,49.173667907714844
108744.8984375,-131103.66835040002,7.213775634765625,4.35,107474,430000,83581,0.0055,10708012.0,327,1311,24.753355026245117
107448.078125,-148136.2835713,-36.54883575439453,5.42,109974,440000,85963,0.0055,34799272.0,327,1344,29.153606414794922
138424.46875,-135994.35270341003,5.892208099365234,4.46,112474,450000,87653,0.0055,281694112.0,326,1377,131.07037353515625
120293.390625,-126110.07065980996,3.023745536804199,4.0,114974,460000,90111,0.0055,101378384.0,326,1410,35.87954330444336
116675.3359375,-125799.56651394001,-1.3940799236297607,4.0,117474,470000,92607,0.0055,12951970.0,325,1444,20.838993072509766
113545.59375,-126109.05704638001,4.667780876159668,4.0,119974,480000,94648,0.0055,32217724.0,324,1477,30.302045822143555
282266.59375,-421383.09650351,72.0731430053711,15.86,122474,490000,96008,0.0055,3816737280.0,324,1510,2144.886962890625
194269.5625,-126965.31983294,26.618560791015625,4.0,124974,500000,98274,0.0055,301974720.0,323,1543,367.2453918457031
162631.015625,-126257.68731612002,11.189453125,4.01,127474,510000,100666,0.0055,211950208.0,323,1576,153.33749389648438
143789.734375,-133029.55956214,-73.41693878173828,4.39,129974,520000,102994,0.0055,148669984.0,323,1609,151.00990295410156
150057.875,-139369.50080475,31.36138916015625,4.01,132474,530000,104829,0.0055,202548560.0,322,1642,301.8109130859375
113447.6875,-125593.30996269001,6.455409049987793,4.0,134974,540000,107274,0.0055,58930368.0,322,1675,30.944089889526367
118071.953125,-125689.34599424,-2.346353054046631,4.0,137474,550000,109771,0.0055,13646286.0,321,1709,20.62104606628418
116030.4609375,-126179.06876783998,6.898436546325684,4.02,139974,560000,112060,0.0055,32712930.0,321,1742,23.75057029724121
217551.5625,-153872.41556999,-5.133925437927246,5.08,142474,570000,113662,0.0055,276330720.0,321,1775,234.4250030517578
128312.6875,-125400.54329447002,2.3947391510009766,4.0,144974,580000,116016,0.0055,54663656.0,320,1808,32.612361907958984
128489.859375,-125605.35819853,6.134893417358398,4.0,147474,590000,118515,0.0055,11196097.0,320,1841,26.878002166748047
133849.28125,-125575.44314200005,2.3270092010498047,4.0,149974,600000,120734,0.0055,32245016.0,320,1874,33.017066955566406
257046.25,-178106.09530359,14.653923988342285,6.13,152474,610000,122182,0.0055,841803392.0,319,1907,1739.163818359375
155255.9375,-127354.56082296,33.14247131347656,4.0,154974,620000,124532,0.0055,266289984.0,319,1941,230.58763122558594
130251.203125,-147370.75953768,-0.8328633904457092,4.97,157474,630000,126992,0.0055,81897648.0,319,1974,67.6669692993164
121421.0,-126442.39154741,15.87483024597168,4.03,159974,640000,129173,0.0055,99780928.0,318,2007,92.24617004394531
111481.1796875,-126597.19500559999,2.56950306892395,4.11,162474,650000,131441,0.0055,13996057.0,318,2040,17.336732864379883
116754.265625,-125919.08837466,-1.8105040788650513,4.0,164974,660000,133820,0.0055,14172538.0,318,2073,50.96098327636719
108598.859375,-125764.93814278,6.702476501464844,4.0,167474,670000,136193,0.0055,16757280.0,317,2107,25.51981544494629
107433.125,-125579.18639805999,-24.671085357666016,4.01,169974,680000,138650,0.0055,10020172.0,317,2140,45.37551498413086
115984.90625,-125413.09799185999,10.048534393310547,4.0,172474,690000,140789,0.0055,19535132.0,317,2173,30.67974281311035
142239.0,-138971.46568239998,-26.406063079833984,4.66,174974,700000,143131,0.0055,115245168.0,317,2206,220.2078399658203
115596.046875,-125813.49937028001,31.5537052154541,4.0,177474,710000,145287,0.0055,19531678.0,316,2240,49.98311233520508
143262.59375,-433352.15942363,-58.42544174194336,12.62,179974,720000,147522,0.0055,372944256.0,316,2273,249.63241577148438
135597.5625,-126137.63047528999,8.996391296386719,4.0,182474,730000,149786,0.0055,70082840.0,316,2306,294.5543212890625
183021.40625,-518735.39970722,-30.19735336303711,14.41,184974,740000,151994,0.0055,516728800.0,316,2339,342.7969055175781
143880.59375,-133337.24712118,30.054861068725586,4.33,187474,750000,154132,0.0055,108474240.0,316,2372,246.92666625976562
113197.640625,-125746.94008931998,4.2337446212768555,4.01,189974,760000,156553,0.0055,9487260.0,315,2406,43.7542610168457
128487.5625,-161768.17440749996,-5.918481826782227,6.08,192474,770000,158968,0.0055,51171344.0,315,2439,83.8082275390625
110125.25,-125113.49296308,3.5662126541137695,4.0,194974,780000,161447,0.0055,7322411.0,315,2472,25.998876571655273
124194.453125,-127613.11818895001,93.2046127319336,4.14,197474,790000,163262,0.0055,150151536.0,315,2506,286.4570007324219
117144.9453125,-125137.39383312996,14.82749080657959,4.0,199974,800000,165727,0.0055,13619682.0,315,2539,21.934978485107422
113989.109375,-125341.5587773,6.778282165527344,4.0,202474,810000,168223,0.0055,7724402.0,314,2572,13.45484447479248
112773.9375,-124832.95476153,-3.24813175201416,4.01,204974,820000,170723,0.0055,4038110.75,314,2606,10.894516944885254
144826.859375,-146371.61072314,4.108192443847656,4.69,207474,830000,172485,0.0055,76141240.0,314,2639,129.7678985595703
243976.15625,-307574.26391208003,50.054771423339844,10.68,209974,840000,173564,0.0055,520411648.0,314,2672,1144.54150390625
154467.59375,-126758.27908739001,17.725807189941406,4.0,212474,850000,175941,0.0055,157007760.0,314,2705,103.81040954589844
145629.3125,-125907.04613541,6.017834663391113,4.0,214974,860000,178250,0.0055,59218760.0,313,2739,78.96311950683594
125692.59375,-128361.94485439999,12.66556167602539,4.11,217474,870000,180729,0.0055,21674742.0,313,2772,119.53935241699219
112096.1171875,-125867.25643231002,1.0483615398406982,4.0,219974,880000,183192,0.0055,8830631.0,313,2805,25.51241683959961
115437.6171875,-125836.85427727997,11.585038185119629,4.0,222474,890000,185437,0.0055,9468264.0,313,2839,31.771434783935547
135406.484375,-126825.43857343,16.022193908691406,4.02,224974,900000,187570,0.0055,17365270.0,313,2872,117.8342514038086
134037.453125,-126068.37230824002,-10.91789436340332,4.0,227474,910000,190053,0.0055,41254544.0,313,2906,139.22096252441406
135176.8125,-127494.14055499001,42.39324188232422,4.13,229974,920000,192272,0.0055,75443968.0,312,2939,293.4997253417969
115342.3828125,-125673.7450573,10.292954444885254,4.0,232474,930000,194533,0.0055,105004976.0,312,2972,63.386592864990234
228273.75,-269282.14481241,-0.7258257865905762,9.19,234974,940000,195794,0.0055,449759200.0,312,3005,1280.177001953125
149647.28125,-125733.63233796,28.809072494506836,4.02,237474,950000,197911,0.0055,42908336.0,312,3039,52.7934684753418
130898.84375,-129043.10510047001,0.19203495979309082,4.29,239974,960000,200380,0.0055,18211048.0,312,3072,28.171146392822266
116714.9296875,-125623.97893408,5.245054721832275,4.0,242474,970000,202829,0.0055,8413358.0,312,3105,24.510250091552734
185560.328125,-129163.82917114002,-25.993064880371094,4.03,244974,980000,204796,0.0055,525253600.0,312,3139,770.0560913085938
122967.3125,-125612.05811130999,13.226866722106934,4.0,247474,990000,207017,0.0055,19724004.0,312,3172,71.84947204589844
129886.1875,-125853.64020753,20.27431869506836,4.01,249974,1000000,209238,0.0055,18096150.0,311,3205,70.27557373046875
