train/actor_loss,time/time_elapsed,time/episodes,train/critic_loss,train/learning_rate,train/n_updates,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/ent_coef_loss,train/ent_coef,rollout/ep_len_mean
4333.54296875,54,85,65075432.0,0.001,2474,-440866.18126231764,181,10000,-11.291967391967773,2.379800796508789,108.03529411764706
7192.00048828125,110,144,46197232.0,0.001,4974,-301390.94711967005,181,20000,-14.09360408782959,5.15602445602417,143.04
7232.07421875,165,194,36525744.0,0.001,7474,-159619.54483523,181,30000,-14.45973014831543,9.8948392868042,179.08
2844.7958984375,220,205,8779330.0,0.001,9974,-133231.35927175,181,40000,-11.736429214477539,17.071849822998047,246.43
2433.961181640625,274,219,7261003.0,0.001,12474,-135480.01529811998,181,50000,-6.223095893859863,25.736711502075195,337.51
2485.691650390625,329,236,8678892.0,0.001,14974,-136768.50856008,182,60000,-4.02614688873291,33.54892349243164,421.59
2043.508056640625,384,249,16412347.0,0.001,17474,-136683.13062167,182,70000,-0.591949462890625,37.884254455566406,466.17
1231.3389892578125,439,274,11990586.0,0.001,19974,-125457.61303088999,181,80000,1.6492074728012085,36.600341796875,528.97
-2745.606201171875,494,284,12924990.0,0.001,22474,-111455.83847869998,182,90000,2.025028944015503,32.102046966552734,592.8
-115.90838623046875,549,309,3542124.75,0.001,24974,-117209.93917737002,182,100000,-1.7863383293151855,29.690650939941406,575.17
-2188.728515625,604,323,9461210.0,0.001,27474,-129054.49107658,182,110000,0.9275418519973755,27.725046157836914,564.34
-1473.0462646484375,659,340,8919936.0,0.001,29974,-129441.864807,182,120000,1.5239962339401245,23.858266830444336,580.71
-5954.6650390625,712,353,10712362.0,0.001,32474,-120067.76500373999,182,130000,-0.11613902449607849,18.791044235229492,590.96
-5301.0380859375,763,364,3231012.5,0.001,34974,-114837.16275958,183,140000,-0.10252410173416138,18.117393493652344,627.98
-6775.740234375,815,374,2651429.0,0.001,37474,-108028.33824934998,183,150000,-1.1355390548706055,17.25299072265625,691.14
-7033.458984375,867,388,1808803.75,0.001,39974,-101322.82370957999,184,160000,0.10897225141525269,15.57470417022705,673.17
-8996.1533203125,919,404,4198958.0,0.001,42474,-88402.30922762,184,170000,0.19864368438720703,17.007232666015625,716.38
-8811.6015625,970,413,4000917.75,0.001,44974,-86077.44204521998,185,180000,0.20588651299476624,13.019133567810059,760.42
-9701.0234375,1023,429,3030452.5,0.001,47474,-71099.24416038001,185,190000,0.07398472726345062,12.067094802856445,764.58
-12665.03125,1075,443,1011456.5,0.001,49974,-85780.95419053,186,200000,0.09972743690013885,14.868873596191406,770.91
-10582.662109375,1126,458,4157715.0,0.001,52474,-86019.65305783998,186,210000,0.7935036420822144,14.711676597595215,742.54
-14136.7275390625,1178,476,40108504.0,0.001,54974,-75859.22256459,186,220000,-0.44628649950027466,11.888541221618652,685.16
-15499.9052734375,1229,493,3992795.75,0.001,57474,-77693.65637690999,187,230000,-0.17359742522239685,14.947200775146484,670.73
-15548.263671875,1283,508,23427332.0,0.001,59974,-75789.70097579,187,240000,-0.5383046865463257,12.450834274291992,665.84
-15936.96484375,1336,520,4084538.25,0.001,62474,-57357.49182271,187,250000,-0.7677179574966431,11.95539665222168,661.11
-15458.056640625,1390,534,1496602.25,0.001,64974,-44048.701132979986,187,260000,-0.354253888130188,13.350529670715332,673.25
-18364.76171875,1444,550,3751337.5,0.001,67474,-30826.439324850002,186,270000,-0.5111744999885559,11.37136173248291,652.59
-17983.42578125,1497,568,875392.3125,0.001,69974,-28328.79356272,186,280000,0.4854908585548401,12.336540222167969,650.94
-20826.59765625,1550,585,6889007.5,0.001,72474,-25300.633343430003,187,290000,1.0396751165390015,11.611430168151855,621.62
-21770.583984375,1603,607,2261967.5,0.001,74974,7932.167034369998,187,300000,-0.13388775289058685,10.506511688232422,596.96
-22465.439453125,1655,631,3779114.0,0.001,77474,15206.197560309996,187,310000,-0.749962329864502,10.840272903442383,531.94
-20680.70703125,1707,664,4159728.75,0.001,79974,-5830.044652400003,187,320000,0.9479182362556458,12.085119247436523,448.39
-24426.37109375,1760,680,6166102.0,0.001,82474,-42736.06594643,187,330000,-1.1943259239196777,11.481673240661621,419.26
-27201.4453125,1810,693,38344796.0,0.001,84974,-66727.30623669,187,340000,-1.2805392742156982,11.152410507202148,466.95
-30931.078125,1863,712,3626648.0,0.001,87474,-75025.53820581999,187,350000,-1.0512479543685913,11.693902969360352,472.12
-30669.75390625,1914,743,3322874.5,0.001,89974,-48900.141986289986,188,360000,-0.2995607852935791,11.767535209655762,473.14
-31327.271484375,1965,768,2329429.75,0.001,92474,-53124.25679257,188,370000,-0.5298073291778564,11.326509475708008,493.37
-32015.58984375,2015,813,26033112.0,0.001,94974,42622.79918475,188,380000,0.9728251695632935,12.845512390136719,292.91
-37412.078125,2065,846,14890822.0,0.001,97474,80895.75091089,188,390000,0.5159183144569397,12.704023361206055,288.24
-35791.42578125,2115,904,1918442.5,0.001,99974,113181.75502567999,189,400000,0.0777340829372406,12.971837997436523,216.8
-38123.84765625,2173,928,2441649.25,0.001,102474,106590.93606671,188,410000,-0.6355374455451965,11.079689979553223,234.31
-37855.5859375,2227,1001,2771438.5,0.001,104974,108697.24848135,188,420000,-0.5312166213989258,10.817543029785156,210.96
-45512.30859375,2281,1051,4179044.25,0.001,107474,98187.20977003,188,430000,0.01276572048664093,11.004801750183105,136.46
-44063.890625,2336,1089,1326383.75,0.001,109974,96091.01844493,188,440000,0.21227207779884338,11.734176635742188,190.34
-47007.375,2391,1158,3807454.5,0.001,112474,107360.61278995,188,450000,-0.5914921760559082,14.63820743560791,189.23
-47909.453125,2446,1199,2947035.0,0.001,114974,101879.49865264999,188,460000,-0.5015027523040771,14.250743865966797,169.17
-53515.43359375,2501,1306,2216962.0,0.001,117474,129331.70079144002,187,470000,-0.3054124712944031,12.076409339904785,95.58
-54038.4375,2557,1349,2069620.0,0.001,119974,115480.42885478,187,480000,0.24149185419082642,13.231778144836426,140.79
-53916.48046875,2612,1393,1577143.5,0.001,122474,108393.43424475001,187,490000,0.6277160048484802,12.259988784790039,217.57
-52949.6171875,2667,1438,37424048.0,0.001,124974,114529.66398623999,187,500000,-1.2694993019104004,13.797039985656738,203.66
-55233.89453125,2723,1465,29209600.0,0.001,127474,111830.08252980998,187,510000,-0.5965160727500916,11.869064331054688,254.55
-54529.15625,2780,1529,7132725.0,0.001,129974,106226.50166923,187,520000,-0.614267110824585,14.008902549743652,228.74
-55638.1484375,2834,1620,1520646.125,0.001,132474,124734.9123776,186,530000,-1.2241590023040771,13.26429557800293,122.89
-58929.2890625,2890,1752,3896108.0,0.001,134974,119830.34285146996,186,540000,-1.079251766204834,14.3323335647583,70.43
-59355.01171875,2946,1883,2944709.5,0.001,137474,128993.01325924,186,550000,-0.6177095770835876,13.185334205627441,81.31
-63240.265625,3005,2025,2176983.5,0.001,139974,128500.13829409,186,560000,0.5607793927192688,12.778674125671387,53.58
-60096.6015625,3061,2208,5780873.5,0.001,142474,127040.32536586,186,570000,0.6485776901245117,15.255125045776367,48.57
-60867.71875,3121,2391,3994427.75,0.001,144974,130295.72883185999,185,580000,-0.280449241399765,15.454629898071289,55.29
-65210.5859375,3177,2533,1802861.5,0.001,147474,128071.57656706002,185,590000,1.246505618095398,15.950288772583008,64.35
-64906.4453125,3234,2776,2547766.75,0.001,149974,131332.56520213,185,600000,-0.12564067542552948,14.648100852966309,39.71
-67903.8125,3291,3022,6356593.0,0.001,152474,132299.51243096997,185,610000,-0.19410711526870728,17.149389266967773,36.46
-69595.484375,3348,3240,1758661.75,0.001,154974,129681.65468880002,185,620000,-0.9571074843406677,17.292421340942383,45.77
-70833.578125,3405,3467,1522731.5,0.001,157474,131354.60062851,184,630000,-0.04006242752075195,17.91106414794922,38.61
-71816.3671875,3463,3737,2163538.0,0.001,159974,132921.82021695,184,640000,0.8959587812423706,16.863176345825195,40.93
-69580.21875,3518,3956,63634004.0,0.001,162474,131699.40322015004,184,650000,0.5239129662513733,15.619828224182129,45.64
-71600.75,3573,4211,6171378.0,0.001,164974,132980.90753364,184,660000,-0.3814757764339447,17.422626495361328,33.33
-73298.0390625,3629,4502,2650067.5,0.001,167474,133328.71871304,184,670000,-0.8325625658035278,16.98910140991211,31.88
-72983.4375,3685,4784,1883576.5,0.001,169974,132630.79710459002,184,680000,0.03489843010902405,17.085811614990234,31.57
-71781.4609375,3740,5091,2420647.75,0.001,172474,133275.9842785,184,690000,-0.5953606963157654,19.211008071899414,29.85
-74758.265625,3796,5402,51962148.0,0.001,174974,132911.82990488003,184,700000,0.7729189395904541,16.769914627075195,31.84
-76706.828125,3852,5723,2266553.5,0.001,177474,132746.79936729,184,710000,-0.2793157994747162,18.728435516357422,30.86
-76880.4375,3908,6045,12762144.0,0.001,179974,133111.65416103,184,720000,1.356473684310913,18.780424118041992,27.96
-77195.796875,3964,6351,5266613.5,0.001,182474,133391.30373617998,184,730000,-0.42289331555366516,16.885019302368164,28.76
-76324.0625,4022,6697,2774574.5,0.001,184974,132936.91322707,183,740000,0.3852727711200714,19.131275177001953,30.31
-79272.078125,4081,7026,3306282.75,0.001,187474,133286.77425644,183,750000,-1.5902090072631836,17.386720657348633,28.86
-76743.15625,4140,7381,17962546.0,0.001,189974,132216.06614328,183,760000,0.7906790971755981,16.935585021972656,27.66
-79441.359375,4199,7668,2657273.5,0.001,192474,132079.43378237,183,770000,-0.2811547517776489,18.605152130126953,28.85
-76879.453125,4259,8027,2036158.0,0.001,194974,131091.69949232,183,780000,0.9138175249099731,18.953269958496094,28.12
-80923.203125,4318,8391,1625172.0,0.001,197474,133303.6044781,182,790000,-0.48436060547828674,19.419164657592773,27.25
-78342.859375,4377,8713,1174685.625,0.001,199974,131318.6136702,182,800000,0.25463587045669556,18.15837287902832,36.58
-78541.15625,4437,9067,1315547.5,0.001,202474,131497.13056032,182,810000,0.3492259979248047,19.98385238647461,27.12
-78815.65625,4497,9444,13343294.0,0.001,204974,132119.31412465998,182,820000,1.2297754287719727,17.952072143554688,26.46
-81847.546875,4556,9808,1279108.125,0.001,207474,132051.06882995,182,830000,-0.32301703095436096,16.407777786254883,28.44
-79969.09375,4616,10182,1267582.625,0.001,209974,133180.8994104,181,840000,-1.4712607860565186,17.95891761779785,27.04
-80672.5234375,4676,10559,3201854.5,0.001,212474,133441.67238290998,181,850000,-0.39082255959510803,18.428089141845703,27.13
-80843.203125,4735,10942,1420847.5,0.001,214974,132514.66541984,181,860000,-0.018695443868637085,18.729963302612305,26.06
-80754.4375,4793,11305,616514.4375,0.001,217474,133483.18924912,181,870000,-0.47683683037757874,18.02196502685547,25.47
-79037.640625,4852,11696,1768375.75,0.001,219974,132632.93711011,181,880000,1.345755934715271,19.76581573486328,25.69
-81397.75,4912,12088,833136.125,0.001,222474,133438.62473939,181,890000,-0.6391257047653198,18.589008331298828,25.36
-82693.515625,4971,12397,2777829.5,0.001,224974,133173.56294007003,181,900000,-0.5157033801078796,18.955856323242188,28.61
-78943.625,5031,12598,2898688.5,0.001,227474,125952.37301541999,180,910000,0.32241469621658325,17.746639251708984,72.62
-80315.859375,5090,12989,10265561.0,0.001,229974,133456.39040247002,180,920000,0.028730422258377075,18.91630744934082,25.29
-81847.546875,5148,13385,4440422.5,0.001,232474,133068.72932006,180,930000,-0.30265939235687256,18.824689865112305,25.34
