train/n_updates,time/total_timesteps,train/learning_rate,train/actor_loss,train/critic_loss,rollout/ep_len_mean,train/ent_coef_loss,train/ent_coef,time/time_elapsed,time/episodes,time/fps,rollout/ep_rew_mean
177474,710000,0.0003,25780.80859375,3454.566162109375,412.78,0.5894321203231812,30.05400848388672,5501,16073,129,-122453.45604536001
179974,720000,0.0003,30690.5703125,3681.350830078125,323.41,-0.06291808187961578,32.136077880859375,5581,16110,128,-107348.33971915998
182474,730000,0.0003,30462.85546875,3370.5009765625,354.47,-1.6952900886535645,31.524690628051758,5661,16128,128,-98603.26633911999
184974,740000,0.0003,34521.74609375,2983.66796875,416.6,0.8611738085746765,29.80937957763672,5741,16138,128,-82126.06923247
187474,750000,0.0003,24381.73828125,3011.77099609375,427.63,1.0109131336212158,27.486650466918945,5822,16160,128,-74613.86616903
189974,760000,0.0003,22571.482421875,2402.7255859375,14.21,2.9509849548339844,26.393041610717773,5902,16729,128,-99236.96489686001
192474,770000,0.0003,26434.21484375,2622.0810546875,15.2,0.6683828830718994,27.37152671813965,5982,17261,128,-99382.40971347998
194974,780000,0.0003,26965.490234375,2974.056640625,33.88,-0.8309822082519531,29.93366241455078,6061,17777,128,-97969.83303376999
197474,790000,0.0003,15604.80859375,2485.925537109375,113.56,0.6396521329879761,30.516048431396484,6141,17795,128,-92480.14267195002
199974,800000,0.0003,9691.1298828125,2261.3701171875,223.12,1.3278353214263916,27.926538467407227,6221,17806,128,-90397.98889001
202474,810000,0.0003,7606.36279296875,2399.329833984375,312.76,1.6903076171875,24.776174545288086,6301,17815,128,-89035.75854847002
204974,820000,0.0003,6115.84326171875,2853.906494140625,412.36,-0.5199469327926636,22.867712020874023,6381,17826,128,-84378.57145183
207474,830000,0.0003,2307.143798828125,2789.7255859375,502.0,0.6390072107315063,23.466947555541992,6461,17835,128,-83461.87881655
209974,840000,0.0003,6268.453125,2472.840087890625,601.6,-1.4037537574768066,23.258514404296875,6540,17846,128,-82628.33780209
212474,850000,0.0003,5553.6201171875,2439.620849609375,691.24,0.5100114345550537,23.66937255859375,6620,17855,128,-79097.52553812
214974,860000,0.0003,10373.9482421875,2617.634521484375,800.8,-0.4227154850959778,23.911062240600586,6700,17866,128,-75465.56558947
217474,870000,0.0003,8878.759765625,2489.68359375,890.44,-3.0876243114471436,23.351499557495117,6779,17875,128,-72405.62645704999
219974,880000,0.0003,8620.98828125,2498.550537109375,991.82,-1.2406657934188843,22.86060905456543,6860,17887,128,-66953.07405979
222474,890000,0.0003,2330.649658203125,2796.8212890625,985.04,0.9466407299041748,23.081560134887695,6941,17897,128,-70949.27228623
224974,900000,0.0003,7214.6142578125,2252.6025390625,985.04,-2.4037327766418457,23.267333984375,7020,17907,128,-64226.38187153
227474,910000,0.0003,5991.5224609375,2495.233642578125,978.84,-0.1610565185546875,22.759872436523438,7100,17918,128,-61369.08972015
229974,920000,0.0003,3925.382080078125,2610.506591796875,954.69,1.698747158050537,21.388019561767578,7179,17931,128,-61309.14662804
232474,930000,0.0003,7919.400390625,2110.597412109375,945.82,-1.7313895225524902,20.45545768737793,7260,17941,128,-62244.06817916
234974,940000,0.0003,3633.7265625,1913.950439453125,926.51,1.1499969959259033,20.275007247924805,7339,17953,128,-66507.07901374
237474,950000,0.0003,-2753.62060546875,2022.3458251953125,908.24,-0.7334772348403931,20.28569221496582,7419,17966,128,-63700.31301296
239974,960000,0.0003,3164.43359375,2410.094970703125,865.27,-1.0568475723266602,20.4742431640625,7497,17980,128,-57612.008190520006
242474,970000,0.0003,-6916.3916015625,1488.7657470703125,864.37,2.506375789642334,20.52103614807129,7574,17990,128,-55433.35543356
244974,980000,0.0003,2224.6767578125,2812.93603515625,871.15,0.9384244680404663,20.024320602416992,7652,18001,128,-171934.51809094998
247474,990000,0.0003,-2685.187744140625,2026.0732421875,827.08,-0.16154474020004272,19.067947387695312,7730,18015,128,-165029.73953921
249974,1000000,0.0003,-4650.25341796875,1672.0843505859375,811.24,2.5290088653564453,21.651302337646484,7805,18030,128,-158666.81711198
