train/critic_loss,rollout/ep_rew_mean,train/learning_rate,train/ent_coef_loss,train/ent_coef,time/episodes,time/fps,rollout/ep_len_mean,time/total_timesteps,train/n_updates,train/actor_loss,time/time_elapsed
38712672.0,-156554.13379132998,0.001,0.8895263671875,31.112714767456055,5319,229,295.51,370000,92474,27255.953125,1614
84710928.0,-139554.79779127,0.001,0.07310998439788818,31.70775604248047,5352,229,306.57,380000,94974,25507.26171875,1657
60862880.0,-121837.90726852002,0.001,0.3268013596534729,32.036949157714844,5387,229,290.6,390000,97474,23666.5078125,1700
59050520.0,-124703.73406903,0.001,0.3771190047264099,31.390483856201172,5441,229,242.14,400000,99974,25625.853515625,1743
36692024.0,-143761.25135948003,0.001,0.21457888185977936,28.08807945251465,5476,228,252.96,410000,102474,21669.412109375,1791
19235138.0,-137214.48886813,0.001,2.4058594703674316,27.9785099029541,5518,228,252.05,420000,104974,19242.67578125,1839
29118696.0,-121853.38883479999,0.001,1.1617857217788696,27.720035552978516,5565,227,232.91,430000,107474,16671.71484375,1887
95247552.0,-94508.61573425,0.001,1.980805516242981,27.498245239257812,5600,227,231.8,440000,109974,16244.9794921875,1934
26502168.0,-101287.18947776001,0.001,-0.8265594840049744,28.56877326965332,5636,227,242.44,450000,112474,16321.25390625,1982
56390928.0,-113201.67999308002,0.001,0.5017621517181396,27.925701141357422,5654,226,320.74,460000,114974,14816.90625,2029
41799856.0,-109977.00534519002,0.001,-0.32914912700653076,27.08196449279785,5676,226,351.49,470000,117474,12639.373046875,2077
36197920.0,-142981.48420921998,0.001,-0.20532792806625366,27.14458465576172,5698,225,408.22,480000,119974,12933.8974609375,2125
17655100.0,-124031.36761339,0.001,-0.18144848942756653,25.962814331054688,5716,225,452.1,490000,122474,12978.1875,2172
24424164.0,-158850.77110058,0.001,-2.223407506942749,28.1588191986084,5729,225,528.9,500000,124974,11026.30078125,2219
29832390.0,-136084.56628858,0.001,-0.19888842105865479,27.052303314208984,5750,225,522.65,510000,127474,10640.873046875,2266
32972368.0,-133705.29244722996,0.001,-0.757587730884552,28.64630889892578,5772,224,512.51,520000,129974,9182.767578125,2313
83550064.0,-118399.61057939,0.001,0.4058387875556946,28.030893325805664,5800,224,487.91,530000,132474,9147.5634765625,2360
37035832.0,-69940.17998477,0.001,0.31571850180625916,28.045185089111328,5826,224,398.12,540000,134974,6334.9794921875,2407
22337796.0,-118909.74804322002,0.001,-0.1948215365409851,27.632434844970703,5851,224,401.45,550000,137474,7703.2373046875,2454
31870420.0,-99563.69002735999,0.001,-0.6631166338920593,29.156831741333008,5880,223,328.25,560000,139974,5146.80712890625,2501
53705164.0,-151289.08654685,0.001,-0.6281261444091797,27.044145584106445,5898,223,395.74,570000,142474,5590.8037109375,2548
30306428.0,-186745.50898607,0.001,-0.1498039960861206,28.801437377929688,5915,223,455.72,580000,144974,5180.6669921875,2595
88074016.0,-183588.56634096,0.001,-0.6956202387809753,31.533592224121094,5944,223,413.22,590000,147474,7039.84716796875,2642
17290768.0,-204018.34283017006,0.001,-2.646786689758301,30.59366798400879,5958,223,474.36,600000,149974,4395.26171875,2689
17524224.0,-222982.11344952002,0.001,1.8054463863372803,28.3913516998291,5974,222,527.32,610000,152474,3063.292724609375,2736
49882428.0,-217340.425999,0.001,-1.290419340133667,28.914644241333008,5991,222,552.02,620000,154974,3084.395263671875,2783
95220080.0,-208554.46252698996,0.001,-0.5901651382446289,29.437175750732422,6006,222,533.98,630000,157474,2167.78369140625,2830
21770366.0,-138355.74651096,0.001,0.34489914774894714,26.270483016967773,6044,222,486.79,640000,159974,-2873.8857421875,2877
42762900.0,-89441.70238807998,0.001,-0.10433799028396606,28.48883819580078,6071,222,420.68,650000,162474,-1473.255615234375,2924
86742832.0,-104369.46678359002,0.001,-1.325751781463623,26.122920989990234,6098,222,374.23,660000,164974,-728.7945556640625,2971
31243880.0,-56256.74927075999,0.001,0.33182233572006226,26.95131492614746,6136,221,336.51,670000,167474,-1148.0496826171875,3018
58800504.0,-22461.54440738,0.001,-0.12248337268829346,28.001272201538086,6176,221,276.89,680000,169974,-4288.3701171875,3065
59180224.0,22696.057202070002,0.001,-0.5039801001548767,28.46063804626465,6207,221,261.68,690000,172474,-3133.8369140625,3111
19282280.0,7691.614038580002,0.001,0.9866812825202942,26.266881942749023,6237,221,298.24,700000,174974,-7090.1875,3158
51066108.0,-11207.747421619999,0.001,0.32199516892433167,27.78238296508789,6289,221,263.82,710000,177474,-4915.53466796875,3205
29423848.0,-29066.936448159995,0.001,0.8869556188583374,30.14632797241211,6308,221,297.36,720000,179974,-7659.7744140625,3252
16728026.0,-16549.10062598,0.001,0.893955409526825,30.00831413269043,6340,221,290.12,730000,182474,-6141.62744140625,3299
13362615.0,-29431.125432900004,0.001,0.48133108019828796,30.121828079223633,6358,221,339.52,740000,184974,-6135.0380859375,3346
10458822.0,-21061.22343683,0.001,0.08756327629089355,29.120498657226562,6391,221,394.08,750000,187474,-7697.287109375,3393
23826068.0,1287.3395560299978,0.001,-2.4345479011535645,31.567480087280273,6430,220,314.35,760000,189974,-8580.24609375,3439
79060648.0,14680.003068049999,0.001,1.0053966045379639,31.72760581970215,6463,220,274.41,770000,192474,-8674.7578125,3486
12063494.0,-8373.272355230003,0.001,0.3762392997741699,31.649221420288086,6493,220,287.93,780000,194974,-6266.1455078125,3533
99208912.0,-2505.4484925799998,0.001,-1.3955047130584717,32.31364822387695,6528,220,306.68,790000,197474,-9691.1533203125,3580
49451516.0,-9921.01182593,0.001,3.8404183387756348,30.43232536315918,6545,220,357.68,800000,199974,-11107.6435546875,3627
24577212.0,-31698.569624009993,0.001,1.1039988994598389,28.713298797607422,6559,220,438.61,810000,202474,-9636.474609375,3674
12571794.0,-40285.2930753,0.001,0.25200194120407104,28.97100830078125,6572,220,460.01,820000,204974,-12983.890625,3721
61564416.0,-61802.89278907,0.001,-0.044536590576171875,29.735939025878906,6589,220,526.88,830000,207474,-11677.228515625,3768
92182568.0,-70018.04030391,0.001,0.7215264439582825,30.658611297607422,6624,220,530.33,840000,209974,-12645.970703125,3815
12815918.0,-35490.288737799994,0.001,0.4883369505405426,29.255474090576172,6657,220,405.72,850000,212474,-13416.44140625,3862
73916544.0,-26197.600654110007,0.001,0.6115931868553162,31.017711639404297,6677,219,367.25,860000,214974,-12809.9833984375,3909
29126216.0,-43019.939164400006,0.001,-0.7145707607269287,32.325035095214844,6714,219,331.62,870000,217474,-13363.41015625,3955
26786968.0,109104.50816624,0.001,-1.373286485671997,30.638202667236328,6825,219,90.77,880000,219974,-15274.279296875,4002
47737972.0,71547.14789242,0.001,-0.7528827786445618,31.53558349609375,6861,219,119.85,890000,222474,-14054.80078125,4049
13067288.0,34697.020174,0.001,0.3722118139266968,33.75069808959961,6889,219,215.28,900000,224974,-12337.30859375,4096
19309590.0,24855.923534359998,0.001,1.3738481998443604,29.864845275878906,6937,219,267.78,910000,227474,-12513.919921875,4143
12996268.0,11118.687846960001,0.001,-0.6515726447105408,33.122169494628906,6977,219,239.49,920000,229974,-17168.6953125,4190
88219120.0,18411.172761489997,0.001,-0.13270363211631775,32.217472076416016,7036,219,217.2,930000,232474,-16662.140625,4237
35063472.0,83566.84591001,0.001,0.8829764723777771,32.09978103637695,7105,219,152.13,940000,234974,-16546.69140625,4283
182576928.0,77432.98573275999,0.001,0.8059413433074951,29.540056228637695,7144,219,162.73,950000,237474,-20156.6171875,4330
20103904.0,85444.19107482002,0.001,-1.369569182395935,36.28493118286133,7228,219,179.64,960000,239974,-20705.98046875,4377
104003536.0,89753.71829718,0.001,-1.8975729942321777,35.126041412353516,7349,219,88.57,970000,242474,-17675.59765625,4424
71285344.0,88893.43281753999,0.001,-0.14344066381454468,36.012516021728516,7421,219,120.36,980000,244974,-19193.65625,4471
11908109.0,74180.44556345,0.001,-0.3297572731971741,33.869850158691406,7530,219,83.44,990000,247474,-20395.013671875,4518
77882504.0,78010.07571422,0.001,-0.9446120262145996,31.371585845947266,7655,219,78.75,1000000,249974,-22984.212890625,4565
