train/critic_loss,rollout/ep_rew_mean,train/learning_rate,train/ent_coef_loss,train/ent_coef,time/episodes,time/fps,rollout/ep_len_mean,time/total_timesteps,train/n_updates,train/actor_loss,time/time_elapsed
237434768.0,-1094805.52074472,0.001,-39.778377532958984,2.358964443206787,140,229,56.28,10000,2474,625.8746948242188,43
49045476.0,-496578.76663605997,0.001,-63.63445281982422,5.089241027832031,326,225,53.61,20000,4974,7039.1357421875,88
61603364.0,-185535.54397612996,0.001,-62.726810455322266,9.665946006774902,607,226,37.93,30000,7474,13376.978515625,132
48512528.0,-178340.33355222,0.001,-43.979270935058594,16.423404693603516,866,226,50.68,40000,9974,17290.8046875,176
60212020.0,-112761.84611519001,0.001,-32.447654724121094,24.955373764038086,1141,226,43.92,50000,12474,17690.33203125,220
79304744.0,-97505.43782916002,0.001,-24.355226516723633,35.783409118652344,1385,226,32.44,60000,14974,20938.29296875,264
70612240.0,-129826.63353684999,0.001,-9.922107696533203,48.453914642333984,1635,226,41.37,70000,17474,21382.642578125,308
74274896.0,-102848.37741176004,0.001,-3.644354820251465,58.081642150878906,1823,226,41.26,80000,19974,22219.96875,353
129672008.0,-107769.26974249001,0.001,2.8307442665100098,60.511634826660156,2046,226,43.38,90000,22474,26096.74609375,397
49688656.0,-86636.14893842001,0.001,2.442666530609131,54.81615447998047,2268,226,37.81,100000,24974,25669.765625,441
62217356.0,-101983.53598369999,0.001,0.758182168006897,50.583431243896484,2476,226,52.44,110000,27474,26274.427734375,485
65472968.0,-100544.90998635998,0.001,-1.3637161254882812,48.275516510009766,2700,226,36.12,120000,29974,28714.427734375,529
75576112.0,-87433.25604657,0.001,-0.7078242301940918,45.1627197265625,2875,226,54.67,130000,32474,27040.74609375,573
42540688.0,-104634.01778406002,0.001,0.5709012746810913,40.72005844116211,3051,226,52.07,140000,34974,29369.2265625,617
35369768.0,-97809.80116003001,0.001,-1.1786727905273438,40.51112747192383,3228,226,49.22,150000,37474,26007.08203125,661
41030112.0,-102689.77240554002,0.001,-1.4925161600112915,41.38702392578125,3457,226,54.85,160000,39974,29095.5390625,705
34236768.0,-82029.27280093,0.001,0.1085548996925354,37.834075927734375,3638,226,43.76,170000,42474,23307.994140625,749
59036480.0,-101447.35668080999,0.001,-2.2319822311401367,35.186729431152344,3800,226,67.47,180000,44974,25345.171875,793
39451520.0,-83719.31284666,0.001,-0.8640535473823547,36.210323333740234,3937,226,81.37,190000,47474,25832.1640625,837
55302644.0,-93138.63898449998,0.001,-1.5663433074951172,35.9322509765625,4081,226,78.39,200000,49974,26563.625,881
56444056.0,-98002.06616824999,0.001,-0.1083676815032959,35.05914306640625,4172,227,111.07,210000,52474,29847.669921875,923
63948984.0,-87366.80989038,0.001,-1.0927220582962036,37.98445510864258,4305,227,73.61,220000,54974,26207.71484375,966
53626040.0,-106405.11782865998,0.001,-0.05903291702270508,35.689361572265625,4413,227,92.98,230000,57474,25774.98046875,1010
41316720.0,-128781.38536079001,0.001,0.19093328714370728,34.80629348754883,4521,227,97.48,240000,59974,25351.796875,1053
89687144.0,-87261.68372313998,0.001,-0.9573242664337158,35.56480407714844,4676,227,70.59,250000,62474,25817.9375,1097
24759908.0,-111610.66390677,0.001,2.4509196281433105,35.32122039794922,4793,227,76.47,260000,64974,27615.353515625,1141
50543440.0,-93465.57836060999,0.001,-1.5645710229873657,37.18073654174805,4874,227,109.83,270000,67474,27830.0078125,1184
20484258.0,-94413.75074504997,0.001,-1.1246274709701538,33.39495849609375,4930,227,149.87,280000,69974,28083.384765625,1228
67156896.0,-93057.33762497999,0.001,-1.276383399963379,32.5018310546875,4996,227,175.53,290000,72474,28398.822265625,1272
37529656.0,-117544.03665059998,0.001,-0.7333121299743652,33.92664337158203,5044,228,179.37,300000,74974,28490.271484375,1315
59234176.0,-122733.93384804,0.001,2.8204712867736816,34.85734176635742,5084,228,209.64,310000,77474,30048.82421875,1358
62544832.0,-101761.69963277,0.001,2.247570514678955,33.23842239379883,5133,228,220.05,320000,79974,29114.953125,1401
10979543.0,-89537.14352929,0.001,0.24801838397979736,29.56275749206543,5173,228,214.58,330000,82474,28834.197265625,1444
127483616.0,-77579.95598151001,0.001,-0.5987679958343506,31.89303207397461,5220,228,245.32,340000,84974,28547.74609375,1486
70603920.0,-108396.43486107,0.001,-1.5246223211288452,29.950273513793945,5257,228,230.3,350000,87474,25105.671875,1529
31259492.0,-129622.23060822998,0.001,-1.3563292026519775,31.37723159790039,5285,228,253.42,360000,89974,27035.3046875,1572
