train/policy_loss,train/learning_rate,train/value_loss,train/entropy_loss,time/fps,train/explained_variance,time/total_timesteps,train/n_updates,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/std
-559333.125,0.0007,3568212480.0,-13.753915786743164,1435,0.0,180000,8999,24.41,125,-118601.78888581999,1.1190956830978394
-457726.3125,0.0007,2873336064.0,-13.692192077636719,1434,0.0,190000,9499,19.5,132,-141014.29947062,1.1114001274108887
-127018.4140625,0.0007,249824512.0,-13.743215560913086,1433,0.0,200000,9999,24.0,139,-137506.70779201004,1.1184864044189453
-255584.921875,0.0007,729024384.0,-13.847526550292969,1432,-1.1920928955078125e-07,210000,10499,26.67,146,-129564.36067432,1.1313692331314087
285273.8125,0.0007,1705539584.0,-13.923284530639648,1430,0.0,220000,10999,18.98,153,-74393.17853489,1.1397331953048706
259482.671875,0.0007,5398831616.0,-13.986063003540039,1429,0.0,230000,11499,28.06,160,-123647.13743948004,1.1475565433502197
-142178.421875,0.0007,2966345984.0,-14.054481506347656,1428,0.0,240000,11999,24.07,168,-96927.20744991001,1.1565403938293457
-478481.90625,0.0007,3616836352.0,-14.033445358276367,1427,-1.1920928955078125e-07,250000,12499,29.11,175,-133427.30106355998,1.153916597366333
-479555.8125,0.0007,2433623552.0,-14.112363815307617,1426,1.1920928955078125e-07,260000,12999,23.61,182,-121234.37330037,1.1633602380752563
-55410.35546875,0.0007,111952408.0,-14.11186408996582,1425,5.960464477539063e-08,270000,13499,24.46,189,-144429.89945824002,1.1629157066345215
-291771.15625,0.0007,1658321920.0,-14.187250137329102,1425,-2.384185791015625e-07,280000,13999,22.87,196,-62886.08099374,1.1733219623565674
-94516.546875,0.0007,117370728.0,-14.220575332641602,1424,-1.1920928955078125e-07,290000,14499,19.93,203,-95300.91445174,1.1777652502059937
-348250.90625,0.0007,1601699584.0,-14.159273147583008,1425,0.0,300000,14999,31.68,210,-51266.99284497,1.169981837272644
-188744.734375,0.0007,588928896.0,-14.231547355651855,1425,0.0,310000,15499,29.54,217,-156123.77214573,1.1790357828140259
-95943.5078125,0.0007,199914336.0,-14.23436164855957,1425,-1.1920928955078125e-07,320000,15999,21.47,224,-104666.37787893001,1.1796841621398926
-328300.1875,0.0007,2021859712.0,-14.205327987670898,1425,0.0,330000,16499,27.4,231,-30158.24664949,1.1759058237075806
-310280.84375,0.0007,2028558976.0,-14.189725875854492,1425,-1.1920928955078125e-07,340000,16999,21.69,238,-128656.54487522999,1.1730866432189941
-89586.359375,0.0007,161930928.0,-14.139482498168945,1426,0.0,350000,17499,35.84,245,-116062.06887547999,1.166895866394043
-5482.1337890625,0.0007,4485414.0,-14.170812606811523,1426,0.0,360000,17999,44.41,252,-127944.68928505998,1.170760989189148
-180572.359375,0.0007,317165248.0,-14.205390930175781,1427,0.0,370000,18499,16.83,259,-88982.39992332002,1.175110101699829
2661.51123046875,0.0007,230259.65625,-14.212715148925781,1427,0.0,380000,18999,33.89,266,-64004.2183983,1.1766910552978516
-77453.3515625,0.0007,125434032.0,-14.223780632019043,1427,0.0,390000,19499,27.23,273,-45853.94184249001,1.1784793138504028
-500542.4375,0.0007,2979837696.0,-14.201047897338867,1427,0.0,400000,19999,66.31,280,-201107.76728310998,1.176164150238037
-76287.625,0.0007,68693104.0,-14.231672286987305,1428,0.0,410000,20499,24.37,287,-129694.14541326997,1.1795620918273926
-192077.84375,0.0007,1444276480.0,-14.233705520629883,1429,0.0,420000,20999,42.7,293,-136572.29454844,1.1804460287094116
-34086.60546875,0.0007,60066624.0,-14.302642822265625,1429,0.0,430000,21499,30.65,300,-52583.69014657,1.1891220808029175
-26728.0,0.0007,99763512.0,-14.27458381652832,1429,0.0,440000,21999,37.04,307,-164311.64574326001,1.1848151683807373
-114103.5390625,0.0007,131446680.0,-14.299028396606445,1430,-1.1920928955078125e-07,450000,22499,33.64,314,-104529.90593220001,1.1878873109817505
-83782.78125,0.0007,90338256.0,-14.452753067016602,1430,0.0,460000,22999,32.95,321,-175351.42025298,1.2094770669937134
-151441.90625,0.0007,330883552.0,-14.505289077758789,1431,0.0,470000,23499,41.3,328,-126840.82673620002,1.216365933418274
-82780.3359375,0.0007,169483664.0,-14.498441696166992,1432,0.0,480000,23999,79.54,335,-132547.82776243996,1.2152540683746338
-66197.578125,0.0007,63509332.0,-14.533449172973633,1433,0.0,490000,24499,104.14,341,-191784.33245564994,1.2193336486816406
-347445.15625,0.0007,1824821504.0,-14.549470901489258,1434,1.1920928955078125e-07,500000,24999,64.11,348,-203190.91332878,1.222131609916687
-90780.0078125,0.0007,101950104.0,-14.556463241577148,1435,0.0,510000,25499,59.3,355,-158995.63135319,1.2243766784667969
-20334.63671875,0.0007,15224088.0,-14.583585739135742,1435,0.0,520000,25999,20.72,362,-115269.95177299,1.2292512655258179
305863.0625,0.0007,2605080064.0,-14.51936149597168,1436,0.0,530000,26499,22.52,368,-93095.23373569001,1.2194392681121826
-87675.9921875,0.0007,205322448.0,-14.485931396484375,1437,0.0,540000,26999,31.67,375,-91813.93491247,1.2155522108078003
-281085.4375,0.0007,1520156032.0,-14.498376846313477,1437,0.0,550000,27499,24.64,382,-124331.93531139001,1.2197048664093018
-236545.578125,0.0007,419300512.0,-14.518640518188477,1438,0.0,560000,27999,58.01,389,-115138.87796483001,1.2221572399139404
-428998.9375,0.0007,2190056960.0,-14.578710556030273,1439,-1.1920928955078125e-07,570000,28499,40.28,396,-170412.29768291,1.232226848602295
