train/approx_kl,train/value_loss,train/std,train/clip_fraction,train/clip_range,time/total_timesteps,train/policy_gradient_loss,train/entropy_loss,time/time_elapsed,time/fps,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/learning_rate,train/explained_variance,train/loss
0.0053132214,4868320447.6,1.0075562000274658,0.0336669921875,0.2,10000,-0.006506346584683342,-17.076064257323743,10,995,54.71,10,-313707.38028797996,0.0017,3.4570693969726562e-06,2498180096.0
0.0033368557,4906925810.2,1.0149885416030884,0.00821533203125,0.2,20000,-0.002982076547232282,-17.16354883015156,19,1000,40.61,20,-233496.54425284,0.0017,0.0,2274024704.0
0.004412799,4431802420.6,1.0217088460922241,0.021533203125,0.2,30000,-0.004494892217371671,-17.247910721600057,29,1001,50.19,30,-272237.94354317,0.0017,0.0,1941916672.0
0.0044444883,4582657940.2,1.0293267965316772,0.01802978515625,0.2,40000,-0.004599311799665884,-17.33226660043001,39,1002,46.49,40,-259512.61465016005,0.0017,0.0,2264819968.0
0.0047457386,4208476952.4,1.0433522462844849,0.02091064453125,0.2,50000,-0.004535756669065449,-17.493862627446653,54,916,45.37,60,-242797.31430165,0.0017,0.0,1946372864.0
0.0038063428,4087229052.2,1.0519896745681763,0.0124755859375,0.2,60000,-0.003621007252877462,-17.588482622802257,64,930,46.59,70,-248312.90153152,0.0017,-1.1920928955078125e-07,2011591040.0
0.005054377,4079395222.0,1.05939781665802,0.0223876953125,0.2,70000,-0.004646628475165926,-17.679235865175723,74,940,44.8,80,-230496.97302374998,0.0017,0.0,2230010880.0
0.0053968364,3808791665.2,1.0674446821212769,0.0273193359375,0.2,80000,-0.004651496776568819,-17.76720403134823,84,947,45.04,90,-228076.56149554002,0.0017,-1.1920928955078125e-07,1876825856.0
0.0042208824,3763572018.0,1.0765098333358765,0.02025146484375,0.2,90000,-0.003533551090913534,-17.865011374652386,94,953,44.88,100,-218964.37939142,0.0017,0.0,1847931264.0
0.003940137,3916740647.4,1.0936412811279297,0.01087646484375,0.2,100000,-0.0029133924916095568,-18.056276236474513,109,916,38.42,120,-201427.84991903004,0.0017,1.1920928955078125e-07,1660697472.0
0.005191888,3705449963.6,1.1022000312805176,0.02777099609375,0.2,110000,-0.004627894227633078,-18.1504768460989,119,923,42.65,130,-211418.80460844003,0.0017,0.0,1924889344.0
0.00445112,3623792468.6,1.1116422414779663,0.0142822265625,0.2,120000,-0.003629887160968792,-18.24890107810497,129,929,36.04,140,-194987.20723083,0.0017,1.7881393432617188e-07,2088156928.0
0.0030772546,3826264918.8,1.120706558227539,0.00458984375,0.2,130000,-0.0019107323985736002,-18.34683774113655,139,934,41.47,150,-203839.29105138,0.0017,1.1920928955078125e-07,1815312768.0
0.0045968033,3661879968.8,1.1381468772888184,0.0192626953125,0.2,140000,-0.003818932287322241,-18.541210201382636,153,909,44.97,170,-215442.43779316,0.0017,-1.1920928955078125e-07,1920599168.0
0.0046550557,3797348921.4,1.147598385810852,0.01572265625,0.2,150000,-0.0035720466499697067,-18.63144459724426,163,915,36.63,180,-190143.92991779,0.0017,0.0,1908429184.0
0.0045832484,3549241755.8,1.1570736169815063,0.018896484375,0.2,160000,-0.0038133105994347717,-18.730885104835032,173,919,39.83,190,-199270.56279,0.0017,1.1920928955078125e-07,1695197696.0
0.004323099,3480495881.4,1.1652774810791016,0.01390380859375,0.2,170000,-0.0032077816847959186,-18.82181352674961,184,923,35.24,200,-179262.44464367,0.0017,-1.1920928955078125e-07,1891871744.0
0.0051118988,3590300688.2,1.1734791994094849,0.0266357421875,0.2,180000,-0.004556012326247583,-18.90591599792242,194,927,40.5,210,-197414.76835790998,0.0017,1.1920928955078125e-07,1515778048.0
0.004733096,3439601354.3,1.1904375553131104,0.02005615234375,0.2,190000,-0.003943542405431799,-19.078559596836566,208,909,38.45,230,-186553.30014962,0.0017,1.7881393432617188e-07,1589489408.0
0.0038927363,3378185211.7,1.2022401094436646,0.0114501953125,0.2,200000,-0.00297240805648471,-19.178447918593882,218,913,38.79,240,-183957.59151251,0.0017,0.0,1939023744.0
0.004139642,3299824360.0,1.2126197814941406,0.01441650390625,0.2,210000,-0.0033074218827096047,-19.288882724940777,229,916,39.33,250,-195029.36798853995,0.0017,0.0,1653302528.0
0.004984728,3375383805.0,1.2233353853225708,0.0185546875,0.2,220000,-0.004671621113811852,-19.394136708974838,239,920,45.44,260,-199784.41732292,0.0017,0.0,1751320704.0
0.004719846,3361490150.7,1.2489715814590454,0.01728515625,0.2,230000,-0.003976748341119674,-19.63777530193329,253,905,33.82,280,-168033.0266976,0.0017,0.0,1424119552.0
0.0057829786,3327898410.4,1.2618913650512695,0.0342529296875,0.2,240000,-0.006231889703849447,-19.757304441928863,264,908,40.18,290,-189123.00822922998,0.0017,0.0,1397076096.0
0.004115032,3127741161.4,1.2745696306228638,0.012890625,0.2,250000,-0.0035301798612636047,-19.877382878959178,274,911,33.44,300,-165621.15011676,0.0017,0.0,1632232832.0
0.0042738207,3165004234.6,1.2859227657318115,0.01263427734375,0.2,260000,-0.0028583193126905824,-19.990644997358324,284,914,35.59,310,-175876.01968968,0.0017,-1.1920928955078125e-07,1534467200.0
0.004021949,3325597926.8,1.2964143753051758,0.01236572265625,0.2,270000,-0.0028351039814879186,-20.091070355474947,294,916,34.89,320,-173965.00738146,0.0017,0.0,1600339840.0
0.004296854,3200274762.4,1.3188799619674683,0.014697265625,0.2,280000,-0.003844697749809711,-20.296283213794233,309,904,38.1,340,-184251.36253291997,0.0017,2.384185791015625e-07,1716239232.0
0.0038333635,3097555088.6,1.3341436386108398,0.01048583984375,0.2,290000,-0.00297436379478313,-20.415301905572413,319,907,36.49,350,-173972.90517912002,0.0017,0.0,1667362944.0
0.004544555,3191324517.5,1.3461757898330688,0.01715087890625,0.2,300000,-0.004144062180967012,-20.537308588624,329,909,37.36,360,-174602.78493301,0.0017,0.0,1455218688.0
0.0037902957,3074641239.0,1.356803297996521,0.010595703125,0.2,310000,-0.0028508120603873977,-20.63642919808626,339,912,38.23,370,-181156.83436194004,0.0017,0.0,1595873152.0
0.0036160229,3070014458.0,1.3858410120010376,0.0095703125,0.2,320000,-0.003104163995340059,-20.87314824461937,354,901,37.08,390,-180841.44551346,0.0017,-2.384185791015625e-07,1639379968.0
