train/std,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/explained_variance,train/policy_objective,time/total_timesteps,train/is_line_search_success,train/value_loss,time/time_elapsed,train/kl_divergence_loss,train/learning_rate
0.9944524168968201,1,33.62,-552446.7904175101,1416,-5.960464477539062e-07,0.07131562381982803,10000,1.0,41886483052.8,7,0.005587677471339703,0.0013
0.9919602274894714,2,24.88,-405820.17763313005,1414,0.0,0.057220619171857834,20000,1.0,36719480982.4,14,0.004474814515560865,0.0013
0.9950306415557861,3,22.89,-373500.7810976601,1412,0.0,0.06159815192222595,30000,1.0,32422643785.6,21,0.004745058715343475,0.0013
0.9892770051956177,4,23.17,-371798.26937796007,1412,0.0,0.057042401283979416,40000,1.0,30306659254.4,28,0.004630361683666706,0.0013
0.987367570400238,6,17.87,-294116.73862287996,1360,-1.1920928955078125e-07,0.05597216635942459,50000,1.0,26586539600.0,36,0.004000712651759386,0.0013
0.9963560700416565,7,17.99,-292930.11429499,1366,-1.1920928955078125e-07,0.05749257281422615,60000,1.0,24126735641.6,43,0.004940905142575502,0.0013
0.9895455837249756,8,13.73,-235441.18598997005,1372,1.7881393432617188e-07,0.06815904378890991,70000,1.0,24220120592.0,51,0.005004177801311016,0.0013
0.9816703796386719,9,11.97,-216418.71502538008,1374,0.0,0.06662986427545547,80000,1.0,21276968038.4,58,0.005174143705517054,0.0013
0.9716368913650513,10,13.62,-236237.38256688003,1373,-1.1920928955078125e-07,0.060763537883758545,90000,1.0,21045491939.2,65,0.004584223963320255,0.0013
0.9684911370277405,12,10.03,-191533.02778486,1350,0.0,0.06649144738912582,100000,1.0,18961549979.2,74,0.004559572320431471,0.0013
0.967036247253418,13,9.57,-185378.65757710996,1352,-1.1920928955078125e-07,0.070502869784832,110000,1.0,17975680195.2,81,0.004550343379378319,0.0013
0.9666278958320618,14,10.55,-198432.03519414001,1354,2.384185791015625e-07,0.06972244381904602,120000,1.0,17390453444.8,88,0.005866388324648142,0.0013
0.9606701731681824,15,7.95,-167509.29141063,1354,0.0,0.0679311454296112,130000,1.0,16901736801.6,95,0.00610033655539155,0.0013
0.9559188485145569,17,6.67,-154274.76825418998,1339,1.7881393432617188e-07,0.060524698346853256,140000,1.0,14850242982.4,104,0.006855918560177088,0.0013
0.9474021792411804,18,6.19,-150500.26277084,1341,-3.5762786865234375e-07,0.062067702412605286,150000,1.0,14433204841.6,111,0.005637708120048046,0.0013
0.9398635625839233,19,5.51,-141992.09298892,1342,1.7881393432617188e-07,0.06422105431556702,160000,1.0,13008929900.8,119,0.006900665815919638,0.0013
0.9273711442947388,20,5.05,-136982.38872311998,1341,-1.1920928955078125e-07,0.0720144584774971,170000,1.0,13022445833.6,126,0.006200710311532021,0.0013
0.926754355430603,21,4.9,-135366.10679311003,1341,0.0,0.05049242451786995,180000,1.0,12224207361.6,134,0.006531660445034504,0.0013
0.9165260791778564,23,4.51,-131760.38768511,1329,1.1920928955078125e-07,0.07039447873830795,190000,1.0,11935257716.8,142,0.006792296655476093,0.0013
0.9118016958236694,24,4.62,-133621.66998088,1329,0.0,0.04050659015774727,200000,1.0,11293469180.8,150,0.00599584961310029,0.0013
0.9041129946708679,25,4.62,-132715.37522339,1328,0.0,0.042965978384017944,210000,1.0,11367327878.4,158,0.0077829123474657536,0.0013
0.9017057418823242,26,4.32,-129677.69399015002,1327,0.0,0.032347358763217926,220000,1.0,11598682272.0,165,0.006825978402048349,0.0013
0.8962560892105103,28,4.52,-131862.29477027,1319,2.384185791015625e-07,0.0435863696038723,230000,1.0,11603948987.2,174,0.00559719605371356,0.0013
0.8932942152023315,29,4.15,-128070.34825575,1319,-1.1920928955078125e-07,0.018282681703567505,240000,1.0,12141909187.2,181,0.0068401675671339035,0.0013
0.8931058645248413,30,4.15,-128006.13740251999,1318,0.0,0.05775085836648941,250000,1.0,11431435116.8,189,0.00572426849976182,0.0013
0.8919690847396851,31,4.49,-131654.50281262002,1319,1.1920928955078125e-07,0.060721706598997116,260000,1.0,11087317857.6,197,0.00865948386490345,0.0013
0.8913685083389282,32,4.08,-127140.23978485,1318,1.1920928955078125e-07,0.025834718719124794,270000,1.0,11033986947.2,204,0.009822352789342403,0.0013
0.8889605402946472,34,4.36,-129833.28099004002,1310,1.1920928955078125e-07,0.0647529885172844,280000,1.0,12250453736.0,213,0.007348823361098766,0.0013
0.8899663686752319,35,4.79,-135252.41336151,1311,-1.1920928955078125e-07,0.05947500467300415,290000,1.0,11761067619.2,221,0.007396734785288572,0.0013
0.8914828896522522,36,4.05,-126983.68216308001,1311,1.7881393432617188e-07,0.025831935927271843,300000,1.0,11309545032.0,228,0.009944901801645756,0.0013
0.8947982788085938,37,4.47,-130785.78410250001,1311,0.0,0.06003878265619278,310000,1.0,13393545352.0,236,0.00789146963506937,0.0013
