train/explained_variance,train/entropy_loss,train/value_loss,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/std,train/policy_loss,train/n_updates,train/learning_rate
1.1920928955078125e-07,-17.14276123046875,3826909184.0,1495,10000,6,-1437877.43526481,89.06,1.0097516775131226,-920539.8125,499,0.0007
0.0,-17.247953414916992,2690817280.0,1486,20000,13,-1523089.7349294198,89.6,1.0192135572433472,-747908.125,999,0.0007
0.0,-17.283161163330078,2009363200.0,1468,30000,20,-829812.23500766,50.79,1.021569848060608,-726612.875,1499,0.0007
0.0,-17.370302200317383,3382976256.0,1462,40000,27,-1001319.9118952298,65.42,1.0296701192855835,-824897.5625,1999,0.0007
0.0,-17.422805786132812,2640999936.0,1468,50000,34,-1035758.8237248802,64.22,1.0341098308563232,-754708.625,2499,0.0007
5.960464477539063e-08,-17.575010299682617,3615922944.0,1464,60000,40,-817759.1761838101,54.06,1.047514796257019,-802557.375,2999,0.0007
-1.1920928955078125e-07,-17.567663192749023,1442384256.0,1465,70000,47,-1030275.1632904997,71.58,1.0467675924301147,-594606.6875,3499,0.0007
0.0,-17.667085647583008,5095293440.0,1461,80000,54,-916583.1493939101,60.05,1.0556999444961548,-970963.125,3999,0.0007
5.960464477539063e-08,-17.689224243164062,2704806400.0,1460,90000,61,-1022462.8149129901,62.98,1.0570755004882812,-886731.3125,4499,0.0007
5.960464477539063e-08,-17.684236526489258,4475683840.0,1462,100000,68,-891502.23161251,55.02,1.0574864149093628,-925816.8125,4999,0.0007
-1.1920928955078125e-07,-17.77203941345215,2784734976.0,1463,110000,75,-1145282.5486759702,73.93,1.0650540590286255,-740686.8125,5499,0.0007
0.0,-17.89754867553711,2799451392.0,1461,120000,82,-925359.39870295,64.3,1.0762381553649902,-827829.375,5999,0.0007
0.0,-18.078432083129883,3362261504.0,1457,130000,89,-635055.2330747001,44.88,1.0925203561782837,-876823.0,6499,0.0007
-1.1920928955078125e-07,-18.166004180908203,4245962752.0,1453,140000,96,-989740.1917921901,68.3,1.1002053022384644,-965184.125,6999,0.0007
5.960464477539063e-08,-18.28080940246582,1911135872.0,1450,150000,103,-1102518.8229756097,75.6,1.1112699508666992,-699126.6875,7499,0.0007
0.0,-18.31301498413086,3480561664.0,1448,160000,110,-928855.4404909001,63.84,1.1142629384994507,-876680.8125,7999,0.0007
0.0,-18.3942813873291,2561797888.0,1447,170000,117,-1103108.5667676998,69.52,1.1218149662017822,-848080.1875,8499,0.0007
0.0,-18.426830291748047,2481814016.0,1446,180000,124,-1453738.0480988703,90.7,1.1247116327285767,-864008.875,8999,0.0007
1.1920928955078125e-07,-18.388669967651367,4105055744.0,1447,190000,131,-1050196.7040924,71.1,1.1217414140701294,-991130.3125,9499,0.0007
0.0,-18.425540924072266,3434019584.0,1447,200000,138,-849607.7226099,58.2,1.1252827644348145,-892781.1875,9999,0.0007
1.1920928955078125e-07,-18.47319984436035,1096595584.0,1448,210000,144,-953861.59695778,62.33,1.129257321357727,-579146.75,10499,0.0007
5.960464477539063e-08,-18.543537139892578,5169644544.0,1444,220000,152,-1199406.0630985901,67.2,1.1364489793777466,-1162980.75,10999,0.0007
0.0,-18.590808868408203,2237955584.0,1444,230000,159,-1823154.4785569701,94.33,1.1404316425323486,-794599.625,11499,0.0007
0.0,-18.713603973388672,2343446016.0,1443,240000,166,-851871.2627776198,57.59,1.1528209447860718,-754915.5,11999,0.0007
0.0,-18.799381256103516,1600482432.0,1442,250000,173,-1185383.51494405,84.08,1.1609644889831543,-663010.25,12499,0.0007
0.0,-18.90471076965332,1268968704.0,1442,260000,180,-699835.7090036101,48.72,1.1720839738845825,-575248.5,12999,0.0007
0.0,-18.900922775268555,4052488960.0,1440,270000,187,-723213.1756922,52.89,1.170977234840393,-915639.625,13499,0.0007
-2.384185791015625e-07,-19.005857467651367,1422349440.0,1439,280000,194,-1182564.5196657302,78.32,1.1812444925308228,-625400.75,13999,0.0007
-1.1920928955078125e-07,-19.077394485473633,1812746240.0,1437,290000,201,-734417.72105495,50.83,1.1876170635223389,-725105.25,14499,0.0007
5.960464477539063e-08,-19.145845413208008,2135271424.0,1435,300000,208,-1228384.44710715,82.83,1.1947667598724365,-760494.5,14999,0.0007
0.0,-19.21586799621582,3312345088.0,1435,310000,215,-1132596.62790681,72.8,1.2016332149505615,-903339.0,15499,0.0007
0.0,-19.310930252075195,2088185088.0,1434,320000,223,-1078568.60177512,68.46,1.2111328840255737,-791394.875,15999,0.0007
0.0,-19.419231414794922,1768862336.0,1433,330000,230,-565186.28996113,36.47,1.2224639654159546,-675455.125,16499,0.0007
-1.1920928955078125e-07,-19.5482234954834,2303896576.0,1432,340000,237,-1119397.6458028401,60.46,1.235499382019043,-807171.125,16999,0.0007
-1.1920928955078125e-07,-19.65711784362793,2901685760.0,1433,350000,244,-1551395.0440246598,96.83,1.24604070186615,-880127.1875,17499,0.0007
-1.1920928955078125e-07,-19.782407760620117,4698487296.0,1433,360000,251,-958822.94976371,61.3,1.2595833539962769,-1272689.0,17999,0.0007
0.0,-19.83010482788086,4833122304.0,1432,370000,258,-807764.82067074,50.62,1.264870285987854,-1168709.75,18499,0.0007
0.0,-19.933944702148438,7545420800.0,1432,380000,265,-788896.2602446302,55.52,1.2756800651550293,-1539129.25,18999,0.0007
-1.1920928955078125e-07,-19.917360305786133,2095958272.0,1432,390000,272,-559450.3305780899,40.46,1.274092674255371,-808793.9375,19499,0.0007
-2.384185791015625e-07,-20.00233268737793,1506680576.0,1432,400000,279,-731515.6692693201,50.14,1.2839676141738892,-690581.3125,19999,0.0007
0.0,-20.114742279052734,2328947968.0,1433,410000,285,-492271.69667262,26.64,1.2961660623550415,-783637.875,20499,0.0007
1.1920928955078125e-07,-20.185815811157227,6317757952.0,1434,420000,292,-624524.29323126,37.17,1.3044248819351196,-1343035.0,20999,0.0007
-1.1920928955078125e-07,-20.168733596801758,2192628224.0,1435,430000,299,-618010.1715029499,39.79,1.3025600910186768,-825894.5,21499,0.0007
0.0,-20.164506912231445,2134391808.0,1435,440000,306,-1017777.20627653,69.27,1.3033162355422974,-814582.625,21999,0.0007
-1.1920928955078125e-07,-20.247514724731445,3274960640.0,1436,450000,313,-1050627.29592723,68.36,1.3107447624206543,-1053339.25,22499,0.0007
-1.1920928955078125e-07,-20.187036514282227,2571870976.0,1437,460000,320,-980888.38516662,68.34,1.3052345514297485,-909522.3125,22999,0.0007
5.960464477539063e-08,-20.259462356567383,2932092928.0,1436,470000,327,-937194.78073306,66.62,1.3120354413986206,-991795.625,23499,0.0007
1.7881393432617188e-07,-20.486255645751953,2178198784.0,1437,480000,333,-798397.49660136,57.03,1.336934208869934,-824802.1875,23999,0.0007
-1.1920928955078125e-07,-20.555524826049805,3494498304.0,1437,490000,340,-670665.33127589,41.24,1.3445320129394531,-939923.8125,24499,0.0007
