rollout/ep_rew_mean,time/total_timesteps,train/actor_loss,time/time_elapsed,time/episodes,rollout/ep_len_mean,train/ent_coef_loss,train/critic_loss,time/fps,train/learning_rate,train/ent_coef,train/n_updates
-5988065.493530559,10000,227989.609375,66,34,256.1470588235294,-6.781247138977051,5060.71923828125,150,0.0003,1.6688920259475708,2474
-5941050.722745809,20000,472514.15625,133,78,236.32051282051282,-11.793010711669922,7215.77490234375,149,0.0003,3.466541051864624,4974
-1679805.06190892,30000,671115.125,201,285,62.38,-22.79254913330078,8396.1064453125,148,0.0003,7.398922920227051,7474
-3082537.1151411897,40000,895147.4375,269,325,111.61,-25.465551376342773,6504.53076171875,148,0.0003,15.04728889465332,9974
-5039041.12341159,50000,1019550.25,338,391,182.61,-1.7936686277389526,10780.7763671875,147,0.0003,22.638845443725586,12474
-3641339.49574809,60000,1162163.0,406,470,153.01,0.9488241076469421,9042.6962890625,147,0.0003,33.038082122802734,14974
-2755103.4019481395,70000,1218484.75,473,562,128.64,-3.966240882873535,11863.6259765625,147,0.0003,38.9483528137207,17474
-4091291.44509245,80000,1302320.25,541,582,176.59,-1.7664998769760132,12795.482421875,147,0.0003,58.06430435180664,19974
-6101888.227261369,90000,1400357.875,608,594,256.37,0.985908031463623,11798.2734375,147,0.0003,63.207977294921875,22474
-8984333.8092396,100000,1460718.75,675,615,361.0,-1.719029188156128,10278.5009765625,148,0.0003,68.676513671875,24974
-10326142.2263893,110000,1540248.75,743,634,408.13,-1.881941318511963,15123.412109375,147,0.0003,105.01991271972656,27474
-12886902.863029681,120000,1594419.875,812,647,509.95,-2.044677734375,16161.3076171875,147,0.0003,142.90554809570312,29974
-13623025.502014263,130000,1641020.125,879,670,540.69,1.145063877105713,18789.3046875,147,0.0003,137.13824462890625,32474
-13278265.46281341,140000,1645957.375,946,690,549.77,2.690868377685547,21303.08984375,147,0.0003,155.4116973876953,34974
-12785318.153309936,150000,1650186.125,1012,705,536.4,-3.263861656188965,14120.5634765625,148,0.0003,174.36203002929688,37474
-8301703.209102269,160000,1660577.0,1080,755,349.43,-1.6736592054367065,22525.896484375,148,0.0003,177.2582244873047,39974
-9763806.882404828,170000,1650767.875,1147,769,409.39,-0.47437769174575806,15301.029296875,148,0.0003,200.7559814453125,42474
-10763389.70970686,180000,1637888.375,1214,781,427.61,-2.0032856464385986,23574.404296875,148,0.0003,189.6732177734375,44974
-12492975.062515002,190000,1716828.625,1281,791,477.28,2.7000272274017334,22646.578125,148,0.0003,173.48533630371094,47474
-12614510.72132388,200000,1702987.375,1348,802,493.86,-0.06862862408161163,14842.6455078125,148,0.0003,184.9190673828125,49974
-12251202.450973326,210000,1751043.25,1415,844,539.16,1.4960622787475586,16059.986328125,148,0.0003,200.0045928955078,52474
-10685184.62652158,220000,1693449.125,1482,869,515.55,1.4830368757247925,14999.685546875,148,0.0003,200.97694396972656,54974
-4421010.5169051895,230000,1673871.5,1550,900,336.67,-0.7091255784034729,24723.796875,148,0.0003,194.21868896484375,57474
-3651367.86504611,240000,1676981.0,1617,950,288.04,1.2236741781234741,21288.3125,148,0.0003,169.01585388183594,59974
-1801969.4080347794,250000,1697315.25,1687,1023,156.08,-1.2602159976959229,16327.173828125,148,0.0003,174.5143280029297,62474
-2139542.05363319,260000,1664166.25,1756,1045,195.23,-4.231222152709961,20370.630859375,148,0.0003,153.52084350585938,64974
-1797451.4788173402,270000,1627157.625,1825,1125,193.87,-0.7485126256942749,13373.060546875,147,0.0003,150.35025024414062,67474
-624599.21883965,280000,1503686.75,1893,1207,113.74,1.0678240060806274,14517.3076171875,147,0.0003,159.2899169921875,69974
-631972.18593819,290000,1409632.875,1962,1295,98.81,-1.2198636531829834,13281.7177734375,147,0.0003,186.47927856445312,72474
-2074326.6118260399,300000,1255407.25,2032,1334,174.17,2.1361231803894043,14673.08203125,147,0.0003,171.0586395263672,74974
-252324.30177131004,310000,1182896.25,2102,1452,87.88,-3.1729512214660645,11675.0517578125,147,0.0003,166.68576049804688,77474
-264995.74582391,320000,1150317.75,2174,1514,125.34,0.919896125793457,13831.734375,147,0.0003,161.8965301513672,79974
-413253.29861741007,330000,1091297.0,2246,1531,196.89,-1.852826714515686,12741.1357421875,146,0.0003,148.24990844726562,82474
-550017.82598105,340000,1019303.875,2316,1543,295.31,1.7507637739181519,11655.86328125,146,0.0003,148.3153839111328,84974
-243658.01274021005,350000,923762.375,2387,1635,189.93,0.8542591333389282,9392.48828125,146,0.0003,152.718505859375,87474
-100394.06628623001,360000,869709.3125,2459,1841,52.35,1.8789950609207153,7622.56689453125,146,0.0003,154.12567138671875,89974
-109065.55064526001,370000,808900.0625,2531,1889,121.73,-1.4660574197769165,7390.74267578125,146,0.0003,154.23927307128906,92474
-113051.92310304001,380000,718767.5625,2605,1898,205.24,-2.324989080429077,6609.4599609375,145,0.0003,149.28724670410156,94974
-117244.55118542998,390000,645234.125,2677,1930,307.12,0.7719525694847107,5980.21875,145,0.0003,143.5975799560547,97474
-118242.0032564,400000,590233.8125,2751,1948,376.67,-1.846253752708435,6922.39453125,145,0.0003,138.9625701904297,99974
-116885.18614837999,410000,535751.5625,2824,1963,457.01,-1.256364107131958,4894.75048828125,145,0.0003,132.91102600097656,102474
-115940.5884237,420000,456458.40625,2897,1973,548.93,0.8911685943603516,6144.484375,144,0.0003,125.00585174560547,104974
-115990.45024238001,430000,407444.59375,2973,1983,631.78,2.4179959297180176,4473.509765625,144,0.0003,118.27564239501953,107474
-112284.60098146001,440000,363590.25,3048,1993,652.49,1.8551397323608398,4697.51416015625,144,0.0003,110.60824584960938,109974
-111791.44401521001,450000,328378.4375,3122,2003,677.47,-0.42834094166755676,4043.06640625,144,0.0003,105.82421875,112474
-107514.53370257001,460000,295334.0625,3198,2018,717.7,-0.49308669567108154,3469.824462890625,143,0.0003,93.46019744873047,114974
-106512.84921116002,470000,260192.71875,3274,2030,779.24,3.5763254165649414,3051.34228515625,143,0.0003,81.89137268066406,117474
-106271.26625892,480000,244490.796875,3350,2059,738.78,0.32086604833602905,3596.957275390625,143,0.0003,74.0230941772461,119974
-121031.20888545,490000,235806.78125,3425,2218,50.42,-2.225590229034424,2999.135498046875,143,0.0003,69.92402648925781,122474
-121765.72594830999,500000,198348.046875,3500,2393,63.04,-2.3816308975219727,3068.7578125,142,0.0003,69.21730041503906,124974
-103012.9329383,510000,174912.0,3575,2635,37.6,2.7601964473724365,2606.802001953125,142,0.0003,70.01654815673828,127474
-97516.18442983998,520000,168488.703125,3651,2850,48.68,3.371155261993408,2594.3388671875,142,0.0003,68.4100112915039,129974
-99778.52114451998,530000,171176.953125,3726,2870,112.25,-2.7613301277160645,2723.982666015625,142,0.0003,66.00299835205078,132474
-216860.89492628002,540000,155442.875,3803,2893,220.43,-0.8952375650405884,2611.4833984375,141,0.0003,58.027740478515625,134974
-214157.14867397,550000,146910.703125,3878,2952,287.25,-2.790700674057007,2507.586669921875,141,0.0003,54.2291145324707,137474
-210554.74733047,560000,112510.6796875,3955,2964,343.46,2.3828582763671875,2411.0009765625,141,0.0003,52.95413589477539,139974
-169420.2444486,570000,114883.546875,4031,2976,371.96,3.82582426071167,2485.711669921875,141,0.0003,51.96244430541992,142474
-84189.86920846999,580000,127108.5,4107,2999,386.48,0.8060745596885681,2387.345703125,141,0.0003,50.92700958251953,144974
-92502.67115334001,590000,109216.9765625,4183,3113,92.84,1.4667084217071533,2421.179443359375,141,0.0003,47.8753547668457,147474
-91856.82345141997,600000,112657.21875,4259,3201,94.61,-1.7696177959442139,2456.578857421875,140,0.0003,47.15544891357422,149974
-96363.44499653,610000,110716.4453125,4335,3262,154.93,0.5971047878265381,2154.915771484375,140,0.0003,45.00128936767578,152474
-92370.18587947,620000,83704.8984375,4410,3382,69.85,0.8834468722343445,2512.18359375,140,0.0003,43.633243560791016,154974
-95198.44362568,630000,96170.1875,4487,3571,41.45,1.005122423171997,2267.332763671875,140,0.0003,42.34532165527344,157474
-95894.25705349,640000,87782.625,4563,3724,65.6,-1.3111294507980347,2084.107421875,140,0.0003,39.951080322265625,159974
-98785.52473750997,650000,90076.2578125,4638,3800,107.64,-2.247995615005493,2166.837890625,140,0.0003,38.87465286254883,162474
-96522.21774255998,660000,73183.7265625,4714,3882,131.51,-0.036979854106903076,2164.739013671875,139,0.0003,37.829917907714844,164974
-92041.88892286,670000,83585.828125,4789,3914,182.26,-1.9705586433410645,2307.648681640625,139,0.0003,35.249786376953125,167474
-89131.27815887,680000,69966.109375,4865,3924,251.14,2.412811279296875,2004.130859375,139,0.0003,34.006492614746094,169974
-93354.47735057,690000,86359.09375,4942,4055,51.58,-2.2851552963256836,2645.353515625,139,0.0003,31.633771896362305,172474
-99550.30927436,700000,61889.33203125,5019,4359,40.39,0.6874279975891113,2497.619384765625,139,0.0003,33.36540985107422,174974
-100025.73971051,710000,64127.7265625,5095,4496,80.06,2.1588308811187744,2133.713134765625,139,0.0003,32.9796142578125,177474
-99142.99388430001,720000,70579.7265625,5173,4561,101.71,-0.739229142665863,2061.39501953125,139,0.0003,27.626056671142578,179974
-96643.17315487997,730000,62694.515625,5250,4731,45.04,-0.44107407331466675,2412.470703125,139,0.0003,26.461328506469727,182474
-99839.55153820003,740000,74945.1640625,5327,4902,42.71,-1.9008326530456543,2310.13720703125,138,0.0003,29.123525619506836,184974
-101840.17422536001,750000,60217.640625,5404,5017,71.48,-0.8026686310768127,1945.0728759765625,138,0.0003,29.761005401611328,187474
-100830.53639328,760000,69514.21875,5481,5035,163.49,0.5298405289649963,1951.1910400390625,138,0.0003,27.92530059814453,189974
-136863.56939184002,770000,61933.74609375,5558,5074,258.04,1.4887983798980713,1940.149169921875,138,0.0003,27.036319732666016,192474
-186319.74573164003,780000,67810.5234375,5636,5093,333.43,-1.421863079071045,1892.7734375,138,0.0003,22.382436752319336,194974
-172086.53645254005,790000,51194.96875,5714,5153,273.21,2.5717885494232178,2168.66357421875,138,0.0003,24.531326293945312,197474
-102438.83694912,800000,61287.484375,5790,5288,77.62,0.28957420587539673,1997.5252685546875,138,0.0003,24.25861358642578,199974
-117410.59880803,810000,55123.98046875,5866,5317,173.55,3.6075403690338135,1970.395263671875,138,0.0003,20.48162078857422,202474
-121166.29251172999,820000,53013.16796875,5943,5341,253.11,-0.42039215564727783,2081.758056640625,137,0.0003,18.518434524536133,204974
-116551.59990608001,830000,61688.92578125,6021,5377,339.49,0.7618295550346375,2020.5819091796875,137,0.0003,18.526212692260742,207474
-94425.00018991,840000,56511.375,6099,5423,278.61,-0.9043242931365967,1810.3319091796875,137,0.0003,20.219419479370117,209974
-96944.0351162,850000,58082.81640625,6176,5440,293.87,2.0306100845336914,2311.089599609375,137,0.0003,19.37425994873047,212474
-96745.63980566,860000,52285.0546875,6253,5589,35.22,3.3429512977600098,1896.030029296875,137,0.0003,18.56588363647461,214974
-96470.13245823,870000,64472.4140625,6330,5862,36.94,-2.2154364585876465,1856.252197265625,137,0.0003,18.521936416625977,217474
-98552.22133271002,880000,62887.375,6405,5913,89.73,-1.5372862815856934,1593.7099609375,137,0.0003,17.799633026123047,219974
-94096.01773254,890000,46806.390625,6484,5925,206.53,0.048516929149627686,1664.5894775390625,137,0.0003,16.842588424682617,222474
-93003.34668326,900000,50414.36328125,6561,5933,283.56,2.961376428604126,2283.736572265625,137,0.0003,17.235578536987305,224974
-88777.02195987999,910000,54637.1796875,6638,5945,398.77,-2.084906578063965,2283.533203125,137,0.0003,16.1694393157959,227474
-86352.80255432,920000,57296.046875,6715,6018,378.7,1.6245923042297363,1850.8399658203125,136,0.0003,14.664538383483887,229974
-96598.89184354,930000,57043.9453125,6793,6098,97.67,-1.2886207103729248,1579.6904296875,136,0.0003,14.849958419799805,232474
-91686.23523888,940000,55834.6328125,6871,6109,179.88,0.47228726744651794,1761.7606201171875,136,0.0003,15.176132202148438,234974
-91639.41254501003,950000,43852.4140625,6948,6135,277.4,1.305560827255249,1529.66357421875,136,0.0003,13.583077430725098,237474
-97255.68827314001,960000,61199.125,7025,6158,344.64,-2.6711668968200684,1728.1243896484375,136,0.0003,13.39019775390625,239974
-98993.62190338998,970000,42728.0078125,7101,6179,432.11,-0.32406145334243774,1721.475830078125,136,0.0003,14.03742504119873,242474
-95297.75706114998,980000,45336.3671875,7179,6192,514.77,4.189698219299316,1470.48193359375,136,0.0003,13.462722778320312,244974
-94788.74730454001,990000,55753.89453125,7256,6205,526.09,0.5911376476287842,1740.327392578125,136,0.0003,13.675087928771973,247474
-95188.95077281998,1000000,45615.4453125,7333,6214,575.53,2.885648250579834,1709.6524658203125,136,0.0003,12.755363464355469,249974
