rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,train/iterations,train/step_size,train/learning_rate,rollout/return_std,train/delta_std
-19982422.5491795,3,1000.0,10000,3116,,,,,
-19962140.957867004,6,1000.0,20000,3171,,,,,
-17459011.29240425,9,876.125,30000,3181,,,,,
-17964180.8004646,12,900.9,40000,3195,,,,,
-18421370.223189153,15,923.7692307692307,50000,3211,,,,,
-18602786.700149,18,933.9333333333333,60000,3225,,,,,
-20121416.996133998,21,1000.0,70000,3233,0,5.041998485388888e-10,0.02,4958351.0,0.05
-19958057.948538996,24,1000.0,80000,3241,,,,,
-19951515.738192428,27,1000.0,90000,3248,,,,,
-19957953.428235777,30,1000.0,100000,3253,,,,,
-19973261.7742445,33,1000.0,110000,3253,,,,,
-19977236.934876356,37,1000.0,120000,3242,,,,,
-19915048.331107,40,1000.0,130000,3243,1,1.9911492898927463e-08,0.02,125555.625,0.05
-14987458.332771499,43,752.5,140000,3238,,,,,
-17084794.451386143,46,858.5714285714286,150000,3232,,,,,
-17736592.52739533,49,890.0,160000,3227,,,,,
-18316016.34089808,52,917.5,170000,3221,,,,,
-18549394.83734,55,929.2857142857143,180000,3215,,,,,
-19974989.315636,59,1000.0,190000,3213,2,5.039140771323503e-10,0.02,4961163.5,0.05
-19978105.465795998,62,1000.0,200000,3208,,,,,
-17158500.148219712,65,858.2857142857143,210000,3204,,,,,
-17780147.447662223,68,889.7777777777778,220000,3201,,,,,
-18331245.49379417,71,917.3333333333334,230000,3199,,,,,
-18541135.926120214,75,929.1428571428571,240000,3199,,,,,
-10079992.2048065,78,507.5,250000,3197,3,5.033108929630714e-10,0.02,4967108.5,0.05
-14977049.722507,81,753.75,260000,3195,,,,,
-17108921.638387572,84,859.2857142857143,270000,3194,,,,,
-17748211.43825989,87,890.5555555555555,280000,3192,,,,,
-15709082.473474428,90,789.1428571428571,290000,3190,,,,,
-10087878.495420499,94,504.5,300000,3188,4,2.825323308641714e-10,0.02,8848545.0,0.05
-13364682.892587999,97,669.5,310000,3186,,,,,
-13391352.456038667,100,669.3333333333334,320000,3185,,,,,
-15057852.45049475,103,752.0,330000,3183,,,,,
-15775217.068753285,106,787.4285714285714,340000,3182,,,,,
-9974957.598722499,110,503.5,350000,3180,5,3.110460500277412e-10,0.02,8037395.5,0.05
-12018528.555499598,113,605.4,360000,3179,,,,,
-15020709.642849624,116,753.375,370000,3177,,,,,
-16011765.818904698,119,802.7,380000,3177,,,,,
-14676718.402584,122,735.8666666666667,390000,3176,,,,,
-20118494.30509,125,1000.0,400000,3175,6,2.8155139331076384e-10,0.02,8879373.0,0.05
-16078592.794917399,129,802.2,410000,3173,,,,,
-17173718.37327057,132,858.7142857142857,420000,3173,,,,,
-16413480.472903544,135,819.8181818181819,430000,3173,,,,,
-16969963.642406765,138,847.5384615384615,440000,3172,,,,,
-19996996.488833,141,1000.0,450000,3171,7,3.111216839712938e-10,0.02,8035441.0,0.05
-15033760.0682945,145,752.75,460000,3171,,,,,
-14997784.230154749,148,752.5,470000,3170,,,,,
-14547266.738590907,151,729.7272727272727,480000,3170,,,,,
-15691590.505260712,154,787.6428571428571,490000,3170,,,,,
,157,,500000,3169,8,3.126425507371522e-10,0.02,7996352.0,0.05
-19998572.460823,160,1000.0,510000,3169,,,,,
-19965816.038393,164,1000.0,520000,3168,,,,,
-16021240.298237199,167,801.5,530000,3168,,,,,
-16687704.346925082,170,834.5833333333334,540000,3167,,,,,
-102926.230112,173,8.0,550000,3167,9,3.1148952861492774e-10,0.02,8025952.0,0.05
-10032115.021843,176,503.75,560000,3168,,,,,
-14277188.201088285,179,716.4285714285714,570000,3168,,,,,
-15552369.663221223,183,779.4444444444445,580000,3168,,,,,
-13322498.019950133,186,669.0,590000,3168,,,,,
-19927136.396934,189,1000.0,600000,3168,10,2.6347721227004683e-10,0.02,9488487.0,0.05
-15949761.213498598,192,802.4,610000,3168,,,,,
-12026258.2342736,195,604.0,620000,3168,,,,,
-13852498.730000077,198,695.3846153846154,630000,3168,,,,,
,201,,640000,3169,11,2.633091245041186e-10,0.02,9494544.0,0.05
-6068809.8287029,204,306.0,650000,3170,,,,,
-8378772.4353669165,208,421.6666666666667,660000,3172,,,,,
,211,,670000,3173,12,2.4437393775222915e-10,0.02,10230223.0,0.05
-20016086.7361625,214,1000.0,680000,3174,,,,,
-16702421.622987332,217,834.6666666666666,690000,3175,,,,,
-17526194.904942997,220,876.0,700000,3175,,,,,
-18182107.127255816,223,909.8181818181819,710000,3176,,,,,
,226,,720000,3178,13,2.8131488805094307e-10,0.02,8886839.0,0.05
-15039736.60533775,229,752.0,730000,3179,,,,,
-16676616.593289832,232,834.6666666666666,740000,3181,,,,,
-17779451.760312002,235,889.7777777777778,750000,3182,,,,,
-18196113.733669367,238,909.8181818181819,760000,3184,,,,,
-17353332.6561138,241,867.7333333333333,770000,3185,,,,,
-10016616.023719499,244,503.5,780000,3186,14,3.674886228655083e-10,0.02,6802932.0,0.05
-16026655.413250398,247,801.4,790000,3187,,,,,
-17128807.923793998,250,858.1428571428571,800000,3187,,,,,
-15018543.70062275,254,751.6666666666666,810000,3187,,,,,
-14691108.450867064,257,735.5333333333333,820000,3188,,,,,
-19761175.5529125,260,1000.0,830000,3189,15,2.8120719641755443e-10,0.02,8890242.0,0.05
-13261303.233359331,263,668.6666666666666,840000,3190,,,,,
-13976733.9932677,266,701.8,850000,3191,,,,,
-13795023.535450846,269,694.6153846153846,860000,3192,,,,,
,272,,870000,3193,16,2.821294031729593e-10,0.02,8861182.0,0.05
-13377191.521210333,275,668.6666666666666,880000,3193,,,,,
-16705244.614729667,278,834.3333333333334,890000,3194,,,,,
-17505497.31247125,281,875.75,900000,3195,,,,,
-18164369.541354362,284,909.6363636363636,910000,3196,,,,,
-17146799.28640207,287,858.0,920000,3197,,,,,
-99006.446166,290,5.0,930000,3198,17,3.6794012281404775e-10,0.02,6794583.5,0.05
-15043590.620150499,293,751.25,940000,3198,,,,,
-16716739.641828334,296,834.1666666666666,950000,3199,,,,,
-14592751.571177727,299,728.9090909090909,960000,3200,,,,,
-15416705.701526461,302,770.6153846153846,970000,3201,,,,,
,305,,980000,3203,18,3.114981328433686e-10,0.02,8025730.0,0.05
-13291236.402987333,308,669.0,990000,3204,,,,,
-12527842.574564375,311,628.875,1000000,3205,,,,,
-14031504.0997177,314,703.1,1010000,3206,,,,,
