train/n_updates,train/learning_rate,train/explained_variance,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/policy_loss,train/value_loss,time/total_timesteps,time/fps,train/std
124,0.0001,-6.198883056640625e-05,-8.52639102935791,-688130.1170931539,347.2307692307692,2,-61988.57421875,87057768.0,10000,3394,1.0021064281463623
249,0.0001,-1.728534698486328e-05,-8.52269172668457,-785230.529130409,426.45454545454544,5,-19373.318359375,31912156.0,20000,3493,1.0014526844024658
374,0.0001,-2.944469451904297e-05,-8.52463436126709,-795012.0481489848,443.3939393939394,8,-100266.6953125,289274944.0,30000,3532,1.0019065141677856
499,0.0001,-1.6927719116210938e-05,-8.519550323486328,-784087.3797575359,458.9047619047619,11,-45002.2421875,62336280.0,40000,3555,1.0009357929229736
624,0.0001,-7.152557373046875e-07,-8.52071475982666,-751846.6634132,457.23,14,-57475.1328125,164161728.0,50000,3563,1.0011965036392212
749,0.0001,-4.172325134277344e-06,-8.52376937866211,-708328.12539721,461.82,16,-70025.984375,205588384.0,60000,3561,1.0017030239105225
874,0.0001,9.5367431640625e-07,-8.519878387451172,-646205.66591926,437.75,19,-33512.3046875,41734964.0,70000,3561,1.000960350036621
999,0.0001,0.0,-8.521712303161621,-582874.5448708301,404.5,22,-99398.671875,630856704.0,80000,3564,1.0013853311538696
1124,0.0001,-2.6226043701171875e-06,-8.519397735595703,-570315.05784064,404.71,25,-43696.00390625,58448632.0,90000,3565,1.0009698867797852
1249,0.0001,1.1920928955078125e-07,-8.521323204040527,-499626.41802775004,361.44,28,-34752.2421875,84534744.0,100000,3566,1.0012480020523071
1374,0.0001,0.0,-8.519237518310547,-454421.90160969,339.38,30,-44867.65234375,56144888.0,110000,3566,1.0009711980819702
1499,0.0001,5.960464477539063e-08,-8.517284393310547,-426998.02416112006,333.07,33,-62442.04296875,95441176.0,120000,3566,1.0005911588668823
1624,0.0001,-2.384185791015625e-07,-8.510440826416016,-382069.0217529601,304.25,36,-40110.1328125,59598016.0,130000,3564,0.9994049072265625
1749,0.0001,-4.76837158203125e-07,-8.50869083404541,-329423.42976150004,267.73,39,-33306.05078125,57557152.0,140000,3564,0.9991363883018494
1874,0.0001,0.0,-8.513213157653809,-330033.93022012,274.71,42,-46169.40234375,333438208.0,150000,3566,1.000007152557373
1999,0.0001,0.0,-8.509564399719238,-309544.96896682,253.53,44,-75298.515625,166038448.0,160000,3566,0.9993388056755066
2124,0.0001,0.0,-8.508410453796387,-286632.45672859997,237.02,47,-16768.669921875,18621620.0,170000,3566,0.9991393685340881
2249,0.0001,-1.1920928955078125e-07,-8.504735946655273,-280907.06711445,232.96,50,-81032.1015625,550715008.0,180000,3565,0.9985198378562927
2374,0.0001,-1.1920928955078125e-07,-8.501567840576172,-261187.82099247002,217.52,53,-60832.45703125,85513616.0,190000,3563,0.9980018734931946
