train/loss,train/std,train/n_updates,train/clip_fraction,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/approx_kl,time/time_elapsed,time/fps,train/value_loss,train/learning_rate
3349613312.0,1.0057158470153809,10,0.07999267578125,-21.32929148823023,-213732.62017941996,28.31,10000,-0.01232538122058031,0.2,-2.7418136596679688e-06,0.00858181,10,950,6711101647.6,0.0017
2534393088.0,1.0117900371551514,20,0.041748046875,-21.416604234278203,-208402.07186162003,28.33,20000,-0.008213099498607334,0.2,1.1920928955078125e-07,0.005906048,20,955,5993969370.8,0.0017
2783977728.0,1.0180610418319702,30,0.0249267578125,-21.508879667520524,-192103.13341662,26.19,30000,-0.005891451466777653,0.2,0.0,0.0049208608,31,957,6095417141.2,0.0017
3202077952.0,1.024611473083496,40,0.0147216796875,-21.602848948538302,-228480.0177933,30.72,40000,-0.004565550526967855,0.2,1.1920928955078125e-07,0.0046296204,41,958,6073001961.2,0.0017
2886247168.0,1.038195252418518,60,0.010009765625,-21.799078266322613,-203980.78998608998,28.24,50000,-0.00456452815724333,0.2,0.0,0.0034651975,56,882,5895483641.2,0.0017
3407258112.0,1.0447136163711548,70,0.02225341796875,-21.89517039358616,-185349.90544767998,25.55,60000,-0.0059625608681017185,0.2,0.0,0.00495647,67,893,6190239071.6,0.0017
2980592128.0,1.052238941192627,80,0.0177490234375,-21.996864299476147,-192249.67313114004,26.71,70000,-0.004926146787511243,0.2,1.1920928955078125e-07,0.0047305543,77,902,5731881893.6,0.0017
2876696320.0,1.0589920282363892,90,0.01290283203125,-22.097293882071973,-181172.65348168995,26.52,80000,-0.004253088756740908,0.2,0.0,0.004242206,87,909,5740215818.0,0.0017
2549428736.0,1.0674936771392822,100,0.02169189453125,-22.206507185101508,-181862.90539105996,26.3,90000,-0.005740102994514018,0.2,2.384185791015625e-07,0.0051040906,98,914,5405417080.8,0.0017
2913434368.0,1.0826910734176636,120,0.01148681640625,-22.426520627737045,-158339.89259507,22.09,100000,-0.004278579087076651,0.2,0.0,0.0039313007,113,880,5310706385.0,0.0017
2552527360.0,1.089953899383545,130,0.01534423828125,-22.527480947971345,-169761.14938116004,23.59,110000,-0.00422234250982001,0.2,0.0,0.0040942803,124,886,5392820454.8,0.0017
2788377600.0,1.0992553234100342,140,0.01455078125,-22.641980190575122,-189500.7550883,28.17,120000,-0.004618444540574274,0.2,-1.1920928955078125e-07,0.0044092853,134,890,5254678064.4,0.0017
