train/approx_kl,train/loss,train/n_updates,train/policy_gradient_loss,train/clip_fraction,time/total_timesteps,train/learning_rate,time/time_elapsed,train/entropy_loss,time/fps,train/clip_range,train/explained_variance,train/std,rollout/ep_len_mean,train/value_loss,rollout/ep_rew_mean
0.0007750145,2470614784.0,10,-0.0018456876434356673,2.44140625e-05,10000,0.0003,5,-12.770680026710034,1685,0.2,1.1920928955078125e-07,1.0000332593917847,80.28,5091414856.6,-376643.22148038
0.0008693793,2283638272.0,20,-0.0019076017351835617,0.0,20000,0.0003,11,-12.770106121897697,1704,0.2,0.0,0.9998813271522522,71.35,4903992045.0,-314349.97427395004
0.00036731304,2321488384.0,30,-0.0011092184271547013,0.0,30000,0.0003,17,-12.768930566310882,1712,0.2,0.0,0.9997844696044922,87.2,4867556822.0,-370577.23954466
0.00081172615,2311900928.0,40,-0.0017240167362615466,2.44140625e-05,40000,0.0003,23,-12.768106401711702,1715,0.2,1.1920928955078125e-07,0.9996944069862366,79.63,4476132243.8,-347591.86913124
0.000620858,2034280320.0,60,-0.0013971331380162155,0.0,50000,0.0003,31,-12.767439415305853,1571,0.2,-2.384185791015625e-07,0.9995871782302856,66.74,4586714648.8,-287023.08741485
0.000545257,2181825792.0,70,-0.0014518585201585665,0.0,60000,0.0003,37,-12.76773568317294,1594,0.2,-1.1920928955078125e-07,0.9998080730438232,83.23,4454936483.2,-344184.63373053
0.0005281296,2309691392.0,80,-0.0013887992228774238,0.0,70000,0.0003,43,-12.76699294447899,1612,0.2,1.1920928955078125e-07,0.9994185566902161,76.55,4463160605.0,-323759.17423634994
0.0001676791,2361749504.0,90,-0.0008707619836059166,0.0,80000,0.0003,49,-12.766283632814885,1625,0.2,0.0,0.9996556043624878,73.74,4517078588.6,-323333.8752444
0.0002855466,2144577024.0,100,-0.0011263850695286237,0.0,90000,0.0003,55,-12.765833692252636,1635,0.2,0.0,0.9993206858634949,70.53,4770529383.8,-280286.83049202
0.00020576092,1843966976.0,120,-0.0009592391738806327,0.0,100000,0.0003,63,-12.759841088205576,1573,0.2,5.960464477539063e-08,0.9986395239830017,71.54,4251822329.2,-300132.68728111
0.0003961962,2231383808.0,130,-0.0013732604346841982,0.0,110000,0.0003,69,-12.755842841416598,1586,0.2,-1.1920928955078125e-07,0.9981176853179932,67.96,4502173280.6,-287503.48642278
0.00025723298,2189399808.0,140,-0.0008888968117389595,0.0,120000,0.0003,75,-12.753726702183485,1596,0.2,0.0,0.9981787204742432,64.23,4216818118.4,-265829.23004527
0.0002719598,2282905600.0,150,-0.0009151603910140694,0.0,130000,0.0003,80,-12.753864800930023,1605,0.2,1.7881393432617188e-07,0.9981443881988525,64.73,4112630667.0,-264167.37473781995
0.0005411651,2003090560.0,170,-0.0013196503541621496,0.0,140000,0.0003,89,-12.750125581771135,1564,0.2,0.0,0.9976290464401245,73.22,4054673296.4,-298623.93465506996
0.00045034807,2219699200.0,180,-0.001057796462191618,0.0,150000,0.0003,95,-12.747877892851829,1573,0.2,0.0,0.9973557591438293,63.8,4104963756.6,-255779.72895166
0.0004255455,1964105472.0,190,-0.0010933326246231445,0.0,160000,0.0003,101,-12.745924478024245,1582,0.2,-1.1920928955078125e-07,0.9971933364868164,61.98,3801515722.2,-252425.54584950997
0.00039996623,1996864000.0,200,-0.0010860977445190656,0.0,170000,0.0003,106,-12.74429674372077,1589,0.2,0.0,0.9970015287399292,69.3,3931249516.2,-274337.41966517
0.00071661867,1867396992.0,210,-0.0015916162796202117,0.0,180000,0.0003,112,-12.741254357993602,1596,0.2,-1.1920928955078125e-07,0.99653160572052,61.5,3903133369.8,-246645.02352706
0.00081933377,2073117184.0,230,-0.0015353239688010944,0.0,190000,0.0003,121,-12.735527611523867,1566,0.2,0.0,0.9958926439285278,65.99,4099401300.8,-268723.84967603
0.00045457442,1593366400.0,240,-0.0011114649019873467,0.0,200000,0.0003,127,-12.732206296920776,1573,0.2,-1.1920928955078125e-07,0.9956352710723877,61.97,3708970830.2,-248936.84442789998
0.00024296052,2219494656.0,250,-0.0008486017958603042,0.0,210000,0.0003,132,-12.729783476144075,1580,0.2,1.7881393432617188e-07,0.9953482151031494,65.23,3900812121.6,-265178.28790250997
0.00028152834,1948388864.0,260,-0.0009624478552723303,0.0,220000,0.0003,138,-12.72633080855012,1585,0.2,5.960464477539063e-08,0.9948798418045044,65.28,3727853723.4,-255758.41357248
0.00030516705,2006758400.0,280,-0.0008518022979842499,0.0,230000,0.0003,147,-12.723929180949927,1561,0.2,0.0,0.9947695136070251,57.28,3782113866.4,-234826.97159338
0.00021547583,1647024128.0,290,-0.0008765561498876196,0.0,240000,0.0003,153,-12.722766406089068,1567,0.2,0.0,0.9946829676628113,61.89,3782192813.8,-243184.97432409
0.00044713583,1441328768.0,300,-0.0011590112047997537,0.0,250000,0.0003,158,-12.720968635380268,1573,0.2,5.960464477539063e-08,0.9943617582321167,54.41,3492983383.8,-224997.38789433
0.00038620364,1729965312.0,310,-0.0010204617618910562,0.0,260000,0.0003,164,-12.719130946695804,1578,0.2,1.1920928955078125e-07,0.9942651391029358,65.3,3819219303.0,-255944.45785638
0.00021150176,1866827904.0,320,-0.0007770126346258622,0.0,270000,0.0003,170,-12.717366299033165,1582,0.2,0.0,0.9939782619476318,64.6,3718713678.0,-256508.03083163
0.00059220416,1394591360.0,340,-0.0012183520550024696,0.0,280000,0.0003,179,-12.712182027101516,1563,0.2,-2.384185791015625e-07,0.9933578968048096,59.32,3642675716.8,-224673.356206
0.0007519869,1581492224.0,350,-0.0015236176664984668,0.0,290000,0.0003,184,-12.709104474633932,1568,0.2,1.1920928955078125e-07,0.9930773973464966,54.13,3669725115.4,-210268.34547761997
0.00015357413,1659596800.0,360,-0.0004633502732758643,0.0,300000,0.0003,190,-12.707531817257404,1572,0.2,0.0,0.9930083751678467,64.27,3478848145.4,-239011.92099413
0.0004837683,1803455360.0,370,-0.0011195630730981066,0.0,310000,0.0003,196,-12.706856360286475,1576,0.2,0.0,0.992909848690033,59.37,3541167718.6,-222383.08989993
0.0003238978,1641980928.0,390,-0.0008837898549245438,0.0,320000,0.0003,205,-12.700543089956046,1559,0.2,1.1920928955078125e-07,0.9922377467155457,59.82,3565231874.2,-231722.66310904
