rollout/ep_len_mean,train/n_updates,train/ent_coef_loss,train/learning_rate,train/ent_coef,time/fps,train/critic_loss,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/actor_loss,eval/mean_reward,eval/mean_ep_length
24.75,15,-0.05610419064760208,0.001,0.9959984421730042,273,18596.9765625,224,4,-1913.63634375,0,85.920166015625,,
39.375,100,-0.2829287350177765,0.001,0.9684631824493408,324,9580.732421875,904,8,-3562.6111758750003,2,66.97601318359375,,
50.916666666666664,157,-0.3292112946510315,0.001,0.9521254301071167,327,8069.4345703125,1360,12,-5103.4784902500005,4,183.84896850585938,,
75.1875,204,0.030806995928287506,0.001,0.9446675777435303,329,9063.09375,1736,16,-6851.36549425,5,-21.50787353515625,,
78.75,230,0.11998578161001205,0.001,0.9435299634933472,333,9221.25,1944,20,-7470.570514099998,5,-83.80268859863281,,
79.5,249,0.2138277292251587,0.001,0.943814754486084,331,7579.50439453125,2096,24,-7751.579284333333,6,-103.69125366210938,,
74.28571428571429,290,0.24481767416000366,0.001,0.9471792578697205,334,7959.40869140625,2424,28,-7232.1272499642855,7,-246.36366271972656,,
68.25,318,0.31728774309158325,0.001,0.9509856700897217,333,7853.921875,2648,32,-6681.136362124999,7,-202.94187927246094,,
69.63888888888889,342,0.3775867223739624,0.001,0.956121563911438,335,11718.77734375,2840,36,-6820.835151583333,8,-73.81741333007812,,
74.3,414,0.18309183418750763,0.001,0.9762986898422241,335,15358.822265625,3416,40,-7232.1522711,10,-108.68245697021484,,
79.5909090909091,510,-0.06364522874355316,0.001,1.007279634475708,337,6971.7431640625,4184,44,-7834.270629522726,12,106.1150131225586,,
90.79166666666667,687,-0.4663960933685303,0.001,1.0760802030563354,338,4980.9951171875,5600,48,-8517.421525,16,260.87896728515625,,
96.23076923076923,810,-0.40393057465553284,0.001,1.1070868968963623,338,2995.3857421875,6584,52,-9017.995028365385,19,293.56854248046875,,
105.89285714285714,853,-0.3423272967338562,0.001,1.1149194240570068,338,2856.52685546875,6928,56,-9177.213137482144,20,243.9345703125,,
112.9,899,-0.16808386147022247,0.001,1.1206914186477661,338,2779.0048828125,7296,60,-9339.0062946,21,302.5020446777344,,
111.078125,969,-0.27683427929878235,0.001,1.1275569200515747,338,5148.41796875,7856,64,-8958.78207946875,23,298.03424072265625,,
110.29411764705883,991,-0.24544572830200195,0.001,1.1301501989364624,338,4235.52490234375,8032,68,-8716.322448897059,23,324.5881042480469,,
105.05555555555556,1029,-0.22955137491226196,0.001,1.1337428092956543,338,4620.80859375,8336,72,-8283.098595027777,24,324.3953857421875,,
104.09210526315789,1165,0.13927127420902252,0.001,1.1397534608840942,338,4895.3828125,9424,76,-8072.128672368422,27,399.0126647949219,,
104.05,1203,0.133590430021286,0.001,1.138438105583191,338,3882.0615234375,9728,80,-7868.315232012499,28,355.88299560546875,,
104.23170731707317,1237,0.1597115397453308,0.001,1.136595368385315,338,3188.17724609375,10000,82,-7766.368568743901,29,304.317138671875,,
,,,,,,,10000,,,,,-39614.7669626,617.4
102.86904761904762,1287,0.1104932576417923,0.001,1.1341588497161865,293,7845.32080078125,10400,84,-7621.1821682857135,35,380.0951232910156,,
108.52272727272727,1461,0.19662703573703766,0.001,1.1238714456558228,294,2819.503662109375,11792,88,-7664.037250795454,40,330.3125305175781,,
122.93478260869566,1498,0.13259969651699066,0.001,1.1211504936218262,295,7186.865234375,12088,92,-7906.1555158043475,40,408.8916320800781,,
125.58333333333333,1553,0.13268527388572693,0.001,1.1164528131484985,296,3748.6015625,12528,96,-7857.514365072918,42,344.143798828125,,
127.91,1717,0.22849373519420624,0.001,1.0963369607925415,301,2097.16748046875,13840,100,-7643.161553490001,45,438.9468078613281,,
139.03,1882,0.17992104589939117,0.001,1.0715659856796265,304,1735.972412109375,15160,104,-7918.641593289999,49,383.63470458984375,,
144.19,1910,0.19258779287338257,0.001,1.0664892196655273,304,2517.80908203125,15384,108,-7869.296173710001,50,372.1788330078125,,
142.11,1952,0.1695224940776825,0.001,1.0579816102981567,305,2148.44921875,15720,112,-7587.119166060001,51,440.8126525878906,,
139.01,2024,0.10365721583366394,0.001,1.0439296960830688,306,1919.3125,16296,116,-7168.799109020001,53,402.8226318359375,,
143.74,2158,0.029571298509836197,0.001,1.0234911441802979,309,9656.4033203125,17368,120,-7076.349951590001,56,368.079345703125,,
148.49,2201,0.03778723627328873,0.001,1.0177775621414185,309,1891.747802734375,17712,124,-6888.448163850001,57,426.93280029296875,,
154.78,2315,0.0022468853276222944,0.001,1.0009772777557373,311,1546.5577392578125,18624,128,-6955.251141809998,59,427.29095458984375,,
159.85,2333,-0.002536485902965069,0.001,0.9981396794319153,311,1874.1805419921875,18768,132,-6952.181602019999,60,460.18115234375,,
162.86,2368,-0.011264557018876076,0.001,0.9927966594696045,311,2423.30859375,19048,136,-6764.430044779999,61,440.09613037109375,,
160.58,2416,-0.03487163037061691,0.001,0.9853371381759644,312,1407.6015625,19432,140,-6397.98616219,62,414.94683837890625,,
160.77,2487,-0.075162872672081,0.001,0.9730184674263,312,1203.563720703125,20000,142,-6296.045660499999,63,460.02801513671875,,
,,,,,,,20000,,,,,-11571.9659602,744.4
159.6,2551,-0.12170174717903137,0.001,0.9595643281936646,287,2033.90869140625,20512,144,-5985.371957490001,71,509.3432922363281,,
160.95,2662,-0.16003036499023438,0.001,0.937476634979248,289,1598.3485107421875,21400,148,-5518.605711460001,73,513.677734375,,
159.58,2701,-0.18624235689640045,0.001,0.9302955269813538,287,1635.14013671875,21712,152,-5033.309148910001,75,491.9800720214844,,
157.19,2782,-0.17584215104579926,0.001,0.9151607155799866,288,1723.53759765625,22360,156,-4731.97163039,77,480.8175048828125,,
