train/critic_loss,time/total_timesteps,train/ent_coef_loss,time/fps,train/n_updates,time/time_elapsed,train/actor_loss,train/learning_rate,train/ent_coef,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes
5267.4169921875,10000,3.125225067138672,110,2474,90,274870.5625,0.0064,39.716102600097656,39.09,-1432477.2155908505,597
6083.8232421875,20000,-5.8219475746154785,109,4974,182,293941.09375,0.0064,61.39978790283203,2.31,-114167.90543033002,3923
5701.08349609375,30000,-0.47778189182281494,108,7474,277,331504.40625,0.0064,39.656436920166016,2.01,-104727.06637085,7359
7894.0966796875,40000,-2.287771701812744,107,9974,373,315013.34375,0.0064,56.42176818847656,2.29,-109826.89774639998,11027
5774.28759765625,50000,4.027792453765869,106,12474,469,252986.09375,0.0064,60.604644775390625,2.04,-103147.74444521,15702
5466.650390625,60000,-1.5883395671844482,104,14974,572,283739.0625,0.0064,53.91201400756836,2.27,-105073.92790668999,19077
3860.326416015625,70000,-2.1152050495147705,104,17474,667,306434.40625,0.0064,44.041534423828125,2.08,-103389.72370258,21400
3100.951904296875,80000,1.4532759189605713,104,19974,766,236771.28125,0.0064,43.4592170715332,12.14,-504097.84118546994,23959
4062.510986328125,90000,1.5199860334396362,104,22474,864,245375.9375,0.0064,36.54045104980469,2.51,-105251.04924768001,26355
3133.712890625,100000,1.4453750848770142,104,24974,958,263012.625,0.0064,25.63048553466797,3.12,-109103.62943523,29212
1865.8399658203125,110000,-0.2849871516227722,104,27474,1051,303817.625,0.0064,23.697708129882812,3.14,-109465.86057647,30015
3521.842529296875,120000,1.521500587463379,104,29974,1148,397081.34375,0.0064,22.787803649902344,3.29,-112129.46819209999,30209
1868.6202392578125,130000,-7.288642406463623,105,32474,1237,416228.5625,0.0064,34.31842041015625,23.31,-911609.88863793,31084
1971.4154052734375,140000,3.8628153800964355,105,34974,1332,457610.625,0.0064,40.151512145996094,120.23,-4777016.50968306,31106
2247.824462890625,150000,1.3792729377746582,105,37474,1426,518577.0625,0.0064,18.194488525390625,180.3,-7177398.538461641,31163
1218.2381591796875,160000,1.3787643909454346,105,39974,1515,516857.875,0.0064,15.4159517288208,32.93,-1310319.6809083999,31635
2955.534423828125,170000,0.6268145442008972,105,42474,1610,563676.375,0.0064,15.173664093017578,3.1,-109600.17821858,32438
2206.614990234375,180000,-0.7654187083244324,105,44974,1706,513948.875,0.0064,23.04141616821289,3.01,-108048.00655870998,35217
1028.5196533203125,190000,0.7728978991508484,105,47474,1800,496115.9375,0.0064,26.14610481262207,3.0,-107446.74963033,37706
980.7598876953125,200000,-1.9904812574386597,105,49974,1892,461616.25,0.0064,17.519672393798828,22.94,-908547.9673308,38551
756.1769409179688,210000,3.717362880706787,105,52474,1987,440157.96875,0.0064,22.720300674438477,3.0,-107308.39599580999,39715
557.0608520507812,220000,0.5932593941688538,106,54974,2074,386735.90625,0.0064,17.7243709564209,12.97,-507808.5535464099,41238
438.27880859375,230000,-1.5396193265914917,106,57474,2167,349218.5,0.0064,17.212495803833008,3.0,-106981.06158601,44239
440.3188171386719,240000,1.9324620962142944,106,59974,2263,302039.125,0.0064,17.952116012573242,2.98,-106667.24709279003,47574
449.121337890625,250000,-0.19930295646190643,105,62474,2365,290380.65625,0.0064,10.318639755249023,13.56,-524986.57891513,49755
819.0621337890625,260000,4.873906135559082,105,64974,2459,302192.4375,0.0064,35.064918518066406,3.0,-107026.4751314,51338
1702.1746826171875,270000,-5.392626762390137,105,67474,2555,245271.4375,0.0064,28.306440353393555,3.0,-106906.39242594998,54385
1018.1987915039062,280000,1.7620261907577515,105,69974,2654,236080.328125,0.0064,31.661314010620117,3.09,-108015.15704915,57115
918.9934692382812,290000,3.187668561935425,105,72474,2753,209301.3125,0.0064,42.57851028442383,3.0,-106954.31306522999,60374
1914.6923828125,300000,-2.5349926948547363,105,74974,2852,180534.6875,0.0064,26.034269332885742,4.3,-115463.3739471,63252
1154.4766845703125,310000,2.652569055557251,105,77474,2947,196796.421875,0.0064,28.106943130493164,3.0,-106433.65600239999,65718
2205.45458984375,320000,0.5670874714851379,105,79974,3041,209176.0,0.0064,27.116199493408203,42.88,-1707944.75683866,67039
997.3858642578125,330000,-0.08088944852352142,105,82474,3136,179980.046875,0.0064,29.01786994934082,2.85,-105917.99190381999,69684
2908.53173828125,340000,0.8355265855789185,105,84974,3229,209942.6875,0.0064,25.923980712890625,3.25,-103487.95225037,72937
1630.6356201171875,350000,-1.894286036491394,105,87474,3323,224589.53125,0.0064,22.855262756347656,3.04,-106517.70781255001,73978
2993.439453125,360000,2.7240681648254395,105,89974,3418,250010.5,0.0064,26.47209358215332,3.13,-107312.51030693,76083
3439.609130859375,370000,2.269987106323242,105,92474,3513,251401.796875,0.0064,47.782108306884766,3.43,-108287.20543536998,78770
5120.6298828125,380000,-4.064935207366943,105,94974,3608,232384.34375,0.0064,24.431201934814453,3.9,-109682.14586614001,80414
2036.9237060546875,390000,1.9712713956832886,105,97474,3702,240685.734375,0.0064,15.663642883300781,3.19,-107051.47211033001,82456
2843.404296875,400000,0.8380686640739441,105,99974,3797,267787.6875,0.0064,23.195816040039062,24.48,-886841.42088449,83631
5805.21826171875,410000,5.064914703369141,105,102474,3890,309263.53125,0.0064,26.031904220581055,43.39,-1662758.18461452,83912
5099.96142578125,420000,8.043685913085938,105,104974,3985,308962.40625,0.0064,65.7694091796875,4.62,-149366.51588495998,85033
4068.641845703125,430000,-1.7355753183364868,105,107474,4079,262640.375,0.0064,39.56574630737305,3.03,-108087.87562324999,88153
4599.6484375,440000,2.1431291103363037,105,109974,4173,296874.90625,0.0064,41.1012077331543,3.0,-107289.83703774001,91207
4739.048828125,450000,0.16060839593410492,105,112474,4267,273359.28125,0.0064,37.95195770263672,3.0,-106924.65353771,94541
3312.391845703125,460000,0.08250516653060913,105,114974,4360,245388.921875,0.0064,41.00309753417969,3.0,-106903.07434754,97529
