train/std,train/explained_variance,train/is_line_search_success,train/policy_objective,train/kl_divergence_loss,time/time_elapsed,time/total_timesteps,train/value_loss,time/fps,train/n_updates,rollout/ep_rew_mean,train/learning_rate,rollout/ep_len_mean
0.9926914572715759,1.4901161193847656e-06,1.0,0.06827592104673386,0.0056744534522295,6,10000,3252334483.2,1507,1,-476781.0006664615,0.001,145.52307692307693
0.9881727695465088,0.0,1.0,0.04532350227236748,0.004734778311103582,13,20000,2320747519.6,1508,2,-261659.72936919,0.001,97.38
0.973648190498352,-1.1920928955078125e-07,1.0,0.041960325092077255,0.004949713591486216,19,30000,1759510609.0,1510,3,-244791.3612334,0.001,102.46
0.9693143367767334,5.960464477539063e-08,1.0,0.04847148433327675,0.005204138811677694,26,40000,1712086122.4,1512,4,-254287.58480225998,0.001,117.07
0.9609754085540771,1.1920928955078125e-07,1.0,0.038377728313207626,0.004947545472532511,34,50000,1582643460.4,1448,6,-196018.48150179005,0.001,90.45
0.9511627554893494,0.0,1.0,0.04113464057445526,0.00424932548776269,41,60000,1515659755.2,1457,7,-200585.28553445998,0.001,98.7
0.956775426864624,5.960464477539063e-08,1.0,0.048867736011743546,0.005550425965338945,47,70000,1324542906.6,1464,8,-201893.13099079995,0.001,102.18
0.9612548351287842,0.0,1.0,0.05113377049565315,0.005261148791760206,54,80000,1504059613.9,1469,9,-211238.93976905997,0.001,105.12
0.9604892730712891,-1.1920928955078125e-07,1.0,0.04497016221284866,0.0050717489793896675,61,90000,1404315096.4,1471,10,-228582.26776907005,0.001,111.15
0.9545974731445312,0.0,1.0,0.050208259373903275,0.005250286776572466,69,100000,1375464019.0,1446,12,-200532.31334566994,0.001,106.69
0.9376538395881653,5.960464477539063e-08,1.0,0.04812036454677582,0.005532200913876295,75,110000,1190283788.3,1451,13,-184622.0723889,0.001,111.97
0.9268661141395569,0.0,1.0,0.053684454411268234,0.005734505131840706,82,120000,1061067179.4,1455,14,-194903.58164808003,0.001,125.71
0.9277598261833191,5.960464477539063e-08,1.0,0.05101257190108299,0.005646848119795322,89,130000,976992876.2,1459,15,-193062.94055027998,0.001,126.34
0.9175618290901184,0.0,1.0,0.04873215779662132,0.006293291226029396,97,140000,897621145.8,1441,17,-168878.53163804003,0.001,119.66
0.9217164516448975,0.0,1.0,0.0469980388879776,0.005760823842138052,103,150000,1042536751.5,1444,18,-169088.57082509,0.001,116.26
0.9226704835891724,0.0,1.0,0.052575740963220596,0.006210167892277241,110,160000,897570101.45,1447,19,-179867.81403003997,0.001,130.06
0.9142876863479614,5.960464477539063e-08,1.0,0.05488061532378197,0.006263526156544685,117,170000,945690061.85,1450,20,-170839.97650853,0.001,127.28
0.9097979068756104,0.0,1.0,0.053847119212150574,0.006138171069324017,123,180000,869584992.3,1453,21,-184689.14721980004,0.001,135.18
0.8915039896965027,0.0,1.0,0.0516558401286602,0.006322926376014948,131,190000,840599718.2,1439,23,-186701.20649582,0.001,142.87
0.8889164328575134,0.0,1.0,0.051776520907878876,0.006636361125856638,138,200000,1029648370.3,1442,24,-175409.81094901,0.001,124.25
0.893852949142456,-1.1920928955078125e-07,1.0,0.05255395546555519,0.006005601957440376,145,210000,876388430.9,1444,25,-155262.67942549,0.001,113.6
0.884616494178772,0.0,1.0,0.0555172935128212,0.007005704566836357,152,220000,928906689.45,1447,26,-164690.59983574,0.001,136.16
0.8844671249389648,-1.1920928955078125e-07,1.0,0.055371299386024475,0.0074699437245726585,160,230000,810590089.95,1435,28,-171843.27109201,0.001,147.56
0.8770077228546143,0.0,1.0,0.05537186935544014,0.0069538503885269165,166,240000,736211134.2,1438,29,-172739.42457129995,0.001,148.84
0.873284637928009,1.1920928955078125e-07,1.0,0.050670452415943146,0.006319040432572365,173,250000,820738907.3,1439,30,-172695.95173209003,0.001,153.31
0.8696985244750977,0.0,1.0,0.05308997631072998,0.00656122388318181,180,260000,716359244.75,1441,31,-159237.8094063,0.001,154.81
0.8680861592292786,0.0,1.0,0.05136208236217499,0.0071565755642950535,187,270000,669055166.05,1443,32,-149409.98317696,0.001,158.99
0.8713369965553284,0.0,1.0,0.06097504496574402,0.006955842953175306,195,280000,548773854.25,1434,34,-152500.63507496,0.001,187.39
