train/is_line_search_success,train/value_loss,train/policy_objective,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/n_updates,time/time_elapsed,train/explained_variance,train/std,train/kl_divergence_loss,train/learning_rate,time/total_timesteps
1.0,547041580.2,0.046113934367895126,72627.89652350999,180.59,3788,35,76,0.006635844707489014,0.8455685973167419,0.0073892357759177685,0.001,290000
1.0,517380583.825,0.03196829929947853,72483.18995940001,166.96,3794,36,79,0.003440678119659424,0.8483471274375916,0.007283652666956186,0.001,300000
1.0,687491626.3,0.035351015627384186,71065.07618511001,170.88,3799,37,81,0.012278914451599121,0.8410022854804993,0.007116849068552256,0.001,310000
1.0,650182779.95,0.038534533232450485,93607.17365015001,147.65,3772,39,84,0.0002238154411315918,0.8359076380729675,0.00788639485836029,0.001,320000
1.0,610492106.45,0.03207726776599884,85963.40361848,141.15,3780,40,87,3.933906555175781e-06,0.8270698189735413,0.007706040050834417,0.001,330000
1.0,657079499.975,0.037339549511671066,95864.97995698999,133.67,3783,41,89,0.004316449165344238,0.8338572382926941,0.007452594581991434,0.001,340000
1.0,639414381.2,0.03963537886738777,81443.47331221,134.82,3787,42,92,0.01102536916732788,0.8251492977142334,0.009966420941054821,0.001,350000
1.0,597560294.775,0.040868911892175674,104130.07821145,127.48,3790,43,94,0.02403324842453003,0.8183491826057434,0.008582542650401592,0.001,360000
1.0,679726374.55,0.039310455322265625,100360.24838195,128.49,3767,45,98,-0.0001195669174194336,0.8123062252998352,0.008123512379825115,0.001,370000
1.0,600843336.1,0.036270905286073685,93712.01560586,128.46,3770,46,100,0.005144476890563965,0.8208484053611755,0.008189824409782887,0.001,380000
1.0,729838373.0,0.036230266094207764,97602.15856264999,118.41,3774,47,103,0.01979672908782959,0.8130413889884949,0.009003188461065292,0.001,390000
1.0,733425523.05,0.042795177549123764,93039.52332297999,123.27,3777,48,105,0.005488395690917969,0.8145037293434143,0.00795666966587305,0.001,400000
1.0,903358723.4,0.041394397616386414,104587.32412655,94.7,3755,50,109,0.002994835376739502,0.8023846745491028,0.008878505788743496,0.001,410000
1.0,884008413.25,0.03735407814383507,107612.69227642,106.5,3759,51,111,0.0005562305450439453,0.7979040145874023,0.008201457560062408,0.001,420000
1.0,1040747448.9,0.036053989082574844,114982.34242362,74.24,3760,52,114,0.00100022554397583,0.7920764088630676,0.008340239524841309,0.001,430000
1.0,1188665827.9,0.03307822346687317,116310.50782514,64.81,3762,53,116,0.0,0.7821729183197021,0.008768140338361263,0.001,440000
1.0,1380564557.6,0.03735476732254028,113750.68634042,62.26,3766,54,119,3.2782554626464844e-06,0.7775505185127258,0.009124691598117352,0.001,450000
1.0,1754565258.0,0.03161595016717911,117659.3,48.35,3744,56,122,0.0006489157676696777,0.7642027735710144,0.009196325205266476,0.001,460000
1.0,1773858867.4,0.03547114133834839,118909.45408025,46.86,3746,57,125,7.152557373046875e-07,0.7554581761360168,0.009532366879284382,0.001,470000
1.0,1884600852.0,0.037836454808712006,116939.57475461999,52.84,3746,58,128,7.748603820800781e-07,0.7479278445243835,0.009462862275540829,0.001,480000
1.0,1719423152.6,0.03455048054456711,121362.36447645,50.04,3746,59,130,2.300739288330078e-05,0.7397322654724121,0.008460069075226784,0.001,490000
1.0,2241725041.4,0.03572891280055046,121194.32325392001,38.96,3726,61,134,8.940696716308594e-07,0.7273163199424744,0.009980683214962482,0.001,500000
1.0,2270097250.8,0.02863503061234951,121025.7,37.19,3726,62,136,-1.1920928955078125e-07,0.724966287612915,0.007472434546798468,0.001,510000
1.0,2256489546.6,0.03085615485906601,117094.83000358,36.28,3726,63,139,-1.1920928955078125e-07,0.7214320302009583,0.006711325142532587,0.001,520000
1.0,2521250868.0,0.03846802935004234,121783.6,34.97,3725,64,142,1.1920928955078125e-07,0.7182672023773193,0.009470382705330849,0.001,530000
1.0,2542465294.8,0.03036407195031643,120110.16801665998,33.04,3725,65,144,1.1920928955078125e-07,0.7128941416740417,0.006864079739898443,0.001,540000
1.0,2747128494.4,0.03503575548529625,122336.77556889999,32.85,3707,67,148,1.1920928955078125e-07,0.706912100315094,0.00933943409472704,0.001,550000
1.0,2836894276.4,0.03047000803053379,125563.64653394,32.62,3707,68,151,-1.1920928955078125e-07,0.7018588185310364,0.008710636757314205,0.001,560000
1.0,2863671136.8,0.027449164539575577,127625.15695798,39.14,3707,69,153,0.0,0.70066899061203,0.008447463624179363,0.001,570000
1.0,2538575113.4,0.04070375859737396,124458.68388976999,32.2,3707,70,156,0.0,0.7028114795684814,0.009629485197365284,0.001,580000
1.0,2672598200.6,0.039621371775865555,125704.41180798,30.66,3691,72,159,-1.1920928955078125e-07,0.6955154538154602,0.009027537889778614,0.001,590000
1.0,3222821329.6,0.027912240475416183,126224.39997699,29.95,3690,73,162,0.0,0.6944143176078796,0.0087665393948555,0.001,600000
1.0,3023696712.8,0.03141515329480171,127156.0,29.05,3690,74,165,1.1920928955078125e-07,0.6889135241508484,0.007715180981904268,0.001,610000
1.0,3264718361.2,0.034944456070661545,126717.73211946,30.41,3690,75,167,0.0,0.6852415204048157,0.008652779273688793,0.001,620000
1.0,3310853381.6,0.03191214054822922,128788.58498495001,27.82,3690,76,170,5.960464477539063e-08,0.679339587688446,0.008800354786217213,0.001,630000
1.0,3402051871.6,0.021311867982149124,128789.13144068999,27.92,3675,78,174,0.0,0.673724353313446,0.006351546850055456,0.001,640000
1.0,3332677123.2,0.021832363680005074,128381.31113479,27.82,3675,79,176,0.0,0.6710060238838196,0.008261228911578655,0.001,650000
1.0,3391056010.4,0.026513848453760147,128453.69338015001,29.14,3675,80,179,-1.1920928955078125e-07,0.6691970229148865,0.006417983677238226,0.001,660000
1.0,3430516608.8,0.03496115282177925,128701.58724695999,27.22,3675,81,182,0.0,0.6664793491363525,0.009795191697776318,0.001,670000
1.0,3382040528.8,0.030552856624126434,127980.04172687,28.16,3661,83,185,0.0,0.6587175726890564,0.009194076992571354,0.001,680000
1.0,3405206539.2,0.02870224043726921,126506.11700978002,26.31,3660,84,188,-2.384185791015625e-07,0.6587732434272766,0.007292546797543764,0.001,690000
1.0,3449772375.6,0.02657722681760788,127061.46126676,28.45,3660,85,191,1.7881393432617188e-07,0.657770574092865,0.009247694164514542,0.001,700000
1.0,3430917556.0,0.037738583981990814,127890.20933289,27.6,3660,86,193,0.0,0.6569378972053528,0.00869150459766388,0.001,710000
1.0,3488784205.6,0.03408494591712952,127694.96334552999,27.14,3660,87,196,0.0,0.6515506505966187,0.008457041345536709,0.001,720000
1.0,3227357908.4,0.03049314022064209,127887.68451864998,31.52,3646,89,200,0.0,0.6493515372276306,0.009699596092104912,0.001,730000
1.0,3603023203.6,0.02264736406505108,129016.45466742999,26.83,3645,90,202,0.0,0.6455875039100647,0.006360048893839121,0.001,740000
1.0,3645478627.6,0.02867247723042965,128426.84505474001,26.18,3645,91,205,0.0,0.6449750065803528,0.006490231957286596,0.001,750000
1.0,3671626029.2,0.026902303099632263,129826.75497862,26.59,3646,92,208,0.0,0.6418352723121643,0.008987930603325367,0.001,760000
1.0,3684325872.8,0.016284387558698654,130141.46530461,26.02,3645,93,211,-1.1920928955078125e-07,0.63822340965271,0.008892030455172062,0.001,770000
1.0,3715386460.4,0.026685943827033043,130749.04454696999,26.14,3633,95,214,0.0,0.6349697709083557,0.00650968449190259,0.001,780000
1.0,3467629474.4,0.027996854856610298,131658.43514557,25.98,3635,96,217,1.1920928955078125e-07,0.632624626159668,0.007350206840783358,0.001,790000
1.0,3752070998.4,0.030240200459957123,131447.24326005002,26.51,3636,97,219,0.0,0.6260886192321777,0.009333265013992786,0.001,800000
1.0,3721465350.0,0.02467510662972927,131661.00471529,25.68,3635,98,222,0.0,0.6235634684562683,0.0086848558858037,0.001,810000
1.0,3755992226.4,0.027323666960000992,130145.45424542,25.92,3624,100,226,-2.384185791015625e-07,0.6202777028083801,0.00933533813804388,0.001,820000
1.0,3634898915.6,0.01989264227449894,131206.8,27.77,3624,101,228,0.0,0.6206561923027039,0.0073766582645475864,0.001,830000
1.0,3688849068.8,0.02110331691801548,130152.44805806997,25.65,3625,102,231,1.7881393432617188e-07,0.6216753125190735,0.006615834776312113,0.001,840000
1.0,3746838195.2,0.020206544548273087,130751.2665823,25.9,3627,103,234,0.0,0.6205262541770935,0.006894721183925867,0.001,850000
1.0,3771174945.6,0.026265718042850494,132282.8530412,24.99,3626,104,237,0.0,0.6175704598426819,0.008614054881036282,0.001,860000
1.0,3819523912.0,0.03140135109424591,131256.7,25.59,3618,106,240,-1.1920928955078125e-07,0.6128293871879578,0.009113905020058155,0.001,870000
1.0,3777684923.2,0.0346839614212513,131047.32915368,26.14,3619,107,243,0.0,0.6118119359016418,0.008147633634507656,0.001,880000
1.0,3771908832.8,0.03612631931900978,132168.14204675,25.64,3620,108,245,0.0,0.6090397238731384,0.009442978538572788,0.001,890000
1.0,3888472799.2,0.03035617433488369,130870.42357711,24.84,3619,109,248,0.0,0.6075887084007263,0.009443845599889755,0.001,900000
1.0,3920030122.0,0.028640810400247574,131353.12489126,26.12,3609,111,252,0.0,0.6042311191558838,0.007362304721027613,0.001,910000
1.0,3909371585.6,0.025367997586727142,131880.24217509,25.04,3609,112,254,0.0,0.6028451919555664,0.009300424717366695,0.001,920000
1.0,3908526265.2,0.0204460546374321,132053.5944783,26.14,3608,113,257,0.0,0.6025769114494324,0.006228497717529535,0.001,930000
1.0,3810073164.8,0.02974162995815277,132171.25860757998,25.61,3609,114,260,-2.384185791015625e-07,0.6027782559394836,0.009357021190226078,0.001,940000
1.0,3848428382.8,0.023785773664712906,131768.54287056002,25.43,3609,115,263,0.0,0.6016945838928223,0.006650000810623169,0.001,950000
1.0,3880340770.8,0.028685806319117546,132383.893176,25.22,3599,117,266,0.0,0.5956767201423645,0.009792178869247437,0.001,960000
1.0,3867677245.6,0.021047241985797882,132878.2234442,25.5,3599,118,269,0.0,0.5937859416007996,0.007523179054260254,0.001,970000
1.0,3833811028.8,0.025769639760255814,132372.65352137,25.59,3599,119,272,0.0,0.5907145142555237,0.007053432520478964,0.001,980000
1.0,3777327816.0,0.03375972807407379,131261.21715009,25.72,3599,120,275,-2.384185791015625e-07,0.5887258648872375,0.009769239462912083,0.001,990000
1.0,3808382792.0,0.03517496585845947,131473.0,25.18,3591,122,278,0.0,0.5857611298561096,0.008355519734323025,0.001,1000000
