time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef,train/ent_coef_loss,train/critic_loss,time/fps,train/actor_loss,train/n_updates,time/total_timesteps,train/learning_rate,time/episodes
943,-601169.91621249,453.29,130.72900390625,15.13135814666748,27473860.0,190,32077.4609375,44974,180000,0.0055,705
993,-587460.3725518599,472.7,11.310323715209961,6.212450981140137,3128949.75,191,2900.40869140625,47474,190000,0.0055,715
1043,-593968.9828101799,511.75,19.742891311645508,-9.849164009094238,2944611.5,191,5557.068359375,49974,200000,0.0055,725
1095,-834523.0710344501,355.82,42.62846374511719,22.56650733947754,19260400.0,191,14099.853515625,52474,210000,0.0055,776
1145,-853349.2005592899,429.85,5.216225624084473,2.2665393352508545,2965482.75,192,5073.6494140625,54974,220000,0.0055,786
1194,-503957.47626747994,505.11,14.368712425231934,-5.3537445068359375,3869416.25,192,1162.97705078125,57474,230000,0.0055,798
1245,-549102.75743778,515.9,7.238593101501465,3.7963902950286865,7059272.0,192,-144.94773864746094,59974,240000,0.0055,814
1298,-1010667.4875678899,481.11,86.07272338867188,37.63597869873047,5485660.0,192,23063.75390625,62474,250000,0.0055,836
1351,-1008511.47582286,568.94,19.954389572143555,-26.25954818725586,6611439.5,192,12521.1337890625,64974,260000,0.0055,845
1401,-1029842.79155837,672.75,121.10236358642578,-14.902846336364746,12730549.0,192,48622.765625,67474,270000,0.0055,861
1451,-925612.39570117,493.92,16.74543571472168,8.571603775024414,5085796.0,192,3337.029541015625,69974,280000,0.0055,900
1503,-475339.2633308199,397.91,158.01881408691406,-18.59917449951172,21431740.0,192,69839.515625,72474,290000,0.0055,937
1555,-579161.00053877,361.63,71.94598388671875,9.084282875061035,6088384.0,192,4834.74853515625,74974,300000,0.0055,951
1605,-1002507.0910116701,346.82,1722.898193359375,67.99815368652344,177167840.0,193,167186.34375,77474,310000,0.0055,994
1657,-1146734.32815922,145.79,667.06640625,61.223907470703125,108406504.0,193,86970.9375,79974,320000,0.0055,1069
1709,-1048916.2187319598,214.02,35.6545295715332,13.933695793151855,13346820.0,193,26628.5859375,82474,330000,0.0055,1079
1762,-655271.74792544,277.28,71.47444915771484,-14.771783828735352,114336464.0,192,25324.017578125,84974,340000,0.0055,1100
1812,-513490.82824583,360.33,36.932071685791016,8.282014846801758,4732367.0,193,11286.423828125,87474,350000,0.0055,1116
1864,-490745.4603603901,436.99,29.853397369384766,9.524656295776367,2374704.5,193,10245.5380859375,89974,360000,0.0055,1125
1916,-454374.44147966,532.74,26.86593246459961,-9.896120071411133,2815315.5,193,19764.29296875,92474,370000,0.0055,1136
1969,-1413541.0521684801,601.82,740.15576171875,51.808326721191406,162407312.0,192,178257.3125,94974,380000,0.0055,1169
2023,-2102529.31359638,523.96,460.78924560546875,54.73153305053711,142270720.0,192,100044.8984375,97474,390000,0.0055,1194
2076,-2095207.71525709,525.66,25.424699783325195,10.230438232421875,15652017.0,192,42499.640625,99974,400000,0.0055,1213
2134,-2069466.8841934,533.29,19.596649169921875,-5.95550537109375,11014962.0,192,18501.65625,102474,410000,0.0055,1222
2189,-2046657.7533662799,533.29,16.559734344482422,-13.309240341186523,4646072.0,191,15361.53515625,104974,420000,0.0055,1233
2247,-570529.6626064501,434.5,110.2101821899414,36.36848449707031,6276900.0,191,26342.958984375,107474,430000,0.0055,1286
2305,-316221.78659668996,477.65,8.809574127197266,4.960500717163086,2867486.0,190,10670.73046875,109974,440000,0.0055,1296
2361,-300896.04350642994,527.8,8.847699165344238,0.5849312543869019,35378832.0,190,13003.162109375,112474,450000,0.0055,1306
2418,-331169.80964919,456.73,101.77093505859375,-95.03793334960938,103805464.0,190,33809.0625,114974,460000,0.0055,1327
2473,-992306.28652795,460.4,277.9235534667969,52.89958953857422,39630292.0,189,51674.74609375,117474,470000,0.0055,1359
2530,-1017591.21960243,491.25,17.3426456451416,12.388866424560547,10475458.0,189,18314.404296875,119974,480000,0.0055,1373
2587,-1010736.6067630299,587.1,7.917923450469971,0.48607027530670166,5167572.0,189,8814.125,122474,490000,0.0055,1383
2645,-966920.67118698,388.75,453.3406677246094,-334.5535888671875,1046158016.0,189,43706.3046875,124974,500000,0.0055,1432
2702,-1867064.03530204,165.85,17796.3203125,-222.18399047851562,41940787200.0,188,872327.0,127474,510000,0.0055,1494
2758,-1754560.3869700797,125.56,12893.056640625,133.22520446777344,22963388416.0,188,735948.125,129974,520000,0.0055,1574
2816,-336830.54561624,36.74,703.9718017578125,73.71280670166016,1482187520.0,188,612479.125,132474,530000,0.0055,1764
2872,-102949.06471553001,6.41,70.98477935791016,18.545848846435547,951477120.0,187,424335.65625,134974,540000,0.0055,2642
2929,-104385.53855997998,7.38,43.27620315551758,-31.062440872192383,9251658752.0,187,524990.125,137474,550000,0.0055,4470
2987,-97259.89377940999,5.22,1513.9130859375,67.6734848022461,780039808.0,187,257276.71875,139974,560000,0.0055,6004
3044,-96651.93991859996,5.2,81.9252700805664,30.628753662109375,190355104.0,187,151261.09375,142474,570000,0.0055,7570
3101,-98801.51949682999,6.28,17.157371520996094,5.037295341491699,360249024.0,187,159050.59375,144974,580000,0.0055,8941
3157,-275507.84961345996,23.68,460.73388671875,-4.324214458465576,511804544.0,186,195628.15625,147474,590000,0.0055,9273
3214,-105832.29033942,13.21,386.5055236816406,1.7449827194213867,51496888.0,186,145386.28125,149974,600000,0.0055,10337
3270,-112331.07220041,34.34,214.50047302246094,0.7724251747131348,33178802.0,186,112203.4296875,152474,610000,0.0055,10801
3327,-130405.29983684001,71.71,244.47384643554688,-29.011051177978516,1515725056.0,186,189381.109375,154974,620000,0.0055,10964
3384,-120842.73021045,26.71,581.223388671875,51.52320098876953,94438360.0,186,124333.3515625,157474,630000,0.0055,11203
3441,-195142.13617440008,101.93,50.70036697387695,11.973227500915527,42510392.0,185,63632.65625,159974,640000,0.0055,11268
3498,-256267.44457901,180.12,43.636436462402344,-4.538486957550049,121345848.0,185,35993.50390625,162474,650000,0.0055,11276
3554,-1478490.8513362696,256.11,41686.1875,-283.8877258300781,300363546624.0,185,1676328.5,164974,660000,0.0055,11335
3609,-1857853.45290182,123.64,83168.2421875,44.59180450439453,318633869312.0,185,2044854.5,167474,670000,0.0055,11432
3664,-894057.91452523,95.49,15318.9296875,16.406173706054688,110715912192.0,185,1655540.5,169974,680000,0.0055,11535
3719,-233693.87693746,32.39,3898.554443359375,28.273014068603516,32178667520.0,185,1414100.375,172474,690000,0.0055,11787
3775,-245744.37016661,20.93,1129.4857177734375,7.888834476470947,15274334208.0,185,838860.375,174974,700000,0.0055,12243
3830,-163040.14552756,13.27,561.5053100585938,2.9683094024658203,1727130624.0,185,375084.21875,177474,710000,0.0055,12836
3887,-934494.70808458,71.07,45717.83203125,156.56539916992188,70669877248.0,185,866017.625,179974,720000,0.0055,13105
