time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,train/step_size,train/delta_std,rollout/return_std,train/learning_rate,train/iterations
10000,-13272588.622304,342.5,4,2190,,,,,
20000,-19846285.208490126,506.875,8,2321,,,,,
30000,-21444846.13032677,547.9230769230769,12,2344,,,,,
40000,-23909795.943664603,608.2,16,2385,,,,,
50000,-13538807.542329833,344.8333333333333,20,2405,1.2732379039981367e-10,0.05,19634978.0,0.02,0
60000,-17922399.671991114,455.6666666666667,24,2422,,,,,
70000,-23414112.797212917,591.75,28,2440,,,,,
80000,-25774406.2788235,650.0714285714286,32,2429,,,,,
90000,-39839390.635545,1000.0,37,2420,1.3267560661223143e-10,0.05,18842952.0,0.02,1
100000,-29865949.551256746,754.0,41,2425,,,,,
110000,-20009531.201059747,505.8333333333333,45,2428,,,,,
120000,-21301483.365614533,538.9333333333333,49,2434,,,,,
130000,-13462396.7159475,343.3333333333333,53,2441,1.2346464128842882e-10,0.05,20248712.0,0.02,2
140000,-18492251.076770555,476.77777777777777,57,2447,,,,,
150000,-22362184.254649,571.9090909090909,61,2453,,,,,
160000,,,65,2456,1.2575032681816367e-10,0.05,19880664.0,0.02,3
170000,-26720090.236621004,671.6666666666666,69,2453,,,,,
180000,-28550135.53889243,717.7142857142857,73,2457,,,,,
190000,-31052675.043061,780.4444444444445,77,2460,,,,,
200000,-33249933.373569164,835.3333333333334,81,2463,,,,,
210000,-34209007.590894,858.8571428571429,85,2466,,,,,
220000,-39799386.099903,1000.0,89,2468,1.8469849261126825e-10,0.05,13535573.0,0.02,4
230000,-23648525.341079403,606.4,93,2466,,,,,
240000,-26440253.965939224,671.1111111111111,105,2270,,,,,
250000,-28857407.836413454,730.9090909090909,109,2279,,,,,
260000,-29148628.507741597,736.4666666666667,113,2288,,,,,
270000,-13402156.168904668,341.3333333333333,117,2294,1.4162679362605957e-10,0.05,17652028.0,0.02,5
280000,-22867721.136526857,576.4285714285714,121,2302,,,,,
290000,-21767205.710253093,550.3636363636364,125,2309,,,,,
300000,-23950275.977983937,604.6666666666666,129,2314,,,,,
310000,-20080285.35851,503.5,133,2320,1.2645863523008671e-10,0.05,19769310.0,0.02,6
320000,-31990415.057005398,801.4,137,2326,,,,,
330000,-34215300.188542716,858.1428571428571,142,2317,,,,,
340000,-27685792.796958923,695.8461538461538,146,2324,,,,,
350000,-401994.260717,16.0,150,2329,1.3172908597258726e-10,0.05,18978344.0,0.02,7
360000,-17277387.86984443,436.85714285714283,154,2332,,,,,
370000,-22323360.213151112,562.0,158,2334,,,,,
380000,-22914175.7157895,577.3571428571429,162,2339,,,,,
390000,-40050277.043819,1000.0,166,2343,1.2290496398392747e-10,0.05,20340920.0,0.02,8
400000,-22942478.750986,577.8571428571429,170,2348,,,,,
410000,-26730801.218843333,671.6666666666666,174,2353,,,,,
420000,-27753323.319980003,697.3846153846154,178,2357,,,,,
430000,,,182,2361,1.3147036237448617e-10,0.05,19015692.0,0.02,9
440000,-40000943.69092467,1000.0,186,2364,,,,,
450000,-33308395.96469617,835.5,189,2368,,,,,
460000,-34993895.97751212,876.625,193,2371,,,,,
470000,-36354868.87526509,910.2727272727273,197,2374,,,,,
480000,-36905000.334765226,924.0769230769231,201,2378,,,,,
490000,-39504396.791378,1000.0,205,2381,1.8386735189945824e-10,0.05,13596758.0,0.02,10
500000,-23980368.8336076,607.0,209,2384,,,,,
510000,-26657700.95981078,672.0,213,2384,,,,,
520000,-29066548.660424456,731.6363636363636,217,2387,,,,,
530000,-31324377.552460857,789.1428571428571,221,2390,,,,,
540000,-174131.4247115,12.5,225,2392,1.5670265085532264e-10,0.05,15953783.0,0.02,11
550000,-20003380.947001833,505.6666666666667,229,2395,,,,,
560000,-25021250.08940188,629.25,233,2398,,,,,
570000,-21390904.2262434,538.4666666666667,237,2401,,,,,
580000,-39955437.129361,1000.0,241,2404,1.2296073881312708e-10,0.05,20331692.0,0.02,12
590000,-20037089.1745695,505.5,245,2407,,,,,
600000,-19229103.728556912,505.5,248,2410,,,,,
