time/episodes,train/learning_rate,train/critic_loss,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,train/ent_coef,train/actor_loss,time/total_timesteps,train/ent_coef_loss,train/n_updates
28981,0.0055,26240276.0,-225844.87333935004,204,10.28,878,117.53577423095703,135284.40625,180000,-14.783275604248047,44974
30679,0.0055,30162292.0,-133562.82510329998,204,5.0,927,31.846736907958984,115436.390625,190000,0.19896245002746582,47474
32601,0.0055,2957963.5,-133525.73915327,204,5.03,976,28.780662536621094,114145.3359375,200000,-0.5864789485931396,49974
34119,0.0055,16742004.0,-133891.75238336,204,5.0,1024,28.47686004638672,112703.578125,210000,-12.591012954711914,52474
36114,0.0055,11874024.0,-133606.04976853,205,5.0,1072,26.748600006103516,106480.03125,220000,-19.17698860168457,54974
37850,0.0055,10465553.0,-133599.98245676,205,5.03,1121,23.621335983276367,112731.75,230000,3.9007842540740967,57474
39490,0.0055,15131716.0,-133764.23133723004,205,5.07,1169,31.065994262695312,111565.15625,240000,-3.669858455657959,59974
41416,0.0055,10810190.0,-162022.15836702,205,7.36,1217,58.4638671875,110037.4375,250000,-32.237674713134766,62474
43107,0.0055,20950640.0,-134334.67038776,205,5.0,1265,59.62020492553711,117332.9921875,260000,17.644718170166016,64974
44970,0.0055,3494163.0,-133321.54182687,205,5.01,1313,25.860355377197266,107113.234375,270000,4.872893333435059,67474
46930,0.0055,5529128.5,-133453.8676916,205,5.04,1361,33.19886779785156,111073.296875,280000,2.0963423252105713,69974
48895,0.0055,3009952.0,-134149.53607259,205,5.13,1408,40.03855514526367,107167.7265625,290000,7.7288055419921875,72474
50585,0.0055,21379756.0,-133242.10004800002,205,5.0,1456,61.67255783081055,128734.1015625,300000,9.583259582519531,74974
52232,0.0055,196615360.0,-134342.7285694,206,5.08,1503,58.616111755371094,124968.234375,310000,8.679842948913574,77474
54007,0.0055,18096998.0,-133211.70465159,206,5.0,1551,38.90637969970703,114777.390625,320000,4.742270469665527,79974
55888,0.0055,24155228.0,-133169.50854568998,206,5.0,1598,35.50189208984375,115430.3359375,330000,5.309926986694336,82474
57733,0.0055,35339284.0,-227653.84282218994,206,12.58,1646,59.783443450927734,121989.0,340000,2.6085829734802246,84974
59673,0.0055,7391219.0,-133246.45830582,206,5.0,1693,22.277408599853516,108626.40625,350000,0.7184913158416748,87474
