train/explained_variance,train/value_loss,train/policy_objective,train/learning_rate,train/is_line_search_success,train/n_updates,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/std,train/kl_divergence_loss,time/fps
1.4901161193847656e-06,3430063526.4,0.06832261383533478,0.0013,1.0,1,136.07142857142858,10000,5,-453089.86877064285,0.992690920829773,0.005688106641173363,1722
0.0,2470499634.4,0.04917694628238678,0.0013,1.0,2,108.12,20000,10,-299143.02632670006,0.993092954158783,0.0053764102049171925,1861
0.0,1930622642.8,0.04164654761552811,0.0013,1.0,3,86.54,30000,15,-227698.53553123,0.973414421081543,0.004308084025979042,1909
-1.1920928955078125e-07,1954463560.8,0.05334603786468506,0.0013,1.0,4,99.46,40000,21,-226350.60322319,0.9736687541007996,0.00607289420440793,1892
-1.1920928955078125e-07,1498754077.9,0.044154033064842224,0.0013,1.0,6,101.61,50000,27,-213592.63739425008,0.969839334487915,0.004887816030532122,1826
-1.1920928955078125e-07,1440132258.7,0.040880441665649414,0.0013,1.0,7,104.14,60000,32,-198836.22932918998,0.9729874730110168,0.004414545372128487,1852
0.0,1326888860.8,0.042482517659664154,0.0013,1.0,8,107.13,70000,37,-208479.75233906996,0.9649173021316528,0.0046189469285309315,1882
5.960464477539063e-08,1399739142.7,0.05267620086669922,0.0013,1.0,9,119.28,80000,42,-217532.48928299,0.9645569920539856,0.005240431521087885,1884
-1.1920928955078125e-07,1270614848.1,0.052090294659137726,0.0013,1.0,10,107.28,90000,47,-194005.01277393007,0.966821551322937,0.005012922454625368,1902
0.0,1226895681.9,0.05164260417222977,0.0013,1.0,12,109.52,100000,53,-183935.32919401996,0.9473398923873901,0.005383509676903486,1872
1.1920928955078125e-07,1292344428.9,0.04613204672932625,0.0013,1.0,13,94.25,110000,58,-163489.73197167,0.9448367357254028,0.005478877108544111,1888
0.0,1246443128.5,0.0507822260260582,0.0013,1.0,14,103.77,120000,63,-177893.79506965997,0.9448322653770447,0.005806139670312405,1899
-1.1920928955078125e-07,1100957674.5,0.050968531519174576,0.0013,1.0,15,130.85,130000,68,-204898.96583282997,0.9306309223175049,0.00590891856700182,1891
0.0,1053964790.9,0.05718100443482399,0.0013,1.0,17,120.02,140000,74,-172179.52435569,0.9242146015167236,0.006051895674318075,1870
0.0,1125474542.1,0.05386871472001076,0.0013,1.0,18,110.23,150000,79,-179898.91922592002,0.9075804948806763,0.005713632795959711,1881
-1.1920928955078125e-07,1038662065.7,0.05537725239992142,0.0013,1.0,19,118.03,160000,84,-184919.58989550997,0.893966019153595,0.006293792277574539,1893
0.0,1158915147.6,0.05223721265792847,0.0013,1.0,20,121.88,170000,89,-179743.08872836002,0.8986072540283203,0.0060963802970945835,1894
0.0,988756984.9,0.05461794137954712,0.0013,1.0,21,132.98,180000,94,-176382.63078477004,0.899328351020813,0.0063546705059707165,1899
-1.1920928955078125e-07,894627529.1,0.0534931905567646,0.0013,1.0,23,141.42,190000,101,-178997.10818763,0.904194176197052,0.006530707236379385,1875
-1.1920928955078125e-07,941847092.1,0.04785604029893875,0.0013,1.0,24,140.09,200000,106,-196741.13329733998,0.900995135307312,0.006127140484750271,1880
0.0,960159488.4,0.05446070805191994,0.0013,1.0,25,131.82,210000,112,-183598.79908543002,0.9034592509269714,0.006862179841846228,1870
0.0,1002466792.0,0.05677437782287598,0.0013,1.0,26,132.51,220000,117,-183284.01516824006,0.901015043258667,0.006854655221104622,1875
0.0,930747845.0,0.04646195098757744,0.0013,1.0,28,123.69,230000,123,-162690.71955232005,0.8984469175338745,0.006729563232511282,1862
-1.1920928955078125e-07,882210612.6,0.05579583719372749,0.0013,1.0,29,120.46,240000,130,-155634.4496346,0.9015831351280212,0.006423390470445156,1841
0.0,791646020.05,0.05686594918370247,0.0013,1.0,30,145.88,250000,135,-172592.81365427998,0.9040793180465698,0.006835465785115957,1842
-1.1920928955078125e-07,763072836.6,0.05100401118397713,0.0013,1.0,31,147.34,260000,140,-175675.77606270998,0.8940565586090088,0.006476046983152628,1845
0.0,837197840.5,0.057800035923719406,0.0013,1.0,32,132.6,270000,146,-165083.85346348,0.8938729166984558,0.007618446368724108,1842
0.0,694068980.45,0.054996319115161896,0.0013,1.0,34,148.03,280000,152,-168388.48801602,0.879877507686615,0.0069630807265639305,1830
1.1920928955078125e-07,718930039.8,0.0587180033326149,0.0013,1.0,35,160.2,290000,159,-168791.87671313997,0.878716230392456,0.007615643087774515,1821
0.0,629946908.95,0.054102133959531784,0.0013,1.0,36,162.53,300000,164,-163372.38533774,0.8825781345367432,0.00742338178679347,1824
0.0,659021452.175,0.05060887336730957,0.0013,1.0,37,182.87,310000,169,-164605.82956528998,0.8814036846160889,0.007054885849356651,1830
-1.1920928955078125e-07,488978199.05,0.053146280348300934,0.0013,1.0,39,211.16,320000,175,-167074.22998081,0.8732589483261108,0.00728576397523284,1822
5.960464477539063e-08,514610759.95,0.051828980445861816,0.0013,1.0,40,219.84,330000,180,-173197.41790854,0.8740500211715698,0.007262222468852997,1824
0.0,514298420.25,0.053956039249897,0.0013,1.0,41,223.84,340000,186,-179224.03253985,0.8670849800109863,0.007227536756545305,1823
0.0,563608954.225,0.054000064730644226,0.0013,1.0,42,214.44,350000,191,-168954.65503275997,0.864729642868042,0.006992265582084656,1825
0.0,419123814.85,0.054932400584220886,0.0013,1.0,43,221.66,360000,197,-161710.92646575,0.8621969223022461,0.007774595636874437,1823
0.0,353108498.7,0.05353386700153351,0.0013,1.0,45,263.63,370000,204,-168138.60197427002,0.8521181344985962,0.007388821803033352,1807
-1.1920928955078125e-07,287556775.375,0.05690937116742134,0.0013,1.0,46,288.34,380000,210,-171651.84646356,0.8490734696388245,0.008012316189706326,1808
0.0,317154152.7,0.055254045873880386,0.0013,1.0,47,311.06,390000,215,-168915.79875357,0.8423088788986206,0.008023553527891636,1809
0.0,350055058.1,0.05899500474333763,0.0013,1.0,48,313.07,400000,220,-160174.69442353002,0.8392739295959473,0.008080482482910156,1811
0.0,193405841.625,0.05316762253642082,0.0013,1.0,50,355.37,410000,228,-164991.13818217002,0.8275957703590393,0.007936856709420681,1797
5.960464477539063e-08,135588288.95,0.05473245680332184,0.0013,1.0,51,400.86,420000,233,-162973.08710259,0.8257316946983337,0.008395770564675331,1801
0.0,101890322.28515625,0.04760884493589401,0.0013,1.0,52,446.25,430000,238,-147467.86375957,0.823361873626709,0.008131950162351131,1801
0.0,105287876.865625,0.056358132511377335,0.0013,1.0,53,502.26,440000,244,-143796.08492929002,0.8188074231147766,0.0081844013184309,1801
0.0,11169653.6203125,0.05430918186903,0.0013,1.0,54,571.24,450000,249,-131544.47543543,0.8172593116760254,0.008924420922994614,1802
-1.1920928955078125e-07,75319840.515625,0.04839593917131424,0.0013,1.0,56,635.78,460000,256,-116079.87774336999,0.8075775504112244,0.00786280632019043,1793
0.0,75344032.20546874,0.022509833797812462,0.0013,1.0,57,670.94,470000,261,-101331.41873743998,0.8062986731529236,0.007294831331819296,1795
-1.1920928955078125e-07,83842258.86015625,0.048362307250499725,0.0013,1.0,58,708.06,480000,267,-91291.76295117,0.8058909177780151,0.00831133034080267,1797
0.0,46225356.79453125,0.05238092318177223,0.0013,1.0,59,749.86,490000,272,-79316.0330419,0.8031250238418579,0.00818607211112976,1799
1.1920928955078125e-07,38649582.2265625,0.05641263723373413,0.0013,1.0,61,761.15,500000,279,-63580.929105539995,0.8070977926254272,0.008210225030779839,1790
0.0,42151898.54335938,0.03659087419509888,0.0013,1.0,62,808.81,510000,285,-60624.89709761,0.8037835359573364,0.009923498146235943,1786
0.0,28894382.911328126,0.05399453267455101,0.0013,1.0,63,815.94,520000,290,-52532.161348249996,0.8033385872840881,0.008684707805514336,1788
0.0,55446012.440625,0.058883193880319595,0.0013,1.0,64,827.18,530000,295,-47996.68889412001,0.8048927783966064,0.008448874577879906,1791
1.1920928955078125e-07,27499061.44453125,0.04512009024620056,0.0013,1.0,65,836.76,540000,301,-50036.49899646,0.8046311140060425,0.00900239311158657,1790
0.0,28408875.691601563,0.04308868199586868,0.0013,1.0,67,865.58,550000,309,-47810.25850952,0.8049980998039246,0.008790659718215466,1779
0.0,54900125.6421875,0.0498683787882328,0.0013,1.0,68,870.59,560000,314,-40591.70118848001,0.8054921627044678,0.008392621763050556,1779
0.0,36206038.0515625,0.04664623737335205,0.0013,1.0,69,868.82,570000,320,-40563.538818450004,0.8018658757209778,0.009347580373287201,1780
0.0,20324376.290234376,0.17048685252666473,0.0013,1.0,70,879.99,580000,325,-37660.17143968,0.8015791773796082,0.008310574106872082,1781
0.0,9524651.5875,0.05617888644337654,0.0013,1.0,72,892.47,590000,332,-39113.227547530005,0.7976892590522766,0.008486451581120491,1775
0.0,3642630.35390625,0.03229141980409622,0.0013,1.0,73,894.05,600000,337,-34746.60207775,0.7966833710670471,0.008128046058118343,1778
0.0,22655688.134765625,0.0531795397400856,0.0013,1.0,74,898.82,610000,342,-33544.04687266,0.794327974319458,0.00793411210179329,1781
0.0,25750277.442382812,0.03284042328596115,0.0013,1.0,75,897.77,620000,347,-31580.72040767,0.793849766254425,0.006671848241239786,1784
0.0,27257599.737695314,0.041639555245637894,0.0013,1.0,76,888.61,630000,352,-25351.175276700003,0.7944412231445312,0.008653432130813599,1787
0.0,38642014.77304687,0.046744585037231445,0.0013,1.0,78,892.4,640000,358,-20240.193499729998,0.795553982257843,0.00942688062787056,1783
