time/total_timesteps,train/value_loss,train/explained_variance,rollout/ep_len_mean,time/time_elapsed,train/kl_divergence_loss,train/std,time/fps,rollout/ep_rew_mean,train/n_updates,train/policy_objective,train/learning_rate,train/is_line_search_success
10000,5353696530.4,-4.76837158203125e-07,37.07,6,0.00580471009016037,1.008266806602478,1530,-195217.9153325,1,0.02421511523425579,0.001,1.0
20000,4985369124.4,1.1920928955078125e-07,36.9,12,0.003734043799340725,1.0042788982391357,1557,-171719.36741488002,2,0.015894178301095963,0.001,1.0
30000,4762840344.8,-2.384185791015625e-07,37.6,19,0.004305344074964523,1.0066851377487183,1570,-188719.07131854005,3,0.020630905404686928,0.001,1.0
40000,4862138177.6,0.0,32.93,25,0.005355542059987783,0.9918926358222961,1568,-185416.45608175002,4,0.013906384818255901,0.001,1.0
50000,4465164597.6,0.0,29.4,33,0.0057936194352805614,0.9735075831413269,1489,-138373.80682715,6,0.01819363608956337,0.001,1.0
60000,4275047779.6,0.0,37.15,39,0.009999948553740978,0.9755973815917969,1506,-160842.86529229,7,0.01525612361729145,0.001,1.0
70000,4243630480.0,1.1920928955078125e-07,31.36,46,0.0054944721050560474,0.9830729365348816,1505,-130131.11570869,8,0.025837793946266174,0.001,1.0
80000,3969372132.0,0.0,44.08,53,0.007582193706184626,0.9654924869537354,1508,-158171.89026879997,9,0.024710707366466522,0.001,1.0
90000,3720198179.6,0.0,42.1,59,0.008302835747599602,0.9461130499839783,1514,-135042.87924901998,10,0.026417143642902374,0.001,1.0
100000,3546580951.2,5.960464477539063e-08,48.93,67,0.006297782529145479,0.9564762115478516,1485,-131512.82218363,12,0.03288425877690315,0.001,1.0
110000,3015678020.4,0.0,49.53,73,0.006527360994368792,0.937272846698761,1492,-123738.36107493998,13,0.02079286426305771,0.001,1.0
120000,3031847214.8,0.0,50.86,80,0.004787573125213385,0.937436044216156,1497,-101338.64147735,14,0.02343374490737915,0.001,1.0
130000,2736251350.8,0.0,58.05,86,0.005658643785864115,0.9055450558662415,1503,-125372.47040220002,15,0.02124187909066677,0.001,1.0
140000,2252555986.2,0.0,48.7,94,0.007847440429031849,0.8880839347839355,1480,-45350.97751193999,17,0.03521231189370155,0.001,1.0
150000,2659511989.8,0.0,64.31,100,0.007028922438621521,0.8838675618171692,1486,-93760.61837783002,18,0.022180689498782158,0.001,1.0
160000,1911882907.4,-1.1920928955078125e-07,65.3,107,0.009500870481133461,0.8722965121269226,1484,-90254.29374226001,19,0.016304031014442444,0.001,1.0
170000,2737548319.4,0.0,70.45,114,0.006059076637029648,0.8739781975746155,1490,-112714.07171887999,20,0.02093556523323059,0.001,1.0
180000,2085859518.2,5.960464477539063e-08,60.01,120,0.004766813945025206,0.8702497482299805,1494,-39780.49885438,21,0.022805944085121155,0.001,1.0
190000,1804241130.8,0.0,57.12,128,0.006044786889106035,0.8510427474975586,1478,-30004.12151447,23,0.030644278973340988,0.001,1.0
200000,1784836836.0,-1.1920928955078125e-07,58.25,134,0.008078991435468197,0.850010097026825,1482,-8352.433900920001,24,0.02687285840511322,0.001,1.0
210000,2056365963.0,-1.1920928955078125e-07,60.36,141,0.0038316764403134584,0.8434610366821289,1486,-9436.394653559999,25,0.025385500863194466,0.001,1.0
220000,1669009326.2,0.0,89.94,147,0.005405863281339407,0.8236370086669922,1489,-92369.05467267,26,0.013434482738375664,0.001,1.0
230000,1524406652.1,0.0,67.57,155,0.005631847772747278,0.8047080039978027,1477,-8329.516987590003,28,0.021415691822767258,0.001,1.0
240000,1401048054.6,0.0,81.93,161,0.0068642920814454556,0.7956659197807312,1481,-13106.1475201,29,0.027941469103097916,0.001,1.0
250000,1103658174.3,0.0,83.99,168,0.0069782012142241,0.7886738181114197,1484,-13571.890619520003,30,0.025576798245310783,0.001,1.0
260000,1500805230.9,0.0,82.87,174,0.005556660238653421,0.7777345776557922,1488,-348.4616575899994,31,0.0235457606613636,0.001,1.0
270000,1343380321.0,0.0,91.52,182,0.008815594017505646,0.7763198018074036,1482,-18919.78145029,32,0.014158077538013458,0.001,1.0
280000,1498275258.7,0.0,67.36,190,0.00837031938135624,0.7539111971855164,1472,16231.387521640001,34,0.04292621463537216,0.001,1.0
290000,1599778553.3,0.0,46.67,196,0.008963019587099552,0.7516277432441711,1474,65198.40164905001,35,0.023081813007593155,0.001,1.0
300000,1609467876.9,0.0,52.94,203,0.0071716816164553165,0.7472135424613953,1477,64750.91918411,36,0.02845204621553421,0.001,1.0
310000,1598596709.3,0.0,53.3,209,0.006639882456511259,0.7403913140296936,1479,74392.75284521001,37,0.02426396869122982,0.001,1.0
320000,1656278442.0,0.0,58.07,217,0.009649165906012058,0.7175464630126953,1469,54147.373135660004,39,0.030415387824177742,0.001,1.0
330000,1944116921.8,1.1920928955078125e-07,42.02,224,0.007070696447044611,0.7155267596244812,1468,94016.96930601001,40,0.03813359886407852,0.001,1.0
340000,1732389560.6,0.0,55.91,231,0.0057360343635082245,0.6961073875427246,1470,78092.51029497999,41,0.013988490216434002,0.001,1.0
350000,1232490585.3,0.0,82.61,237,0.0052536106668412685,0.6902444958686829,1471,33990.79589439,42,0.003666152246296406,0.001,1.0
360000,1201079277.6,1.1920928955078125e-07,37.37,244,0.007529290858656168,0.684626042842865,1473,100469.86425642,43,0.036047112196683884,0.001,1.0
370000,1920865773.8,4.172325134277344e-07,37.6,252,0.008962532505393028,0.6694795489311218,1464,104484.17394235,45,0.031739234924316406,0.001,1.0
380000,2676206611.2,0.0,30.53,259,0.007939750328660011,0.6659338474273682,1464,106507.02156426001,46,0.03072214499115944,0.001,1.0
390000,2632713550.4,2.980232238769531e-07,26.75,266,0.008265596814453602,0.6553646922111511,1464,111103.10620851001,47,0.02860098145902157,0.001,1.0
400000,2997888316.8,0.0,25.35,272,0.00654094060882926,0.6549908518791199,1465,112764.86050659999,48,0.022551126778125763,0.001,1.0
410000,3187110390.0,0.0,23.99,281,0.006517426576465368,0.6449512839317322,1456,110884.2387203,50,0.0022845196072012186,0.001,1.0
420000,2206319066.2,0.0,23.5,288,0.007804551627486944,0.6422718167304993,1456,113626.85065539,51,0.03758009523153305,0.001,1.0
430000,3699617950.4,0.0,21.91,295,0.009672570042312145,0.6306355595588684,1456,119807.82112218,52,0.033360373228788376,0.001,1.0
440000,3868519878.0,1.7881393432617188e-07,19.74,301,0.009510597214102745,0.6258108615875244,1457,120865.14372340002,53,0.032021649181842804,0.001,1.0
450000,4318431655.2,1.1920928955078125e-07,22.29,308,0.008340616710484028,0.6196467280387878,1457,114287.88799178999,54,0.029563913121819496,0.001,1.0
460000,4031662977.2,0.0,20.04,317,0.006361091043800116,0.6105013489723206,1448,119770.23928619002,56,0.023534847423434258,0.001,1.0
470000,4383333199.2,0.0,17.87,324,0.009622071869671345,0.6032856702804565,1447,124638.07611439,57,0.02727971039712429,0.001,1.0
480000,4522125029.2,0.0,17.84,331,0.006908486131578684,0.5992563962936401,1447,127260.27773217,58,0.022256065160036087,0.001,1.0
490000,4685056700.4,0.0,17.01,338,0.007730646524578333,0.5939438343048096,1448,128483.20127964999,59,0.022449951618909836,0.001,1.0
500000,4791289645.2,0.0,18.69,346,0.00927011575549841,0.5833927392959595,1441,127436.46512605,61,0.03077707253396511,0.001,1.0
510000,5211120821.6,0.0,16.43,353,0.00892731174826622,0.5797277092933655,1442,129819.09251637,62,0.02497362159192562,0.001,1.0
520000,5233549448.0,0.0,16.38,360,0.007845665328204632,0.5749614834785461,1443,129511.72271559999,63,0.019949709996581078,0.001,1.0
530000,5096424573.6,-1.1920928955078125e-07,25.86,367,0.009870173409581184,0.5684797167778015,1443,125821.69760001,64,0.02146035060286522,0.001,1.0
540000,4496956599.6,0.0,15.26,373,0.007408930454403162,0.5661922097206116,1444,128833.17952913999,65,0.01849731057882309,0.001,1.0
550000,5169669954.4,0.0,17.36,382,0.0064298235811293125,0.5580385327339172,1438,127562.74360399,67,0.016248302534222603,0.001,1.0
560000,5076889252.0,5.960464477539063e-08,16.04,389,0.00929330289363861,0.5569395422935486,1439,130227.74762545,68,0.02792070433497429,0.001,1.0
570000,5427600684.8,0.0,15.13,395,0.0067218393087387085,0.554204523563385,1439,130858.62093399001,69,0.026223137974739075,0.001,1.0
580000,5518134381.6,-1.1920928955078125e-07,15.17,402,0.009810359217226505,0.5490869879722595,1440,128739.29666623,70,0.025347258895635605,0.001,1.0
590000,5527592630.4,-1.1920928955078125e-07,15.04,411,0.008812811225652695,0.5350217819213867,1434,131360.30300764,72,0.023852573707699776,0.001,1.0
600000,5841383280.8,0.0,14.15,417,0.009117086417973042,0.5319080948829651,1435,131278.28121458,73,0.02807016484439373,0.001,1.0
610000,5871569462.4,1.7881393432617188e-07,14.17,424,0.006677055731415749,0.5280968546867371,1436,131376.97190984,74,0.021013891324400902,0.001,1.0
620000,5849759224.0,0.0,13.89,431,0.00740142771974206,0.5226078629493713,1437,127358.86191495,75,0.017785970121622086,0.001,1.0
630000,5833385295.2,5.960464477539063e-08,14.62,438,0.006139669567346573,0.5197242498397827,1438,132270.34914831002,76,0.02134012058377266,0.001,1.0
640000,5959973694.4,0.0,13.46,446,0.007058376912027597,0.5139155387878418,1433,132396.55493565,78,0.016877442598342896,0.001,1.0
650000,6069217294.4,0.0,13.55,453,0.0096533028408885,0.5116198658943176,1434,130394.66664511999,79,0.03068346343934536,0.001,1.0
660000,6199454717.6,0.0,13.95,460,0.009207655675709248,0.5099421143531799,1434,131271.49992592997,80,0.023527128621935844,0.001,1.0
670000,6128595580.0,-1.1920928955078125e-07,13.0,466,0.00971649494022131,0.5057600140571594,1434,131202.0038425,81,0.029370374977588654,0.001,1.0
680000,6126402962.4,0.0,13.02,475,0.008079146035015583,0.49916204810142517,1430,131804.22837998,83,0.016889693215489388,0.001,1.0
690000,6197462160.8,-1.1920928955078125e-07,13.59,482,0.006513556465506554,0.4960244596004486,1431,131080.28724698,84,0.012861456722021103,0.001,1.0
700000,6220451076.8,0.0,12.98,488,0.006635816302150488,0.4935680329799652,1432,132201.50279508,85,0.01867322251200676,0.001,1.0
710000,6276305762.4,0.0,12.62,495,0.0066742016933858395,0.4922933280467987,1432,132616.09997230998,86,0.022109707817435265,0.001,1.0
720000,6224782824.8,0.0,13.15,502,0.006166669074445963,0.4904356002807617,1433,129895.92319695,87,0.013503153808414936,0.001,1.0
730000,6362970468.0,0.0,12.5,510,0.00826454721391201,0.48397889733314514,1428,132417.59997203,89,0.019802480936050415,0.001,1.0
740000,6457321552.8,0.0,12.36,517,0.008349436335265636,0.4811825752258301,1429,133032.04226776,90,0.02259378507733345,0.001,1.0
750000,6540506473.6,0.0,12.75,524,0.008041135966777802,0.478936105966568,1430,132819.79998342,91,0.015697874128818512,0.001,1.0
760000,6461073017.6,0.0,12.39,531,0.009581543505191803,0.4754110872745514,1430,133026.99996423,92,0.02486514300107956,0.001,1.0
770000,6573479016.0,-1.1920928955078125e-07,12.39,538,0.009469945915043354,0.47425559163093567,1430,133016.1167793,93,0.026387827470898628,0.001,1.0
780000,6616851728.8,0.0,12.29,546,0.009282303042709827,0.4719254672527313,1427,133034.26453155998,95,0.027242247015237808,0.001,1.0
790000,5893499857.6,5.960464477539063e-08,12.19,553,0.0063744597136974335,0.47121044993400574,1427,133134.46722454,96,0.01988665945827961,0.001,1.0
800000,6531159536.8,0.0,12.16,560,0.009932432323694229,0.47008469700813293,1428,133327.89925087002,97,0.01871391572058201,0.001,1.0
810000,6612313387.2,-2.384185791015625e-07,12.32,566,0.0070137884467840195,0.46900129318237305,1428,132220.09116411,98,0.018000736832618713,0.001,1.0
820000,6586636510.4,0.0,12.3,575,0.006514446344226599,0.4679870903491974,1425,132834.03558954,100,0.019363287836313248,0.001,1.0
830000,6604682753.6,0.0,12.07,582,0.006710875313729048,0.4662891626358032,1425,132830.23372874,101,0.025637472048401833,0.001,1.0
840000,6639894046.4,-1.1920928955078125e-07,11.99,589,0.006960613187402487,0.46534690260887146,1426,133432.22795188,102,0.021601609885692596,0.001,1.0
850000,6685191807.2,0.0,11.97,595,0.006508011370897293,0.4640052616596222,1426,133333.59998037,103,0.02501630410552025,0.001,1.0
860000,6619315210.4,5.960464477539063e-08,11.96,602,0.00998558197170496,0.4628831148147583,1426,132327.49997424,104,0.015879785642027855,0.001,1.0
870000,6605262560.8,-1.1920928955078125e-07,11.9,611,0.008454115130007267,0.4622904360294342,1422,132937.42303998,106,0.025179559364914894,0.001,1.0
880000,6696571435.2,0.0,11.91,618,0.0060684955678880215,0.46167245507240295,1422,132934.77637575998,107,0.028909238055348396,0.001,1.0
890000,6647614440.8,0.0,11.83,625,0.009302593767642975,0.4594874680042267,1423,133240.84800523,108,0.022735966369509697,0.001,1.0
900000,6717613240.8,0.0,12.0,631,0.007919633761048317,0.45922696590423584,1424,133127.50700512,109,0.03218900412321091,0.001,1.0
910000,6639300476.8,0.0,11.88,640,0.009714041836559772,0.46015504002571106,1420,132533.51123381,111,0.03220563009381294,0.001,1.0
920000,6701051787.2,0.0,11.66,647,0.006151819135993719,0.45976004004478455,1421,132535.92743963,112,0.02426113933324814,0.001,1.0
930000,6694000856.0,1.7881393432617188e-07,11.85,654,0.008149605244398117,0.459468275308609,1421,132427.71711616,113,0.01781981810927391,0.001,1.0
940000,6682329180.8,0.0,11.89,660,0.009256059303879738,0.4567472040653229,1422,132027.09995402,114,0.028583914041519165,0.001,1.0
950000,6593999562.4,-1.1920928955078125e-07,11.79,667,0.008499041199684143,0.45594289898872375,1422,133237.79795223,115,0.0238314401358366,0.001,1.0
960000,6646893252.0,0.0,11.75,676,0.0067765116691589355,0.4533844292163849,1419,132839.79253605998,117,0.016354016959667206,0.001,1.0
970000,6676705798.4,0.0,11.51,683,0.00853837002068758,0.45131585001945496,1420,132941.89997033,118,0.029124945402145386,0.001,1.0
980000,6752710076.8,0.0,11.52,689,0.007681379560381174,0.4509241580963135,1420,132546.02758602,119,0.011274202726781368,0.001,1.0
990000,6773452969.6,0.0,11.96,696,0.006153592374175787,0.4497110843658447,1420,131522.99996755001,120,0.021644726395606995,0.001,1.0
1000000,6755753932.0,0.0,11.46,705,0.009320524521172047,0.44628891348838806,1417,133044.66306045002,122,0.02172623574733734,0.001,1.0
