time/total_timesteps,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/step_size,rollout/return_std,train/learning_rate,train/iterations,train/delta_std
360000,1000.0,2092,-39891212.4558965,172,1.4084739451136752e-11,15974736.0,0.0018,6,0.05
370000,803.2,2090,-31996478.1709414,176,,,,,
380000,781.4444444444445,2090,-31142824.920605328,181,,,,,
390000,821.1818181818181,2089,-32774457.92487327,186,,,,,
400000,859.5,2089,-34334107.21198128,191,,,,,
410000,,2087,,196,1.65923455530681e-11,13560469.0,0.0018,7,0.05
420000,1000.0,2087,-39938353.356255,201,,,,,
430000,1000.0,2086,-39990314.013753,206,,,,,
440000,893.7777777777778,2087,-35637744.780584894,210,,,,,
450000,775.4615384615385,2083,-30908120.75972762,215,,,,,
460000,1000.0,2082,-39900725.0,220,1.19015639357678e-11,18905078.0,0.0018,8,0.05
470000,803.2,2082,-32026291.494114596,225,,,,,
480000,781.8888888888889,2082,-31151922.875158112,230,,,,,
490000,821.5454545454545,2081,-32761729.80590991,235,,,,,
500000,803.4,2081,-32059089.857667267,240,,,,,
510000,1000.0,2079,-39874839.619275,245,1.4112489822581953e-11,15943324.0,0.0018,9,0.05
520000,1000.0,2076,-39942694.79458975,250,,,,,
530000,1000.0,2074,-39929662.395047836,255,,,,,
540000,1000.0,2072,-39926456.23638134,260,,,,,
550000,1000.0,2071,-39041676.21153209,265,,,,,
560000,1000.0,2068,-39262049.09435286,270,,,,,
570000,,2066,,275,9.217352575641158e-11,2441048.0,0.0018,10,0.05
580000,753.25,2065,-30114071.4224655,280,,,,,
590000,835.5,2063,-33409248.873820502,285,,,,,
600000,671.5833333333334,2062,-26760325.23668417,290,,,,,
610000,671.5333333333333,2059,-26753755.28993867,296,,,,,
620000,1000.0,2057,-39895326.79429451,301,1.1853414950968588e-11,18981872.0,0.0018,11,0.05
630000,674.1666666666666,2055,-26850602.70603567,306,,,,,
640000,705.9,2054,-28128259.682017606,311,,,,,
650000,754.9166666666666,2052,-30112053.435955256,316,,,,,
660000,14.0,2052,-306105.086134,321,1.1904523374017817e-11,18900378.0,0.0018,12,0.05
670000,753.5,2050,-30155150.21361075,326,,,,,
680000,721.5714285714286,2049,-28821846.688489143,331,,,,,
690000,732.6363636363636,2049,-29286792.685021725,336,,,,,
700000,773.7692307692307,2048,-30917258.675780535,341,,,,,
710000,1000.0,2047,-40163023.383268,346,1.2711258261244307e-11,17700844.0,0.0018,13,0.05
720000,1000.0,2045,-40083239.827412,351,,,,,
730000,1000.0,2045,-39891552.232820496,356,,,,,
740000,1000.0,2045,-39930874.682029754,361,,,,,
750000,1000.0,2044,-39961203.085645825,366,,,,,
760000,929.7857142857143,2043,-37124470.69643664,371,,,,,
770000,340.6666666666667,2041,-13488734.382917667,377,2.274551900993682e-11,9892058.0,0.0018,14,0.05
780000,505.8333333333333,2040,-20109697.9223915,382,,,,,
790000,552.0909090909091,2040,-21943212.589959364,387,,,,,
800000,621.0,2040,-24719726.621272698,392,,,,,
810000,,2040,,397,1.1831840195097865e-11,19016484.0,0.0018,15,0.05
820000,1000.0,2038,-39830850.640487,402,,,,,
830000,561.8888888888889,2037,-22268037.192347113,407,,,,,
840000,589.5,2037,-23406968.222207084,412,,,,,
850000,671.6,2035,-26715132.95145927,417,,,,,
860000,1000.0,2034,-39755075.186601,422,1.1861287993464309e-11,18969272.0,0.0018,16,0.05
870000,1000.0,2034,-39910806.28492899,427,,,,,
880000,858.8571428571429,2034,-34309363.66809143,432,,,,,
890000,901.2,2033,-36011556.1399199,437,,,,,
900000,917.6666666666666,2032,-36667224.122589834,442,,,,,
910000,1000.0,2031,-40026174.299083,447,1.4078901239278352e-11,15981360.0,0.0018,17,0.05
920000,1000.0,2030,-40046684.766361,453,,,,,
930000,1000.0,2030,-40071282.775333665,458,,,,,
940000,891.0,2028,-35642051.551107,463,,,,,
950000,737.0,2027,-29414492.019435264,468,,,,,
960000,1000.0,2027,-40101300.0,473,1.2653655900862759e-11,17781422.0,0.0018,18,0.05
970000,1000.0,2027,-39947883.3192565,478,,,,,
980000,859.8571428571429,2026,-34286609.90954886,483,,,,,
990000,901.9,2026,-36020181.07204281,488,,,,,
1000000,918.25,2025,-36676320.85329492,493,,,,,
