time/fps,train/policy_objective,train/n_updates,train/learning_rate,train/kl_divergence_loss,train/is_line_search_success,time/time_elapsed,train/std,train/explained_variance,time/total_timesteps,rollout/ep_rew_mean,train/value_loss,rollout/ep_len_mean
1157,0.06391755491495132,1,0.001,0.007393730338662863,1.0,8,0.9977368712425232,1.1920928955078125e-07,10000,-333092.99612329004,52480601312.0,11.95
1171,0.051280707120895386,2,0.001,0.004623954650014639,1.0,17,0.9958795309066772,-1.1920928955078125e-07,20000,-262247.87408248,45202627481.6,8.8
1172,0.044545579701662064,3,0.001,0.0034827603958547115,1.0,25,0.9949166774749756,0.0,30000,-257473.10750041,38984879513.6,8.76
1166,0.04529465734958649,4,0.001,0.0038333460688591003,1.0,34,0.9926462173461914,-1.1920928955078125e-07,40000,-229942.15810527003,34761195603.2,7.79
1126,0.06407573819160461,6,0.001,0.008777455426752567,1.0,44,0.9789703488349915,0.0,50000,-195280.61009283,31677474012.8,6.17
1129,0.0620192214846611,7,0.001,0.005661073140799999,1.0,53,0.9709232449531555,1.1920928955078125e-07,60000,-176634.05052672006,26355891756.8,5.49
1129,0.04418892413377762,8,0.001,0.004877172876149416,1.0,61,0.9646927714347839,0.0,70000,-174432.35790490996,25299381577.6,5.35
1128,0.04137587919831276,9,0.001,0.004082369618117809,1.0,70,0.9491803646087646,-1.1920928955078125e-07,80000,-162154.54144608,20420184614.4,4.8
1128,0.032932717353105545,10,0.001,0.005065861623734236,1.0,79,0.94735187292099,0.0,90000,-179486.02055115998,20582559572.8,5.34
1108,0.03868766501545906,12,0.001,0.0066991765052080154,1.0,90,0.9326392412185669,1.7881393432617188e-07,100000,-149934.53230008,16676353712.0,4.23
1109,0.0675830990076065,13,0.001,0.006254994310438633,1.0,99,0.9265289306640625,0.0,110000,-169111.51279286,17212741510.4,5.05
1110,0.0559973306953907,14,0.001,0.006436127703636885,1.0,108,0.9104248881340027,0.0,120000,-144310.26886809999,15430482315.2,3.9
1109,0.061677802354097366,15,0.001,0.007285779807716608,1.0,117,0.901046872138977,0.0,130000,-142489.85389781,13759631905.6,3.76
1096,0.0681058019399643,17,0.001,0.009474778547883034,1.0,127,0.882666826248169,1.1920928955078125e-07,140000,-129252.90999409002,14019815104.0,3.01
