time/fps,train/policy_objective,train/n_updates,train/learning_rate,train/kl_divergence_loss,train/is_line_search_success,time/time_elapsed,train/std,train/explained_variance,time/total_timesteps,rollout/ep_rew_mean,train/value_loss,rollout/ep_len_mean
1096,0.025669295340776443,18,0.001,0.0060129957273602486,1.0,136,0.8823518753051758,0.0,150000,-130026.19601275,12894290168.0,3.03
1095,0.047142207622528076,19,0.001,0.008323892019689083,1.0,146,0.8758628964424133,0.0,160000,-124499.34545315002,12574718612.8,2.69
1095,0.06389271467924118,20,0.001,0.00921411532908678,1.0,155,0.8622409105300903,0.0,170000,-126945.53432615999,12423164852.8,2.79
1094,0.0441884845495224,21,0.001,0.00692721176892519,1.0,164,0.8545894026756287,0.0,180000,-122246.15190859999,11883533937.6,2.57
1083,0.06429903954267502,23,0.001,0.006180509924888611,1.0,175,0.8315641283988953,0.0,190000,-118914.61463982,11339002918.4,2.53
1082,0.09366615116596222,24,0.001,0.006425742991268635,1.0,184,0.8216551542282104,0.0,200000,-116998.42463979,11164932435.2,2.26
1080,0.06613664329051971,25,0.001,0.009182434529066086,1.0,194,0.8105114698410034,0.0,210000,-118326.67675226001,11327266745.6,2.49
1079,0.028496036306023598,26,0.001,0.008798125199973583,1.0,203,0.8083256483078003,0.0,220000,-116895.11623701999,11647697936.0,2.24
1070,0.01658768765628338,28,0.001,0.009895994327962399,1.0,214,0.8020292520523071,0.0,230000,-116631.66184675999,11373032062.4,2.35
1070,0.018389582633972168,29,0.001,0.009272342547774315,1.0,224,0.7919973134994507,0.0,240000,-120597.83640041001,10734145931.2,2.95
1070,0.04103910177946091,30,0.001,0.006218980066478252,1.0,233,0.7875619530677795,0.0,250000,-119087.50399442,11032867032.0,2.78
1068,0.02304815500974655,31,0.001,0.004436963703483343,1.0,243,0.7864576578140259,-1.1920928955078125e-07,260000,-115613.81893016,10483971846.4,2.2
1067,0.059815604239702225,32,0.001,0.009109715931117535,1.0,252,0.7808555364608765,0.0,270000,-114132.38482095003,10989919174.4,2.09
1060,0.05103962868452072,34,0.001,0.0060884724371135235,1.0,264,0.7688999772071838,0.0,280000,-115988.56654341,10713182094.4,2.23
1059,0.030811980366706848,35,0.001,0.005755497608333826,1.0,273,0.766864001750946,0.0,290000,-114873.80515361,11091983264.0,2.16
1058,0.02691713348031044,36,0.001,0.00673061516135931,1.0,283,0.7656601667404175,-1.1920928955078125e-07,300000,-116109.74876327,11231621148.8,2.3
1057,0.032384857535362244,37,0.001,0.0060846200212836266,1.0,293,0.764997124671936,0.0,310000,-118812.58536918001,13161202529.6,2.5
1051,0.05881507694721222,39,0.001,0.007040193770080805,1.0,304,0.7602542638778687,-1.1920928955078125e-07,320000,-117416.78934208,11294697955.2,2.45
1050,0.05104072019457817,40,0.001,0.009886236861348152,1.0,314,0.7547043561935425,0.0,330000,-115990.74552848999,10971610113.6,2.61
1050,0.03005751594901085,41,0.001,0.009144367650151253,1.0,323,0.7542763352394104,0.0,340000,-118984.61492283002,12997721076.8,2.63
1049,0.04523149132728577,42,0.001,0.006846435833722353,1.0,333,0.7508888244628906,0.0,350000,-116009.84618716003,10215032564.8,2.79
1049,0.08059000223875046,43,0.001,0.006291414611041546,1.0,343,0.7491302490234375,0.0,360000,-116805.88133251002,10376416060.8,2.69
1044,0.02412513643503189,45,0.001,0.0056838421151041985,1.0,354,0.7434505820274353,-1.1920928955078125e-07,370000,-120937.59001971001,12509018897.6,3.1
1043,0.04475821182131767,46,0.001,0.00849924050271511,1.0,364,0.7435213327407837,0.0,380000,-119221.22115799999,10674948868.8,3.31
1043,0.02369312383234501,47,0.001,0.006757855415344238,1.0,373,0.7428022623062134,1.1920928955078125e-07,390000,-117012.52000299002,10573498961.6,3.0
1043,0.03754793107509613,48,0.001,0.007882337085902691,1.0,383,0.742146372795105,0.0,400000,-117267.73646105,9919403619.2,3.87
1039,0.05791322514414787,50,0.001,0.008722485974431038,1.0,394,0.7343036532402039,-1.1920928955078125e-07,410000,-106410.78330721,7181871963.2,5.08
1039,0.034322913736104965,51,0.001,0.007249333895742893,1.0,404,0.7333491444587708,0.0,420000,-92480.86772264,10825142249.6,6.2
1039,0.04675418138504028,52,0.001,0.009418534114956856,1.0,413,0.7323858737945557,-1.1920928955078125e-07,430000,-93919.76401910001,5484964584.0,7.55
1040,0.052318673580884933,53,0.001,0.007008071057498455,1.0,423,0.7241036295890808,0.0,440000,-65846.21028133,4257542212.4,6.72
1040,0.051353685557842255,54,0.001,0.009222581051290035,1.0,432,0.7166672348976135,0.0,450000,-73722.37697325001,3917855717.6,7.46
1037,0.043281782418489456,56,0.001,0.007137662265449762,1.0,443,0.7060244083404541,0.0,460000,-54609.14963776,3174603853.4,7.22
1038,0.04059851914644241,57,0.001,0.006725540850311518,1.0,452,0.7030903697013855,0.0,470000,-51467.16979231001,2451168065.4,6.8
1038,0.04667278006672859,58,0.001,0.008856115862727165,1.0,462,0.7002022862434387,0.0,480000,-43259.411216119996,3778560027.8,6.87
1039,0.038008447736501694,59,0.001,0.007795423269271851,1.0,471,0.6975482702255249,0.0,490000,-43100.99877757001,2127959588.4,6.95
1036,0.049908917397260666,61,0.001,0.009801709093153477,1.0,482,0.6934321522712708,0.0,500000,-35070.93461143,2507224139.2,6.93
1036,0.04060428589582443,62,0.001,0.006200079340487719,1.0,491,0.691649854183197,0.0,510000,-32859.781164340005,2153854648.2,7.0
1037,0.05133848264813423,63,0.001,0.009528894908726215,1.0,501,0.6906149983406067,0.06382787227630615,520000,-29231.81377621,1801892924.4,6.86
1037,0.041153982281684875,64,0.001,0.009307071566581726,1.0,510,0.6870284676551819,0.05513167381286621,530000,-26578.58075378,2012220482.8,6.6
1037,0.03827241435647011,65,0.001,0.007332234643399715,1.0,520,0.6841627955436707,0.06443572044372559,540000,-31241.23139667,1837196011.8,6.36
1035,0.04156256094574928,67,0.001,0.008295467123389244,1.0,531,0.6770271062850952,0.06088322401046753,550000,-23416.31262551,1993527785.6,6.62
1035,0.055351801216602325,68,0.001,0.009046340361237526,1.0,540,0.6742342114448547,0.05504339933395386,560000,-22022.98672203,2168019581.6,6.49
1036,0.042880456894636154,69,0.001,0.00690699927508831,1.0,550,0.6691089868545532,0.06191593408584595,570000,-13573.72467474,2070749452.2,6.39
1036,0.05064067989587784,70,0.001,0.008728710003197193,1.0,559,0.6649736762046814,0.07042562961578369,580000,-8814.406565000001,1681131430.4,6.43
1034,0.04167555645108223,72,0.001,0.00942214671522379,1.0,570,0.6575548648834229,0.07449883222579956,590000,-7261.65177276,1703276787.2,6.32
1035,0.04332265257835388,73,0.001,0.0094060730189085,1.0,579,0.65607750415802,0.08431416749954224,600000,-2955.3,1657429828.6,6.28
1035,0.05002538114786148,74,0.001,0.009094460867345333,1.0,588,0.655254602432251,0.0851699709892273,610000,-3101.7622780500005,1662059008.2,6.22
1036,0.03518839180469513,75,0.001,0.00908826757222414,1.0,598,0.6525962948799133,0.09696054458618164,620000,-529.3,1654214287.6,6.21
1036,0.03426187112927437,76,0.001,0.00902025867253542,1.0,607,0.6513193845748901,0.08901268243789673,630000,784.70304402,1726463483.0,6.16
1034,0.03529810532927513,78,0.001,0.006520415656268597,1.0,618,0.6474059224128723,0.06504833698272705,640000,-745.52620196,1649471445.0,6.11
1035,0.04867997393012047,79,0.001,0.009140961803495884,1.0,627,0.6447439789772034,0.08081746101379395,650000,2635.30974484,1727521692.6,6.12
1036,0.04210245609283447,80,0.001,0.007363142911344767,1.0,636,0.6427035927772522,0.05862021446228027,660000,2639.6024389700005,1728604974.2,6.1
1036,0.045495130121707916,81,0.001,0.009159084409475327,1.0,646,0.6413288116455078,0.0985410213470459,670000,3406.5,1747505159.2,6.16
1034,0.020500652492046356,83,0.001,0.008550942875444889,1.0,657,0.6360441446304321,0.06287598609924316,680000,1706.5832873899997,1853639761.8,6.0
1035,0.03457898274064064,84,0.001,0.0089537613093853,1.0,666,0.6352400183677673,0.06494390964508057,690000,4216.56552012,1787612498.8,6.12
1035,0.02960694581270218,85,0.001,0.006518305279314518,1.0,675,0.6349939107894897,0.07509958744049072,700000,4861.057703560001,1732559570.0,6.06
1036,0.04141511023044586,86,0.001,0.008186368271708488,1.0,685,0.6346673369407654,0.07507199048995972,710000,6035.7,1741078896.4,6.08
1037,0.04128515347838402,87,0.001,0.009202837944030762,1.0,694,0.6354200839996338,0.08025604486465454,720000,8358.4,1717328878.2,6.04
1035,0.050762418657541275,89,0.001,0.009070275351405144,1.0,704,0.6353291273117065,0.0696379542350769,730000,7690.35401503,1862059918.4,5.99
1035,0.028176147490739822,90,0.001,0.00888222549110651,1.0,714,0.634894609451294,0.07611101865768433,740000,4519.7,1852316852.4,6.13
1036,0.041826386004686356,91,0.001,0.0075226472690701485,1.0,723,0.6347901225090027,0.08388572931289673,750000,5774.140277070001,1815747869.4,6.07
1036,0.02581740915775299,92,0.001,0.008088014088571072,1.0,733,0.6345264315605164,0.07807368040084839,760000,8153.2,1888398679.8,6.09
1037,0.03662262111902237,93,0.001,0.009838277474045753,1.0,742,0.6326325535774231,0.08133339881896973,770000,8101.46733755,1882574788.2,6.03
1035,0.03482028469443321,95,0.001,0.006591332145035267,1.0,753,0.6304585933685303,0.07851743698120117,780000,8962.9,1929872234.6,6.04
1036,0.02865128219127655,96,0.001,0.006210057996213436,1.0,762,0.6297674179077148,0.08990490436553955,790000,7317.8554617400005,1837612551.0,6.02
1036,0.041357774287462234,97,0.001,0.009502842091023922,1.0,771,0.6302091479301453,0.08692348003387451,800000,8256.5,1853576632.0,6.06
1037,0.05064015835523605,98,0.001,0.008729156106710434,1.0,781,0.6300250887870789,0.09297627210617065,810000,7749.97966339,1819856621.0,6.08
1035,0.03275403380393982,100,0.001,0.006633816286921501,1.0,791,0.6281020641326904,5.960464477539063e-08,820000,9669.91626524,1871455137.2,6.04
1036,0.03282742202281952,101,0.001,0.0064420681446790695,1.0,800,0.6275646686553955,0.0,830000,8257.0,1859477823.2,6.05
1036,0.04759657382965088,102,0.001,0.009742741473019123,1.0,810,0.6270859241485596,0.0,840000,7956.31045063,1822766097.2,5.96
1037,0.035030070692300797,103,0.001,0.006530810613185167,1.0,819,0.6273984909057617,-1.1920928955078125e-07,850000,8860.0,1914254789.8,6.08
1037,0.029034439474344254,104,0.001,0.007482007145881653,1.0,829,0.6273915767669678,5.960464477539063e-08,860000,11689.6,1879707416.2,6.01
1035,0.03193731978535652,106,0.001,0.009814281947910786,1.0,839,0.6254696249961853,0.0,870000,10376.4,1887189756.4,6.04
1036,0.01899174228310585,107,0.001,0.007042651530355215,1.0,849,0.6261141300201416,5.960464477539063e-08,880000,10678.2,1866461891.0,6.04
1036,0.029212169349193573,108,0.001,0.007459523621946573,1.0,858,0.6252263188362122,0.0,890000,9771.36645853,1860366423.2,6.03
1036,0.03583585098385811,109,0.001,0.006751371081918478,1.0,867,0.6247307658195496,0.0,900000,9467.9,1822503392.8,6.03
1035,0.03150511533021927,111,0.001,0.008434643037617207,1.0,878,0.6243584752082825,0.0,910000,9569.3,1896239725.4,6.02
1036,0.03957360237836838,112,0.001,0.009174038656055927,1.0,887,0.6231220960617065,-1.1920928955078125e-07,920000,10781.0,1849881393.0,6.02
1036,0.04084299877285957,113,0.001,0.00939263217151165,1.0,897,0.6219912171363831,1.7881393432617188e-07,930000,7688.91959163,1838896781.2,6.03
1036,0.03483245521783829,114,0.001,0.008792443200945854,1.0,906,0.6218259334564209,0.0,940000,10680.6,1870438041.0,6.01
1037,0.04722010716795921,115,0.001,0.009744348004460335,1.0,915,0.6211836934089661,0.0,950000,10982.86977363,1861523601.8,6.0
1036,0.035412486642599106,117,0.001,0.008593499660491943,1.0,926,0.6211456656455994,0.0,960000,11285.5,1838516681.4,6.02
1036,0.03424321115016937,118,0.001,0.007954752072691917,1.0,935,0.6209779381752014,0.0,970000,11890.5,1868291370.6,6.01
1037,0.03626895695924759,119,0.001,0.008681531995534897,1.0,944,0.6203997731208801,-1.1920928955078125e-07,980000,10679.04625653,1917365220.4,6.04
1037,0.04376405477523804,120,0.001,0.009688301011919975,1.0,953,0.6205862760543823,-1.1920928955078125e-07,990000,10982.3,1892467653.8,6.03
1036,0.029394935816526413,122,0.001,0.00887302216142416,1.0,964,0.6212526559829712,-1.1920928955078125e-07,1000000,11082.7,1863803498.8,6.04
