rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,train/is_line_search_success,train/value_loss,train/policy_objective,train/learning_rate,train/kl_divergence_loss,train/n_updates,time/fps,time/time_elapsed,train/std,train/explained_variance
366.8333333333333,-695359.3354754167,10000,1.0,1492593859.2,0.039411649107933044,0.0013,0.005630515981465578,1,1662,6,1.0065815448760986,-1.430511474609375e-06
312.55172413793105,-560210.1383459655,20000,1.0,1120398429.3,0.03035343810915947,0.0013,0.007026599254459143,2,1671,11,1.0050642490386963,0.0
308.82978723404256,-516390.38220137224,30000,1.0,1112128473.4,0.03068574331700802,0.0013,0.005607368424534798,3,1675,17,0.9875292181968689,0.0
286.38,-412588.30324179004,40000,1.0,777914914.65,0.043964095413684845,0.0013,0.008110092021524906,4,1675,23,0.9848153591156006,0.0
245.72,-316982.60684746003,50000,1.0,767223558.8,0.03040168806910515,0.0013,0.00542491115629673,6,1599,31,0.9813904166221619,0.0
260.83,-295752.36675835995,60000,1.0,484125097.15,0.031106065958738327,0.0013,0.00606680428609252,7,1614,37,0.9711354374885559,0.0
279.65,-306668.34652531,70000,1.0,517910387.05,0.03526093438267708,0.0013,0.006543134804815054,8,1625,43,0.9604167342185974,1.1920928955078125e-07
313.15,-308348.21686260996,80000,1.0,556699548.1,0.027569659054279327,0.0013,0.006179169286042452,9,1632,49,0.9474495053291321,0.0
259.53,-246861.30470398,90000,1.0,606420923.65,0.03370703384280205,0.0013,0.006650887429714203,10,1636,55,0.9468043446540833,0.0
245.93,-218531.13625610995,100000,1.0,457534900.65,0.021423760801553726,0.0013,0.009770776145160198,12,1602,62,0.9398066997528076,0.0
268.21,-231452.45748576,110000,1.0,556565220.6,0.03800927475094795,0.0013,0.007339755538851023,13,1608,68,0.9388934969902039,-1.1920928955078125e-07
262.59,-231076.63803371,120000,1.0,492350975.925,0.02926911599934101,0.0013,0.006627058144658804,14,1613,74,0.936842143535614,0.0
262.86,-226805.17262268,130000,1.0,547329456.0,0.04110923036932945,0.0013,0.007638545241206884,15,1618,80,0.9473970532417297,0.0
248.48,-208588.88414763,140000,1.0,433122338.75,0.03143535181879997,0.0013,0.008796879090368748,17,1598,87,0.9458315372467041,0.0
256.06,-210591.81303154,150000,1.0,511202179.1,0.03623344749212265,0.0013,0.006900429259985685,18,1603,93,0.9231595993041992,0.0
285.43,-227980.43974774002,160000,1.0,468891428.325,0.029422035440802574,0.0013,0.007746169809252024,19,1608,99,0.9192163348197937,0.0
306.29,-239367.34034021,170000,1.0,364878875.9,0.0386139415204525,0.0013,0.006877752020955086,20,1611,105,0.9071210026741028,0.0
320.39,-235217.74491327003,180000,1.0,417522802.0,0.037173159420490265,0.0013,0.007808690425008535,21,1615,111,0.8909866213798523,0.0
349.64,-244256.34995891002,190000,1.0,363683655.675,0.02919439971446991,0.0013,0.006834842264652252,23,1598,118,0.8865271210670471,-1.1920928955078125e-07
335.28,-232543.09777490998,200000,1.0,400745703.625,0.03191342577338219,0.0013,0.00769885815680027,24,1605,124,0.8931851983070374,0.0
331.18,-224289.91673331003,210000,1.0,371285513.8375,0.03325773403048515,0.0013,0.007954721339046955,25,1611,130,0.9040125012397766,-1.1920928955078125e-07
334.02,-212305.90264002007,220000,1.0,287783318.775,0.03295937180519104,0.0013,0.007697794586420059,26,1616,136,0.8883745670318604,0.0
331.7,-191282.15054451,230000,1.0,314695195.2625,0.03623294457793236,0.0013,0.007896027527749538,28,1604,143,0.888624906539917,0.0
345.67,-185814.04361865003,240000,1.0,340686283.125,0.032279446721076965,0.0013,0.007433487102389336,29,1609,149,0.8872894644737244,0.0
375.26,-182405.88124183004,250000,1.0,234681845.91875,0.032605987042188644,0.0013,0.00841305311769247,30,1614,154,0.8960995674133301,-1.1920928955078125e-07
380.97,-177293.04119561,260000,1.0,205297680.0375,0.030243176966905594,0.0013,0.007441313471645117,31,1618,160,0.8952102065086365,0.0
426.08,-186363.46918653994,270000,1.0,217970178.89375,0.033950790762901306,0.0013,0.006944872438907623,32,1621,166,0.8946214318275452,0.0
487.14,-188559.19389878,280000,1.0,122145070.046875,0.0383063405752182,0.0013,0.008384906686842442,34,1612,173,0.8775563836097717,0.0
550.56,-175220.75074542005,290000,1.0,25542553.48984375,0.030082864686846733,0.0013,0.007501936051994562,35,1615,179,0.8797056078910828,0.0
612.6,-165384.07986702,300000,1.0,25358143.41542969,0.02685810998082161,0.0013,0.00779449800029397,36,1619,185,0.8839756846427917,5.960464477539063e-08
666.21,-149272.97831753,310000,1.0,35291038.80390625,0.03202419728040695,0.0013,0.00811490323394537,37,1623,190,0.8823180794715881,0.0
707.18,-134657.47628610002,320000,1.0,29740278.09375,0.03159045800566673,0.0013,0.008390545845031738,39,1615,198,0.880394458770752,0.0
755.49,-123228.49771024,330000,1.0,3411798.5630859374,0.01948348432779312,0.0013,0.005935813765972853,40,1618,203,0.8752973675727844,5.960464477539063e-08
827.12,-107906.95015763,340000,1.0,3838005.321875,0.04076268523931503,0.0013,0.008974296040832996,41,1621,209,0.875555694103241,0.0
863.65,-91158.63737088999,350000,1.0,4234080.118359375,0.03631437569856644,0.0013,0.007618893403559923,42,1625,215,0.8714761734008789,0.0
911.12,-71747.43567089,360000,1.0,3737660.642578125,0.028509018942713737,0.0013,0.009860964491963387,43,1627,221,0.8696925044059753,5.960464477539063e-08
943.08,-59878.81274536,370000,1.0,8403812.294726562,0.02421395480632782,0.0013,0.006860453635454178,45,1620,228,0.8721024394035339,0.0
962.81,-45065.89563248,380000,1.0,15465242.063671876,0.026118827983736992,0.0013,0.008051276206970215,46,1623,234,0.8764551281929016,-1.1920928955078125e-07
966.31,-40479.74660446,390000,1.0,13921231.79423828,0.026745660230517387,0.0013,0.006658162456005812,47,1626,239,0.8704411387443542,0.0
978.26,-38489.45219152,400000,1.0,4907961.880371094,0.027344800531864166,0.0013,0.0074576325714588165,48,1628,245,0.8687930107116699,0.0
986.5,-35716.45248452,410000,1.0,2023848.327734375,0.03126571327447891,0.0013,0.008434954099357128,50,1621,252,0.8653302192687988,0.0
993.09,-27895.57810384,420000,1.0,12289600.687792968,0.018972773104906082,0.0013,0.007840894162654877,51,1623,258,0.867688000202179,0.0
989.52,-28083.49136333001,430000,1.0,14654301.7328125,0.022509997710585594,0.0013,0.003910731989890337,52,1625,264,0.8649594783782959,0.0
989.52,-25295.135216059993,440000,1.0,1031816.1400390625,0.03326127305626869,0.0013,0.0082639055326581,53,1627,270,0.8616848587989807,0.0
989.52,-22629.770357930003,450000,1.0,1057972.5916992188,0.023639211431145668,0.0013,0.006747262552380562,54,1629,276,0.858788251876831,0.0
989.52,-21939.21298095,460000,1.0,4451117.953808594,0.04144169017672539,0.0013,0.00989133957773447,56,1623,283,0.847682535648346,0.0
990.01,-19202.24582335,470000,1.0,1433423.115185547,0.02756832167506218,0.0013,0.008624110370874405,57,1625,289,0.8529372215270996,0.0
990.01,-19297.310898829997,480000,1.0,2177607.743798828,0.04535030573606491,0.0013,0.008873735554516315,58,1627,294,0.8486871719360352,0.0
992.01,-17822.716688989996,490000,1.0,2450994.1361816404,0.027835845947265625,0.0013,0.006629584822803736,59,1629,300,0.8492439389228821,0.0
