train/std,rollout/ep_len_mean,time/fps,time/total_timesteps,train/policy_loss,train/learning_rate,train/n_updates,train/entropy_loss,rollout/ep_rew_mean,time/time_elapsed,train/value_loss,train/explained_variance
1.000052571296692,59.25,1809,10000,-1197634.25,0.0001,124,-17.028318405151367,-879932.14079449,5,5357461504.0,4.76837158203125e-07
0.9999826550483704,50.66,1839,20000,-1376053.375,0.0001,249,-17.026823043823242,-763668.8979136902,10,7795270656.0,-5.0067901611328125e-06
0.9999370574951172,56.93,1829,30000,-1235036.625,0.0001,374,-17.026121139526367,-862907.4164154398,16,6575944704.0,-8.344650268554688e-07
1.0000370740890503,48.3,1829,40000,-1308549.25,0.0001,499,-17.027421951293945,-723627.4909883599,21,7217622016.0,-3.5762786865234375e-07
1.0001953840255737,57.58,1833,50000,-1290664.25,0.0001,624,-17.02948760986328,-846844.1726253699,27,6655675392.0,-7.152557373046875e-07
1.0006970167160034,57.28,1824,60000,-1315237.75,0.0001,749,-17.035449981689453,-836520.6546189499,32,7074138624.0,-4.76837158203125e-07
1.0003429651260376,50.97,1828,70000,-1101319.75,0.0001,874,-17.03124237060547,-743788.66982937,38,4721376256.0,2.384185791015625e-07
1.000230073928833,54.33,1831,80000,-1391420.75,0.0001,999,-17.030384063720703,-794254.6450255599,43,7408180224.0,-2.384185791015625e-07
0.9999702572822571,52.13,1829,90000,-1365255.625,0.0001,1124,-17.026456832885742,-751813.86516077,49,7584442880.0,1.1920928955078125e-07
0.9995502829551697,51.34,1829,100000,-1259281.75,0.0001,1249,-17.02240562438965,-749636.2484469301,54,5903402496.0,0.0
0.9998956322669983,53.34,1831,110000,-1386558.5,0.0001,1374,-17.025999069213867,-784420.8250748999,60,7393271808.0,5.960464477539063e-08
1.0000821352005005,56.0,1833,120000,-1388374.875,0.0001,1499,-17.02790069580078,-813862.94241684,65,7638166016.0,0.0
1.0005676746368408,61.49,1832,130000,-1296671.0,0.0001,1624,-17.03394317626953,-879367.2954000101,70,6762497536.0,0.0
1.0006802082061768,49.85,1831,140000,-1184052.25,0.0001,1749,-17.03522300720215,-729649.87989446,76,5500618240.0,0.0
1.0008271932601929,49.23,1826,150000,-1377684.625,0.0001,1874,-17.03746223449707,-711245.3038366,82,6778840064.0,1.1920928955078125e-07
1.0004042387008667,52.41,1826,160000,-1408746.125,0.0001,1999,-17.032569885253906,-754145.7495726199,87,7439808000.0,0.0
1.0004466772079468,53.0,1826,170000,-965853.8125,0.0001,2124,-17.03294563293457,-762882.4788174699,93,4578779648.0,0.0
1.000317931175232,57.5,1827,180000,-1332799.25,0.0001,2249,-17.030214309692383,-828617.59703496,98,7701651456.0,0.0
0.9996677041053772,50.06,1825,190000,-1231635.375,0.0001,2374,-17.02349281311035,-722133.1546724901,104,5801424384.0,5.960464477539063e-08
0.9994561672210693,51.34,1820,200000,-1395940.25,0.0001,2499,-17.0208740234375,-738179.63970532,109,7272219648.0,0.0
0.9993522763252258,58.79,1821,210000,-1177368.0,0.0001,2624,-17.0191593170166,-829768.07927018,115,5767273472.0,0.0
0.9993008971214294,56.56,1814,220000,-1133993.5,0.0001,2749,-17.01835823059082,-790257.9974068899,121,5211163136.0,0.0
0.9993014931678772,51.2,1814,230000,-1342429.75,0.0001,2874,-17.018943786621094,-733977.32292378,126,7054846976.0,1.1920928955078125e-07
0.9997851848602295,66.33,1816,240000,-1041198.3125,0.0001,2999,-17.02403450012207,-932515.5398457599,132,4795671040.0,5.960464477539063e-08
0.9996643662452698,51.33,1816,250000,-1246362.875,0.0001,3124,-17.02336311340332,-728880.24979339,137,6244444672.0,-1.1920928955078125e-07
0.9997844099998474,47.57,1815,260000,-1093821.25,0.0001,3249,-17.02414321899414,-677928.8521695599,143,4973138944.0,0.0
0.9995584487915039,51.52,1815,270000,-1119283.625,0.0001,3374,-17.021575927734375,-734121.31314797,148,5113308672.0,1.7881393432617188e-07
0.9995301365852356,50.86,1815,280000,-1215837.125,0.0001,3499,-17.021448135375977,-711456.96085857,154,6012215296.0,0.0
0.9996833801269531,47.78,1814,290000,-1181502.25,0.0001,3624,-17.022838592529297,-671658.1341431001,159,5806968320.0,5.960464477539063e-08
0.9994311928749084,47.68,1814,300000,-1281958.875,0.0001,3749,-17.02088737487793,-673900.86347819,165,6199671296.0,1.1920928955078125e-07
0.9994478225708008,45.17,1814,310000,-1232541.625,0.0001,3874,-17.020654678344727,-650592.7894859201,170,5778755072.0,-1.1920928955078125e-07
0.9996630549430847,48.99,1814,320000,-1335795.75,0.0001,3999,-17.023412704467773,-691867.3857194801,176,6825050112.0,0.0
0.9995545744895935,48.1,1813,330000,-1289689.75,0.0001,4124,-17.022071838378906,-685826.8535811402,181,6272670720.0,-1.1920928955078125e-07
1.0000286102294922,45.98,1813,340000,-1292748.375,0.0001,4249,-17.02747344970703,-657993.85800672,187,6550675968.0,-1.1920928955078125e-07
1.000311255455017,48.48,1813,350000,-1157076.75,0.0001,4374,-17.030548095703125,-694369.4539102,192,5600573440.0,-1.1920928955078125e-07
1.0005189180374146,45.31,1813,360000,-1235989.375,0.0001,4499,-17.033693313598633,-642539.7054705999,198,5953193472.0,-1.1920928955078125e-07
1.0004914999008179,50.0,1813,370000,-1295098.0,0.0001,4624,-17.03284454345703,-693782.4890811901,204,6554072576.0,-1.1920928955078125e-07
1.0004456043243408,46.22,1813,380000,-1132693.625,0.0001,4749,-17.032310485839844,-651186.9828886599,209,5169485824.0,-2.384185791015625e-07
1.000102162361145,46.46,1813,390000,-1198179.25,0.0001,4874,-17.02863121032715,-648380.37406294,215,5549505536.0,-1.1920928955078125e-07
1.000496745109558,47.59,1813,400000,-1170057.5,0.0001,4999,-17.03358268737793,-663117.96699168,220,5048694272.0,0.0
1.0012677907943726,45.78,1814,410000,-1166149.5,0.0001,5124,-17.042285919189453,-634567.37427809,226,5292279808.0,-2.384185791015625e-07
