rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/step_size,train/learning_rate,train/iterations,rollout/return_std,train/delta_std
668.0,10000,1556,-33050012.187098335,6,,,,,
800.8,20000,1605,-39784946.4549502,12,,,,,
875.5,30000,1619,-43519930.928012125,18,,,,,
900.4,40000,1624,-44815831.2849191,24,,,,,
858.1428571428571,50000,1628,-42678943.892611146,30,,,,,
14.0,60000,1622,-267926.179056,36,1.4747605914244843e-10,0.02,0,16951904.0,0.05
753.5,70000,1628,-37506581.41505075,42,,,,,
835.6666666666666,80000,1633,-41610329.03191984,48,,,,,
670.0833333333334,90000,1636,-33339737.990658253,54,,,,,
717.2142857142857,100000,1636,-35705494.955782935,61,,,,,
531.5,110000,1636,-26057996.5084055,67,1.1259610604996695e-10,0.02,1,22203254.0,0.05
765.75,120000,1636,-37861880.812065996,73,,,,,
678.1111111111111,130000,1637,-33469280.163418446,79,,,,,
677.8333333333334,140000,1636,-33492955.823396336,85,,,,,
742.2666666666667,150000,1637,-36775969.282591335,91,,,,,
1000.0,160000,1638,-50033644.10249,97,1.1460797588735971e-10,0.02,2,21813490.0,0.05
1000.0,170000,1639,-49908663.118688755,103,,,,,
1000.0,180000,1640,-49984137.90789867,109,,,,,
900.5,190000,1641,-44926768.46919851,115,,,,,
917.0833333333334,200000,1642,-45737540.585675925,121,,,,,
933.6666666666666,210000,1640,-46594058.62591974,127,,,,,
1000.0,220000,1641,-50076284.67902,134,2.0069390593846492e-10,0.02,3,12456780.0,0.05
1000.0,230000,1642,-50001147.916161254,140,,,,,
604.1,240000,1641,-30065508.2739574,146,,,,,
604.9333333333333,250000,1642,-30056347.442569397,152,,,,,
1000.0,260000,1641,-49831211.081231,158,1.0055699328770373e-10,0.02,4,24861522.0,0.05
1000.0,270000,1641,-49861041.027591005,164,,,,,
1000.0,280000,1641,-49898165.17138817,170,,,,,
1000.0,290000,1640,-49926955.90617701,176,,,,,
1000.0,300000,1637,-49897743.76285183,183,,,,,
,310000,1633,,189,1.5011521192764832e-10,0.02,5,16653875.0,0.05
1000.0,320000,1632,-49757863.970075,196,,,,,
1000.0,330000,1629,-49846459.7553218,202,,,,,
1000.0,340000,1629,-49902198.12690972,208,,,,,
1000.0,350000,1626,-49820128.8557586,215,,,,,
1000.0,360000,1627,-49852231.96798325,221,,,,,
1000.0,370000,1624,-49807289.55454,227,1.4985912510923072e-10,0.02,6,16682334.0,0.05
1000.0,380000,1623,-49852351.64543799,234,,,,,
754.625,390000,1622,-37520405.39083837,240,,,,,
803.7,400000,1620,-40020068.87728679,246,,,,,
,410000,1620,,253,1.0516372495050774e-10,0.02,7,23772456.0,0.05
504.75,420000,1618,-25075084.750249498,259,,,,,
669.8333333333334,430000,1618,-33329056.713464994,265,,,,,
702.7,440000,1616,-34950928.99185379,272,,,,,
606.0,450000,1615,-30007647.48534926,278,,,,,
1000.0,460000,1614,-50138131.7719265,285,1.008817474001944e-10,0.02,8,24781490.0,0.05
672.0,470000,1613,-33440026.051981997,291,,,,,
781.3333333333334,480000,1612,-38921629.82838711,297,,,,,
821.0909090909091,490000,1612,-40937345.89747527,303,,,,,
859.4285714285714,500000,1611,-42811672.55207465,310,,,,,
11.0,510000,1611,-247604.164611,316,1.4765441647135447e-10,0.02,9,16931428.0,0.05
604.8,520000,1610,-29970507.316687595,322,,,,,
461.54545454545456,530000,1610,-22784451.163477182,329,,,,,
576.9285714285714,540000,1609,-28600691.331797503,335,,,,,
12.0,550000,1609,-209032.834487,341,1.0059109795124144e-10,0.02,10,24853094.0,0.05
507.6666666666667,560000,1609,-24946754.878753334,347,,,,,
630.75,570000,1608,-31192112.041850246,354,,,,,
731.4545454545455,580000,1609,-36310140.520280175,360,,,,,
772.7692307692307,590000,1609,-38395260.52747015,366,,,,,
510.5,600000,1608,-25293065.772579998,373,1.1277741934767604e-10,0.02,11,22167558.0,0.05
755.25,610000,1608,-37603057.56238825,379,,,,,
753.625,620000,1608,-37531647.12478712,385,,,,,
579.0714285714286,630000,1608,-28568485.24499614,391,,,,,
260.0,640000,1608,-12707786.8582485,397,1.0095163593959455e-10,0.02,12,24764334.0,0.05
382.25,650000,1608,-18895116.422745876,404,,,,,
506.3333333333333,660000,1607,-25133509.52671392,410,,,,,
576.8571428571429,670000,1607,-28658272.259047218,416,,,,,
339.0,680000,1608,-16683646.641941667,422,1.0065387412439009e-10,0.02,13,24837592.0,0.05
435.42857142857144,690000,1608,-21526511.232025854,428,,,,,
550.7272727272727,700000,1609,-27342344.22995809,435,,,,,
577.5714285714286,710000,1609,-28691182.516374715,441,,,,,
19.0,720000,1609,-427759.659495,447,1.009275718555358e-10,0.02,14,24770236.0,0.05
754.75,730000,1610,-37550537.089944504,453,,,,,
630.375,740000,1610,-31270565.620880753,459,,,,,
670.5833333333334,750000,1610,-33344547.498008832,465,,,,,
717.6428571428571,760000,1610,-35702359.77475629,471,,,,,
1000.0,770000,1610,-49898629.971305,478,1.126320703370709e-10,0.02,15,22196164.0,0.05
1000.0,780000,1611,-49846029.509653,484,,,,,
669.4444444444445,790000,1611,-33298835.292291,490,,,,,
538.8666666666667,800000,1612,-26729867.6200084,496,,,,,
1000.0,810000,1613,-50011032.302983,502,9.826375824140143e-11,0.02,16,25441730.0,0.05
1000.0,820000,1613,-50001246.25557925,508,,,,,
644.5454545454545,830000,1613,-32025930.924192905,514,,,,,
649.9285714285714,840000,1614,-32326578.88211028,520,,,,,
1000.0,850000,1614,-49699814.610782,526,1.0545994633126554e-10,0.02,17,23705682.0,0.05
753.25,860000,1615,-37406517.090621755,532,,,,,
552.0,870000,1615,-27290511.799864184,538,,,,,
539.8666666666667,880000,1615,-26709106.679981664,544,,,,,
1000.0,890000,1616,-49927435.404838994,550,9.835137565472607e-11,0.02,18,25419064.0,0.05
672.0,900000,1616,-33446483.911153663,556,,,,,
474.53333333333336,910000,1616,-23441028.61204766,563,,,,,
1000.0,920000,1616,-49225079.657617,569,9.750748125592068e-11,0.02,19,25639058.0,0.05
803.6,930000,1615,-39794901.65264501,575,,,,,
753.75,940000,1615,-37367559.413558125,581,,,,,
820.9090909090909,950000,1615,-40711646.77445891,587,,,,,
737.5333333333333,960000,1616,-36577699.6113032,593,,,,,
504.5,970000,1616,-24667275.279619,600,1.1322882909059473e-10,0.02,20,22079182.0,0.05
575.2857142857143,980000,1615,-28481196.656365145,606,,,,,
669.6666666666666,990000,1615,-33234340.437835004,612,,,,,
695.5384615384615,1000000,1615,-34463613.62656316,618,,,,,
