rollout/ep_len_mean,train/actor_loss,rollout/ep_rew_mean,train/ent_coef,train/n_updates,train/ent_coef_loss,train/critic_loss,train/learning_rate,time/fps,time/total_timesteps,time/episodes,time/time_elapsed
452.875,158362.015625,-7117875.930768438,1.5123686790466309,2474,-3.1018974781036377,4155.5966796875,0.0003,197,10000,16,50
651.6428571428571,333458.125,-11400706.506815037,3.2810871601104736,4974,-9.031258583068848,3781.835693359375,0.0003,196,20000,28,101
608.875,505766.0,-10532473.508474834,7.131415367126465,7474,-20.521800994873047,4584.9931640625,0.0003,196,30000,48,152
77.97,615873.875,-1419065.41179905,13.610878944396973,9974,-10.344944953918457,7172.19189453125,0.0003,195,40000,180,204
47.61,699615.25,-750597.26745855,23.794462203979492,12474,-12.869357109069824,11080.599609375,0.0003,195,50000,329,255
98.83,764515.4375,-1778092.5573349101,35.87646484375,14974,-5.208700180053711,10555.98828125,0.0003,195,60000,376,307
217.83,817178.0,-4038101.729884341,62.51043701171875,17474,-0.6504695415496826,12689.25,0.0003,194,70000,388,359
264.71,909215.375,-5010060.724286371,91.92532348632812,19974,-1.9980299472808838,14800.7373046875,0.0003,194,80000,469,410
22.34,957195.3125,-397680.86701356,204.61160278320312,22474,-6.66426944732666,20168.96875,0.0003,194,90000,743,462
14.08,843673.75,-204276.91335295004,469.1861267089844,24974,-5.031537055969238,31430.7265625,0.0003,194,100000,1494,513
99.73,851512.25,-1907592.5236415702,325.1876525878906,27474,-1.4749422073364258,26854.85546875,0.0003,194,110000,1526,564
202.9,899793.8125,-3767168.1522216094,283.29833984375,29974,2.0897092819213867,26187.35546875,0.0003,194,120000,1551,615
310.12,1047654.625,-5497525.4810608495,244.33340454101562,32474,-0.19887614250183105,26657.0078125,0.0003,194,130000,1587,666
391.25,954508.4375,-6503442.3212582,261.4029235839844,34974,0.6835035085678101,27427.54296875,0.0003,194,140000,1603,717
468.22,1020591.125,-7705203.693466838,228.6621856689453,37474,-0.454522043466568,18991.47265625,0.0003,195,150000,1611,769
516.08,914130.625,-7455279.56397733,193.27976989746094,39974,-0.6780741214752197,16436.525390625,0.0003,195,160000,1625,820
87.3,854477.0625,-180113.56443795998,166.42041015625,42474,0.6670810580253601,15679.7060546875,0.0003,195,170000,1730,871
64.79,734517.0,-337238.7226232,157.33274841308594,44974,-0.33751600980758667,8819.07421875,0.0003,194,180000,1900,923
