rollout/ep_len_mean,train/actor_loss,rollout/ep_rew_mean,train/ent_coef,train/n_updates,train/ent_coef_loss,train/critic_loss,train/learning_rate,time/fps,time/total_timesteps,time/episodes,time/time_elapsed
37.53,659510.9375,-151389.17140993,153.140869140625,47474,0.1288001984357834,11661.8642578125,0.0003,194,190000,2094,974
84.39,603428.6875,-1413340.18479951,167.2121124267578,49974,-0.24979478120803833,8204.9541015625,0.0003,194,200000,2206,1025
88.71,536498.6875,-560594.8203368301,153.30152893066406,52474,-2.0280518531799316,11259.0673828125,0.0003,194,210000,2307,1077
175.74,487391.125,-602832.08994743,144.6184844970703,54974,-2.372433662414551,7431.47119140625,0.0003,194,220000,2326,1128
274.73,435267.0,-798613.22455836,141.47549438476562,57474,0.6306120157241821,9591.6484375,0.0003,194,230000,2337,1180
372.93,408332.375,-809589.0962509599,157.09173583984375,59974,-1.5060795545578003,8028.744140625,0.0003,194,240000,2347,1231
459.27,380908.84375,-658286.7139737499,158.5926513671875,62474,-0.1433841586112976,8390.2958984375,0.0003,194,250000,2357,1283
545.98,348819.53125,-499610.6478314601,149.86924743652344,64974,0.5849372148513794,8235.8583984375,0.0003,194,260000,2367,1334
633.35,300898.125,-507815.81785092014,135.44052124023438,67474,-1.3792815208435059,7886.70166015625,0.0003,195,270000,2378,1383
471.83,252702.859375,-161873.81510723,121.5123519897461,69974,3.0951952934265137,5652.84228515625,0.0003,195,280000,2440,1433
462.1,197891.671875,-161598.33400201003,120.14933013916016,72474,0.5965725779533386,5552.345703125,0.0003,195,290000,2451,1485
462.1,165352.609375,-160309.86588807,111.53477478027344,74974,-0.5127840042114258,4553.02587890625,0.0003,195,300000,2461,1537
462.1,139130.765625,-141969.79214231003,108.1678695678711,77474,-0.13761183619499207,4191.3408203125,0.0003,195,310000,2471,1589
481.79,108143.71875,-105913.13092243,92.05152130126953,79974,2.2680323123931885,3599.75244140625,0.0003,194,320000,2481,1641
560.52,93950.6875,-258780.27021117002,72.35528564453125,82474,2.350273370742798,3313.974609375,0.0003,194,330000,2491,1694
648.96,91520.515625,-282345.77828987,71.11579132080078,84974,-1.008258581161499,2984.7978515625,0.0003,194,340000,2501,1746
737.46,77465.4609375,-284541.46839795,71.75090789794922,87474,0.7927400469779968,2782.406494140625,0.0003,194,350000,2511,1799
825.73,71853.0546875,-289649.77190923,63.941585540771484,89974,0.8384901285171509,2267.41748046875,0.0003,194,360000,2525,1852
901.58,68239.578125,-292224.30174709996,58.124637603759766,92474,1.131508469581604,2389.68017578125,0.0003,194,370000,2538,1905
930.89,70901.765625,-293075.87371629,55.83257293701172,94974,-1.0913057327270508,2316.937255859375,0.0003,194,380000,2548,1958
930.89,61097.33984375,-293960.64506193,50.2755241394043,97474,-0.00731205940246582,2227.88916015625,0.0003,193,390000,2558,2010
930.89,60157.375,-296003.75750300003,46.23649978637695,99974,0.3255763649940491,2136.495849609375,0.0003,193,400000,2568,2064
898.69,62695.95703125,-295333.83781825,46.19305419921875,102474,-1.1028176546096802,2336.629150390625,0.0003,193,410000,2581,2117
46.96,55471.82421875,-86633.65530916002,43.99020767211914,104974,0.5984495878219604,2130.386962890625,0.0003,193,420000,2711,2169
107.41,49924.23046875,-90841.65541286001,41.413841247558594,107474,2.66353178024292,2089.5078125,0.0003,193,430000,2782,2223
185.23,53260.14453125,-95470.47791806002,36.70316696166992,109974,0.509047269821167,2168.67919921875,0.0003,193,440000,2790,2276
302.21,55289.42578125,-101671.92660584001,34.76689147949219,112474,-1.1742409467697144,2327.70263671875,0.0003,193,450000,2802,2330
380.0,55877.6484375,-104450.00038717,37.6045036315918,114974,-0.24421748518943787,2056.071533203125,0.0003,192,460000,2810,2384
496.86,48396.30859375,-173402.82135804,37.80305862426758,117474,0.9746847152709961,2018.2408447265625,0.0003,192,470000,2822,2437
574.78,50495.1015625,-172932.82836175992,38.360313415527344,119974,-0.3879584074020386,1956.6097412109375,0.0003,192,480000,2830,2491
673.39,53056.86328125,-179473.28633387003,36.43833541870117,122474,-3.4832286834716797,2173.727294921875,0.0003,192,490000,2860,2545
737.85,41109.93359375,-181408.99828628,31.83159065246582,124974,-1.3639295101165771,1994.1719970703125,0.0003,192,500000,2870,2599
798.97,39156.43359375,-181470.83163009,29.034284591674805,127474,0.49119871854782104,1780.08837890625,0.0003,192,510000,2882,2654
798.97,40779.41796875,-179682.45010065,27.001527786254883,129974,1.8974239826202393,1693.5052490234375,0.0003,192,520000,2890,2707
798.97,38257.41796875,-181292.87596697998,24.794185638427734,132474,-1.631450891494751,1863.3189697265625,0.0003,191,530000,2902,2761
798.97,44346.90234375,-217880.53688405995,26.962749481201172,134974,-2.93892765045166,1986.239990234375,0.0003,191,540000,2910,2816
753.26,37686.796875,-310511.93636580004,22.5860652923584,137474,-1.9396734237670898,1916.41259765625,0.0003,191,550000,2926,2870
754.98,36063.26171875,-634466.24259088,28.287031173706055,139974,3.316124439239502,1645.361328125,0.0003,191,560000,2935,2924
822.89,29099.65234375,-631975.8146234801,34.81752395629883,142474,-0.011013239622116089,1672.98193359375,0.0003,191,570000,2951,2979
879.72,29993.404296875,-627575.60821978,28.356958389282227,144974,1.5441625118255615,1487.812744140625,0.0003,191,580000,2961,3034
897.65,31364.0234375,-624889.65081222,23.776996612548828,147474,0.43088382482528687,1647.71923828125,0.0003,191,590000,2971,3088
897.65,32937.37109375,-624489.68474903,18.939132690429688,149974,0.7842420935630798,1497.921142578125,0.0003,190,600000,2981,3143
897.65,27652.685546875,-625895.34156736,17.698688507080078,152474,0.7321521043777466,1868.796142578125,0.0003,190,610000,2991,3197
897.65,26355.578125,-624748.5955192398,16.334842681884766,154974,1.7660069465637207,1497.931884765625,0.0003,190,620000,3001,3252
897.65,32413.7109375,-590004.11281172,14.907835006713867,157474,1.0730613470077515,1628.3463134765625,0.0003,190,630000,3011,3306
925.68,32535.810546875,-463575.11011601,13.986055374145508,159974,-0.4781864285469055,1557.1658935546875,0.0003,190,640000,3021,3361
943.36,33772.734375,-197113.93939925,14.177721977233887,162474,-1.7500700950622559,1655.466796875,0.0003,190,650000,3031,3416
963.57,28532.93359375,-112584.88516715,15.461060523986816,164974,0.5178975462913513,1219.9273681640625,0.0003,190,660000,3041,3471
992.34,28621.62890625,-111107.32055962,15.243523597717285,167474,-1.1709020137786865,1284.9112548828125,0.0003,190,670000,3051,3526
1000.0,30260.51171875,-115027.33227968999,13.864089965820312,169974,-0.35490313172340393,1402.2193603515625,0.0003,189,680000,3061,3580
1000.0,33638.4765625,-118686.71215971,12.964685440063477,172474,-0.8258722424507141,1436.1947021484375,0.0003,189,690000,3071,3635
1000.0,29827.177734375,-122930.62785930002,13.339062690734863,174974,0.769443154335022,1458.485107421875,0.0003,189,700000,3081,3690
1000.0,34313.50390625,-122618.18609415999,13.892151832580566,177474,0.7586538195610046,1384.1414794921875,0.0003,189,710000,3091,3744
990.32,33634.07421875,-118682.38483298998,13.224139213562012,179974,-0.1182858943939209,1349.961669921875,0.0003,189,720000,3102,3799
980.69,28197.685546875,-116472.40563592999,13.68541145324707,182474,0.9976221323013306,1302.2757568359375,0.0003,189,730000,3113,3853
941.11,27565.138671875,-112587.78714948999,13.618146896362305,184974,-0.32305604219436646,1234.2603759765625,0.0003,189,740000,3127,3908
941.11,30830.701171875,-111804.61724435,14.14246654510498,187474,-0.7645299434661865,1240.978271484375,0.0003,189,750000,3137,3962
838.09,22792.927734375,-114692.12282845,10.224425315856934,189974,2.0032992362976074,1190.8416748046875,0.0003,189,760000,3158,4017
237.89,27941.548828125,-95938.48443403002,9.428654670715332,192474,-0.10875117778778076,914.3356323242188,0.0003,189,770000,3235,4072
98.38,29273.869140625,-92299.08705571,9.26730728149414,194974,1.0975136756896973,1103.4580078125,0.0003,189,780000,3313,4126
38.86,23416.55078125,-92505.87686012001,9.399749755859375,197474,1.6949540376663208,1166.8836669921875,0.0003,188,790000,3448,4181
53.11,23163.73046875,-92065.13012785,9.415129661560059,199974,-0.08713953197002411,1044.8782958984375,0.0003,188,800000,3667,4235
63.06,23954.08984375,-91329.49554317001,9.429585456848145,202474,1.0289462804794312,1186.483154296875,0.0003,188,810000,3795,4290
168.26,20608.91015625,-89758.25303489002,12.242524147033691,204974,0.8708299398422241,1210.5521240234375,0.0003,188,820000,3806,4344
256.93,16176.501953125,-89544.67150912998,8.605082511901855,207474,2.3687338829040527,1069.6451416015625,0.0003,188,830000,3817,4399
50.69,23190.6015625,-95879.63801678998,8.474806785583496,209974,0.07067662477493286,1317.0570068359375,0.0003,188,840000,4001,4454
102.97,24511.107421875,-99676.71948969999,8.1946382522583,212474,-0.5768384337425232,1022.7918701171875,0.0003,188,850000,4070,4508
199.01,27857.724609375,-98892.93322420999,7.886533737182617,214974,-0.496184378862381,1082.10546875,0.0003,188,860000,4080,4563
253.28,22532.515625,-89561.69109104002,7.789705276489258,217474,0.19193005561828613,1177.5928955078125,0.0003,188,870000,4161,4617
155.19,26111.53515625,-92022.05421053001,7.366133213043213,219974,0.2930728495121002,983.2963256835938,0.0003,188,880000,4201,4672
231.87,18555.458984375,-95503.20177307,7.896068572998047,222474,1.2613855600357056,1023.1270751953125,0.0003,188,890000,4222,4727
326.39,24860.216796875,-93783.15847375,8.856729507446289,224974,0.5494436621665955,1381.5169677734375,0.0003,188,900000,4232,4781
419.16,25157.646484375,-93949.83576915998,8.848433494567871,227474,0.13147073984146118,1450.9378662109375,0.0003,188,910000,4244,4836
509.76,16986.900390625,-95597.14193856003,8.861251831054688,229974,1.8677620887756348,1043.611328125,0.0003,188,920000,4258,4890
569.06,21089.16796875,-94780.99999590998,8.915800094604492,232474,-1.5492799282073975,1381.566162109375,0.0003,188,930000,4268,4946
639.04,24356.044921875,-95368.41625165001,8.350875854492188,234974,-0.5942953824996948,1191.0430908203125,0.0003,187,940000,4278,5001
718.85,17069.6171875,-96789.82392116002,8.125189781188965,237474,1.0808274745941162,857.2155151367188,0.0003,187,950000,4289,5055
792.11,23657.943359375,-97534.97679875999,8.061814308166504,239974,-0.48102128505706787,1163.3497314453125,0.0003,187,960000,4300,5110
858.77,15703.248046875,-95195.60328245003,7.9481987953186035,242474,0.07982954382896423,1377.5018310546875,0.0003,187,970000,4309,5164
900.84,17826.947265625,-94093.99412819998,6.680267333984375,244974,0.8682836294174194,774.8287963867188,0.0003,187,980000,4320,5218
917.69,21767.775390625,-97953.74092867,6.866230487823486,247474,0.037233978509902954,944.9932861328125,0.0003,187,990000,4329,5272
919.11,14433.8310546875,-103360.63496739,6.94501256942749,249974,1.0885207653045654,1057.6009521484375,0.0003,187,1000000,4341,5327
