rollout/ep_rew_mean,train/loss,train/approx_kl,time/fps,time/total_timesteps,train/n_updates,train/clip_range,train/clip_fraction,train/entropy_loss,train/std,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/value_loss,time/time_elapsed,rollout/ep_len_mean
-273789.93303631,2343034624.0,0.005763069,1061,10000,10,0.2,0.0455078125,-17.07241867929697,1.0069729089736938,4.231929779052734e-06,0.0017,-0.007077716821913782,4863548240.4,9,46.29
-289471.74174748,2309074688.0,0.005488167,1063,20000,20,0.2,0.035107421875,-17.154487839341165,1.013882040977478,0.0,0.0017,-0.006494001162718632,4667280065.2,18,50.63
-265030.65416674,1957276032.0,0.0049654976,1062,30000,30,0.2,0.0239990234375,-17.235886932909487,1.020734190940857,-1.1920928955078125e-07,0.0017,-0.004981664432852995,4607785765.4,28,46.18
-227607.18054326996,2481640192.0,0.003975167,1062,40000,40,0.2,0.0135986328125,-17.331365290284158,1.0300065279006958,0.0,0.0017,-0.0041207289261365075,4518901106.0,37,38.02
-225917.76381625998,2140595712.0,0.0048640184,968,50000,60,0.2,0.02509765625,-17.51302065104246,1.0446451902389526,0.0,0.0017,-0.004807649381291412,4408494955.2,51,40.0
-192982.35624272004,1904882176.0,0.0039986526,978,60000,70,0.2,0.01224365234375,-17.597411370277406,1.0524147748947144,0.0,0.0017,-0.0034341551603574772,4247807014.4,61,33.16
-211959.09183955996,2236707840.0,0.004679817,986,70000,80,0.2,0.02001953125,-17.688150085508823,1.0603690147399902,1.1920928955078125e-07,0.0017,-0.0041220708701075635,4077148246.8,70,38.19
-240140.26094743,1847787904.0,0.0036473456,992,80000,90,0.2,0.00902099609375,-17.783017502725123,1.069337248802185,1.1920928955078125e-07,0.0017,-0.003313209979023668,3925438495.2,80,44.97
-210798.04471545003,2257214208.0,0.0041903798,997,90000,100,0.2,0.01331787109375,-17.890259267389773,1.0794161558151245,0.0,0.0017,-0.003808858946467808,3880005733.4,90,37.88
-209458.80919041994,2197460224.0,0.0044356226,957,100000,120,0.2,0.016357421875,-18.10379404723644,1.0981703996658325,0.0,0.0017,-0.004013951437991636,3916671973.8,104,38.22
-211909.20193778005,1765178880.0,0.0042249947,963,110000,130,0.2,0.01405029296875,-18.198252928256988,1.106622576713562,0.0,0.0017,-0.004132198444131064,3848967903.2,114,39.7
-193594.74770937997,2137244416.0,0.005151071,967,120000,140,0.2,0.0225830078125,-18.298762753605843,1.1165844202041626,1.1920928955078125e-07,0.0017,-0.005166122150876617,3813481819.6,123,37.23
-184435.33934781005,2024784128.0,0.0042661773,972,130000,150,0.2,0.01395263671875,-18.40712518543005,1.1268624067306519,0.0,0.0017,-0.004011924593032745,3723130845.8,133,33.96
-197921.73362719003,1660215424.0,0.004849058,946,140000,170,0.2,0.02237548828125,-18.60819935053587,1.1450958251953125,-2.384185791015625e-07,0.0017,-0.004726442858191149,3656984227.8,147,38.1
-166954.3396663,1363265792.0,0.0036806758,951,150000,180,0.2,0.01241455078125,-18.69593687206507,1.1533076763153076,0.0,0.0017,-0.003488601900608046,3612136496.8,157,32.3
-178968.85831374,1702116864.0,0.0042205057,956,160000,190,0.2,0.0150390625,-18.785754743218423,1.1622726917266846,0.0,0.0017,-0.0035805486255412688,3363933502.2,167,34.07
-173771.35684224998,1911339520.0,0.0048261965,960,170000,200,0.2,0.01923828125,-18.875858952105045,1.1709253787994385,1.1920928955078125e-07,0.0017,-0.004077947433506779,3570699050.6,176,31.0
-208558.96692289002,1912422272.0,0.004140297,964,180000,210,0.2,0.01094970703125,-18.96648813933134,1.1800087690353394,0.0,0.0017,-0.00313358268886077,3662110465.8,186,42.6
-166662.77349798998,1740645376.0,0.0044168294,947,190000,230,0.2,0.018505859375,-19.155248659849168,1.198752522468567,0.0,0.0017,-0.0048099546498633575,3484789255.6,200,30.41
-174444.74623239003,1655537280.0,0.004254534,952,200000,240,0.2,0.01524658203125,-19.259138222038747,1.210206389427185,1.7881393432617188e-07,0.0017,-0.0038663657373035677,3300242035.8,209,35.13
-174267.33062690002,1769568128.0,0.0049386807,957,210000,250,0.2,0.02091064453125,-19.378119023144244,1.2227017879486084,0.0,0.0017,-0.004296130373040797,3218365290.2,219,34.84
-171090.44117934,1440150528.0,0.0045693982,961,220000,260,0.2,0.02012939453125,-19.487293095886706,1.2326701879501343,0.0,0.0017,-0.004408606398646953,3196393231.8,228,32.66
-178947.99362367005,1654199040.0,0.0035438803,946,230000,280,0.2,0.008740234375,-19.70662776827812,1.2562590837478638,1.7881393432617188e-07,0.0017,-0.0032618888513752608,3283747986.8,242,35.81
-174436.56240644,1893584768.0,0.0037521254,950,240000,290,0.2,0.00909423828125,-19.81106783747673,1.266520619392395,-2.384185791015625e-07,0.0017,-0.0031152166397077964,3206365459.8,252,35.67
-180665.44016598002,1488132992.0,0.003921499,952,250000,300,0.2,0.0100341796875,-19.91518328934908,1.2781685590744019,0.0,0.0017,-0.003312958469723526,3241908622.0,262,36.78
-173987.70534584002,1344587904.0,0.0033922368,955,260000,310,0.2,0.00836181640625,-20.01875451207161,1.2887681722640991,0.0,0.0017,-0.0032311143731931224,3172010864.6,272,35.82
-190484.8427057,1316381440.0,0.0033618356,957,270000,320,0.2,0.00966796875,-20.115141066908837,1.2989648580551147,1.1920928955078125e-07,0.0017,-0.0032245284854070634,3021408059.0,281,39.23
-151706.71038714002,1634926976.0,0.004005656,945,280000,340,0.2,0.0142822265625,-20.339686688780784,1.3242777585983276,0.0,0.0017,-0.004070305511231709,3195970074.4,296,29.09
-180509.58041375,1426160000.0,0.003649115,947,290000,350,0.2,0.0115234375,-20.453211997449397,1.3375153541564941,0.0,0.0017,-0.0028900770248583285,3014745711.7,306,39.47
-183495.81523383997,1515513728.0,0.0046135783,949,300000,360,0.2,0.01673583984375,-20.583506046235563,1.3532090187072754,1.7881393432617188e-07,0.0017,-0.0043317423906046315,3038172596.9,316,40.16
-155642.64985078995,1794495360.0,0.0040224185,951,310000,370,0.2,0.01009521484375,-20.695933078229427,1.3633122444152832,0.0,0.0017,-0.0033766457985620947,2852184814.1,325,30.53
-167028.97227149998,1361768576.0,0.0044233897,940,320000,390,0.2,0.01622314453125,-20.936349089443684,1.391695499420166,0.0,0.0017,-0.0034828664590349943,2957650243.0,340,37.43
-182555.89662139997,1513218816.0,0.0047995877,942,330000,400,0.2,0.0181884765625,-21.05756163150072,1.407631516456604,1.7881393432617188e-07,0.0017,-0.004156711842006189,2924435467.8,350,37.23
-170786.25692272,1486080640.0,0.003936244,944,340000,410,0.2,0.010986328125,-21.177402344346046,1.420200228691101,0.0,0.0017,-0.003361881243654352,3048357443.2,360,35.09
-170865.39660876,1434000512.0,0.0031393485,946,350000,420,0.2,0.0072998046875,-21.291426134109496,1.4349770545959473,0.0,0.0017,-0.0025030161442373355,2822885130.9,369,36.08
-159835.21170870998,1507735936.0,0.004170255,948,360000,430,0.2,0.012646484375,-21.418048472702502,1.4503024816513062,1.1920928955078125e-07,0.0017,-0.0039048771755005873,2837366558.5,379,32.24
-157807.41329062998,1421115264.0,0.0046698335,939,370000,450,0.2,0.0157958984375,-21.636632069945335,1.4756407737731934,-1.1920928955078125e-07,0.0017,-0.0038341860268701566,2892612969.1,394,29.58
-159698.72230241,1619905536.0,0.0035681066,940,380000,460,0.2,0.0087890625,-21.750450922548772,1.491020679473877,0.0,0.0017,-0.003364598294137977,2976134690.1,403,33.01
-182770.74762752996,1550764672.0,0.0032728221,943,390000,470,0.2,0.00946044921875,-21.867811438441276,1.5054413080215454,0.0,0.0017,-0.0030575078117180965,2818469306.3,413,38.93
-161283.44090078003,1087884288.0,0.00401378,945,400000,480,0.2,0.01202392578125,-21.97355263084173,1.5173782110214233,1.1920928955078125e-07,0.0017,-0.0036982270007683837,2786118911.0,423,32.01
-160137.64365051,1685761024.0,0.003470838,937,410000,500,0.2,0.0110107421875,-22.18591923713684,1.5438460111618042,0.0,0.0017,-0.002952051142528944,2869351462.0,437,33.25
-169143.13946588,1540982528.0,0.004465161,939,420000,510,0.2,0.014111328125,-22.296724578738214,1.5618747472763062,1.1920928955078125e-07,0.0017,-0.003691883296778542,2807498181.7,447,34.75
-167044.45308311,1018425600.0,0.0040690918,941,430000,520,0.2,0.0137939453125,-22.424153296649457,1.5772002935409546,1.1920928955078125e-07,0.0017,-0.0036296839447459207,2642096108.8,456,32.77
-159115.25969824998,1333327872.0,0.004097608,943,440000,530,0.2,0.01556396484375,-22.551884159445763,1.5952807664871216,-1.1920928955078125e-07,0.0017,-0.004359914055203262,2740699768.2,466,29.61
