rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/return_std,train/delta_std,train/learning_rate,train/step_size,train/iterations
503.0,3202,-10026446.274137251,168,540000,,,,,
627.125,3202,-12487778.86469775,171,550000,,,,,
701.7,3202,-13977957.1368734,174,560000,,,,,
770.5384615384615,3203,-15309221.95727954,177,570000,,,,,
801.1333333333333,3203,-15922187.504864935,181,580000,,,,,
669.0,3203,-13304495.126272334,184,590000,7976827.5,0.05,0.02,3.134077719568751e-10,9
801.4,3204,-15965510.0326884,187,600000,,,,,
779.2222222222222,3204,-15455351.877063222,190,610000,,,,,
752.1666666666666,3205,-14939698.679624582,193,620000,,,,,
801.7333333333333,3205,-15947633.478425931,196,630000,,,,,
1000.0,3206,-19976340.724232,199,640000,7989774.0,0.05,0.02,3.1289995594541153e-10,10
801.4,3207,-15933301.9519936,202,650000,,,,,
858.1428571428571,3207,-17091482.416721143,205,660000,,,,,
819.5454545454545,3207,-16312943.654070819,208,670000,,,,,
847.3076923076923,3207,-16860427.132979307,211,680000,,,,,
8.0,3207,-96540.91284,215,690000,6767815.0,0.05,0.02,3.69395430910302e-10,11
504.0,3208,-10034191.553896751,218,700000,,,,,
627.75,3207,-12483946.308314752,221,710000,,,,,
702.2,3207,-13973436.7171819,224,720000,,,,,
770.9230769230769,3207,-15361713.584712693,227,730000,,,,,
801.4666666666667,3206,-15957300.669970002,230,740000,,,,,
1000.0,3206,-19962307.795803,233,750000,7990065.0,0.05,0.02,3.128885484038335e-10,12
1000.0,3206,-19993976.53473825,237,760000,,,,,
702.5,3206,-14014523.237978602,240,770000,,,,,
694.7692307692307,3205,-13852083.842504077,243,780000,,,,,
,3204,,246,790000,8879052.0,0.05,0.02,2.815615796070148e-10,13
669.0,3203,-13352282.078856,249,800000,,,,,
559.5555555555555,3203,-11060921.295527779,252,810000,,,,,
639.6363636363636,3203,-12660751.668073816,255,820000,,,,,
716.8571428571429,3203,-14205584.254441213,259,830000,,,,,
,3202,,262,840000,8840368.0,0.05,0.02,2.8279364960859255e-10,14
752.75,3202,-15020113.378761,265,850000,,,,,
558.6666666666666,3202,-11138754.252032889,268,860000,,,,,
669.0,3202,-13326793.255403833,271,870000,,,,,
716.2857142857143,3202,-14271409.208760288,274,880000,,,,,
1000.0,3202,-19952594.9058095,277,890000,9499456.0,0.05,0.02,2.631729556501483e-10,15
1000.0,3202,-19939321.437086247,281,900000,,,,,
779.0,3201,-15525383.781042777,284,910000,,,,,
751.3333333333334,3201,-14971108.385304833,287,920000,,,,,
7.0,3200,-98915.23874,290,930000,8844584.0,0.05,0.02,2.8265884077782744e-10,16
669.0,3199,-13305652.586851334,293,940000,,,,,
834.5,3198,-16658679.004401833,297,950000,,,,,
875.875,3197,-17495387.645882502,300,960000,,,,,
834.4166666666666,3196,-16634472.903803252,303,970000,,,,,
858.0714285714286,3196,-17102110.629365645,306,980000,,,,,
204.2,3195,-4068546.9203636004,309,990000,6774207.0,0.05,0.02,3.6904687639172096e-10,17
303.8,3194,-6049217.1978013,313,1000000,,,,,
464.46153846153845,3193,-9255324.548417078,316,1010000,,,,,
