time/fps,train/std,train/loss,train/policy_gradient_loss,rollout/ep_len_mean,train/approx_kl,train/value_loss,train/clip_range,train/clip_fraction,train/entropy_loss,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/explained_variance
1606,0.977573812007904,420059296.0,-0.0028796387821785176,312.25,0.0042358316,644982178.4875,0.2,0.01566162109375,-8.380978266894818,480000,0.0003,-333268.81580106996,298,580,1.1920928955078125e-07
1609,0.9765541553497314,368995200.0,-0.0027105388524432785,280.21,0.0035865789,663425953.9875,0.2,0.01202392578125,-8.3734951287508,490000,0.0003,-308098.88414859003,304,590,0.0
1597,0.9736300110816956,274777824.0,-0.001615182638670376,262.5,0.003078362,600717969.3875,0.2,0.008642578125,-8.355647645145655,500000,0.0003,-290260.54288045,312,610,0.0
1600,0.9730193018913269,263245984.0,-0.001862054686716874,244.55,0.0028832748,716104940.025,0.2,0.0076416015625,-8.350501236319541,510000,0.0003,-268814.79708314,318,620,-2.384185791015625e-07
1603,0.9715847373008728,539306048.0,-0.002847259602458507,262.12,0.0035926457,620115334.4875,0.2,0.00994873046875,-8.343432614207268,520000,0.0003,-287013.94820383,324,630,-1.1920928955078125e-07
1606,0.9715127944946289,287646336.0,-0.0023447886989288237,259.67,0.0033209266,606125447.5875,0.2,0.010888671875,-8.339406145364046,530000,0.0003,-294343.88928789,329,640,-2.384185791015625e-07
1609,0.9704520106315613,509849344.0,-0.0027235356710662018,287.18,0.0028148983,620571292.3875,0.2,0.00675048828125,-8.335556062310934,540000,0.0003,-314425.66857596004,335,650,0.0
1598,0.9704154133796692,208169424.0,-0.0034960117141963564,284.56,0.0042614955,549570158.9875,0.2,0.01904296875,-8.331535750627518,550000,0.0003,-304899.07109997,344,670,0.0
1601,0.9702393412590027,186623264.0,-0.002265276034268027,314.26,0.003382051,481875792.8875,0.2,0.00673828125,-8.331068245321513,560000,0.0003,-319993.13131996,349,680,-1.1920928955078125e-07
1604,0.9699599146842957,173951808.0,-0.002174535017002199,298.27,0.0029215007,569595915.925,0.2,0.00794677734375,-8.32947567924857,570000,0.0003,-298696.47073852,355,690,1.1920928955078125e-07
1607,0.9692976474761963,303032352.0,-0.002615702811635856,314.26,0.004155582,547568655.775,0.2,0.0130859375,-8.326329416036605,580000,0.0003,-305597.94002663,360,700,0.0
1597,0.96742182970047,198824672.0,-0.0016390553229030046,310.99,0.0024518932,534891385.0625,0.2,0.00338134765625,-8.315723862498999,590000,0.0003,-294922.31874560995,369,720,0.0
1599,0.9671483039855957,291590176.0,-0.0013593992414826061,314.72,0.0023620967,543787903.4875,0.2,0.0029296875,-8.31133140027523,600000,0.0003,-300226.15287338,375,730,0.0
1602,0.96585613489151,229662816.0,-0.004159565204827231,290.51,0.0052035144,544972998.9875,0.2,0.02691650390625,-8.305806440860033,610000,0.0003,-275916.14227938,380,740,0.0
1605,0.9646430611610413,355376640.0,-0.0021161846023460386,269.63,0.0032416005,560764459.8875,0.2,0.009716796875,-8.298346634209157,620000,0.0003,-255473.89824763,386,750,0.0
1607,0.9639193415641785,209008016.0,-0.0023858177359215916,276.48,0.003561451,481342038.95,0.2,0.01021728515625,-8.292334663867951,630000,0.0003,-261623.94031387998,391,760,0.0
1598,0.9612464308738708,218816192.0,-0.003593880630614876,283.99,0.005253589,550792984.5625,0.2,0.02432861328125,-8.276827684044838,640000,0.0003,-270122.64216011995,400,780,0.0
1600,0.9610802531242371,128608752.0,-0.003087046104701585,285.2,0.00425165,449329165.95,0.2,0.01724853515625,-8.27256499901414,650000,0.0003,-266043.15106672,406,790,0.0
1602,0.9590538144111633,245168944.0,-0.0027599742667007376,262.58,0.0033575888,576166794.95,0.2,0.01903076171875,-8.265559143573046,660000,0.0003,-245111.48423727002,411,800,0.0
1604,0.9570667147636414,456182176.0,-0.002593281755798671,251.84,0.0032850502,536777267.9875,0.2,0.014404296875,-8.252738966792823,670000,0.0003,-238533.0803473,417,810,0.0
