time/fps,rollout/ep_len_mean,time/episodes,time/time_elapsed,time/total_timesteps,train/learning_rate,train/n_updates,train/ent_coef,rollout/ep_rew_mean,train/actor_loss,train/ent_coef_loss,train/critic_loss
139,279.61538461538464,26,71,10000,0.0003,2474,1.7844040393829346,-7044158.619566654,254782.203125,-7.342754364013672,5183.33740234375
138,409.54545454545456,44,144,20000,0.0003,4974,3.2657763957977295,-11370395.403625613,557781.1875,-5.828985214233398,3674.362060546875
138,331.9642857142857,84,217,30000,0.0003,7474,5.557705402374268,-9105508.965738786,776365.625,-1.8285739421844482,6607.14697265625
137,137.8,176,290,40000,0.0003,9974,10.073984146118164,-3693824.8443039195,1014923.875,-16.930768966674805,9571.1162109375
137,166.01,230,363,50000,0.0003,12474,17.052337646484375,-4444269.210684691,1165163.625,-11.911476135253906,12286.3857421875
137,175.54,295,436,60000,0.0003,14974,28.249618530273438,-4779165.81629874,1318517.625,-6.567162036895752,12542.31640625
137,195.02,338,509,70000,0.0003,17474,46.33260726928711,-5476530.72148903,1441485.25,-4.812346935272217,13075.2568359375
137,57.12,571,582,80000,0.0003,19974,117.73753356933594,-1603103.42135286,1521991.625,-18.514514923095703,15511.5791015625
137,166.32,589,655,90000,0.0003,22474,189.33192443847656,-4878361.38078942,1638708.0,-4.353006839752197,23906.8359375
137,255.77,600,728,100000,0.0003,24974,257.3039855957031,-7558548.942986969,1713171.875,-1.0162709951400757,21746.78125
137,365.56,623,801,110000,0.0003,27474,248.74398803710938,-10832985.888456687,1761318.125,0.4877423048019409,23368.087890625
137,147.58,708,873,120000,0.0003,29974,142.24481201171875,-4250616.633937681,1866598.875,1.0005922317504883,26693.21875
137,42.44,1032,946,130000,0.0003,32474,145.5001983642578,-1126423.12569792,1890252.375,0.9482744932174683,27900.146484375
137,10.36,1478,1018,140000,0.0003,34974,88.22832489013672,-208103.29287677005,1876247.375,-4.76759672164917,35765.81640625
137,44.92,2042,1091,150000,0.0003,37474,137.92138671875,-1164243.5902373,1882693.75,0.412533164024353,29995.416015625
