train/policy_loss,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/entropy_loss,rollout/ep_len_mean,train/value_loss,train/n_updates,train/std,train/explained_variance,time/fps,time/time_elapsed
-404.16522216796875,260000,-169875.01613926998,0.0007,-8.7195463180542,80.56,10460.9404296875,12999,1.0376900434494019,0.0,1603,162
-146211.90625,270000,-154472.47030669998,0.0007,-8.796280860900879,39.85,341849408.0,13499,1.0509933233261108,-2.384185791015625e-07,1603,168
-13280.3408203125,280000,-194188.75389316,0.0007,-8.912666320800781,121.8,26440420.0,13999,1.0710095167160034,0.0,1603,174
-659.6370849609375,290000,-109312.21819516,0.0007,-8.894265174865723,90.8,8959.09375,14499,1.0676231384277344,0.0,1604,180
-32035.36328125,300000,-144861.78725812002,0.0007,-8.864096641540527,113.98,55081032.0,14999,1.06220281124115,0.0,1605,186
58224.26171875,310000,-252902.05066627997,0.0007,-8.970078468322754,131.13,76440944.0,15499,1.08126699924469,-1.1920928955078125e-07,1607,192
-32084.31640625,320000,-362616.86243737,0.0007,-9.013243675231934,190.46,69557192.0,15999,1.0896888971328735,0.0,1608,198
-261043.53125,330000,-650531.9626637499,0.0007,-9.104016304016113,233.63,1069685056.0,16499,1.1066163778305054,-1.1920928955078125e-07,1609,205
-274860.25,340000,-1010897.25692324,0.0007,-9.107144355773926,104.91,1045156544.0,16999,1.1077955961227417,0.0,1610,211
-278009.25,350000,-538181.91163817,0.0007,-9.145474433898926,47.77,993967936.0,17499,1.1146588325500488,0.0,1610,217
-243363.78125,360000,-1192965.87516417,0.0007,-9.17360782623291,119.58,953680704.0,17999,1.1202850341796875,0.0,1609,223
-466355.8125,370000,-1704549.75078325,0.0007,-9.295636177062988,135.84,3212854016.0,18499,1.142783284187317,0.0,1609,229
-271981.65625,380000,-440945.98912896996,0.0007,-9.331938743591309,37.09,1088868608.0,18999,1.1496139764785767,-1.1920928955078125e-07,1610,235
-433524.09375,390000,-1184111.9216144402,0.0007,-9.402558326721191,108.75,2759224832.0,19499,1.162969708442688,0.0,1611,242
-296713.5625,400000,-2071377.7494069496,0.0007,-9.411269187927246,190.05,1249135232.0,19999,1.1648443937301636,0.0,1612,248
-269174.875,410000,-2988090.83715425,0.0007,-9.45163631439209,279.46,1092899072.0,20499,1.1730966567993164,5.960464477539063e-08,1610,254
-291459.90625,420000,-4158395.92665205,0.0007,-9.494179725646973,388.7,1146386176.0,20999,1.1803747415542603,0.0,1608,261
-261422.875,430000,-5187379.831569411,0.0007,-9.531517028808594,477.77,903377088.0,21499,1.1882615089416504,0.0,1607,267
-283736.46875,440000,-6173857.08987959,0.0007,-9.533524513244629,574.04,1094785792.0,21999,1.1907728910446167,1.7881393432617188e-07,1608,273
-308953.875,450000,-6912454.986755872,0.0007,-9.598212242126465,642.23,1092111616.0,22499,1.2045866250991821,-1.1920928955078125e-07,1608,279
-246581.90625,460000,-7892245.723551848,0.0007,-9.599991798400879,742.37,1035122880.0,22999,1.2073107957839966,0.0,1609,285
-39189.5703125,470000,-105652.42820056001,0.0007,-9.615653038024902,47.22,149913344.0,23499,1.2125195264816284,1.1920928955078125e-07,1609,292
-1470.547119140625,480000,-53117.04728972999,0.0007,-9.634057998657227,80.42,3285891.75,23999,1.2156751155853271,-1.1920928955078125e-07,1608,298
1204.300048828125,490000,-152882.55134821002,0.0007,-9.668265342712402,139.33,167854.171875,24499,1.2210174798965454,-1.1920928955078125e-07,1607,304
-27191.88671875,500000,-131718.17101816,0.0007,-9.639433860778809,70.14,41518708.0,24999,1.2158361673355103,0.0,1607,311
-783.2571411132812,510000,-171200.26942263002,0.0007,-9.718589782714844,123.5,9111.1640625,25499,1.231559157371521,5.960464477539063e-08,1606,317
21477.25,520000,-208513.90701500003,0.0007,-9.732917785644531,169.62,79891760.0,25999,1.2347739934921265,0.0,1605,323
-75534.0703125,530000,-239670.12711097003,0.0007,-9.7708740234375,160.85,250306512.0,26499,1.2428733110427856,0.0,1605,330
-14602.0859375,540000,-66447.01580603,0.0007,-9.91390323638916,70.03,15465718.0,26999,1.270999550819397,-1.1920928955078125e-07,1605,336
-30442.865234375,550000,-87924.01168157998,0.0007,-9.882606506347656,110.71,30223018.0,27499,1.2647708654403687,-1.1920928955078125e-07,1604,342
-62658.1875,560000,-149912.62209386003,0.0007,-9.913146018981934,145.33,193161168.0,27999,1.271331787109375,0.0,1604,349
