train/value_loss,rollout/ep_rew_mean,train/policy_gradient_loss,train/loss,train/std,rollout/ep_len_mean,train/clip_range,time/time_elapsed,train/learning_rate,train/approx_kl,train/clip_fraction,time/total_timesteps,train/n_updates,train/explained_variance,train/entropy_loss,time/fps
2291514792.8,-312117.38599397993,-0.0016720840570087602,1179435008.0,0.9960734248161316,110.9,0.2,144,0.0003,0.0011521052,1.220703125e-05,200000,240,0.0,-12.735316681116819,1382
2320220082.9,-311211.13089803,-0.002357695532919024,1361584128.0,0.9959540963172913,110.11,0.2,151,0.0003,0.0017464189,0.00028076171875,210000,250,-1.1920928955078125e-07,-12.734399377554656,1388
2117719808.6,-326810.46522976,-0.0014115280031546718,953972160.0,0.994954526424408,123.98,0.2,157,0.0003,0.0006349216,1.220703125e-05,220000,260,-1.1920928955078125e-07,-12.729394841939211,1394
2265222409.0,-300725.59569403,-0.0022033850043953864,892440640.0,0.994705080986023,109.15,0.2,167,0.0003,0.0016119885,0.00010986328125,230000,280,0.0,-12.722253317385912,1373
2149530110.7,-292790.42265549,-0.0018087475454194647,1040470400.0,0.9945310950279236,108.28,0.2,174,0.0003,0.0013429234,0.0001220703125,240000,290,0.0,-12.721745742857456,1379
1924564726.8,-266879.35537077,-0.002288464935372758,926089600.0,0.9949023723602295,97.62,0.2,180,0.0003,0.0018336142,0.000244140625,250000,300,-1.1920928955078125e-07,-12.722672324627638,1384
2124537673.2,-308254.6344950299,-0.0017322668114502448,976922752.0,0.9947001934051514,119.53,0.2,187,0.0003,0.0011552214,1.220703125e-05,260000,310,0.0,-12.72341747879982,1389
1939806539.6,-297641.30083301,-0.0022255881334785955,1032233600.0,0.9944429397583008,113.23,0.2,193,0.0003,0.0014615862,0.00013427734375,270000,320,5.960464477539063e-08,-12.721390101313592,1394
2052046820.6,-337141.45120913995,-0.0019579063144192334,1230283264.0,0.9926761984825134,129.55,0.2,203,0.0003,0.0013619785,0.000146484375,280000,340,-1.1920928955078125e-07,-12.708585768938065,1376
2254861793.6,-259943.81601032,-0.002655359649907041,1553529088.0,0.9926128387451172,90.85,0.2,209,0.0003,0.0021893845,0.00069580078125,290000,350,0.0,-12.703894144296646,1381
2015627788.9,-275770.63095436,-0.0015999969713448082,1058630784.0,0.9925019145011902,109.9,0.2,216,0.0003,0.0010290858,1.220703125e-05,300000,360,0.0,-12.703049182146788,1385
1908529515.9,-208405.34691917,-0.0019121758123219479,730084288.0,0.9922940135002136,69.36,0.2,223,0.0003,0.001491894,0.0003173828125,310000,370,5.960464477539063e-08,-12.701650986820459,1389
2039673978.2,-258125.98393198,-0.0014289079346781364,1037953344.0,0.9911506175994873,98.16,0.2,232,0.0003,0.0008321756,7.32421875e-05,320000,390,0.0,-12.692537441849709,1374
1829172753.4,-257940.21215388,-0.0016381705196181428,736636928.0,0.9906545281410217,108.41,0.2,239,0.0003,0.0009486771,3.662109375e-05,330000,400,-1.1920928955078125e-07,-12.687978921085596,1378
1938925839.45,-293975.73537042004,-0.0018657523885849514,982032384.0,0.9906890392303467,117.53,0.2,246,0.0003,0.0012936248,0.0001220703125,340000,410,0.0,-12.685856611281633,1381
2165924691.6,-240887.91987884004,-0.001337689933461661,1184426752.0,0.9906094074249268,85.98,0.2,252,0.0003,0.0005413663,0.0,350000,420,0.0,-12.685713869333267,1384
1998162405.7,-263544.28585506,-0.0018577073331471183,932069824.0,0.9897657036781311,106.43,0.2,259,0.0003,0.001201052,0.00013427734375,360000,430,0.0,-12.68152383863926,1387
2001831401.3,-290480.10157753,-0.0034674685686468367,1065557376.0,0.9892116189002991,117.51,0.2,269,0.0003,0.0033897634,0.0048583984375,370000,450,2.384185791015625e-07,-12.675215966254473,1372
1817030592.85,-247042.04447834997,-0.00241510895666579,890908352.0,0.9892865419387817,98.42,0.2,276,0.0003,0.0023275397,0.00162353515625,380000,460,5.960464477539063e-08,-12.672845340520144,1375
1828007424.9,-268630.64617301,-0.0018409278431136046,1100230144.0,0.9886499047279358,105.72,0.2,283,0.0003,0.0016033159,0.00037841796875,390000,470,5.960464477539063e-08,-12.670303539186715,1377
1974609812.4,-253538.20429672996,-0.001173399000617792,1036304704.0,0.9885681867599487,102.97,0.2,289,0.0003,0.0010771004,8.544921875e-05,400000,480,0.0,-12.667025969922543,1380
1855843823.4,-237416.21028476,-0.0011418820971812239,816778368.0,0.9878560304641724,96.7,0.2,299,0.0003,0.00060396246,0.0,410000,500,0.0,-12.661531707644462,1368
1776236006.6,-252837.37925837998,-0.001926064673170913,915555200.0,0.9875267744064331,106.55,0.2,306,0.0003,0.0016852657,0.00078125,420000,510,0.0,-12.65849420428276,1370
1811967147.0,-258908.01352110997,-0.0020200398837005194,1157300480.0,0.9868754148483276,105.78,0.2,313,0.0003,0.0019453194,0.00068359375,430000,520,-1.1920928955078125e-07,-12.653967666625977,1373
1827995048.35,-250908.00709725,-0.0021846977158020307,925990528.0,0.9866963624954224,103.65,0.2,319,0.0003,0.0021583538,0.00233154296875,440000,530,-1.1920928955078125e-07,-12.650239841639996,1376
1672309517.3,-230035.18904814002,-0.0015844475447011064,958593408.0,0.9863846898078918,97.53,0.2,326,0.0003,0.0010822823,0.0002685546875,450000,540,0.0,-12.64795628860593,1378
1448554953.7,-249172.04486930007,-0.0022053102216887054,798055936.0,0.9858394265174866,114.35,0.2,336,0.0003,0.0019259823,0.00357666015625,460000,560,-1.1920928955078125e-07,-12.64220679178834,1367
1631832684.85,-300997.32224511,-0.0018493227178623783,862329280.0,0.9855995178222656,144.58,0.2,342,0.0003,0.0010361464,0.0001220703125,470000,570,-2.384185791015625e-07,-12.640217772871257,1370
1634765940.0,-230313.42886107005,-0.002200855462979234,1023762368.0,0.9860690236091614,101.14,0.2,349,0.0003,0.0020320737,0.0008056640625,480000,580,0.0,-12.641363990306854,1373
1690801091.3,-239566.72195488,-0.002284511451580329,760381760.0,0.9860466718673706,103.61,0.2,356,0.0003,0.002060821,0.0013916015625,490000,590,0.0,-12.643209176510572,1375
1631947608.4,-259381.16178351003,-0.002345756096292462,893885120.0,0.9850605726242065,119.54,0.2,366,0.0003,0.002489958,0.00355224609375,500000,610,0.0,-12.636641634255648,1365
1762534846.65,-238519.15571147006,-0.0014834321877060575,982452032.0,0.9855166673660278,101.01,0.2,372,0.0003,0.00087319734,8.544921875e-05,510000,620,5.960464477539063e-08,-12.636134921014309,1368
1634470476.55,-239178.24297803,-0.0020677899436577717,777444224.0,0.9849351048469543,112.82,0.2,379,0.0003,0.0022715458,0.0014892578125,520000,630,0.0,-12.635843427479267,1370
1462274699.85,-255366.868286,-0.002302254704045481,511849504.0,0.984607458114624,123.1,0.2,386,0.0003,0.002349337,0.00264892578125,530000,640,0.0,-12.631383071094751,1372
1675075838.95,-228716.76592630998,-0.0025047648374311392,930959168.0,0.9838972091674805,101.39,0.2,392,0.0003,0.0023362031,0.00113525390625,540000,650,0.0,-12.626551196724176,1374
