train/n_updates,train/policy_loss,time/total_timesteps,train/explained_variance,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/std,train/learning_rate,train/entropy_loss,rollout/ep_len_mean,train/value_loss
499,-170698.84375,10000,1.7881393432617188e-07,7,-366645.17307076,1339,1.0010254383087158,0.0007,-17.039505004882812,79.05,206658688.0
999,-170685.0,20000,-1.1920928955078125e-07,14,-353837.8787851801,1359,1.0050625801086426,0.0007,-17.084091186523438,73.88,637298240.0
1499,-282065.125,30000,5.960464477539063e-08,22,-233568.18045458998,1357,1.0089865922927856,0.0007,-17.136777877807617,58.85,436527872.0
1999,-285214.6875,40000,-1.1920928955078125e-07,29,-211546.09992210005,1355,1.0152215957641602,0.0007,-17.205921173095703,49.9,859202432.0
2499,-169596.09375,50000,0.0,36,-326250.64684121,1358,1.0217875242233276,0.0007,-17.284168243408203,54.71,311393216.0
2999,-133421.640625,60000,0.0,44,-259022.96188515998,1361,1.0384505987167358,0.0007,-17.475372314453125,77.16,545305984.0
3499,-39919.96484375,70000,0.0,51,-295936.22373943,1365,1.0462206602096558,0.0007,-17.57126235961914,71.03,19543190.0
3999,-863753.5,80000,1.1920928955078125e-07,58,-211528.69005853002,1368,1.0525754690170288,0.0007,-17.629060745239258,65.02,4923270656.0
4499,-153268.109375,90000,-1.1920928955078125e-07,65,-178827.74244324997,1371,1.0564498901367188,0.0007,-17.682985305786133,53.11,122654208.0
4999,-72963.203125,100000,-1.1920928955078125e-07,72,-245336.54975249,1372,1.0645626783370972,0.0007,-17.76502799987793,64.91,99969744.0
5499,-222245.96875,110000,-1.1920928955078125e-07,80,-281310.23570436,1371,1.0709595680236816,0.0007,-17.839006423950195,74.76,445896768.0
5999,-115928.8125,120000,0.0,87,-207178.46663632,1368,1.084637999534607,0.0007,-17.99127197265625,61.77,62970240.0
6499,-155216.59375,130000,0.0,95,-218926.47579937,1367,1.0992494821548462,0.0007,-18.149812698364258,57.9,988673344.0
6999,-85709.421875,140000,0.0,102,-147956.35870419,1365,1.1131341457366943,0.0007,-18.29220199584961,41.5,120248640.0
7499,-456148.75,150000,-2.384185791015625e-07,109,-195091.0702891,1365,1.1249746084213257,0.0007,-18.419340133666992,49.36,2014198144.0
7999,-77141.03125,160000,0.0,117,-177667.94152486,1366,1.129799246788025,0.0007,-18.476179122924805,43.59,50641172.0
8499,-355470.65625,170000,-2.384185791015625e-07,124,-186669.90016534994,1368,1.1434990167617798,0.0007,-18.624391555786133,38.08,585665024.0
8999,-483741.34375,180000,1.1920928955078125e-07,131,-199747.25409297005,1370,1.1564778089523315,0.0007,-18.760286331176758,51.62,1200402048.0
