train/n_updates,train/policy_loss,time/total_timesteps,train/explained_variance,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/std,train/learning_rate,train/entropy_loss,rollout/ep_len_mean,train/value_loss
9499,-573565.875,190000,-1.1920928955078125e-07,138,-163554.20784950998,1367,1.1636462211608887,0.0007,-18.829418182373047,45.64,2524305920.0
9999,-189148.03125,200000,0.0,146,-173931.7238145,1365,1.171409249305725,0.0007,-18.90106773376465,46.99,668941312.0
10499,-35047.01171875,210000,0.0,153,-237518.71542825,1365,1.1839960813522339,0.0007,-19.031160354614258,51.38,76762352.0
10999,-366558.96875,220000,-1.1920928955078125e-07,160,-328441.41856082005,1367,1.1920280456542969,0.0007,-19.108821868896484,73.22,617916224.0
11499,-137162.640625,230000,5.960464477539063e-08,167,-257591.93451203004,1369,1.1983954906463623,0.0007,-19.173629760742188,57.14,184156176.0
11999,45436.5078125,240000,0.0,174,-228191.15247742002,1372,1.209468960762024,0.0007,-19.282917022705078,64.41,14829933.0
12499,-225552.84375,250000,0.0,181,-153413.2797464,1373,1.2186206579208374,0.0007,-19.376544952392578,36.49,708594624.0
12999,-266710.1875,260000,0.0,189,-225667.85294128998,1373,1.228563904762268,0.0007,-19.46763801574707,53.67,533956032.0
13499,-469869.6875,270000,0.0,196,-176990.77375594995,1371,1.2335538864135742,0.0007,-19.514860153198242,43.94,2447167744.0
13999,-397347.9375,280000,5.960464477539063e-08,204,-148409.51433697998,1369,1.256364107131958,0.0007,-19.727523803710938,36.59,2475133440.0
14499,-256604.171875,290000,0.0,212,-209881.52129695003,1367,1.2652480602264404,0.0007,-19.817995071411133,55.73,323896192.0
14999,-289365.34375,300000,-1.1920928955078125e-07,219,-249994.06141393995,1366,1.2784427404403687,0.0007,-19.939971923828125,61.83,1039332992.0
15499,-103464.1640625,310000,0.0,226,-184309.39652956996,1366,1.2886438369750977,0.0007,-20.036828994750977,45.36,63505856.0
15999,-95602.265625,320000,0.0,234,-166300.90133445,1364,1.3142729997634888,0.0007,-20.258848190307617,32.28,529705312.0
16499,-388572.6875,330000,1.1920928955078125e-07,241,-134075.26418655002,1363,1.3322192430496216,0.0007,-20.42435073852539,36.61,1567610880.0
16999,-104289.0078125,340000,0.0,249,-149228.10403413,1363,1.3492506742477417,0.0007,-20.578142166137695,40.78,75708912.0
17499,-135123.046875,350000,0.0,257,-131927.70510759,1361,1.367261290550232,0.0007,-20.732982635498047,39.21,114879216.0
17999,-717220.0,360000,0.0,264,-164740.08385148,1363,1.378964900970459,0.0007,-20.83001708984375,37.33,3337675008.0
18499,-17119.712890625,370000,-1.1920928955078125e-07,271,-174528.57736897998,1364,1.3969022035598755,0.0007,-20.993837356567383,44.56,10891757.0
18999,-265818.09375,380000,0.0,278,-287982.16773737,1365,1.4115129709243774,0.0007,-21.115053176879883,56.06,343139968.0
19499,-143601.890625,390000,2.384185791015625e-07,285,-170594.74633519002,1364,1.4250847101211548,0.0007,-21.23112678527832,47.74,193596496.0
19999,-937450.125,400000,-2.384185791015625e-07,293,-187614.54582566,1364,1.4360675811767578,0.0007,-21.315631866455078,44.68,3994155520.0
20499,-543961.625,410000,-1.1920928955078125e-07,300,-181536.68568807,1363,1.4540905952453613,0.0007,-21.465253829956055,42.07,2058317568.0
20999,-715837.625,420000,-1.1920928955078125e-07,308,-156305.31830692003,1363,1.4700053930282593,0.0007,-21.597728729248047,44.25,2664868608.0
21499,-57708.92578125,430000,0.0,315,-145513.51849615,1361,1.486005187034607,0.0007,-21.72275161743164,39.62,37966984.0
21999,-444517.09375,440000,-1.1920928955078125e-07,323,-118523.78093086003,1360,1.4969191551208496,0.0007,-21.803621292114258,35.97,1958750976.0
22499,-62346.7578125,450000,-1.1920928955078125e-07,330,-135604.21711871997,1359,1.5054610967636108,0.0007,-21.868440628051758,29.15,34679032.0
22999,-229207.71875,460000,0.0,338,-167588.27019214,1360,1.5080070495605469,0.0007,-21.88361930847168,42.79,660165696.0
23499,-232131.578125,470000,2.980232238769531e-07,345,-158220.68513410995,1360,1.5155514478683472,0.0007,-21.946529388427734,47.16,689525120.0
23999,-117170.3984375,480000,0.0,353,-170091.29722658,1359,1.5371936559677124,0.0007,-22.109466552734375,34.02,162847984.0
24499,-469864.59375,490000,1.1920928955078125e-07,360,-194173.84067419,1359,1.5559477806091309,0.0007,-22.250139236450195,49.31,718777280.0
24999,-113624.2265625,500000,0.0,367,-141588.5913047,1360,1.583132266998291,0.0007,-22.45263671875,40.55,88307888.0
25499,-372578.375,510000,0.0,374,-165117.36763382002,1361,1.5967669486999512,0.0007,-22.544906616210938,44.72,1600073984.0
25999,-140919.0625,520000,2.384185791015625e-07,383,-124729.36557178,1354,1.5997854471206665,0.0007,-22.567520141601562,33.86,112358272.0
26499,-34284.7890625,530000,-1.1920928955078125e-07,391,-118368.77580955999,1355,1.6151865720748901,0.0007,-22.675003051757812,34.53,45483796.0
26999,-173578.71875,540000,0.0,398,-181256.44508842996,1355,1.6329994201660156,0.0007,-22.800901412963867,46.04,130569920.0
27499,15188.177734375,550000,1.1920928955078125e-07,406,-119883.57882043002,1354,1.6389755010604858,0.0007,-22.836824417114258,38.27,1792798.375
27999,-186549.34375,560000,0.0,413,-209189.54183069,1354,1.6571108102798462,0.0007,-22.972375869750977,58.16,214634096.0
28499,-507206.6875,570000,-1.1920928955078125e-07,421,-145570.79016106998,1353,1.6740779876708984,0.0007,-23.098814010620117,35.72,1563246208.0
28999,-942319.3125,580000,5.960464477539063e-08,428,-161177.20263446,1352,1.6806570291519165,0.0007,-23.12883186340332,43.22,3724292864.0
29499,-412136.4375,590000,-1.1920928955078125e-07,436,-168580.18276196,1353,1.6814985275268555,0.0007,-23.137165069580078,55.13,1944293376.0
29999,-117795.328125,600000,-1.1920928955078125e-07,443,-171033.11368076,1353,1.7014917135238647,0.0007,-23.293048858642578,50.9,78540752.0
30499,30962.31640625,610000,0.0,450,-154790.36640021,1354,1.7209548950195312,0.0007,-23.416032791137695,49.57,3355415.5
30999,7378.63818359375,620000,0.0,457,-110250.31780871,1354,1.7294296026229858,0.0007,-23.47087287902832,30.62,8812274.0
31499,6266.90869140625,630000,0.0,464,-168445.09581668998,1354,1.7425627708435059,0.0007,-23.556529998779297,49.73,16767435.0
31999,-3517.823486328125,640000,0.0,471,-160022.07199264,1356,1.7689862251281738,0.0007,-23.735305786132812,46.02,41742340.0
32499,-50457.5546875,650000,0.0,478,-138706.65423163,1357,1.7888463735580444,0.0007,-23.877742767333984,45.06,26603508.0
32999,-103833.015625,660000,0.0,485,-150479.36908948998,1358,1.8111315965652466,0.0007,-24.023283004760742,42.79,90751872.0
33499,-440727.09375,670000,0.0,492,-156145.51318335003,1359,1.8203297853469849,0.0007,-24.092044830322266,42.67,1879234560.0
33999,-193978.65625,680000,0.0,500,-125858.39046327,1358,1.8444970846176147,0.0007,-24.2430362701416,33.71,131140184.0
34499,-209158.90625,690000,0.0,507,-264031.27281939,1359,1.8683711290359497,0.0007,-24.390600204467773,65.04,149310368.0
34999,-340867.09375,700000,0.0,514,-197739.84206222,1360,1.8852320909500122,0.0007,-24.497026443481445,51.56,690079104.0
35499,-539877.0625,710000,0.0,521,-149263.46131719003,1360,1.905596375465393,0.0007,-24.615703582763672,35.3,1966166784.0
35999,-708149.5,720000,2.980232238769531e-07,529,-136780.82753093,1360,1.922467589378357,0.0007,-24.706911087036133,35.18,2673021184.0
36499,-770163.375,730000,1.7881393432617188e-07,536,-131577.71186735004,1360,1.919492244720459,0.0007,-24.675928115844727,36.97,2883460608.0
36999,-253851.15625,740000,0.0,543,-126827.67740486999,1361,1.9290552139282227,0.0007,-24.744173049926758,40.51,226118528.0
37499,-718295.0,750000,0.0,551,-128961.79407931998,1360,1.9566775560379028,0.0007,-24.90118408203125,35.13,2368458496.0
37999,-129321.9375,760000,0.0,558,-161749.61217139,1359,1.979016900062561,0.0007,-25.046037673950195,50.98,60628244.0
38499,-81611.71875,770000,0.0,566,-123820.76527289,1358,1.9956473112106323,0.0007,-25.131559371948242,39.71,33242068.0
38999,-525556.5,780000,0.0,574,-147505.71027434,1358,2.002702474594116,0.0007,-25.169355392456055,36.61,1998467328.0
39499,-309867.3125,790000,5.960464477539063e-08,581,-134801.32340022002,1359,2.0228989124298096,0.0007,-25.295202255249023,36.47,1047523136.0
39999,-942419.5,800000,0.0,588,-131223.55366975,1359,2.0381593704223633,0.0007,-25.374862670898438,35.68,3429483520.0
40499,-224278.203125,810000,-1.1920928955078125e-07,595,-193730.56987157997,1359,2.0652313232421875,0.0007,-25.54838752746582,50.91,229031840.0
40999,-572787.75,820000,0.0,603,-122471.06983735999,1359,2.100964069366455,0.0007,-25.751644134521484,30.89,1646617856.0
41499,-109510.5859375,830000,0.0,610,-131505.01592134,1359,2.110414505004883,0.0007,-25.79788589477539,39.08,40829644.0
41999,-49186.7265625,840000,0.0,617,-183715.748043,1359,2.115657329559326,0.0007,-25.834182739257812,48.16,26663382.0
42499,-872467.1875,850000,-1.1920928955078125e-07,625,-219772.66033073995,1359,2.141923427581787,0.0007,-25.976985931396484,48.23,2755325952.0
42999,-96543.328125,860000,0.0,632,-206039.24710777,1360,2.1646041870117188,0.0007,-26.116596221923828,40.13,39945172.0
43499,-70675.1953125,870000,-1.1920928955078125e-07,639,-218415.32913582,1361,2.1889824867248535,0.0007,-26.25393295288086,47.77,30772820.0
43999,-338309.46875,880000,0.0,645,-255919.32475815003,1362,2.209533452987671,0.0007,-26.346965789794922,49.36,1017433920.0
44499,-360053.6875,890000,0.0,652,-165506.79256528,1363,2.2179369926452637,0.0007,-26.389629364013672,46.6,1125859968.0
44999,-167189.15625,900000,0.0,659,-134778.50007786,1364,2.219623327255249,0.0007,-26.402942657470703,39.64,113905600.0
45499,-612939.125,910000,1.1920928955078125e-07,666,-134815.06153711,1364,2.2661943435668945,0.0007,-26.658493041992188,39.25,1956137600.0
45999,-129718.640625,920000,0.0,673,-119401.20698504997,1365,2.273041009902954,0.0007,-26.684005737304688,33.3,519437056.0
46499,-223311.125,930000,0.0,680,-141572.69525384004,1365,2.2856862545013428,0.0007,-26.75564193725586,43.04,156148576.0
46999,-108227.453125,940000,0.0,687,-141410.0746098,1366,2.288945198059082,0.0007,-26.78305435180664,38.84,49715184.0
47499,-157785.25,950000,5.960464477539063e-08,695,-182940.82324917,1366,2.309598207473755,0.0007,-26.899791717529297,48.64,152903296.0
47999,-126918.375,960000,1.1920928955078125e-07,702,-149153.6358858,1367,2.3124802112579346,0.0007,-26.915889739990234,40.89,110616496.0
48499,-310854.125,970000,0.0,709,-198581.93640713996,1367,2.341093063354492,0.0007,-27.067306518554688,57.16,194672992.0
48999,-214275.40625,980000,-1.1920928955078125e-07,716,-204190.93365221002,1367,2.3558669090270996,0.0007,-27.1353759765625,48.68,96603112.0
49499,-900811.8125,990000,0.0,723,-164587.53405060002,1368,2.3664026260375977,0.0007,-27.19561767578125,41.88,3248418304.0
49999,-270632.96875,1000000,0.0,730,-202000.94788668002,1368,2.3693010807037354,0.0007,-27.222965240478516,44.07,336776672.0
