time/total_timesteps,rollout/ep_rew_mean,train/ent_coef,time/time_elapsed,rollout/ep_len_mean,train/n_updates,time/fps,train/ent_coef_loss,train/learning_rate,train/critic_loss,train/actor_loss,time/episodes
10000,-166608.20055659005,2.398258686065674,43,20.76,2474,230,-26.37352752685547,0.001,109431520.0,2557.4423828125,243
20000,-103432.18955669999,5.321432590484619,86,27.53,4974,230,-32.86412811279297,0.001,105469440.0,9598.8203125,511
30000,-166041.11948174,10.20210075378418,130,35.69,7474,229,-36.18218994140625,0.001,95291848.0,15647.791015625,783
40000,-2764.265278929998,17.982954025268555,174,51.34,9974,229,-32.07523727416992,0.001,92391008.0,12522.1298828125,1061
50000,97459.09281243,30.98750877380371,218,24.72,12474,229,-29.59926986694336,0.001,72578688.0,10687.18359375,1466
60000,125369.72925184,51.348995208740234,262,21.71,14974,229,-22.208057403564453,0.001,57269916.0,-1218.841796875,1906
70000,132344.01236370002,77.81961059570312,305,20.65,17474,228,-14.503697395324707,0.001,63012500.0,-22541.060546875,2388
80000,127523.03387736,104.93722534179688,349,20.82,19974,228,-5.642775535583496,0.001,164889216.0,-40323.26953125,2890
90000,130898.24351399999,116.8459243774414,393,18.82,22474,229,1.7613710165023804,0.001,82352480.0,-40767.08203125,3414
100000,131836.75432385,114.81793212890625,436,17.72,24974,229,1.5708856582641602,0.001,51665032.0,-55394.2421875,3967
110000,133447.60813352998,103.06228637695312,480,17.74,27474,228,0.2535772919654846,0.001,52073068.0,-63981.015625,4537
120000,133487.54617708,90.68028259277344,523,16.56,29974,229,2.3618083000183105,0.001,40238700.0,-71984.734375,5119
130000,131180.71684499,79.23136138916016,566,16.72,32474,229,2.3608388900756836,0.001,29592500.0,-82552.34375,5700
140000,133486.58567782,76.27220916748047,609,16.34,34974,229,0.8529384732246399,0.001,42474000.0,-79952.734375,6303
150000,133510.1,64.7564468383789,652,15.88,37474,229,0.06299516558647156,0.001,24276320.0,-88225.796875,6901
160000,133220.48169795002,57.204566955566406,696,15.49,39974,229,-1.0239371061325073,0.001,14447604.0,-89474.6171875,7526
170000,133390.79086847,57.85914611816406,740,16.46,42474,229,-0.641158938407898,0.001,38215880.0,-91993.4375,8134
180000,132472.97956597002,60.26224136352539,784,16.88,44974,229,-0.4287310242652893,0.001,61050316.0,-95545.1484375,8747
190000,131490.70576820002,54.58644485473633,827,16.23,47474,229,1.1929609775543213,0.001,18747282.0,-95281.453125,9376
200000,132813.82233616,54.203311920166016,871,15.51,49974,229,-0.30527833104133606,0.001,24502066.0,-97289.609375,9991
210000,133536.50749178,46.786495208740234,914,15.08,52474,229,-2.240819215774536,0.001,47089676.0,-97303.59375,10595
220000,129334.03100521,45.79751205444336,958,14.78,54974,229,-0.7733741402626038,0.001,17005528.0,-98250.90625,11255
230000,133503.69858335,44.011260986328125,1002,16.03,57474,229,-2.235211133956909,0.001,76851768.0,-100634.6953125,11921
240000,133370.14833921997,44.378501892089844,1046,14.14,59974,229,-0.516846239566803,0.001,11606179.0,-99364.296875,12604
250000,130555.16490392,49.0162239074707,1088,18.88,62474,229,-0.2129056304693222,0.001,59993184.0,-99152.125,13229
260000,133573.5709804,44.569637298583984,1131,14.06,64974,229,3.053054094314575,0.001,11215246.0,-99664.375,13921
270000,133447.51924462,44.664520263671875,1173,14.5,67474,230,-0.05701404809951782,0.001,14363908.0,-100338.375,14626
280000,133483.74939031003,37.79143142700195,1215,13.81,69974,230,-1.4819614887237549,0.001,10454414.0,-103394.46875,15331
290000,133550.42780567997,39.92996597290039,1257,14.38,72474,230,1.261324405670166,0.001,53511180.0,-104387.0390625,16038
300000,133581.72686833,41.20526123046875,1299,13.73,74974,230,-2.0678629875183105,0.001,11456872.0,-105200.65625,16750
310000,133487.8,43.68253707885742,1341,13.35,77474,231,2.518378496170044,0.001,7772331.5,-100482.8125,17463
320000,133553.71055505,34.35850143432617,1384,14.6,79974,231,0.5683968663215637,0.001,18267334.0,-105136.15625,18183
330000,133567.52686373,36.21363067626953,1427,14.2,82474,231,-0.6807419061660767,0.001,12351747.0,-105847.0,18885
340000,133589.2268252,38.39593505859375,1469,13.47,84974,231,0.2990780174732208,0.001,13096098.0,-103560.4609375,19632
350000,133446.0994523,36.63337707519531,1512,14.55,87474,231,1.2842153310775757,0.001,92319920.0,-105292.5546875,20355
360000,133581.86971313,37.93069076538086,1554,13.48,89974,231,-2.1988959312438965,0.001,10843078.0,-104152.5625,21087
370000,133449.23720097,36.743648529052734,1597,14.75,92474,231,-0.13557018339633942,0.001,56338828.0,-105110.328125,21799
380000,133582.38984694,34.10157775878906,1640,13.53,94974,231,-1.0101261138916016,0.001,36404864.0,-103895.9140625,22538
390000,133585.32219961,32.73882293701172,1682,13.34,97474,231,-0.7700067162513733,0.001,5480437.0,-105302.5703125,23285
400000,133497.64606959998,35.77454376220703,1725,12.77,99974,231,0.5924564599990845,0.001,14589665.0,-104211.84375,24019
410000,133486.17300985998,29.18651580810547,1773,16.73,102474,231,-0.5595386028289795,0.001,3672875.5,-105658.734375,24681
420000,133320.35757859,30.5831298828125,1819,15.01,104974,230,0.9884552955627441,0.001,9822367.0,-106917.34375,25367
430000,133591.1,28.016122817993164,1865,13.42,107474,230,-2.529658317565918,0.001,4431981.0,-108506.40625,26118
