train/entropy_loss,train/n_updates,time/fps,train/explained_variance,train/learning_rate,train/policy_loss,time/time_elapsed,rollout/ep_len_mean,train/std,rollout/ep_rew_mean,train/value_loss,time/total_timesteps
-17.027545928955078,124,1573,-5.960464477539062e-07,0.0001,-1179170.25,6,86.7,0.9999809265136719,-1260663.92438775,5193444864.0,10000
-17.02505874633789,249,1620,-4.76837158203125e-06,0.0001,-1251543.25,12,73.69,0.9998424649238586,-1084829.31494382,6317364736.0,20000
-17.02480697631836,374,1636,-5.9604644775390625e-06,0.0001,-1364865.75,18,78.53,0.9998158812522888,-1148257.35033886,7730798592.0,30000
-17.027429580688477,499,1641,-1.1920928955078125e-07,0.0001,-1254255.625,24,63.43,1.0000383853912354,-938845.0086114401,6480942080.0,40000
-17.027952194213867,624,1645,-1.1920928955078125e-06,0.0001,-1202168.75,30,77.69,1.000063419342041,-1119766.8908269098,5707692544.0,50000
-17.033876419067383,749,1645,-1.1920928955078125e-07,0.0001,-1263553.25,36,76.44,1.0005687475204468,-1099687.17228323,6261609472.0,60000
-17.02962875366211,874,1648,0.0,0.0001,-1071180.125,42,69.83,1.0002208948135376,-999666.6385368999,4719494144.0,70000
-17.029218673706055,999,1640,0.0,0.0001,-1349593.75,48,82.47,1.0001384019851685,-1170728.9018561,6942636544.0,80000
-17.02727508544922,1124,1635,-1.1920928955078125e-07,0.0001,-1284977.375,55,72.75,1.000032901763916,-1027053.99126625,6833574400.0,90000
-17.02251625061035,1249,1636,0.0,0.0001,-1454979.375,61,85.0,0.9995513558387756,-1196173.3250405802,8113627136.0,100000
-17.02617835998535,1374,1638,5.960464477539063e-08,0.0001,-1472273.625,67,73.37,0.9999027252197266,-1038969.0729058698,8269999104.0,110000
-17.028139114379883,1499,1631,0.0,0.0001,-1364250.5,73,73.0,1.0000962018966675,-1040000.3891838901,7534605312.0,120000
-17.0344181060791,1624,1619,-1.1920928955078125e-07,0.0001,-1267273.25,80,68.98,1.0006111860275269,-976021.00770496,6378501120.0,130000
-17.035737991333008,1749,1614,0.0,0.0001,-1242603.25,86,72.59,1.0007215738296509,-1029592.02088479,6251280896.0,140000
-17.037050247192383,1874,1613,0.0,0.0001,-1389555.0,92,64.18,1.0008007287979126,-901632.34366913,7784320000.0,150000
-17.032360076904297,1999,1612,-1.1920928955078125e-07,0.0001,-1113099.25,99,66.87,1.000393033027649,-954421.2229662898,5869543424.0,160000
-17.031572341918945,2124,1612,-2.384185791015625e-07,0.0001,-1169094.0,105,65.2,1.0003470182418823,-922127.7985228599,5267808768.0,170000
-17.02935791015625,2249,1612,0.0,0.0001,-1269489.75,111,71.17,1.0002402067184448,-1010989.5243360101,7095081984.0,180000
-17.023340225219727,2374,1611,0.0,0.0001,-1234959.625,117,71.37,0.9996497631072998,-993297.9285991299,5739146240.0,190000
-17.020275115966797,2499,1610,-1.1920928955078125e-07,0.0001,-1199688.25,124,67.6,0.9994038939476013,-953138.9438695402,5616451072.0,200000
-17.01838493347168,2624,1610,-1.1920928955078125e-07,0.0001,-1251676.625,130,56.84,0.999290406703949,-803744.06333602,6531397120.0,210000
-17.016706466674805,2749,1610,-1.1920928955078125e-07,0.0001,-1151578.625,136,71.84,0.9991636276245117,-1002307.34613282,5577143296.0,220000
-17.017362594604492,2874,1610,-1.1920928955078125e-07,0.0001,-1183454.625,142,64.26,0.999163806438446,-912317.7411156801,5497977344.0,230000
-17.022214889526367,2999,1610,-2.384185791015625e-07,0.0001,-1149440.375,149,69.48,0.9996358752250671,-959936.6827495801,5520765440.0,240000
-17.022178649902344,3124,1610,0.0,0.0001,-1254068.75,155,69.4,0.999559223651886,-968897.9510117801,6379908608.0,250000
-17.021892547607422,3249,1610,0.0,0.0001,-1144112.75,161,68.19,0.9995958805084229,-940685.70706878,5440477184.0,260000
-17.018695831298828,3374,1610,-1.1920928955078125e-07,0.0001,-1124588.25,167,55.9,0.9993143677711487,-792350.5508018599,5090823168.0,270000
-17.019166946411133,3499,1610,0.0,0.0001,-1152779.25,173,63.83,0.9993452429771423,-888785.00277271,5222210560.0,280000
-17.020235061645508,3624,1608,0.0,0.0001,-1126797.75,180,64.83,0.9994779229164124,-892622.15774167,5475121664.0,290000
-17.018577575683594,3749,1608,-2.384185791015625e-07,0.0001,-1182827.125,186,56.29,0.9992449879646301,-777839.92086823,5148342784.0,300000
-17.017210006713867,3874,1608,0.0,0.0001,-1312912.625,192,67.67,0.9991630911827087,-937348.8815938099,6493197824.0,310000
-17.019752502441406,3999,1608,0.0,0.0001,-1156978.0,198,67.53,0.9993728995323181,-937415.0398369202,5335975424.0,320000
-17.017616271972656,4124,1607,0.0,0.0001,-1206498.75,205,69.62,0.9991881251335144,-974307.04738334,5761117184.0,330000
-17.02104949951172,4249,1607,-1.1920928955078125e-07,0.0001,-1249547.25,211,65.97,0.999497652053833,-918936.10533384,6324706304.0,340000
-17.023744583129883,4374,1607,0.0,0.0001,-1159503.75,217,64.52,0.9997453093528748,-910415.3779755699,5357275648.0,350000
-17.0253963470459,4499,1606,0.0,0.0001,-1155382.25,224,64.6,0.9998422265052795,-899128.8314515497,5178434560.0,360000
-17.025571823120117,4624,1605,0.0,0.0001,-1252457.75,230,67.71,0.9998993277549744,-932054.1879886702,6396311552.0,370000
-17.02599334716797,4749,1603,0.0,0.0001,-1147309.5,236,68.36,0.9999263286590576,-946225.7894434502,5353823232.0,380000
-17.02164077758789,4874,1603,0.0,0.0001,-1215396.375,243,54.92,0.9995191693305969,-761390.83750449,5700770304.0,390000
-17.025035858154297,4999,1603,0.0,0.0001,-1199153.375,249,60.8,0.9997895359992981,-826721.3146178,5285040128.0,400000
-17.032983779907227,5124,1601,0.0,0.0001,-1196474.5,256,55.85,1.0004897117614746,-768412.4763897398,5729989632.0,410000
-17.032377243041992,5249,1600,5.960464477539063e-08,0.0001,-1186673.0,262,56.02,1.0004254579544067,-767639.1504369202,5546681856.0,420000
-17.02470588684082,5374,1600,0.0,0.0001,-929738.125,268,57.52,0.9998465180397034,-784114.4847323,4821953024.0,430000
-17.025096893310547,5499,1600,5.960464477539063e-08,0.0001,-1002949.125,274,61.0,0.9998564720153809,-824011.3419391799,4980211712.0,440000
-17.02781867980957,5624,1600,5.960464477539063e-08,0.0001,-1186963.0,281,56.25,1.000043272972107,-767425.3352874102,5461056512.0,450000
-17.02218246459961,5749,1601,0.0,0.0001,-1186694.375,287,55.7,0.9996079802513123,-758712.8846216799,5634925568.0,460000
-17.017534255981445,5874,1601,1.1920928955078125e-07,0.0001,-1134997.375,293,64.41,0.9992835521697998,-877459.8038423997,5542994432.0,470000
-17.03021240234375,5999,1601,1.7881393432617188e-07,0.0001,-1170365.25,299,72.1,1.0002764463424683,-955206.3863160901,5801719808.0,480000
-17.03264808654785,6124,1601,2.384185791015625e-07,0.0001,-1222436.125,306,65.91,1.0004388093948364,-889612.34615484,5540875264.0,490000
-17.037708282470703,6249,1601,1.1920928955078125e-07,0.0001,-1265993.125,312,67.47,1.00084388256073,-904602.9682183099,5855345664.0,500000
