train/entropy_loss,train/n_updates,time/fps,train/explained_variance,train/learning_rate,train/policy_loss,time/time_elapsed,rollout/ep_len_mean,train/std,rollout/ep_rew_mean,train/value_loss,time/total_timesteps
-17.040508270263672,6374,1601,0.0,0.0001,-1316318.75,318,53.9,1.0011063814163208,-728752.6477082302,6596495872.0,510000
-17.033191680908203,6499,1601,-1.1920928955078125e-07,0.0001,-1135412.75,324,63.14,1.0005196332931519,-841325.6161471601,5148009984.0,520000
-17.033872604370117,6624,1601,-1.1920928955078125e-07,0.0001,-1053900.5,330,54.32,1.00057852268219,-732406.22733732,4509442560.0,530000
-17.030498504638672,6749,1601,-2.384185791015625e-07,0.0001,-1117197.75,337,70.82,1.0003196001052856,-953562.2026019901,4914570240.0,540000
-17.028236389160156,6874,1601,-1.1920928955078125e-07,0.0001,-1230116.0,343,64.87,1.0001367330551147,-869065.0531804401,6288825344.0,550000
-17.0341796875,6999,1601,-1.1920928955078125e-07,0.0001,-1174127.0,349,53.71,1.0006238222122192,-725898.94082249,5636742144.0,560000
-17.03196907043457,7124,1601,0.0,0.0001,-1015606.8125,355,62.14,1.0004463195800781,-842063.17890118,4312216576.0,570000
-17.025684356689453,7249,1601,0.0,0.0001,-1153957.875,362,53.01,0.999955415725708,-723436.73610441,5624109056.0,580000
-17.02796173095703,7374,1600,0.0,0.0001,-1284415.625,368,49.55,1.0000981092453003,-670369.1218594301,6551750144.0,590000
-17.027265548706055,7499,1600,0.0,0.0001,-813262.8125,374,52.1,1.0000858306884766,-697384.31942788,3823751168.0,600000
-17.022340774536133,7624,1600,-1.1920928955078125e-07,0.0001,-1159124.375,381,54.71,0.9996290802955627,-730906.7556771401,5299323904.0,610000
-17.022239685058594,7749,1600,0.0,0.0001,-1093468.25,387,47.32,0.9996544718742371,-640539.10098434,5158397440.0,620000
-17.018556594848633,7874,1599,0.0,0.0001,-1185949.25,393,45.12,0.9993343949317932,-610582.81675052,5686988800.0,630000
-17.025604248046875,7999,1599,0.0,0.0001,-1207755.125,400,58.28,0.999920129776001,-779168.8373698099,5869354496.0,640000
-17.028242111206055,8124,1599,0.0,0.0001,-1136683.625,406,49.93,1.0001527070999146,-664895.18673813,5482633216.0,650000
-17.038843154907227,8249,1599,0.0,0.0001,-1096237.75,412,48.64,1.000994324684143,-657463.77272509,4597074432.0,660000
-17.038673400878906,8374,1599,1.1920928955078125e-07,0.0001,-1111216.75,418,61.8,1.0009901523590088,-818682.3170071201,5164096512.0,670000
-17.038471221923828,8499,1599,5.960464477539063e-08,0.0001,-1156279.25,425,47.92,1.001003384590149,-644543.8899944101,5482651136.0,680000
-17.04084014892578,8624,1599,5.960464477539063e-08,0.0001,-1152858.875,431,41.16,1.0012195110321045,-561667.7820647801,5567654912.0,690000
-17.036579132080078,8749,1598,1.1920928955078125e-07,0.0001,-1009711.8125,437,48.85,1.0008565187454224,-656815.26169216,4270163968.0,700000
-17.035297393798828,8874,1597,2.384185791015625e-07,0.0001,-1058713.625,444,53.52,1.0006886720657349,-711264.8013615401,4271711488.0,710000
-17.03318977355957,8999,1595,0.0,0.0001,-1063014.875,451,49.92,1.0005592107772827,-670714.9046353499,4587355648.0,720000
-17.036720275878906,9124,1595,1.1920928955078125e-07,0.0001,-1380765.625,457,48.5,1.0007967948913574,-659873.22329295,7324924416.0,730000
-17.04387664794922,9249,1593,1.1920928955078125e-07,0.0001,-1128083.25,464,47.34,1.0014246702194214,-636874.3199112199,4927718400.0,740000
-17.0469970703125,9374,1591,5.960464477539063e-08,0.0001,-1125048.0,471,57.33,1.0016740560531616,-745529.3088506301,4973872640.0,750000
-17.052989959716797,9499,1590,5.960464477539063e-08,0.0001,-1254892.125,477,42.14,1.002188801765442,-574079.21355031,5852294144.0,760000
-17.056089401245117,9624,1591,2.980232238769531e-07,0.0001,-1146995.0,483,53.62,1.0024646520614624,-691521.80961637,5259527168.0,770000
-17.053194046020508,9749,1591,2.384185791015625e-07,0.0001,-1043685.5,490,42.8,1.0021973848342896,-576193.91263357,4216434176.0,780000
-17.053386688232422,9874,1591,-2.384185791015625e-07,0.0001,-952509.5,496,52.08,1.0022759437561035,-690295.3696919002,3789900544.0,790000
-17.050792694091797,9999,1591,0.0,0.0001,-1205552.25,502,54.37,1.0020283460617065,-715343.99508434,5812066304.0,800000
-17.056663513183594,10124,1591,0.0,0.0001,-1017885.375,509,45.17,1.0024988651275635,-597640.70290475,4031035392.0,810000
-17.060768127441406,10249,1591,-1.1920928955078125e-07,0.0001,-1181437.625,515,59.32,1.0028449296951294,-769657.9548529099,5669378048.0,820000
-17.06549644470215,10374,1591,0.0,0.0001,-1247104.0,521,41.38,1.0032168626785278,-557412.4878477199,5967835136.0,830000
-17.063159942626953,10499,1591,-1.1920928955078125e-07,0.0001,-1026635.875,527,59.26,1.0030410289764404,-768081.47037746,4102237440.0,840000
-17.067485809326172,10624,1591,0.0,0.0001,-1176611.25,534,51.83,1.00342857837677,-677386.79055511,5460969472.0,850000
-17.070554733276367,10749,1591,-1.1920928955078125e-07,0.0001,-1274953.25,540,48.63,1.003670334815979,-639095.1835470699,6497386496.0,860000
-17.074748992919922,10874,1591,-2.384185791015625e-07,0.0001,-1122180.625,546,45.45,1.0040396451950073,-601405.95309334,5164241920.0,870000
-17.071372985839844,10999,1591,0.0,0.0001,-1190767.0,552,51.57,1.0037540197372437,-680622.9555863701,5570425344.0,880000
-17.075538635253906,11124,1591,0.0,0.0001,-1213448.625,559,58.56,1.0040779113769531,-753799.4590125602,5505090560.0,890000
-17.07512092590332,11249,1591,0.0,0.0001,-1045264.1875,565,49.48,1.0040631294250488,-653201.6429853401,5083620352.0,900000
-17.08156967163086,11374,1591,0.0,0.0001,-1222774.25,571,55.48,1.0046137571334839,-722900.7659058098,6185290752.0,910000
-17.07968521118164,11499,1591,0.0,0.0001,-1308764.125,578,48.61,1.0044169425964355,-642805.5145438102,6451092480.0,920000
-17.077659606933594,11624,1591,0.0,0.0001,-1418357.625,584,51.46,1.0042251348495483,-672808.80547326,7155076096.0,930000
-17.071413040161133,11749,1591,5.960464477539063e-08,0.0001,-1176843.375,590,53.59,1.0037882328033447,-700701.3253140001,5683408896.0,940000
-17.073375701904297,11874,1591,1.1920928955078125e-07,0.0001,-1065821.625,596,53.91,1.0039435625076294,-712617.2887519001,4601605120.0,950000
-17.075515747070312,11999,1591,0.0,0.0001,-992535.625,603,46.68,1.0041241645812988,-616553.1442963299,5343589376.0,960000
-17.076356887817383,12124,1591,0.0,0.0001,-1139066.375,609,53.94,1.00417959690094,-711980.0275706701,5140467200.0,970000
-17.073862075805664,12249,1591,-1.1920928955078125e-07,0.0001,-1090402.25,615,49.53,1.0039223432540894,-653095.64474955,4608945152.0,980000
-17.07257652282715,12374,1591,-2.384185791015625e-07,0.0001,-1165126.75,622,59.36,1.0038373470306396,-761681.78397201,5171414016.0,990000
-17.077716827392578,12499,1591,0.0,0.0001,-1175632.25,628,52.17,1.0042990446090698,-683861.0365583501,5589363200.0,1000000
