time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/policy_loss,train/value_loss,train/n_updates,time/fps,train/entropy_loss,train/learning_rate,train/explained_variance,rollout/ep_rew_mean,train/std
132,190000,6.87,-2088558.375,10933857280.0,2374,1438,-21.269933700561523,0.0001,0.0,-201546.92691754003,0.999085009098053
139,200000,8.85,-2148538.25,13052947456.0,2499,1437,-21.272953033447266,0.0001,0.0,-244750.3803534,0.9992619156837463
146,210000,8.84,-1987040.25,10275962880.0,2624,1435,-21.269676208496094,0.0001,1.1920928955078125e-07,-239631.77730333002,0.9990603923797607
153,220000,7.78,-1949884.25,10497553408.0,2749,1433,-21.274070739746094,0.0001,0.0,-215170.05916379002,0.9993584752082825
160,230000,8.42,-2170270.75,14962420736.0,2874,1432,-21.270044326782227,0.0001,0.0,-222585.11490792,0.9990898966789246
167,240000,8.83,-2127698.25,12594776064.0,2999,1430,-21.275768280029297,0.0001,-1.1920928955078125e-07,-235304.71819992003,0.999453604221344
174,250000,7.92,-2032705.0,11988621312.0,3124,1428,-21.26954460144043,0.0001,0.0,-208217.08326045997,0.9990730881690979
182,260000,7.74,-2064214.625,12438816768.0,3249,1427,-21.27504539489746,0.0001,0.0,-194288.96460266,0.9994001984596252
189,270000,8.11,-2125175.5,11973722112.0,3374,1425,-21.278806686401367,0.0001,0.0,-217023.46916951,0.9996901750564575
196,280000,8.12,-1481731.75,8960928768.0,3499,1423,-21.275278091430664,0.0001,0.0,-195705.11786318,0.9994460940361023
203,290000,8.29,-1271654.25,6829811712.0,3624,1421,-21.269737243652344,0.0001,0.0,-203555.92869586003,0.9990562200546265
211,300000,7.76,-1932855.625,11105843200.0,3749,1420,-21.271413803100586,0.0001,0.0,-172022.05570396,0.9992123246192932
218,310000,7.75,-1614511.0,8274118144.0,3874,1418,-21.271873474121094,0.0001,0.0,-178865.29881675998,0.9991711378097534
225,320000,8.06,-1345446.125,7409846784.0,3999,1417,-21.268299102783203,0.0001,0.0,-172567.09907556002,0.9989752173423767
233,330000,7.82,-1786499.375,12039047168.0,4124,1415,-21.26350212097168,0.0001,0.0,-175285.57661015994,0.9986746311187744
240,340000,7.04,-1258870.125,7366507008.0,4249,1412,-21.25699234008789,0.0001,0.0,-145705.74897600999,0.9982650279998779
248,350000,6.83,-820322.6875,5251972608.0,4374,1409,-21.25046157836914,0.0001,0.0,-140277.959489,0.997745931148529
255,360000,7.7,-1727982.75,9571492864.0,4499,1406,-21.243568420410156,0.0001,0.0,-145390.34901570002,0.9973048567771912
263,370000,7.58,-1274669.875,10076882944.0,4624,1403,-21.235597610473633,0.0001,0.0,-133339.32875749,0.9968370795249939
271,380000,7.44,-878042.0,6226875392.0,4749,1401,-21.231321334838867,0.0001,0.0,-115485.45146614,0.9965283870697021
278,390000,7.69,-1947003.75,12400633856.0,4874,1398,-21.216257095336914,0.0001,0.0,-127778.97709135,0.9955269694328308
286,400000,7.79,-951106.875,5771379200.0,4999,1396,-21.21274185180664,0.0001,1.1920928955078125e-07,-135827.07014301998,0.9952925443649292
294,410000,7.87,-288681.59375,3029907456.0,5124,1394,-21.21072769165039,0.0001,0.0,-141566.02230114,0.9951700568199158
301,420000,7.05,-900707.375,6185892352.0,5249,1392,-21.213205337524414,0.0001,0.0,-101966.40798133999,0.9953420162200928
309,430000,7.38,-1054140.75,6577621504.0,5374,1390,-21.201467514038086,0.0001,0.0,-125098.21038034999,0.9945493340492249
316,440000,6.25,-501969.34375,4451742208.0,5499,1388,-21.186767578125,0.0001,0.0,-59990.05900363,0.9936161041259766
324,450000,6.86,-1549565.0,16825522176.0,5624,1386,-21.175247192382812,0.0001,0.0,-95151.83635011001,0.9928187131881714
332,460000,6.99,-151769.8125,2723870720.0,5749,1385,-21.168201446533203,0.0001,0.0,-97806.74588451,0.9923611283302307
339,470000,7.28,-1114603.875,10018652160.0,5874,1383,-21.160226821899414,0.0001,0.0,-103628.92022494,0.9918244481086731
347,480000,7.21,-1645956.125,20710526976.0,5999,1383,-21.15628433227539,0.0001,0.0,-94948.04093726001,0.9916002154350281
354,490000,6.38,-632045.125,5331217408.0,6124,1382,-21.155702590942383,0.0001,1.1920928955078125e-07,-64114.733486720004,0.9915514588356018
361,500000,6.31,-128603.484375,2657800960.0,6249,1381,-21.15011215209961,0.0001,0.0,-54196.355708890005,0.9912196397781372
369,510000,6.41,-867659.625,10147284992.0,6374,1380,-21.141845703125,0.0001,5.960464477539063e-08,-68601.61873099,0.9906721115112305
376,520000,7.03,-1187261.25,18777958400.0,6499,1380,-21.136232376098633,0.0001,1.1920928955078125e-07,-99607.33967951,0.9902978539466858
383,530000,5.61,-1964887.625,25892255744.0,6624,1380,-21.138479232788086,0.0001,0.0,-34561.66286371,0.9904496669769287
391,540000,14.99,-979667.625,18376382464.0,6749,1380,-21.13724136352539,0.0001,0.0,-464525.09801736,0.9904285073280334
