train/n_updates,train/std,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/entropy_loss,train/value_loss,train/learning_rate,train/explained_variance,time/fps,train/policy_loss,rollout/ep_len_mean
5749,0.9982421398162842,460000,289,-169617.54788658998,-17.005603790283203,1749705472.0,0.0001,1.7881393432617188e-07,1591,-527060.125,37.18
5874,0.9978070259094238,470000,295,-175169.83560822002,-16.999509811401367,1797612928.0,0.0001,5.960464477539063e-08,1591,-502826.09375,40.15
5999,0.9985081553459167,480000,301,-170870.92323687996,-17.008544921875,1708648704.0,0.0001,0.0,1592,-469697.59375,37.47
6124,0.9982233643531799,490000,307,-157723.15074169,-17.005481719970703,1731175168.0,0.0001,5.960464477539063e-08,1591,-513956.34375,33.05
6249,0.9978222846984863,500000,314,-157053.08078518,-17.0004825592041,1544399744.0,0.0001,0.0,1590,-438767.5625,32.77
6374,0.9978671669960022,510000,320,-168546.31097553,-17.00066375732422,1589696768.0,0.0001,1.7881393432617188e-07,1589,-509348.8125,37.28
6499,0.9975345134735107,520000,327,-160991.74993632,-16.997406005859375,2390776576.0,0.0001,0.0,1589,-756105.875,36.4
6624,0.9977431893348694,530000,333,-170512.99467549,-16.998939514160156,1265392768.0,0.0001,0.0,1588,-455874.9375,38.66
6749,0.9977580904960632,540000,340,-193488.41907417003,-16.99919891357422,216110496.0,0.0001,-1.1920928955078125e-07,1587,-204166.75,45.69
6874,0.9975758194923401,550000,346,-169847.28326130004,-16.997180938720703,755342912.0,0.0001,-2.384185791015625e-07,1586,-197848.65625,39.0
6999,0.9979211688041687,560000,353,-165895.22360421,-17.001129150390625,2362714624.0,0.0001,0.0,1585,-579917.9375,36.44
7124,0.9980015754699707,570000,359,-166446.28359077,-17.00180435180664,925389312.0,0.0001,-1.1920928955078125e-07,1584,-291086.3125,35.17
7249,0.9972817301750183,580000,366,-160162.66261499,-16.993013381958008,1122938112.0,0.0001,-1.1920928955078125e-07,1583,-326654.6875,38.84
7374,0.9974029660224915,590000,372,-166106.23213575,-16.99502944946289,1243291264.0,0.0001,0.0,1584,-385991.3125,38.91
7499,0.996978759765625,600000,378,-156310.29583651,-16.98975944519043,1035256640.0,0.0001,0.0,1585,-312103.125,35.66
7624,0.996685802936554,610000,384,-160587.23551882998,-16.98638153076172,835454080.0,0.0001,0.0,1586,-295710.0,35.39
7749,0.9965123534202576,620000,390,-155782.30971611003,-16.9840030670166,1822555392.0,0.0001,-1.1920928955078125e-07,1586,-537487.125,36.0
7874,0.9959204196929932,630000,397,-165890.11116285998,-16.97705078125,1807402624.0,0.0001,0.0,1585,-564651.3125,38.73
7999,0.9959669709205627,640000,403,-166738.47829385998,-16.97800064086914,989229568.0,0.0001,0.0,1584,-303760.875,36.34
8124,0.9957988858222961,650000,410,-154840.743044,-16.97562026977539,1150001664.0,0.0001,-1.1920928955078125e-07,1584,-433454.65625,32.75
8249,0.9964118003845215,660000,416,-154985.61721815998,-16.983013153076172,1550543232.0,0.0001,0.0,1584,-451666.0625,34.78
8374,0.996592104434967,670000,423,-158356.94916471,-16.985157012939453,1792752256.0,0.0001,0.0,1583,-519213.0,36.3
8499,0.9960088729858398,680000,429,-159197.35317587003,-16.977703094482422,1825093632.0,0.0001,0.0,1582,-494421.3125,36.8
8624,0.9957826137542725,690000,436,-156541.20819487,-16.97477912902832,122235664.0,0.0001,0.0,1582,-140638.765625,34.22
8749,0.9952252507209778,700000,442,-149943.60241645,-16.96845245361328,1195136000.0,0.0001,0.0,1582,-418474.9375,33.71
8874,0.9958138465881348,710000,448,-152965.77541233,-16.975954055786133,1023210176.0,0.0001,1.7881393432617188e-07,1583,-289268.5625,35.74
8999,0.9954203963279724,720000,454,-154904.42220991998,-16.970653533935547,701914944.0,0.0001,-1.1920928955078125e-07,1584,-281909.375,37.77
9124,0.9952094554901123,730000,460,-160017.40932867,-16.96868133544922,2196737536.0,0.0001,-2.384185791015625e-07,1583,-556572.125,36.75
9249,0.9956676363945007,740000,467,-152403.72419173003,-16.973472595214844,580122304.0,0.0001,1.7881393432617188e-07,1582,-213279.75,36.17
9374,0.9957754611968994,750000,474,-156868.86722490002,-16.975791931152344,775229248.0,0.0001,-1.1920928955078125e-07,1582,-305411.375,37.09
9499,0.9962499141693115,760000,480,-153294.29423232996,-16.980976104736328,1117854976.0,0.0001,0.0,1581,-379552.5,34.33
9624,0.996478259563446,770000,486,-165112.72145563998,-16.983293533325195,2054523264.0,0.0001,0.0,1581,-519859.65625,38.09
9749,0.9957776069641113,780000,493,-148838.41165537,-16.975019454956055,1620441088.0,0.0001,1.7881393432617188e-07,1580,-478663.59375,32.0
9874,0.9960382580757141,790000,499,-155788.25972045,-16.97783851623535,1908818304.0,0.0001,0.0,1580,-457466.0,34.98
9999,0.9956133961677551,800000,506,-176871.69491125998,-16.97296905517578,969786880.0,0.0001,5.960464477539063e-08,1580,-111389.5859375,44.09
10124,0.9957392811775208,810000,512,-149864.25868266998,-16.974159240722656,1119288576.0,0.0001,0.0,1580,-334398.8125,36.78
10249,0.9960424900054932,820000,519,-168368.60354890997,-16.97715950012207,434287200.0,0.0001,0.0,1579,13022.783203125,43.23
10374,0.9960932731628418,830000,525,-151520.13703345,-16.97880744934082,1802410368.0,0.0001,0.0,1578,-491448.15625,36.88
10499,0.9960160255432129,840000,531,-155680.09154660002,-16.977577209472656,1307535488.0,0.0001,0.0,1579,-445642.9375,37.69
10624,0.9964034557342529,850000,538,-147205.71249327998,-16.981822967529297,923913344.0,0.0001,-1.1920928955078125e-07,1579,-258456.546875,33.97
10749,0.9964091777801514,860000,544,-147545.77201564,-16.98272132873535,1945183488.0,0.0001,0.0,1579,-559418.625,35.36
10874,0.9961163401603699,870000,551,-154289.4937407,-16.978742599487305,150671312.0,0.0001,1.1920928955078125e-07,1578,-163474.46875,37.05
10999,0.9958536624908447,880000,557,-171357.08923229002,-16.975252151489258,1045932416.0,0.0001,1.1920928955078125e-07,1578,-310969.375,43.27
11124,0.9959273934364319,890000,563,-155857.53057484,-16.976734161376953,1260187904.0,0.0001,-1.1920928955078125e-07,1578,-374911.34375,38.3
11249,0.9959418773651123,900000,570,-144841.85794671,-16.976768493652344,861416128.0,0.0001,-1.1920928955078125e-07,1578,-327971.90625,33.62
11374,0.995833158493042,910000,576,-159962.49217910002,-16.975553512573242,560407424.0,0.0001,0.0,1579,4866.36474609375,40.31
11499,0.9958410859107971,920000,582,-151048.40852280997,-16.97566032409668,245202864.0,0.0001,1.1920928955078125e-07,1580,-219162.296875,39.49
11624,0.995420515537262,930000,588,-138264.29390819,-16.9704647064209,1800853888.0,0.0001,1.1920928955078125e-07,1580,-371626.1875,32.12
11749,0.9952583909034729,940000,594,-144989.62134391998,-16.9681396484375,1138319360.0,0.0001,1.7881393432617188e-07,1580,-361619.0625,30.44
11874,0.9953010082244873,950000,601,-167267.27175058002,-16.968585968017578,812393920.0,0.0001,-1.1920928955078125e-07,1580,-297805.96875,40.94
11999,0.995446503162384,960000,607,-164320.23185145,-16.97047233581543,1354011648.0,0.0001,-1.1920928955078125e-07,1581,-399746.0625,39.59
12124,0.995067834854126,970000,613,-155572.8753226,-16.96565055847168,1309700096.0,0.0001,0.0,1580,-306724.15625,37.23
12249,0.9943997263908386,980000,619,-154490.67381562002,-16.958335876464844,1193268480.0,0.0001,0.0,1580,-355271.25,39.16
12374,0.9941167235374451,990000,625,-146265.32228286,-16.95416259765625,1322106880.0,0.0001,0.0,1581,-394104.375,34.67
12499,0.9941086769104004,1000000,632,-163433.41838218,-16.95435905456543,462719328.0,0.0001,0.0,1581,-208775.421875,38.85
