train/actor_loss,rollout/ep_rew_mean,train/n_updates,time/time_elapsed,train/learning_rate,time/total_timesteps,time/episodes,time/fps,rollout/ep_len_mean,train/critic_loss,train/ent_coef_loss,train/ent_coef
32543.19140625,-117799.78674518998,2474,36,0.0064,10000,258,273,32.51,6182.0625,-1.0395541191101074,42.3367919921875
20976.2421875,-138733.4516122,4974,74,0.0064,20000,290,269,112.57,3055.219482421875,0.9691002368927002,28.765907287597656
11185.794921875,-137657.69802387,7474,111,0.0064,30000,300,270,211.46,2334.604248046875,0.7067275047302246,18.182100296020508
5004.83349609375,-140460.20327077003,9974,149,0.0064,40000,310,267,308.93,1261.06494140625,-0.7082357406616211,10.472996711730957
3968.32763671875,-129829.55835368998,12474,186,0.0064,50000,320,267,402.56,766.9576416015625,-0.22638863325119019,4.903414249420166
3117.630126953125,-120032.79349189,14974,224,0.0064,60000,335,267,497.03,707.0858154296875,-0.05695509910583496,3.406134605407715
2128.133056640625,-115148.14604217,17474,261,0.0064,70000,359,267,586.0,693.0759887695312,-0.5118510127067566,3.0410475730895996
1142.7069091796875,-91446.07765669002,19974,299,0.0064,80000,409,267,419.32,278.5462951660156,0.10623051226139069,1.3856602907180786
1123.722900390625,-111188.31021086,22474,336,0.0064,90000,438,267,277.29,349.9849548339844,-0.7093838453292847,1.3241583108901978
