train/n_updates,train/entropy_loss,train/learning_rate,rollout/ep_len_mean,time/total_timesteps,train/value_loss,time/fps,train/explained_variance,time/time_elapsed,train/policy_loss,train/std,rollout/ep_rew_mean
124,-12.785869598388672,0.0001,74.02,10000,2251049472.0,1803,2.384185791015625e-06,5,-488040.15625,1.0017305612564087,-330256.18239277997
249,-12.788477897644043,0.0001,74.08,20000,1435125888.0,1811,-3.6954879760742188e-06,11,-324282.59375,1.0019736289978027,-306457.82609012
374,-12.785523414611816,0.0001,77.34,30000,1272552832.0,1815,1.4901161193847656e-06,16,-321721.1875,1.0017199516296387,-323358.4118558
499,-12.786261558532715,0.0001,67.36,40000,672637888.0,1814,-1.1920928955078125e-06,22,-11627.9873046875,1.0018799304962158,-261114.16912921998
624,-12.786797523498535,0.0001,77.24,50000,960084992.0,1813,4.172325134277344e-07,27,-91788.828125,1.0018973350524902,-291652.22996009
749,-12.787042617797852,0.0001,62.07,60000,769868736.0,1811,-3.5762786865234375e-07,33,-222092.453125,1.0018420219421387,-248420.30099219998
874,-12.78266716003418,0.0001,65.86,70000,345082880.0,1810,-1.6689300537109375e-06,38,-189442.375,1.001386284828186,-269469.17200655997
999,-12.778313636779785,0.0001,63.54,80000,732964480.0,1809,-3.5762786865234375e-07,44,-243871.875,1.0008246898651123,-257338.0468982
1124,-12.778034210205078,0.0001,63.35,90000,177819072.0,1807,1.1920928955078125e-07,49,-101749.828125,1.0008798837661743,-247835.95424109002
1249,-12.77306079864502,0.0001,62.61,100000,1474393344.0,1806,1.1920928955078125e-07,55,-355650.25,1.0003230571746826,-241710.00849131
1374,-12.774785041809082,0.0001,53.83,110000,1666828544.0,1805,-3.5762786865234375e-07,60,-360537.5,1.000502586364746,-223108.88273197002
1499,-12.772801399230957,0.0001,52.41,120000,1075884800.0,1804,1.1920928955078125e-07,66,-302613.6875,1.0002450942993164,-207774.42341271
1624,-12.775434494018555,0.0001,52.67,130000,912024768.0,1803,0.0,72,-270453.5625,1.0005847215652466,-200772.09959419002
1749,-12.775493621826172,0.0001,55.87,140000,1121921024.0,1802,0.0,77,-70191.796875,1.000626564025879,-200475.30361796
1874,-12.766807556152344,0.0001,59.42,150000,81517464.0,1801,5.960464477539063e-08,83,-93022.703125,0.99961918592453,-208562.05338136
1999,-12.7645263671875,0.0001,49.56,160000,320136736.0,1800,-1.1920928955078125e-07,88,-164219.703125,0.999312698841095,-181584.30771427997
2124,-12.76270580291748,0.0001,52.19,170000,626828288.0,1799,0.0,94,-36275.5,0.9990378618240356,-193144.03271805999
2249,-12.75798511505127,0.0001,56.46,180000,736351424.0,1798,0.0,100,-177099.328125,0.9986746907234192,-195933.62515869
2374,-12.754962921142578,0.0001,56.84,190000,1731896320.0,1797,1.1920928955078125e-07,105,-407023.34375,0.9982975721359253,-206242.39573648
2499,-12.751069068908691,0.0001,58.48,200000,1140003328.0,1788,0.0,111,-209093.203125,0.9979132413864136,-202726.04454649
2624,-12.750096321105957,0.0001,48.02,210000,1343277696.0,1782,0.0,117,-267170.25,0.9977614283561707,-181143.08866074
2749,-12.753501892089844,0.0001,51.31,220000,1203260416.0,1772,0.0,124,-260275.90625,0.9981618523597717,-188104.13603211995
2874,-12.751991271972656,0.0001,46.82,230000,301137152.0,1766,1.1920928955078125e-07,130,-106630.0390625,0.9979993104934692,-170526.12623669003
2999,-12.751764297485352,0.0001,51.07,240000,888708288.0,1760,1.1920928955078125e-07,136,-253026.03125,0.9979522228240967,-180356.93918582998
3124,-12.749866485595703,0.0001,42.45,250000,248791040.0,1752,1.1920928955078125e-07,142,-128227.9609375,0.9977938532829285,-162614.33460411
3249,-12.74946403503418,0.0001,54.15,260000,944860800.0,1745,0.0,148,-209627.28125,0.9977113008499146,-174439.13317293004
3374,-12.749695777893066,0.0001,49.49,270000,528624576.0,1745,0.0,154,-126964.265625,0.9977965950965881,-170550.39798115005
3499,-12.745471000671387,0.0001,45.91,280000,1732435584.0,1746,0.0,160,-367046.0625,0.9972600936889648,-163711.16630009
3624,-12.749573707580566,0.0001,52.72,290000,171428336.0,1747,0.0,165,-129546.828125,0.9976866841316223,-173918.06669048005
3749,-12.74170970916748,0.0001,45.55,300000,605471616.0,1745,0.0,171,-179012.5,0.9968047738075256,-155159.06616351998
3874,-12.740716934204102,0.0001,43.15,310000,924857728.0,1745,0.0,177,-194842.3125,0.9967734217643738,-156468.5451236
3999,-12.736194610595703,0.0001,45.58,320000,1523417088.0,1746,0.0,183,-287821.46875,0.996300458908081,-159344.11361359002
4124,-12.741358757019043,0.0001,53.36,330000,1465493120.0,1746,0.0,188,-133957.296875,0.9968381524085999,-162544.58785090002
