train/actor_loss,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,train/critic_loss,time/fps,time/episodes,time/time_elapsed,train/ent_coef,train/ent_coef_loss,rollout/ep_rew_mean,train/n_updates
-106394.6640625,10.28,810000,0.001,370398.875,45,62544,17620,14.859454154968262,-0.8520598411560059,133778.81468894,202474
-106531.3828125,10.23,820000,0.001,344404.59375,45,63520,17848,14.492387771606445,0.27898654341697693,133794.39065182,204974
-105683.1953125,10.32,830000,0.001,379178.5625,45,64472,18084,13.939722061157227,0.23229870200157166,133784.24344873,207474
-108016.8515625,10.5,840000,0.001,521658.625,45,65403,18298,13.935076713562012,-0.28701093792915344,133780.56424192002,209974
-105910.6796875,10.22,850000,0.001,298938.375,45,66359,18530,15.176551818847656,-2.342092990875244,133781.52805993,212474
-106188.5703125,34.78,860000,0.001,269142.3125,45,67073,18759,17.284809112548828,0.7263457775115967,118648.19502457,214974
-106610.1953125,10.47,870000,0.001,262566.625,45,68017,19007,14.151637077331543,-1.0784140825271606,133786.52094937998,217474
-106984.0390625,10.31,880000,0.001,156670.28125,45,68977,19253,13.468343734741211,-0.606444239616394,133792.0,219974
-108774.4921875,10.36,890000,0.001,340061.1875,45,69935,19500,15.147769927978516,-1.1152541637420654,133077.33219272,222474
-106253.9765625,11.03,900000,0.001,233583.78125,45,70899,19736,14.087629318237305,-1.101405382156372,133676.28240495,224974
-106312.5859375,10.09,910000,0.001,6304343.5,45,71875,19964,14.778690338134766,0.9806960821151733,133681.1,227474
-107578.2890625,10.82,920000,0.001,418935.625,45,72813,20204,15.523457527160645,0.5168660879135132,133764.31125119998,229974
-107707.5,10.08,930000,0.001,258736.390625,45,73773,20449,15.173881530761719,-0.2974722385406494,133592.55125472,232474
-108252.921875,10.11,940000,0.001,349146.0,45,74757,20674,14.18034553527832,0.6332557797431946,133790.39931523,234974
-107458.265625,10.15,950000,0.001,275264.75,45,75736,20916,15.167475700378418,1.0495516061782837,133794.15065839,237474
-108001.4296875,10.65,960000,0.001,359799.71875,45,76669,21155,15.419414520263672,0.6138813495635986,133776.04662662002,239974
-105868.0390625,10.09,970000,0.001,238303.40625,45,77655,21390,16.371862411499023,1.6460036039352417,133792.60712536,242474
-107177.1484375,10.05,980000,0.001,791725.0,45,78636,21750,18.685283660888672,-1.3955655097961426,133789.92347789998,244974
-107792.9375,10.39,990000,0.001,222904.375,44,79580,22150,16.045822143554688,-0.602776050567627,131788.01489453,247474
-106426.15625,10.12,1000000,0.001,1255905.0,44,80547,22555,17.507646560668945,-1.1770669221878052,133786.54984301,249974
