train/actor_loss,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,train/critic_loss,time/fps,time/episodes,time/time_elapsed,train/ent_coef,train/ent_coef_loss,rollout/ep_rew_mean,train/n_updates
2621.2392578125,102.27586206896552,10000,0.001,32285112.0,44,87,222,2.1390860080718994,-9.24516487121582,-533437.9990130805,2474
5703.5986328125,171.4,20000,0.001,7109137.0,47,107,424,4.573100566864014,-14.62281322479248,-432822.42613574996,4974
3386.829345703125,265.06,30000,0.001,4591079.0,47,153,634,8.529391288757324,-14.892770767211914,-71327.72213611,7474
477.5831604003906,220.16,40000,0.001,5455432.5,47,199,841,14.92564868927002,-12.964059829711914,76126.11771114,9974
-11454.0888671875,24.66,50000,0.001,61656808.0,48,421,1037,24.198720932006836,-11.180032730102539,127305.67506855998,12474
-26453.365234375,26.65,60000,0.001,6782775.0,48,832,1245,37.96955871582031,-5.0756330490112305,131245.08573415,14974
-39552.84375,22.4,70000,0.001,9382896.0,48,1224,1456,50.006072998046875,-2.07328462600708,133510.46540617998,17474
-41914.7890625,21.23,80000,0.001,11553820.0,48,1671,1661,47.05902862548828,2.9329473972320557,133538.22422936998,19974
-53895.05859375,19.68,90000,0.001,5358063.0,48,2158,1871,40.164024353027344,0.7302103042602539,133589.12227312,22474
-64629.08984375,18.48,100000,0.001,3134255.25,48,2684,2067,33.81348419189453,0.2392253428697586,133617.35249609,24974
-69576.671875,18.45,110000,0.001,4093040.5,48,3221,2270,30.293033599853516,0.730165421962738,133597.49900041,27474
-70753.1171875,16.53,120000,0.001,1692697.75,48,3798,2486,26.84779167175293,2.474165916442871,133655.70033566,29974
-76801.5859375,16.05,130000,0.001,2255597.5,48,4406,2700,27.228178024291992,1.0454962253570557,133653.60299734,32474
-76189.109375,16.72,140000,0.001,4791636.0,47,5038,2924,25.047306060791016,0.16682590544223785,133526.74595632998,34974
-86163.4921875,15.3,150000,0.001,2175890.5,47,5696,3133,21.590423583984375,0.45241841673851013,133566.09987411,37474
-91410.078125,15.06,160000,0.001,1176887.625,47,6294,3337,28.574310302734375,0.23327453434467316,133685.2879509,39974
-89380.3203125,14.28,170000,0.001,868425.75,47,6976,3548,22.74840545654297,0.6905224323272705,133665.79973058,42474
-87808.625,14.17,180000,0.001,1716334.0,48,7667,3748,20.39682388305664,0.3133843243122101,133591.37817155002,44974
-90978.0546875,14.11,190000,0.001,1077579.25,48,8368,3955,21.138917922973633,0.046222493052482605,133588.89498215,47474
-92693.28125,13.16,200000,0.001,852444.6875,47,9090,4168,19.518892288208008,-0.09733494371175766,133714.21156603002,49974
-93136.203125,13.06,210000,0.001,1751788.5,47,9844,4376,18.922649383544922,0.15099722146987915,133700.8987437,52474
-93495.203125,12.93,220000,0.001,1067004.25,47,10615,4591,20.470216751098633,-0.7254780530929565,133734.12080508,54974
-94504.8984375,12.64,230000,0.001,1373081.0,47,11388,4797,19.732925415039062,1.8612420558929443,133730.03841904,57474
-96186.34375,12.01,240000,0.001,1536195.625,47,12201,5003,18.36489486694336,-0.4509725570678711,133755.27916906,59974
-96947.0625,12.01,250000,0.001,1570935.75,47,13017,5223,18.240802764892578,-0.08895325660705566,133752.6,62474
-96171.96875,11.92,260000,0.001,1630548.75,47,13845,5426,18.76041603088379,-0.14276471734046936,133740.0,64974
-99007.828125,12.19,270000,0.001,850665.5,47,14570,5640,19.816762924194336,-0.5781363248825073,133754.4,67474
-98420.2890625,12.57,280000,0.001,2037546.0,47,15395,5852,19.524301528930664,0.2463698834180832,133736.71538283,69974
-100653.4296875,11.97,290000,0.001,797717.0625,47,16220,6067,20.662334442138672,0.8869413137435913,133756.78682817,72474
-101363.5625,11.95,300000,0.001,909290.5625,47,17061,6275,19.27486228942871,0.15344928205013275,133751.1,74974
-99515.15625,12.13,310000,0.001,639926.9375,47,17844,6481,20.091854095458984,-0.0321103036403656,133750.19988439002,77474
-97514.875,12.54,320000,0.001,463575.375,47,18666,6684,20.217361450195312,-0.3755066692829132,133522.90788192,79974
-103076.5078125,11.8,330000,0.001,441905.625,47,19518,6895,19.570411682128906,-0.2509617209434509,133749.56337777,82474
-103506.1484375,11.75,340000,0.001,15501182.0,47,20349,7100,22.20471954345703,0.08861653506755829,133742.97418913,84974
-102305.6796875,11.46,350000,0.001,500515.78125,47,21209,7310,20.873493194580078,1.1329455375671387,133760.9,87474
-100631.7109375,11.5,360000,0.001,757419.0,47,21914,7526,23.227344512939453,1.3546757698059082,133745.64418377,89974
-102053.5234375,11.47,370000,0.001,944973.8125,47,22789,7748,18.558509826660156,0.02960427850484848,133762.88447185,92474
-103130.0234375,11.04,380000,0.001,1375344.125,47,23646,7957,20.121105194091797,-1.216156244277954,133666.6,94974
-102017.3515625,11.69,390000,0.001,476788.625,47,24520,8170,17.9503173828125,0.02412823587656021,133758.76424375002,97474
-101066.890625,12.65,400000,0.001,557034.375,47,25390,8383,20.054744720458984,-1.743618130683899,133730.48677812,99974
-101627.390625,11.61,410000,0.001,645815.875,47,26264,8593,17.382099151611328,-0.38436374068260193,133557.84577015,102474
-103741.8515625,11.04,420000,0.001,312288.9375,47,27163,8808,17.656402587890625,-0.22729022800922394,133265.7,104974
-103450.7578125,11.01,430000,0.001,6163633.0,47,28056,9012,16.637645721435547,-0.2608245611190796,133776.2,107474
-103831.375,11.45,440000,0.001,668164.0,47,28949,9228,16.97547149658203,-0.670889675617218,133756.6,109974
-102338.8671875,11.23,450000,0.001,664309.8125,47,29834,9455,16.2441463470459,-0.35236653685569763,133770.1988709,112474
-104978.8671875,10.99,460000,0.001,498291.0,47,30733,9683,16.659650802612305,0.35904109477996826,133765.8,114974
-103648.7109375,12.66,470000,0.001,674353.8125,47,31595,9899,15.450400352478027,-0.32816898822784424,133633.00942978,117474
-104806.4375,10.8,480000,0.001,218023.453125,47,32507,10114,17.674365997314453,-0.1556408852338791,133772.16558724002,119974
-104157.2265625,11.0,490000,0.001,1196141.375,47,33407,10319,16.119834899902344,1.019249677658081,133769.1128551,122474
-104258.765625,10.87,500000,0.001,187069.59375,47,34316,10530,16.858224868774414,-0.16899904608726501,133777.79173841,124974
-106267.9375,11.19,510000,0.001,1910094.5,47,35222,10736,16.85865020751953,-0.6546627879142761,133368.1,127474
-103358.3125,11.19,520000,0.001,539195.75,47,36124,10932,15.269545555114746,-0.431583046913147,133765.3380469,129974
-103767.03125,11.04,530000,0.001,2976713.25,47,37039,11132,15.153488159179688,-1.3893580436706543,133770.97385204,132474
-104662.71875,10.96,540000,0.001,240976.9375,47,37948,11332,16.648120880126953,-0.7171978950500488,133771.8,134974
-104678.484375,10.93,550000,0.001,266822.40625,47,38842,11551,15.926667213439941,-0.32734057307243347,133776.50923084,137474
-105235.9921875,10.96,560000,0.001,3492166.5,47,39745,11776,16.849489212036133,-0.04903127998113632,133670.71444234002,139974
-103211.34375,11.27,570000,0.001,1512864.375,47,40650,11987,15.83154010772705,-0.633070707321167,133756.44313927,142474
-104672.8671875,10.96,580000,0.001,396242.4375,47,41574,12208,15.313371658325195,-0.7350257635116577,133769.1,144974
-105715.1640625,10.83,590000,0.001,7584237.0,47,42400,12433,16.817100524902344,0.2870069742202759,133779.8,147474
-105118.4609375,10.74,600000,0.001,202154.078125,47,43327,12659,15.905143737792969,0.03319254517555237,133667.92133898,149974
-105505.5625,22.19,610000,0.001,242358.0625,47,44118,12914,16.94727325439453,-1.4790711402893066,132013.18793302,152474
-105886.6328125,10.67,620000,0.001,696249.0,47,45037,13170,16.348493576049805,-0.22788196802139282,133777.4798222,154974
-105421.0703125,10.91,630000,0.001,242404.515625,47,45956,13382,14.626687049865723,-0.8769749402999878,133776.0157961,157474
-106332.4296875,10.97,640000,0.001,857203.75,46,46829,13622,15.514962196350098,0.6429622769355774,133768.0,159974
-104581.8828125,10.91,650000,0.001,3375855.5,46,47746,13858,15.244595527648926,-0.5947921276092529,133768.96343542,162474
-104978.6640625,11.8,660000,0.001,390761.6875,46,48686,14095,14.75747299194336,-1.0561039447784424,133707.21672497,164974
-105829.859375,10.72,670000,0.001,344850.5,46,49511,14329,15.647603988647461,0.5908908843994141,133779.91724802,167474
-105405.8359375,10.71,680000,0.001,4464659.0,46,50364,14560,15.678535461425781,-0.27956706285476685,133770.27708094998,169974
-104760.6796875,12.8,690000,0.001,284150.625,46,51180,14795,15.35490608215332,-0.7978920936584473,133713.08426056,172474
-106718.703125,10.71,700000,0.001,284503.40625,46,52108,15025,15.46375560760498,-0.9744328856468201,133774.00449644,174974
-108018.484375,10.98,710000,0.001,434249.90625,46,53027,15271,16.720565795898438,-2.029395818710327,133776.6720594,177474
-106435.7109375,10.68,720000,0.001,393163.71875,46,53963,15501,15.768352508544922,0.47335025668144226,133583.7,179974
-107748.4140625,10.58,730000,0.001,357340.375,46,54903,15729,14.599630355834961,1.3244476318359375,133777.25208345,182474
-107091.640625,10.3,740000,0.001,600245.0,46,55861,15968,14.933825492858887,0.23515254259109497,133780.240479,184974
-106783.125,10.76,750000,0.001,392615.53125,46,56789,16206,15.59616470336914,0.28847524523735046,133675.48668977,187474
-107428.625,10.57,760000,0.001,359502.3125,46,57741,16435,13.993884086608887,0.05726524442434311,133782.06678027997,189974
-105348.71875,10.42,770000,0.001,395490.75,46,58702,16675,14.363506317138672,-0.25155460834503174,133786.81186483,192474
-104995.578125,10.18,780000,0.001,277329.0,46,59662,16917,15.4371337890625,0.04974885284900665,133792.75199774,194974
-106764.28125,10.3,790000,0.001,184843.25,46,60622,17154,14.110978126525879,1.270756721496582,133788.49851437,197474
-104802.171875,10.32,800000,0.001,506103.25,46,61580,17388,14.47775936126709,1.6461424827575684,133788.10077209,199974
