rollout/ep_len_mean,time/time_elapsed,train/value_loss,rollout/ep_rew_mean,train/policy_objective,train/learning_rate,train/explained_variance,train/kl_divergence_loss,time/total_timesteps,train/is_line_search_success,train/n_updates,train/std,time/fps
55.22,7,112901085568.0,-1354198.5947163699,0.053193848580121994,0.0013,-3.5762786865234375e-07,0.005069318227469921,10000,1.0,1,0.999457061290741,1403
33.75,14,114151550681.6,-846833.7192089602,0.047053150832653046,0.0013,1.1920928955078125e-07,0.004469576291739941,20000,1.0,2,1.0039089918136597,1416
28.64,21,100754881062.4,-714165.28544721,0.04973502457141876,0.0013,0.0,0.004329601768404245,30000,1.0,3,1.0040992498397827,1419
28.74,28,91727623116.8,-715464.96799014,0.052274271845817566,0.0013,0.0,0.005085533019155264,40000,1.0,4,0.9995296001434326,1420
23.41,36,81113809248.0,-587333.45539135,0.05129196494817734,0.0013,0.0,0.005374401342123747,50000,1.0,6,1.0015323162078857,1373
19.97,43,79731011699.2,-507810.13771054015,0.049120187759399414,0.0013,0.0,0.0042450083419680595,60000,1.0,7,0.9974772334098816,1380
20.98,50,72880883756.8,-535382.13170912,0.054944802075624466,0.0013,-2.384185791015625e-07,0.0050096455961465836,70000,1.0,8,0.990695595741272,1385
13.67,57,69996810182.4,-369806.16360013,0.05906175449490547,0.0013,5.960464477539063e-08,0.005185483489185572,80000,1.0,9,0.9828507900238037,1390
12.73,64,64865561900.8,-348088.5846267901,0.06260661035776138,0.0013,1.1920928955078125e-07,0.005462050437927246,90000,1.0,10,0.9708300232887268,1392
9.31,72,49665862080.0,-272004.39115449996,0.06690718233585358,0.0013,1.7881393432617188e-07,0.005497522186487913,100000,1.0,12,0.9645619988441467,1372
7.29,79,42960691760.0,-227379.89776029,0.07204187661409378,0.0013,0.0,0.006903055589646101,110000,1.0,13,0.9576107263565063,1376
6.6,86,33142934499.2,-213595.13161342003,0.06890374422073364,0.0013,1.1920928955078125e-07,0.006047870498150587,120000,1.0,14,0.9459024667739868,1379
6.61,94,26440091462.4,-213696.92823679998,0.06004295125603676,0.0013,0.0,0.007434078957885504,130000,1.0,15,0.9435141682624817,1382
6.61,102,27860022240.0,-214784.04091716997,0.06514603644609451,0.0013,0.0,0.006144399289041758,140000,1.0,17,0.9350662231445312,1368
5.67,109,22854068025.6,-194464.59140471005,0.048731181770563126,0.0013,5.960464477539063e-08,0.005117035936564207,150000,1.0,18,0.9266296625137329,1371
6.24,116,21893738972.8,-206467.40084705,0.06369554996490479,0.0013,-1.1920928955078125e-07,0.007494854740798473,160000,1.0,19,0.9249206781387329,1373
5.11,123,21764510668.8,-182250.45393711,0.04658665508031845,0.0013,-2.384185791015625e-07,0.007628698833286762,170000,1.0,20,0.9221893548965454,1376
5.26,130,20236841193.6,-185570.19686335002,0.02517988719046116,0.0013,0.0,0.006734876427799463,180000,1.0,21,0.9128447771072388,1376
5.29,139,19434427918.4,-186210.63659153003,0.038461241871118546,0.0013,0.0,0.00797309260815382,190000,1.0,23,0.9069353342056274,1364
5.12,146,18740159436.8,-182655.66647757002,0.040374211966991425,0.0013,-2.384185791015625e-07,0.006615591701120138,200000,1.0,24,0.9061543345451355,1366
5.36,153,17649406320.0,-187711.75709831004,0.04421596974134445,0.0013,0.0,0.007166476454585791,210000,1.0,25,0.8983607888221741,1367
