time/time_elapsed,time/episodes,train/learning_rate,time/fps,train/n_updates,time/total_timesteps,train/actor_loss,rollout/ep_rew_mean,train/ent_coef,train/critic_loss,train/ent_coef_loss,rollout/ep_len_mean
56,13,0.0064,176,2474,10000,20610934.0,-12372280.72695023,143545.15625,84850.7109375,-669.3831176757812,638.6153846153846
119,21,0.0064,167,4974,20000,240924261089280.0,-15335015.688112048,3846738280448.0,112233308749824.0,-1640.376220703125,776.2857142857143
184,33,0.0064,163,7474,30000,2.2998128300501332e+21,-17085722.71061676,3.6847024985052545e+19,1.0776700843769274e+21,-2541.689453125,857.6363636363636
247,41,0.0064,161,9974,40000,2.0512160779955765e+28,-17683525.108545195,3.293584250817153e+26,9.606593257531268e+27,-3436.358642578125,885.4146341463414
310,53,0.0064,161,12474,50000,1.823709497426468e+35,-18241849.989629302,2.928234200900982e+33,inf,-4336.93408203125,911.3584905660377
