train/actor_loss,train/ent_coef,train/critic_loss,time/fps,train/learning_rate,rollout/ep_rew_mean,time/total_timesteps,time/episodes,train/n_updates,train/ent_coef_loss,rollout/ep_len_mean,time/time_elapsed
26297.66796875,40.111881256103516,24657658.0,182,0.0055,-1715316.249089025,10000,40,2474,-29.89086151123047,231.125,54
12698.0703125,62.86971664428711,36566500.0,182,0.0055,-965127.9083362842,20000,81,4974,0.20342892408370972,234.74074074074073,109
8287.21875,48.989295959472656,18391960.0,182,0.0055,-808381.9757228284,30000,99,7474,5.449042320251465,284.3939393939394,164
3170.214599609375,27.1792049407959,6380826.0,182,0.0055,-196766.11287398,40000,114,9974,3.7494490146636963,337.92,218
851.2835083007812,15.673381805419922,2588185.0,183,0.0055,-188895.06814740997,50000,133,12474,2.952394485473633,403.22,272
1926.740478515625,16.78451156616211,2416151.25,184,0.0055,-238233.43085437003,60000,156,14974,2.951174736022949,469.99,325
1034.99951171875,14.966543197631836,6537170.0,185,0.0055,-259343.07989044004,70000,171,17474,0.5139367580413818,514.21,377
-1026.28857421875,15.300671577453613,2941539.0,185,0.0055,-275599.48680718,80000,186,19974,-1.1725690364837646,567.69,431
-1255.7269287109375,20.780902862548828,1569124.25,185,0.0055,-287357.30860436003,90000,205,22474,3.9833033084869385,571.12,485
1203.091064453125,11.618745803833008,2239896.25,185,0.0055,-345987.12230468,100000,215,24974,2.188746929168701,586.72,539
579.3672485351562,13.534322738647461,1284846.625,185,0.0055,-353771.37235506007,110000,228,27474,-4.573808670043945,647.41,593
2490.60205078125,11.582510948181152,2143943.5,185,0.0055,-333765.92765373,120000,241,29974,-0.403156042098999,652.43,646
1465.046875,9.049126625061035,2498234.5,185,0.0055,-317984.68830402,130000,252,32474,1.492020845413208,706.29,700
1347.577392578125,11.480884552001953,2014740.75,185,0.0055,-373714.12661663996,140000,266,34974,1.933109164237976,709.39,753
-1231.520751953125,15.035713195800781,1328098.5,185,0.0055,-343059.06525302003,150000,279,37474,-0.1385967880487442,746.04,807
752.8912353515625,39.75868606567383,1435130.5,185,0.0055,-344921.69658756995,160000,290,39974,11.12529182434082,764.1,860
953.110107421875,10.669268608093262,2123394.0,186,0.0055,-333359.94433684996,170000,300,42474,-4.025360107421875,810.17,913
367.4570617675781,8.320433616638184,1265544.5,186,0.0055,-421464.11541692,180000,314,44974,-6.488254547119141,805.71,967
6905.94482421875,26.12211036682129,1691415.0,186,0.0055,-431381.6944048101,190000,326,47474,6.0279059410095215,812.27,1020
2088.133056640625,5.553385257720947,2139220.5,186,0.0055,-417123.44296401995,200000,335,49974,-0.12782913446426392,830.1,1073
7850.615234375,46.7567024230957,1590320.75,186,0.0055,-450416.64778408996,210000,351,52474,21.22281265258789,805.9,1127
3497.375,14.648016929626465,1133650.25,186,0.0055,-435808.22394043003,220000,363,54974,3.637385606765747,835.91,1181
3781.82275390625,7.768551349639893,1826207.625,186,0.0055,-394046.32892553,230000,373,57474,0.1146526038646698,844.68,1234
3784.21630859375,7.489900588989258,1712230.625,186,0.0055,-402159.0335069801,240000,387,59974,-2.527251720428467,834.3,1288
18341.236328125,14.734545707702637,2629283.25,186,0.0055,-431043.42025028,250000,412,62474,6.2742815017700195,712.6,1341
8363.626953125,13.956077575683594,2556446.0,186,0.0055,-453724.5068854601,260000,424,64974,0.2902213931083679,730.08,1393
857.7001953125,11.514266967773438,2654658.0,186,0.0055,-433883.48250462004,270000,432,67474,1.105530023574829,730.08,1446
1288.0625,13.349864959716797,781404.25,186,0.0055,-418966.04436003,280000,445,69974,1.9520668983459473,743.33,1499
747.1753540039062,10.062743186950684,791668.125,186,0.0055,-359476.30676114,290000,455,72474,1.6025493144989014,765.37,1553
17289.8359375,62.129676818847656,4673000.0,186,0.0055,-668155.51571443,300000,470,74974,20.27716064453125,723.78,1607
9287.365234375,13.276843070983887,26526756.0,186,0.0055,-739671.22121619,310000,493,77474,-3.0591254234313965,695.82,1660
11941.666015625,28.34105682373047,8263641.0,186,0.0055,-733052.3584030601,320000,509,79974,9.88748550415039,750.58,1714
6947.34033203125,12.29652214050293,1976051.75,186,0.0055,-705669.00234165,330000,519,82474,-1.6710894107818604,731.71,1768
7574.9208984375,36.434669494628906,1672092.0,186,0.0055,-756958.80126413,340000,531,84974,10.276124000549316,723.77,1821
1490.915283203125,5.220925331115723,1318401.5,186,0.0055,-764562.4125399299,350000,541,87474,0.6787434816360474,727.12,1875
5982.5185546875,18.385494232177734,1278782.25,186,0.0055,-809394.0807602599,360000,553,89974,7.763000965118408,734.51,1929
8265.77734375,8.40488052368164,2192026.5,186,0.0055,-655248.4862394499,370000,562,92474,-14.571081161499023,747.05,1983
4889.375,5.349055767059326,763730.875,186,0.0055,-439356.3799977,380000,576,94974,2.8503684997558594,786.7,2037
8672.283203125,21.332233428955078,5488440.0,186,0.0055,-491085.0757237,390000,592,97474,-6.307801723480225,802.64,2091
168.38333129882812,15.2579984664917,1352379.75,186,0.0055,-378606.43387063005,400000,602,99974,5.4282073974609375,839.91,2145
6436.9345703125,4.21771240234375,6832914.0,185,0.0055,-310485.63320689,410000,612,102474,2.705254316329956,870.55,2205
6845.673828125,10.872675895690918,362922.65625,185,0.0055,-295186.44253911,420000,622,104974,7.241309642791748,880.51,2265
