train/actor_loss,time/time_elapsed,time/total_timesteps,train/n_updates,time/episodes,train/ent_coef,rollout/ep_len_mean,train/critic_loss,time/fps,rollout/ep_rew_mean,train/learning_rate,train/ent_coef_loss
11585.400390625,5159,410000,102474,4609,29.017385482788086,458.03,35805736.0,79,-49953.302375490006,0.001,0.21978560090065002
10286.087890625,5287,420000,104974,4625,30.80316162109375,519.13,23954562.0,79,-63687.98256162001,0.001,-0.18233957886695862
9379.3173828125,5414,430000,107474,4665,28.856910705566406,402.14,25958500.0,79,-73454.57711937,0.001,-1.4237728118896484
8474.556640625,5542,440000,109974,4699,30.247846603393555,364.62,16756482.0,79,-83852.62241467001,0.001,1.3920563459396362
6205.2587890625,5669,450000,112474,4722,35.3801155090332,315.72,13316442.0,79,-72576.56885442,0.001,1.041123628616333
5801.66259765625,5797,460000,114974,4744,32.936256408691406,325.41,60956576.0,79,-65638.35108195999,0.001,0.9740186333656311
5214.83203125,5924,470000,117474,4763,32.4418830871582,395.77,19244944.0,79,-90741.16611435,0.001,1.3130695819854736
4184.38916015625,6051,480000,119974,4775,29.465200424194336,465.78,19090854.0,79,-105608.42827876,0.001,-1.8065407276153564
5423.162109375,6179,490000,122474,4808,31.592823028564453,455.62,13517034.0,79,-111241.96528894002,0.001,0.8666563034057617
1774.34228515625,6305,500000,124974,4844,26.06134033203125,406.83,22056840.0,79,-114936.10402052,0.001,0.19076335430145264
-2022.669921875,6433,510000,127474,4861,29.80840492248535,390.95,18234416.0,79,-86739.1823506,0.001,1.4997057914733887
-863.5596313476562,6560,520000,129974,4894,28.212039947509766,358.17,23850418.0,79,-65389.01643156999,0.001,-0.6797537803649902
295.1057434082031,6688,530000,132474,4909,28.842012405395508,381.27,9519495.0,79,-95385.01877324999,0.001,-0.07769105583429337
926.1866455078125,6815,540000,134974,4932,29.298051834106445,400.92,28052144.0,79,-121446.92446360999,0.001,1.067501425743103
-2806.485595703125,6943,550000,137474,4949,32.64961242675781,477.64,15607885.0,79,-157108.3647215,0.001,0.7166998982429504
-1421.7633056640625,7070,560000,139974,4983,33.451011657714844,416.57,28645748.0,79,-157201.03199689,0.001,1.4694385528564453
-2329.36181640625,7198,570000,142474,5005,29.44068717956543,430.43,15843073.0,79,-153418.24922280002,0.001,-0.3463894724845886
-2953.182861328125,7325,580000,144974,5023,32.5567512512207,437.93,19049360.0,79,-138584.06610527,0.001,0.9011343121528625
-4531.47314453125,7452,590000,147474,5042,29.127017974853516,455.18,53650312.0,79,-140099.60298772,0.001,-0.22567057609558105
-2491.98876953125,7579,600000,149974,5069,28.819988250732422,428.78,10517504.0,79,-117829.21206518,0.001,0.1767416000366211
-8470.41796875,7707,610000,152474,5111,30.889280319213867,352.59,13424262.0,79,-66376.93959447001,0.001,-1.5785250663757324
-5019.587890625,7834,620000,154974,5134,26.60671615600586,308.6,12776885.0,79,-47474.41608993,0.001,-1.5915800333023071
-5985.318359375,7961,630000,157474,5160,31.185644149780273,356.53,9153656.0,79,-61572.48645446,0.001,0.8041094541549683
-6956.9375,8089,640000,159974,5180,30.081745147705078,356.04,26350666.0,79,-46523.24600860001,0.001,1.001747965812683
-9107.505859375,8215,650000,162474,5202,30.00713348388672,406.68,24284906.0,79,-51726.58367411001,0.001,1.0188230276107788
-7057.119140625,8343,660000,164974,5241,30.862682342529297,391.65,17486088.0,79,-12460.797585870005,0.001,-0.593546450138092
-10732.513671875,8470,670000,167474,5277,26.442035675048828,319.59,14225890.0,79,26094.105782889997,0.001,0.8583658933639526
-8132.5966796875,8598,680000,169974,5314,30.06108283996582,256.67,32164890.0,79,27118.251383089995,0.001,2.1521525382995605
-7921.87890625,8725,690000,172474,5334,29.599403381347656,315.02,35158216.0,79,-2131.4490539099993,0.001,0.32314854860305786
-10966.01953125,8852,700000,174974,5354,27.883140563964844,373.69,10110710.0,79,-57074.4236861,0.001,-0.039552073925733566
-10750.59375,8980,710000,177474,5371,25.82227897644043,400.06,17713462.0,79,-102676.20028215,0.001,-0.763093888759613
-10931.5888671875,9107,720000,179974,5394,31.528945922851562,444.54,15566462.0,79,-110662.01647894,0.001,-1.210326910018921
-12607.5947265625,9234,730000,182474,5410,34.135276794433594,487.3,14647458.0,79,-187630.85539062,0.001,2.4175329208374023
-12307.0087890625,9362,740000,184974,5440,27.62127685546875,463.71,7963473.0,79,-209032.81584154,0.001,-0.14873537421226501
-12636.8603515625,9488,750000,187474,5462,30.4278564453125,462.11,30730052.0,79,-207411.85649417996,0.001,-1.171623945236206
-13688.2509765625,9615,760000,189974,5491,29.060462951660156,414.74,15025707.0,79,-168325.98032146998,0.001,0.1919371485710144
-16174.6025390625,9743,770000,192474,5553,30.867916107177734,240.02,10474185.0,79,-14080.305988130001,0.001,0.7083214521408081
-16030.787109375,9870,780000,194974,5583,27.177019119262695,230.62,34017996.0,79,-8238.66863273,0.001,-0.7431182861328125
-17941.25390625,9996,790000,197474,5606,26.900239944458008,261.47,27089560.0,79,-23202.459106830003,0.001,0.9821135401725769
