train/kl_divergence_loss,train/std,time/fps,train/learning_rate,train/explained_variance,train/value_loss,time/total_timesteps,train/policy_objective,train/is_line_search_success,train/n_updates,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean
0.006157510448247194,1.0089565515518188,3874,0.001,2.980232238769531e-07,1844053904.6,10000,0.042541421949863434,1.0,1,-478746.6729632273,2,209.75
0.004863156471401453,1.0088939666748047,3872,0.001,0.0,1363824373.3,20000,0.02977127954363823,1.0,2,-417382.6122974896,5,201.84375
0.005983366165310144,1.0081604719161987,3879,0.001,-1.1920928955078125e-07,1288975450.0,30000,0.027023088186979294,1.0,3,-356719.4042839301,7,193.69
0.0060996413230896,1.0142693519592285,3880,0.001,0.0,1284783451.3,40000,0.03564300388097763,1.0,4,-322412.5889458,10,184.09
0.005374701227992773,1.0145035982131958,3658,0.001,-1.1920928955078125e-07,1169793133.5,50000,0.027198433876037598,1.0,6,-267683.29044156004,13,165.41
0.0054477243684232235,1.0046323537826538,3695,0.001,-1.1920928955078125e-07,996807376.0,60000,0.02973746880888939,1.0,7,-245807.84428048,16,162.0
0.004969929810613394,1.0011392831802368,3720,0.001,0.0,1008137089.5,70000,0.027696765959262848,1.0,8,-252825.82385257003,18,166.73
0.005708732176572084,0.9906046390533447,3739,0.001,0.0,1174143885.1,80000,0.028848228976130486,1.0,9,-228018.63151647,21,142.25
0.005566673818975687,0.9829240441322327,3753,0.001,0.0,1015643956.9,90000,0.028294987976551056,1.0,10,-238039.34564607003,23,157.17
0.005816599819809198,0.9714526534080505,3662,0.001,-1.1920928955078125e-07,1001082975.3,100000,0.0399404801428318,1.0,12,-230045.96693512998,27,164.03
0.005492601543664932,0.9808111190795898,3682,0.001,-1.1920928955078125e-07,815371312.9,110000,0.029712093994021416,1.0,13,-234805.65533757996,29,184.03
0.00633848225697875,0.9651775360107422,3698,0.001,0.0,703959013.45,120000,0.029042594134807587,1.0,14,-227295.81597566005,32,192.05
0.00669889897108078,0.9601032137870789,3712,0.001,0.0,721156731.45,130000,0.03276783227920532,1.0,15,-233199.79000275998,35,191.85
0.006822545081377029,0.9637259840965271,3648,0.001,0.0,674030769.7,140000,0.0353584960103035,1.0,17,-235146.50336461997,38,199.51
0.006004527676850557,0.9578230381011963,3663,0.001,0.0,791128056.45,150000,0.03739458695054054,1.0,18,-223626.07440166996,40,192.95
0.006698787212371826,0.954761803150177,3679,0.001,0.0,652921745.25,160000,0.03560223430395126,1.0,19,-232793.53722030003,43,212.36
0.007568400353193283,0.9440829753875732,3695,0.001,0.0,465156475.375,170000,0.03845677524805069,1.0,20,-217753.41956361,45,234.13
0.006992417853325605,0.9268608689308167,3705,0.001,0.0,500777569.775,180000,0.03677171468734741,1.0,21,-216798.93487184,48,270.1
0.006729391869157553,0.9233212471008301,3658,0.001,-1.1920928955078125e-07,478802110.475,190000,0.035009466111660004,1.0,23,-196559.23439897,51,260.51
0.008120079524815083,0.9172825813293457,3668,0.001,0.0,431027790.7375,200000,0.040668196976184845,1.0,24,-196820.28755284997,54,269.1
0.007020241115242243,0.922356903553009,3679,0.001,0.0,340193068.6375,210000,0.037475693970918655,1.0,25,-202175.85726512,57,303.13
0.0067180003970861435,0.911868155002594,3688,0.001,0.0,254131748.5875,220000,0.030345648527145386,1.0,26,-214625.28083866998,59,356.48
0.00812860019505024,0.890042245388031,3648,0.001,5.960464477539063e-08,129430259.571875,230000,0.040767546743154526,1.0,28,-224331.02773071005,63,429.29
0.0073586576618254185,0.8743390440940857,3657,0.001,5.960464477539063e-08,74331709.990625,240000,0.03465908020734787,1.0,29,-222112.97696496002,65,488.19
0.008303280919790268,0.8721768260002136,3666,0.001,0.0,262619051.7625,250000,0.04513312503695488,1.0,30,-221594.22323600002,68,549.41
0.007168835494667292,0.8606782555580139,3674,0.001,0.0,104116802.85625,260000,0.04038110002875328,1.0,31,-216219.03207936004,70,605.11
0.0070055448450148106,0.8562623858451843,3682,0.001,0.0,46180449.76484375,270000,0.042163725942373276,1.0,32,-211810.98461438,73,684.01
0.007418081164360046,0.8343424797058105,3652,0.001,0.0,21900952.03515625,280000,0.041670285165309906,1.0,34,-202661.80500951,76,739.25
0.007174407597631216,0.813667356967926,3661,0.001,0.0,34611798.87460937,290000,0.03051404096186161,1.0,35,-181963.06271589003,79,798.71
0.00797005370259285,0.8024029731750488,3668,0.001,1.1920928955078125e-07,8525311.901757812,300000,0.03593897819519043,1.0,36,-160145.58145641,81,841.88
0.007380808237940073,0.8030443787574768,3673,0.001,0.0,2887200.692333984,310000,0.03845483809709549,1.0,37,-139115.81755759,84,882.63
0.008248738944530487,0.7919445037841797,3646,0.001,0.0,19041822.6515625,320000,0.03907228261232376,1.0,39,-127850.20099431997,87,905.66
0.008946913294494152,0.7976272106170654,3652,0.001,0.0,54416862.26054688,330000,0.036449067294597626,1.0,40,-111823.49637662,90,897.01
0.008034775964915752,0.7972750067710876,3657,0.001,0.0,7846687.928613281,340000,0.04291033744812012,1.0,41,-84751.91718691001,92,920.79
0.00937280897051096,0.797918975353241,3662,0.001,0.0,23519042.079199217,350000,0.026523273438215256,1.0,42,-73117.41565594001,95,931.48
0.0070038288831710815,0.7919070720672607,3667,0.001,0.0,17838457.96484375,360000,0.02904602885246277,1.0,43,-61787.20997659,98,929.46
0.008399629034101963,0.7691783308982849,3644,0.001,-1.1920928955078125e-07,4273960.85600586,370000,0.034724004566669464,1.0,45,-56608.37355705001,101,929.46
0.009805888868868351,0.768334150314331,3649,0.001,0.0,11464183.488085937,380000,0.027024710550904274,1.0,46,-49923.353910950005,104,939.92
0.008931864984333515,0.7703521847724915,3654,0.001,0.0,5044217.764257813,390000,0.039196766912937164,1.0,47,-48534.707839220006,106,939.92
0.006934020668268204,0.7770209312438965,3659,0.001,0.0,1176922.4450195313,400000,0.031267937272787094,1.0,48,-47072.068930829984,109,939.92
0.007000787649303675,0.7759345173835754,3638,0.001,1.1920928955078125e-07,22340266.57866211,410000,0.03868231549859047,1.0,50,-32464.560095930006,112,930.46
0.009659276343882084,0.7779658436775208,3643,0.001,0.0,2734548.408105469,420000,0.043757785111665726,1.0,51,-28454.398424700004,115,943.49
0.008401959203183651,0.7728837132453918,3647,0.001,5.960464477539063e-08,1986639.7611572265,430000,0.042160697281360626,1.0,52,-25579.034401450004,117,965.66
0.007780644576996565,0.7723320126533508,3650,0.001,0.0,2233945.326977539,440000,0.022882383316755295,1.0,53,-26996.7171382,120,969.2
0.008249527774751186,0.7682998776435852,3652,0.001,5.960464477539063e-08,145656111.3125,450000,0.05012296140193939,1.0,54,-45263.59838928,123,971.56
0.00770995020866394,0.7676138281822205,3633,0.001,-1.1920928955078125e-07,3286464.839111328,460000,0.03296448662877083,1.0,56,-42379.688175339994,126,976.14
0.006888986099511385,0.7717833518981934,3636,0.001,0.0,1055166.318823242,470000,0.0301063172519207,1.0,57,-40440.27135826,129,976.14
0.008036344312131405,0.7698567509651184,3638,0.001,0.0,1467962.4926269532,480000,0.03400111198425293,1.0,58,-38871.933581850004,131,983.23
0.008222121745347977,0.7727685570716858,3644,0.001,0.0,2288813.961230469,490000,0.03641561418771744,1.0,59,-38803.05436911999,134,983.23
0.009107153862714767,0.7633876800537109,3627,0.001,0.0,1349526.6335449219,500000,0.02796899527311325,1.0,61,-39035.61896644999,137,983.23
0.009932265616953373,0.7605811953544617,3631,0.001,0.0,4606016.549523925,510000,0.030168823897838593,1.0,62,-38516.90888973,140,1000.0
0.007746167480945587,0.7539632320404053,3634,0.001,0.0,2971453.3290039063,520000,0.039202239364385605,1.0,63,-38567.7583161,143,1000.0
0.007302785757929087,0.7541601657867432,3638,0.001,0.0,1267782.2916870117,530000,0.03965990990400314,1.0,64,-38231.80548008999,145,1000.0
0.009143238887190819,0.752383291721344,3640,0.001,0.0,2959721.57421875,540000,0.017808668315410614,1.0,65,-35910.296778489996,148,1000.0
0.008522381074726582,0.7402570843696594,3624,0.001,0.0,11563009.851757813,550000,0.03409072756767273,1.0,67,-15616.852747980003,151,993.67
0.009736907668411732,0.7388007640838623,3627,0.001,-1.1920928955078125e-07,2574139.944091797,560000,0.03621102124452591,1.0,68,-15283.40518016,154,993.67
0.009009921923279762,0.737214982509613,3629,0.001,-1.1920928955078125e-07,11985853.53623047,570000,0.025265701115131378,1.0,69,-17047.65105021,157,993.67
0.00656205415725708,0.7411869168281555,3632,0.001,-1.1920928955078125e-07,1328095.0740966797,580000,0.030972162261605263,1.0,70,-16853.91106472,159,993.67
0.00966726616024971,0.7275565266609192,3618,0.001,0.0,2983053.261376953,590000,0.023192066699266434,1.0,72,-17304.002941690003,163,993.67
0.009063986130058765,0.7346558570861816,3621,0.001,0.0,1588305.8307128907,600000,0.03650863841176033,1.0,73,-19716.361907850005,165,982.43
0.007437629159539938,0.7329683303833008,3624,0.001,0.0,72026341.8703125,610000,0.04279879480600357,1.0,74,-20963.46731614,168,958.47
0.009855824522674084,0.7316994071006775,3626,0.001,1.1920928955078125e-07,1217516.9709716798,620000,0.03343089297413826,1.0,75,-21115.433571699996,170,958.47
0.007324516773223877,0.7237299084663391,3629,0.001,5.960464477539063e-08,1585072.2786132812,630000,0.03303607553243637,1.0,76,-21261.994804690006,173,958.47
0.00946140382438898,0.723439633846283,3615,0.001,0.0,1271708.2521972656,640000,0.04332282394170761,1.0,78,-17416.92312119,177,964.8
0.009219779632985592,0.7284903526306152,3618,0.001,5.960464477539063e-08,1518529.022607422,650000,0.08137210458517075,1.0,79,-17388.05608424,179,964.8
0.007033539470285177,0.7283022403717041,3620,0.001,1.1920928955078125e-07,2343283.608544922,660000,0.030601173639297485,1.0,80,-16470.63169804,182,964.8
0.00624224403873086,0.7288501262664795,3622,0.001,0.0,1400638.732421875,670000,0.02898733876645565,1.0,81,-16699.5437062,184,964.8
0.008220409043133259,0.7278346419334412,3610,0.001,0.0,1164026.5486206054,680000,0.051992129534482956,1.0,83,-18575.068734419998,188,964.8
0.006422162055969238,0.7285428047180176,3613,0.001,0.0,1470513.619555664,690000,0.03550264239311218,1.0,84,-18040.252389819998,190,964.8
0.009210552088916302,0.7247162461280823,3614,0.001,0.0,2130506.535522461,700000,0.0237810667604208,1.0,85,-14155.313000529999,193,989.01
0.006011235062032938,0.7236554026603699,3616,0.001,0.0,52255685.6390625,710000,0.03666674718260765,1.0,86,-23030.883371609998,196,994.3
0.007599662523716688,0.7177422046661377,3617,0.001,0.0,23173038.88125,720000,0.026255175471305847,1.0,87,-24052.659861870005,199,985.61
0.00907396525144577,0.7155969738960266,3604,0.001,0.0,1296330.5080810548,730000,0.031533531844615936,1.0,89,-23919.05241039,202,985.61
0.009448365308344364,0.7138397097587585,3605,0.001,0.0,2015520.7153320312,740000,0.02598605304956436,1.0,90,-25075.38580503,205,985.61
0.009452994912862778,0.7098458409309387,3607,0.001,0.0,1533187.737451172,750000,0.024933161213994026,1.0,91,-25190.854519459997,207,985.61
0.009665773250162601,0.7079070210456848,3609,0.001,1.1920928955078125e-07,1271764.4908691407,760000,0.049210336059331894,1.0,92,-30167.303002869998,210,985.61
0.009259426034986973,0.7072216868400574,3611,0.001,0.0,201382161.1886719,770000,0.034036412835121155,1.0,93,-39471.18732141,213,985.61
0.007772901561111212,0.6981897950172424,3597,0.001,1.1920928955078125e-07,4117851.8625976564,780000,0.02965639717876911,1.0,95,-40122.07211927,216,985.61
0.008497127331793308,0.6967573165893555,3598,0.001,0.0,2083300.2123046876,790000,0.04424087330698967,1.0,96,-40219.171790960005,219,985.61
0.008293821476399899,0.6974437832832336,3600,0.001,0.0,1296271.2543457032,800000,0.025812119245529175,1.0,97,-41880.0344898,222,985.61
0.00923487264662981,0.6976295113563538,3600,0.001,5.960464477539063e-08,58660636.2734375,810000,0.042893871665000916,1.0,98,-39698.27556583,224,991.31
0.008663746528327465,0.698442280292511,3590,0.001,-1.1920928955078125e-07,2244704.821533203,820000,0.03282225877046585,1.0,100,-39351.85877372,228,1000.0
0.008492860943078995,0.6999054551124573,3591,0.001,0.0,1240313.2028808594,830000,0.03546804189682007,1.0,101,-39865.65122306,231,990.89
0.006594551261514425,0.6992877125740051,3592,0.001,0.0,13714037.77626953,840000,0.02382502891123295,1.0,102,-40057.987371840005,233,990.89
0.006200825795531273,0.6960465312004089,3593,0.001,0.0,4381495.516479492,850000,0.032530710101127625,1.0,103,-43255.252888040006,236,974.03
0.006410995498299599,0.6954963207244873,3594,0.001,0.0,32155551.517333984,860000,0.025338875129818916,1.0,104,-32388.045955719997,239,974.03
0.006880811881273985,0.6940209269523621,3583,0.001,0.0,8432886.59066162,870000,0.02204630710184574,1.0,106,-32003.96846289,242,974.03
0.007522559259086847,0.6962531208992004,3583,0.001,-1.1920928955078125e-07,28870007.77480469,880000,0.028347359970211983,1.0,107,-35908.77088236,245,974.03
0.008370830677449703,0.6936048865318298,3584,0.001,0.0,2513461.2799072266,890000,0.03481395170092583,1.0,108,-35836.241196790004,248,974.03
0.0062642632983624935,0.6909320950508118,3584,0.001,-1.1920928955078125e-07,3387223.662109375,900000,0.037828583270311356,1.0,109,-28012.623808719996,251,974.03
0.008675637654960155,0.6868538856506348,3573,0.001,0.0,1988580.1192626953,910000,0.03131254389882088,1.0,111,-27052.379951090003,254,974.03
0.007879813201725483,0.6853985786437988,3575,0.001,0.0,1629175.9802001952,920000,0.015966160222887993,1.0,112,-26354.62170169,257,974.03
0.007127521559596062,0.6859727501869202,3576,0.001,0.0,59651951.095703125,930000,0.01786598563194275,1.0,113,-55443.80193385,260,976.63
0.007669007871299982,0.6851819157600403,3577,0.001,0.0,267477300.675,940000,0.04057653248310089,1.0,114,-66016.36824010001,262,976.63
0.008769222535192966,0.6824671626091003,3577,0.001,0.0,4414229.312792969,950000,0.0324728824198246,1.0,115,-75008.34318172,265,993.49
0.006170975510030985,0.6787199378013611,3568,0.001,-1.1920928955078125e-07,11123066.121875,960000,0.027728771790862083,1.0,117,-75884.34710100999,269,993.49
0.006689272355288267,0.6764847636222839,3569,0.001,0.0,186671147.34140626,970000,0.03084438294172287,1.0,118,-82344.29766463,271,993.49
0.006512366700917482,0.6753243803977966,3571,0.001,5.960464477539063e-08,15176213.86953125,980000,0.031173542141914368,1.0,119,-81318.22714916,274,993.49
0.00835235696285963,0.6726077198982239,3573,0.001,0.0,3404923.208251953,990000,0.03865595534443855,1.0,120,-82416.30391002,277,983.79
0.006719391793012619,0.6697637438774109,3562,0.001,0.0,1606505.879370117,1000000,0.027824390679597855,1.0,122,-81992.56857126999,280,983.79
