train/std,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,time/fps,time/total_timesteps,train/explained_variance,rollout/ep_len_mean,train/policy_loss,train/learning_rate,train/value_loss,train/entropy_loss
1.0000492334365845,6,-485170.5217490238,124,1525,10000,2.2232532501220703e-05,110.5952380952381,-305820.0625,0.0001,505167168.0,-17.028230667114258
1.000218152999878,12,-441959.78806328,249,1646,20000,-5.245208740234375e-06,105.15,-253294.046875,0.0001,355949376.0,-17.02932357788086
1.000236988067627,17,-465419.14241914,374,1687,30000,-3.731250762939453e-05,113.66,-349195.6875,0.0001,895580992.0,-17.030012130737305
1.0003503561019897,23,-401406.4163909499,499,1674,40000,1.7404556274414062e-05,98.72,-194741.59375,0.0001,297983712.0,-17.03070640563965
1.0001975297927856,29,-435377.89298430993,624,1692,50000,-8.344650268554688e-07,112.91,-240088.921875,0.0001,634138304.0,-17.029356002807617
1.000623345375061,35,-413021.28796558,749,1705,60000,6.556510925292969e-07,107.25,-216614.65625,0.0001,240815584.0,-17.034446716308594
1.000270962715149,40,-377237.4488135701,874,1714,70000,-7.152557373046875e-07,101.55,-237946.078125,0.0001,627354560.0,-17.030393600463867
1.0002202987670898,46,-363894.71813476004,999,1721,80000,1.0132789611816406e-06,97.6,-359785.84375,0.0001,825953600.0,-17.030372619628906
1.0001147985458374,52,-350613.89749258006,1124,1726,90000,-1.1920928955078125e-07,91.25,-408062.4375,0.0001,1079371392.0,-17.028064727783203
0.9996085166931152,57,-422323.1705016201,1249,1730,100000,-4.76837158203125e-07,115.39,-458476.0625,0.0001,1145905920.0,-17.023155212402344
0.9997815489768982,63,-437479.76553686,1374,1734,110000,-1.1920928955078125e-07,124.32,-312558.84375,0.0001,857150400.0,-17.024354934692383
0.9996280670166016,69,-333196.55617114005,1499,1737,120000,1.1920928955078125e-07,93.64,-384401.875,0.0001,821481600.0,-17.022510528564453
0.9997983574867249,74,-382308.52847302996,1624,1738,130000,0.0,111.2,-567043.6875,0.0001,2170446080.0,-17.024761199951172
0.9997486472129822,80,-320717.51056495,1749,1740,140000,0.0,90.01,-373874.9375,0.0001,1009680768.0,-17.024280548095703
0.9996803402900696,86,-302852.59010596,1874,1739,150000,0.0,95.04,-235502.921875,0.0001,428819712.0,-17.02360725402832
0.9992287158966064,92,-320046.58411915996,1999,1736,160000,5.960464477539063e-08,92.85,-381938.15625,0.0001,1017321472.0,-17.018110275268555
0.9994236826896667,97,-256876.30574482,2124,1735,170000,0.0,71.66,-305564.125,0.0001,1230497024.0,-17.02014923095703
0.9991330504417419,103,-253754.43734892,2249,1733,180000,0.0,71.33,-249477.046875,0.0001,727085248.0,-17.01620101928711
0.9984424710273743,109,-244787.27044209003,2374,1734,190000,0.0,71.22,-168791.0,0.0001,159164320.0,-17.00892448425293
0.9983038306236267,115,-267779.75966241007,2499,1729,200000,1.1920928955078125e-07,84.51,-385412.4375,0.0001,1026413440.0,-17.006542205810547
0.998427152633667,121,-268415.60841890005,2624,1722,210000,1.7881393432617188e-07,80.45,-263120.0,0.0001,591762496.0,-17.0080509185791
0.9980311393737793,127,-272433.45033799997,2749,1724,220000,-1.1920928955078125e-07,89.0,-230571.21875,0.0001,698640000.0,-17.00312614440918
0.9979512095451355,133,-292911.75069712,2874,1726,230000,5.960464477539063e-08,92.6,-269800.75,0.0001,685460864.0,-17.00236701965332
0.9980508685112,138,-258816.9511987,2999,1727,240000,-1.1920928955078125e-07,81.21,-466936.8125,0.0001,1619809536.0,-17.00336456298828
0.9977909922599792,144,-255792.02209001,3124,1729,250000,-1.1920928955078125e-07,80.39,-221071.453125,0.0001,308907168.0,-17.000757217407227
0.9979598522186279,150,-239263.63509738995,3249,1730,260000,0.0,75.73,-258001.5,0.0001,479762080.0,-17.002296447753906
0.9979643821716309,155,-241408.1086388,3374,1731,270000,0.0,76.19,-377173.84375,0.0001,823415104.0,-17.002626419067383
0.997546374797821,161,-246090.2978198,3499,1732,280000,0.0,81.99,-172506.78125,0.0001,144187088.0,-16.997392654418945
0.9976205825805664,167,-233257.41526234002,3624,1733,290000,0.0,74.94,-147147.75,0.0001,229788672.0,-16.997880935668945
0.9972109794616699,172,-237693.79993182997,3749,1734,300000,-1.1920928955078125e-07,75.4,-234217.25,0.0001,656473088.0,-16.9938907623291
0.997052013874054,178,-267540.98065415,3874,1734,310000,-1.1920928955078125e-07,90.08,-258713.703125,0.0001,894641472.0,-16.991443634033203
0.9973079562187195,184,-243268.33255253002,3999,1735,320000,0.0,83.37,-375277.75,0.0001,1209112192.0,-16.995098114013672
0.9972596168518066,190,-237420.18582103,4124,1735,330000,0.0,75.46,-234026.171875,0.0001,605979456.0,-16.994062423706055
0.9978055357933044,195,-197678.69910501997,4249,1736,340000,0.0,64.03,-159980.390625,0.0001,223571072.0,-17.000450134277344
