train/value_loss,train/n_updates,time/fps,train/learning_rate,train/entropy_loss,train/std,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/explained_variance,train/policy_loss,time/total_timesteps
152799440.0,499,1693,0.0007,-12.89500617980957,1.0139111280441284,-189606.16590486,49.4,5,-1.1920928955078125e-07,-121158.359375,10000
499692288.0,999,1704,0.0007,-13.017274856567383,1.0280653238296509,-185451.05089497005,55.03,11,0.0,-64763.69921875,20000
144894816.0,1499,1719,0.0007,-12.969659805297852,1.0226800441741943,-164635.77757099,48.42,17,-1.1920928955078125e-07,-83816.765625,30000
20074566.0,1999,1723,0.0007,-13.048357009887695,1.031893253326416,-145750.50116502,39.69,23,0.0,-24095.7890625,40000
150780976.0,2499,1725,0.0007,-13.078733444213867,1.0355147123336792,-159979.01925592998,44.21,28,0.0,-101231.015625,50000
2823547648.0,2999,1722,0.0007,-13.083890914916992,1.0361170768737793,-163285.26134591998,57.24,34,0.0,-478109.3125,60000
2655318.0,3499,1723,0.0007,-13.083795547485352,1.035704493522644,-146837.28384708002,50.85,40,5.960464477539063e-08,11842.556640625,70000
1597473536.0,3999,1724,0.0007,-13.138116836547852,1.0425547361373901,-133723.24739007998,40.2,46,0.0,-161150.484375,80000
1935770624.0,4499,1723,0.0007,-13.252664566040039,1.055694818496704,-116058.12484655,33.76,52,5.960464477539063e-08,-258917.25,90000
214012576.0,4999,1723,0.0007,-13.305517196655273,1.062239408493042,-146482.30807543,44.42,58,0.0,-84168.125,100000
4479337.0,5499,1722,0.0007,-13.394205093383789,1.0728574991226196,-145198.98830859002,47.15,63,0.0,15141.0654296875,110000
67501456.0,5999,1720,0.0007,-13.507684707641602,1.0864869356155396,-157234.01912579,45.23,69,0.0,-33211.8359375,120000
12448655.0,6499,1691,0.0007,-13.606912612915039,1.0984675884246826,-110920.85736514999,29.36,76,1.7881393432617188e-07,-7452.24609375,130000
528152896.0,6999,1663,0.0007,-13.649961471557617,1.1041202545166016,-150484.45850786,47.76,84,-1.1920928955078125e-07,-58456.05078125,140000
1032448512.0,7499,1641,0.0007,-13.746955871582031,1.1159141063690186,-120260.85681772999,39.56,91,-2.384185791015625e-07,-159285.828125,150000
2393474560.0,7999,1623,0.0007,-13.846885681152344,1.1283553838729858,-124936.40046963003,38.53,98,1.1920928955078125e-07,-314766.5625,160000
9717258.0,8499,1608,0.0007,-13.866205215454102,1.1317349672317505,-130432.44361287999,46.78,105,-1.1920928955078125e-07,14092.2548828125,170000
23811830.0,8999,1595,0.0007,-13.912771224975586,1.1363308429718018,-143479.52105715,53.95,112,1.1920928955078125e-07,-32252.13671875,180000
518161344.0,9499,1583,0.0007,-13.917764663696289,1.137284755706787,-128167.38523629002,32.94,120,0.0,-88384.71875,190000
24927992.0,9999,1575,0.0007,-13.962789535522461,1.1431899070739746,-146797.66603659003,46.92,126,0.0,-33833.3046875,200000
976799936.0,10499,1565,0.0007,-13.984588623046875,1.1459476947784424,-112119.98904024,33.42,134,0.0,-112489.015625,210000
5646838.5,10999,1566,0.0007,-14.104440689086914,1.161480188369751,-146209.86745046003,53.08,140,0.0,328.619140625,220000
4184652.75,11499,1572,0.0007,-14.22178840637207,1.1763746738433838,-143699.338764,51.93,146,-2.384185791015625e-07,-3053.052001953125,230000
30777990.0,11999,1576,0.0007,-14.297113418579102,1.187427043914795,-139730.22011655002,54.74,152,1.1920928955078125e-07,-838.9152221679688,240000
271528.28125,12499,1580,0.0007,-14.314027786254883,1.190321922302246,-137075.67495120002,53.47,158,0.0,2745.02490234375,250000
2503224576.0,12999,1583,0.0007,-14.392736434936523,1.2003138065338135,-120809.81026056001,28.95,164,-1.1920928955078125e-07,-341414.375,260000
78578064.0,13499,1586,0.0007,-14.417451858520508,1.2036528587341309,-170791.15291267,58.33,170,0.0,-66772.640625,270000
2442384384.0,13999,1589,0.0007,-14.50798225402832,1.2157340049743652,-150188.61037672,44.27,176,0.0,-395135.625,280000
1937185792.0,14499,1591,0.0007,-14.600973129272461,1.228272557258606,-129838.90730985999,35.38,182,-2.384185791015625e-07,-281414.6875,290000
5222265.0,14999,1594,0.0007,-14.691850662231445,1.2402726411819458,-127810.71754418999,44.95,188,0.0,-9083.111328125,300000
92022272.0,15499,1597,0.0007,-14.63831901550293,1.2324280738830566,-179811.13516715998,105.98,194,1.1920928955078125e-07,-78314.0546875,310000
23913676.0,15999,1599,0.0007,-14.681455612182617,1.2392088174819946,-126456.38256024997,54.93,200,1.1920928955078125e-07,-33975.94921875,320000
