train/kl_divergence_loss,train/n_updates,time/total_timesteps,train/is_line_search_success,train/policy_objective,time/time_elapsed,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/value_loss,train/std,train/explained_variance
0.004555302206426859,1,10000,1.0,0.05447738617658615,6,0.0013,77.88,-1105984.82328151,1592,44379157286.4,1.0115902423858643,-2.384185791015625e-06
0.004450459033250809,2,20000,1.0,0.05052904784679413,12,0.0013,68.27,-930876.77899454,1605,39617348569.6,1.0130270719528198,0.0
0.003928415942937136,3,30000,1.0,0.04606297239661217,18,0.0013,50.32,-694781.71208824,1606,37862539129.6,1.0119069814682007,1.1920928955078125e-07
0.004249654244631529,4,40000,1.0,0.04964197054505348,24,0.0013,41.23,-572782.94188592,1607,35473424252.8,1.0076267719268799,5.960464477539063e-08
0.004437705036252737,6,50000,1.0,0.04935383051633835,32,0.0013,39.91,-541047.3412799,1538,30811254041.6,1.001480221748352,0.0
0.004496402572840452,7,60000,1.0,0.06114603579044342,38,0.0013,34.03,-472322.60609628,1543,30154082099.2,1.0009845495224,0.0
0.0049245585687458515,8,70000,1.0,0.05639040842652321,45,0.0013,30.67,-422830.6070183,1548,27162102684.8,0.9995785355567932,-2.384185791015625e-07
0.004753343295305967,9,80000,1.0,0.05982791259884834,51,0.0013,30.07,-417054.50309511996,1553,26159142115.2,0.9932888150215149,1.7881393432617188e-07
0.0045393374748528,10,90000,1.0,0.06515288352966309,57,0.0013,20.89,-311876.66651309,1555,25874986083.2,0.9954707622528076,1.7881393432617188e-07
0.005320920143276453,12,100000,1.0,0.0579337403178215,65,0.0013,20.14,-297667.83142136,1526,23384784915.2,0.9873811602592468,0.0
0.005402279552072287,13,110000,1.0,0.059228528290987015,71,0.0013,14.28,-234838.19605721996,1527,20474720048.0,0.9778492450714111,0.0
0.0052826888859272,14,120000,1.0,0.058416254818439484,78,0.0013,13.25,-223925.1645092,1531,20576906400.0,0.9745972752571106,-1.1920928955078125e-07
0.005939512979239225,15,130000,1.0,0.06562100350856781,84,0.0013,11.54,-206063.27512552,1533,18503620616.0,0.9664903283119202,0.0
0.005541715770959854,17,140000,1.0,0.051811955869197845,92,0.0013,9.11,-177979.40191599,1515,16616533859.2,0.9494718909263611,0.0
0.005877858493477106,18,150000,1.0,0.05656748265028,98,0.0013,6.68,-152954.68836061002,1516,15643382280.0,0.9444484114646912,1.7881393432617188e-07
0.0060335672460496426,19,160000,1.0,0.05402950942516327,105,0.0013,6.55,-152102.32942828,1515,13639500720.0,0.9368472695350647,0.0
0.0063334316946566105,20,170000,1.0,0.06584024429321289,112,0.0013,6.26,-149772.90262325996,1517,12980200681.6,0.9269621968269348,0.0
0.006169227883219719,21,180000,1.0,0.0614672489464283,118,0.0013,5.4,-139995.77182939998,1517,12408625118.4,0.9155306816101074,-1.1920928955078125e-07
0.007142344955354929,23,190000,1.0,0.05524422973394394,126,0.0013,5.01,-136435.74078231,1500,11846966588.8,0.8988561034202576,0.0
0.006133140530437231,24,200000,1.0,0.04565102607011795,133,0.0013,4.83,-134585.65104844,1497,11732922612.8,0.8929433822631836,2.384185791015625e-07
0.007363494951277971,25,210000,1.0,0.05433092638850212,140,0.0013,5.14,-137709.35741914998,1493,12043275169.6,0.8829361796379089,0.0
0.006470684427767992,26,220000,1.0,0.058360446244478226,147,0.0013,4.6,-132018.59679876,1488,11215407702.4,0.8757228851318359,-1.1920928955078125e-07
0.005487814545631409,28,230000,1.0,0.04871055483818054,156,0.0013,4.48,-130819.33324955998,1470,11140076208.0,0.8581869602203369,-2.384185791015625e-07
0.006469514220952988,29,240000,1.0,0.05829040706157684,163,0.0013,4.57,-131400.34248220996,1471,10959037889.6,0.8507245182991028,-1.1920928955078125e-07
0.007941526360809803,30,250000,1.0,0.057971760630607605,169,0.0013,4.44,-130310.45320812998,1472,11554631123.2,0.849968671798706,1.7881393432617188e-07
0.007112459745258093,31,260000,1.0,0.029845422133803368,176,0.0013,4.35,-129210.7333124,1472,10774943864.0,0.8426905274391174,0.0
0.006669420748949051,32,270000,1.0,0.04967150092124939,183,0.0013,4.29,-128612.65735710999,1472,10827336833.6,0.8360411524772644,0.0
0.0059572323225438595,34,280000,1.0,0.03202621638774872,191,0.0013,4.17,-127418.00410098003,1463,10569087800.0,0.8219631314277649,0.0
0.008217201568186283,35,290000,1.0,0.04040857404470444,198,0.0013,4.09,-126587.18664524998,1464,10574068464.0,0.8166050910949707,-1.1920928955078125e-07
0.006907055154442787,36,300000,1.0,0.0390339195728302,204,0.0013,4.07,-126505.47134444,1463,10608880244.8,0.8127996325492859,-1.1920928955078125e-07
0.007618027273565531,37,310000,1.0,0.025709297508001328,211,0.0013,4.06,-126406.04786661999,1463,10499077432.0,0.8125966191291809,2.384185791015625e-07
0.006841880735009909,39,320000,1.0,0.022865407168865204,219,0.0013,4.08,-126598.72461625999,1456,10583472720.0,0.8098680973052979,-1.1920928955078125e-07
0.009360995143651962,40,330000,1.0,0.016996875405311584,226,0.0013,4.21,-127805.73189843999,1457,10478505875.2,0.8016114830970764,-1.1920928955078125e-07
0.008476960472762585,41,340000,1.0,0.035732414573431015,233,0.0013,4.07,-126404.19990963003,1458,10677526164.8,0.8007882237434387,-1.1920928955078125e-07
0.005374976899474859,42,350000,1.0,0.03539280593395233,240,0.0013,4.29,-128396.06179261001,1457,10591187513.6,0.7997109889984131,5.960464477539063e-08
0.009846833534538746,43,360000,1.0,0.03513249754905701,246,0.0013,4.89,-135467.89381722,1458,10620378676.8,0.7967133522033691,0.0
0.008290641009807587,45,370000,1.0,0.05076468735933304,254,0.0013,4.16,-127096.81288677,1452,10934696137.6,0.7954447269439697,2.384185791015625e-07
0.005970701575279236,46,380000,1.0,0.02593095786869526,261,0.0013,4.12,-126920.38627357002,1453,10648808099.2,0.7944295406341553,-1.1920928955078125e-07
0.004302993416786194,47,390000,1.0,0.059782855212688446,268,0.0013,4.2,-127509.37446781002,1454,10879824257.6,0.7916805744171143,0.0
0.006644075270742178,48,400000,1.0,0.06268192827701569,275,0.0013,4.12,-126881.37261685001,1454,11389430622.4,0.791923463344574,0.0
0.006514756008982658,50,410000,1.0,0.03522638976573944,283,0.0013,4.11,-126789.50531203998,1448,10514580611.2,0.7869136929512024,-1.1920928955078125e-07
0.008017622865736485,51,420000,1.0,0.028121836483478546,289,0.0013,4.1,-126822.33677572997,1449,10418637937.6,0.7828438878059387,1.1920928955078125e-07
0.006038656923919916,52,430000,1.0,0.028445374220609665,296,0.0013,4.05,-126297.97705584999,1449,10366296332.8,0.7803372740745544,5.960464477539063e-08
0.005955293774604797,53,440000,1.0,0.0311270859092474,303,0.0013,4.01,-125863.10935483001,1450,10324569193.6,0.7775142192840576,1.1920928955078125e-07
0.008026638068258762,54,450000,1.0,0.043186284601688385,310,0.0013,4.04,-126118.22031279001,1451,10409747627.2,0.7781489491462708,0.0
0.007397452834993601,56,460000,1.0,0.01613183692097664,318,0.0013,4.52,-132390.12007064998,1445,10314913270.4,0.7768312096595764,-1.1920928955078125e-07
0.008368123322725296,57,470000,1.0,0.09905657172203064,324,0.0013,4.06,-126313.13781445002,1446,13185467248.0,0.7761340737342834,0.0
0.008451804518699646,58,480000,1.0,0.05097777768969536,331,0.0013,4.08,-126504.70436768999,1446,13989526592.0,0.7744109630584717,0.0
0.003864144906401634,59,490000,1.0,0.027399534359574318,338,0.0013,4.07,-126424.66243316,1446,10627868062.4,0.7744314074516296,1.1920928955078125e-07
0.00917472317814827,61,500000,1.0,0.02344297245144844,346,0.0013,4.05,-126242.54321099998,1442,10240988888.0,0.7682777047157288,0.0
0.00916274543851614,62,510000,1.0,0.02984679862856865,353,0.0013,4.06,-126278.4369555,1442,10222604401.6,0.7698498368263245,-1.1920928955078125e-07
0.00847037136554718,63,520000,1.0,0.04870817810297012,360,0.0013,4.04,-126131.56125407999,1443,10572887696.0,0.7689712047576904,1.7881393432617188e-07
0.00508464640006423,64,530000,1.0,0.00293137738481164,367,0.0013,4.03,-126088.97466922998,1443,10210253196.8,0.7656804919242859,0.0
0.009974302724003792,65,540000,1.0,0.031528349965810776,373,0.0013,4.03,-126031.15482034,1444,10224817942.4,0.7660929560661316,-2.384185791015625e-07
0.009533134289085865,67,550000,1.0,0.05325005576014519,381,0.0013,4.13,-126931.28448441,1441,10185784300.8,0.766896665096283,0.0
