time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/iterations,train/delta_std,train/step_size,rollout/return_std,train/learning_rate
4407,10000,2,675.3333333333334,-13436717.660621332,,,,,
4406,20000,4,805.2,-16058331.673018198,,,,,
4334,30000,6,783.0,-15554496.154200442,,,,,
4346,40000,9,822.4545454545455,-16288626.028489543,,,,,
4357,50000,11,860.5,-17076309.131746285,,,,,
4354,60000,13,,,0,0.05,3.337613865839195e-11,6741343.0,0.0018
4364,70000,16,1000.0,-20008897.518423665,,,,,
4367,80000,18,1000.0,-19957204.0902392,,,,,
4373,90000,20,1000.0,-19933246.213141873,,,,,
4375,100000,22,1000.0,-19919329.070143096,,,,,
4379,110000,25,1000.0,-19933643.656652384,,,,,
4382,120000,27,1000.0,-19936209.23596553,,,,,
4385,130000,29,1000.0,-20103057.522600003,1,0.05,1.5397687569418395e-09,146125.828125,0.0018
4387,140000,31,1000.0,-19958218.581597,,,,,
4390,150000,34,1000.0,-19909362.397845,,,,,
4392,160000,36,1000.0,-19922057.93669378,,,,,
4394,170000,38,1000.0,-19948857.555340502,,,,,
4396,180000,40,1000.0,-19965411.73321765,,,,,
4398,190000,43,1000.0,-19761143.819549,2,0.05,1.555571671474354e-09,144641.359375,0.0018
4399,200000,45,1000.0,-19914684.940515336,,,,,
4384,210000,47,1000.0,-19962706.305815164,,,,,
4386,220000,50,1000.0,-19884945.448989503,,,,,
4386,230000,52,1000.0,-19877019.467264637,,,,,
4388,240000,54,1000.0,-19890211.922366694,,,,,
4389,250000,56,,,3,0.05,1.4394487823921054e-09,156309.828125,0.0018
4389,260000,59,1000.0,-20067797.303737,,,,,
4390,270000,61,1000.0,-19953353.699617397,,,,,
4391,280000,63,1000.0,-19922956.30353043,,,,,
4393,290000,66,910.9090909090909,-18096284.44340309,,,,,
4384,300000,68,860.2142857142857,-17080703.077577572,,,,,
4386,310000,70,1000.0,-19710911.697164,4,0.05,3.343257615195938e-11,6729962.5,0.0018
4387,320000,72,1000.0,-19697367.063108,,,,,
4387,330000,75,859.8571428571429,-17022955.316666286,,,,,
4388,340000,77,891.0,-17607964.682981335,,,,,
4389,350000,79,918.25,-18210548.624441754,,,,,
4390,360000,81,929.9285714285714,-18476004.800189644,,,,,
4390,370000,84,1000.0,-20016573.175057,5,0.05,4.572657877344177e-11,4920551.5,0.0018
4391,380000,86,758.25,-15022346.965365,,,,,
4386,390000,88,861.8571428571429,-15752739.686064428,,,,,
4388,400000,91,892.5555555555555,-16666228.56547511,,,,,
4388,410000,93,849.4615384615385,-16151326.635189382,,,,,
4388,420000,95,869.5333333333333,-16661555.06989433,,,,,
4389,430000,97,1000.0,-19980894.451331,6,0.05,3.236363607661552e-11,6952246.5,0.0018
4389,440000,100,677.8333333333334,-13419988.635101333,,,,,
4390,450000,102,708.2,-14004264.560589898,,,,,
4391,460000,104,756.8333333333334,-14969768.138428831,,,,,
4391,470000,107,,,7,0.05,2.5587754137745833e-11,8793269.0,0.0018
4392,480000,109,1000.0,-19931204.124835,,,,,
4392,490000,111,1000.0,-19811086.500081997,,,,,
4393,500000,113,1000.0,-19803819.10275014,,,,,
4394,510000,116,1000.0,-19837076.5224082,,,,,
4395,520000,118,1000.0,-19813752.791177668,,,,,
4396,530000,120,1000.0,-19853229.782316003,,,,,
4397,540000,122,508.5,-10036865.2833075,8,0.05,1.0148616391703058e-09,221705.109375,0.0018
4398,550000,125,803.4,-16039471.286158198,,,,,
4399,560000,127,859.5714285714286,-17141309.36138914,,,,,
4400,570000,129,823.6363636363636,-16383926.174102908,,,,,
4401,580000,131,850.7692307692307,-16922585.22424092,,,,,
4401,590000,134,,,9,0.05,3.35368607884412e-11,6709036.0,0.0018
4402,600000,136,1000.0,-19957665.643919498,,,,,
4403,610000,138,1000.0,-19985424.7893546,,,,,
4404,620000,140,1000.0,-19974649.84131857,,,,,
4404,630000,143,1000.0,-19974117.9734893,,,,,
4405,640000,145,859.6428571428571,-17151405.932750784,,,,,
4405,650000,147,1000.0,-19876206.392068,10,0.05,3.332688638946202e-11,6751305.5,0.0018
4406,660000,149,1000.0,-19980671.060435668,,,,,
4406,670000,152,1000.0,-19681277.58509383,,,,,
4406,680000,154,1000.0,-19754970.083803497,,,,,
4407,690000,156,1000.0,-19805970.245600455,,,,,
4407,700000,158,1000.0,-19820961.24640769,,,,,
4408,710000,161,,,11,0.05,8.264587347817098e-10,272245.90625,0.0018
4408,720000,163,1000.0,-20033395.863981,,,,,
4406,730000,165,836.5,-16622402.09464,,,,,
4406,740000,167,877.375,-17418988.102224126,,,,,
4406,750000,170,910.8181818181819,-18062528.25767255,,,,,
4406,760000,172,924.5384615384615,-18360861.238309387,,,,,
4407,770000,174,,,12,0.05,4.542275236496529e-11,4953464.5,0.0018
4407,780000,176,1000.0,-19780882.362046503,,,,,
4407,790000,179,1000.0,-19820757.3869912,,,,,
4407,800000,181,1000.0,-19829798.12251257,,,,,
4408,810000,183,1000.0,-19857411.7952487,,,,,
4405,820000,186,1000.0,-19828655.403380748,,,,,
4406,830000,188,1000.0,-19842342.655413732,,,,,
4406,840000,190,1000.0,-19272143.578042,13,0.05,1.0577578812842603e-09,212714.078125,0.0018
4405,850000,192,1000.0,-19785295.8299905,,,,,
4405,860000,195,1000.0,-19770892.56537,,,,,
4405,870000,197,1000.0,-19825042.351266336,,,,,
4405,880000,199,1000.0,-19843923.35411109,,,,,
4405,890000,202,1000.0,-19884157.023919005,,,,,
4405,900000,204,,,14,0.05,5.462366670094809e-10,411909.375,0.0018
4395,910000,207,1000.0,-20071438.65312167,,,,,
4395,920000,209,838.5,-16684772.142780334,,,,,
4391,930000,211,892.3333333333334,-17801254.681912333,,,,,
4392,940000,214,911.9090909090909,-18138134.551336635,,,,,
4392,950000,216,930.7857142857143,-18480076.38475543,,,,,
4392,960000,218,,,15,0.05,4.570496064948415e-11,4922879.0,0.0018
4393,970000,220,1000.0,-19624349.055019334,,,,,
4393,980000,223,837.0,-16482929.784438334,,,,,
4393,990000,225,891.3333333333334,-17618614.845723335,,,,,
4394,1000000,227,911.0909090909091,-18037978.674925998,,,,,
4394,1010000,229,930.1428571428571,-18478174.8888855,,,,,
