time/episodes,time/total_timesteps,time/time_elapsed,train/learning_rate,time/fps,rollout/ep_len_mean,train/actor_loss,train/n_updates,rollout/ep_rew_mean,train/ent_coef,train/critic_loss,train/ent_coef_loss
29,10000,60,0.0003,165,290.6551724137931,153188.109375,2474,-4694808.859486792,1.7474806308746338,4134.412109375,-9.515546798706055
1134,20000,119,0.0003,166,5.0,299656.25,4974,-110152.17984661,4.069228172302246,9960.587890625,-29.339920043945312
3134,30000,178,0.0003,168,5.0,300568.3125,7474,-110111.4886874,8.789154052734375,14964.01953125,-44.96726989746094
5134,40000,228,0.0003,174,5.0,158877.21875,9974,-110124.04465712,18.337366104125977,3526.663818359375,-52.29644012451172
7132,50000,280,0.0003,178,5.04,141715.15625,12474,-110612.25151805,33.224151611328125,2014.8477783203125,-29.09027099609375
8841,60000,335,0.0003,178,6.77,146102.125,14974,-127907.32706656001,55.4249267578125,2124.560791015625,-16.313913345336914
8912,70000,390,0.0003,179,82.03,177086.1875,17474,-1640216.30133269,99.36469268798828,5266.73388671875,-15.500232696533203
8924,80000,445,0.0003,179,201.17,266388.65625,19974,-3921265.4135111202,152.22869873046875,6053.580078125,-0.5184401273727417
8945,90000,500,0.0003,179,277.53,396888.625,22474,-5399818.63908715,155.74330139160156,7931.72021484375,-0.23727619647979736
8971,100000,556,0.0003,179,364.09,482461.4375,24974,-7065873.007100309,111.51025390625,8745.17578125,2.049384593963623
9231,110000,612,0.0003,179,7.48,590166.25,27474,-137447.58349057002,179.70628356933594,10291.3720703125,-4.159331321716309
9831,120000,666,0.0003,180,26.81,647035.0,29974,-525504.83626884,262.3853454589844,15144.71484375,4.663641929626465
10599,130000,717,0.0003,181,7.41,762162.0625,32474,-141846.16271093997,272.4492492675781,28863.662109375,2.1814026832580566
11510,140000,766,0.0003,182,8.06,748298.5625,34974,-151243.51372551,346.6197814941406,31015.376953125,-1.2027769088745117
12115,150000,820,0.0003,182,21.74,811661.125,37474,-419183.5922903499,494.13482666015625,45634.4296875,0.8408468961715698
12179,160000,874,0.0003,182,108.76,878042.5,39974,-2164998.5874335,557.7119140625,53311.640625,-0.07586970925331116
12195,170000,929,0.0003,182,192.21,918629.75,42474,-3843801.16654176,588.9690551757812,63527.8125,-0.19298911094665527
12210,180000,983,0.0003,182,295.83,1037480.5625,44974,-5927944.60597814,644.4069213867188,58002.3984375,3.091141939163208
12224,190000,1038,0.0003,183,376.68,1111894.375,47474,-7553817.70004496,706.8882446289062,67104.1484375,-2.9862723350524902
12236,200000,1092,0.0003,183,472.49,1144596.25,49974,-9481770.49750308,622.5055541992188,74580.4765625,-0.8991541862487793
12246,210000,1147,0.0003,183,571.48,1189932.125,52474,-11463607.21368649,597.7435302734375,65856.21875,0.15120500326156616
12256,220000,1201,0.0003,183,660.48,1186022.25,54974,-13245248.99851829,637.0697631835938,61511.1015625,3.214038848876953
12266,230000,1255,0.0003,183,745.5,1159517.75,57474,-14945689.977846079,613.4631958007812,68965.0546875,-1.21701979637146
12276,240000,1309,0.0003,183,804.27,1132294.125,59974,-16123608.404624337,585.0338745117188,71153.015625,-3.2223424911499023
12286,250000,1362,0.0003,183,831.51,1090459.5,62474,-16662884.595158068,614.0051879882812,66847.9609375,-1.2533223628997803
12297,260000,1416,0.0003,183,883.03,1070184.875,64974,-17689016.56702125,638.2504272460938,69578.4765625,-8.471781730651855
12307,270000,1464,0.0003,184,919.65,1096696.5,67474,-18416457.33952026,666.8873901367188,74586.65625,-0.9447903037071228
12317,280000,1511,0.0003,185,960.84,1195142.125,69974,-19222667.636981703,605.505126953125,70817.046875,3.4539668560028076
12327,290000,1558,0.0003,186,972.38,1305655.0,72474,-19427870.090107024,616.6035766601562,69469.09375,1.5382639169692993
12342,300000,1605,0.0003,186,942.84,1348436.25,74974,-18746717.86746285,625.97509765625,71207.71875,-3.1133790016174316
12362,310000,1653,0.0003,187,854.35,1371469.625,77474,-16870493.347998664,597.6483154296875,63753.42578125,-0.31625866889953613
12428,320000,1701,0.0003,188,299.35,1457022.0,79974,-5542126.673831979,640.6867065429688,57176.91796875,2.849933385848999
12571,330000,1748,0.0003,188,62.15,1443722.5,82474,-968594.9456286101,777.5307006835938,66796.0390625,-2.155472755432129
12582,340000,1790,0.0003,189,158.99,1285688.75,84974,-2712159.6997243403,872.203125,67748.7890625,0.3664022982120514
12595,350000,1832,0.0003,190,256.74,1233534.625,87474,-4330179.12542304,799.8867797851562,52067.48828125,0.9449983835220337
12604,360000,1874,0.0003,192,331.64,1081525.125,89974,-5696073.077758781,774.9397583007812,55347.54296875,-0.7278534173965454
12640,370000,1917,0.0003,192,433.99,809159.875,92474,-6477777.7455357285,724.8416748046875,48371.12890625,1.0654640197753906
12683,380000,1959,0.0003,193,411.95,630700.6875,94974,-5077173.30756545,682.0748291015625,40099.59765625,2.2731504440307617
13615,390000,2002,0.0003,194,4.74,550766.25,97474,-99101.11128997,551.0994873046875,39353.99609375,-0.7394556403160095
