time/episodes,time/total_timesteps,time/time_elapsed,train/learning_rate,time/fps,rollout/ep_len_mean,train/actor_loss,train/n_updates,rollout/ep_rew_mean,train/ent_coef,train/critic_loss,train/ent_coef_loss
15404,400000,2044,0.0003,195,4.0,501135.28125,99974,-98727.11423628,495.79754638671875,34566.6640625,0.49803900718688965
15451,410000,2086,0.0003,196,118.17,505999.4375,102474,-1766723.70114576,429.69781494140625,31935.865234375,-0.8474949598312378
15499,420000,2127,0.0003,197,193.27,474665.625,104974,-2728073.5073958896,446.02337646484375,29826.44921875,3.290142774581909
15527,430000,2169,0.0003,198,234.78,414806.3125,107474,-2828485.8119967403,383.16485595703125,27640.748046875,1.0128535032272339
15811,440000,2210,0.0003,199,17.17,363767.5625,109974,-106736.17525105001,353.5357971191406,23286.654296875,-2.412132978439331
16323,450000,2250,0.0003,199,23.25,310827.375,112474,-139726.71543101,390.1600341796875,20732.2734375,0.5717626214027405
16525,460000,2291,0.0003,200,56.46,283848.78125,114974,-490849.07587868994,403.3526306152344,20813.314453125,-1.156440019607544
16546,470000,2332,0.0003,201,166.29,260594.625,117474,-999699.5083329602,357.83111572265625,20528.236328125,-0.4880751073360443
16565,480000,2374,0.0003,202,264.31,233186.890625,119974,-1098683.9110167199,356.4076843261719,21846.998046875,-0.021172210574150085
16577,490000,2416,0.0003,202,350.03,229531.9375,122474,-1237061.2785959402,381.7418518066406,22717.849609375,-1.555216908454895
16587,500000,2459,0.0003,203,419.43,201789.234375,124974,-1306416.60985747,347.5464172363281,23802.326171875,-0.0072917938232421875
16599,510000,2502,0.0003,203,513.79,200631.046875,127474,-1782858.2795050398,298.0322570800781,22994.16796875,-3.2509307861328125
16611,520000,2544,0.0003,204,614.95,216169.984375,129974,-2253384.06419344,275.1213684082031,21889.734375,-0.0452229380607605
16645,530000,2586,0.0003,204,603.72,238338.75,132474,-2130041.2203217004,262.2095031738281,17790.330078125,-0.7779760360717773
17316,540000,2629,0.0003,205,4.01,238880.390625,134974,-98684.0116544,265.1034240722656,16233.955078125,-1.7538838386535645
18275,550000,2671,0.0003,205,4.0,213178.8125,137474,-98671.06314239,241.85467529296875,13928.07421875,-0.6453586220741272
19660,560000,2714,0.0003,206,7.59,186861.171875,139974,-100709.10689370002,222.16354370117188,11540.15625,-1.378357172012329
20945,570000,2758,0.0003,206,12.9,180755.03125,142474,-101540.50227700997,206.6139373779297,10709.6982421875,-1.297799825668335
21349,580000,2806,0.0003,206,41.33,169023.203125,144974,-104070.62928444998,184.36729431152344,9963.3564453125,0.4755999743938446
21361,590000,2853,0.0003,206,120.75,145912.921875,147474,-102910.18378494999,163.8878173828125,8435.845703125,1.7163128852844238
21385,600000,2902,0.0003,206,229.76,135703.8125,149974,-374510.5698629001,155.77420043945312,7847.03369140625,-0.46611374616622925
21607,610000,2951,0.0003,206,46.81,134747.71875,152474,-98411.82005293002,152.85845947265625,7141.20361328125,-1.0882941484451294
21708,620000,3000,0.0003,206,80.79,133992.484375,154974,-96798.20673117002,146.43397521972656,6777.62255859375,-0.014770612120628357
21789,630000,3049,0.0003,206,148.55,127116.0390625,157474,-150557.45745132,143.61434936523438,6364.09716796875,-2.3316638469696045
21856,640000,3098,0.0003,206,134.37,111910.7421875,159974,-154198.17362801,138.2529296875,5819.65625,-0.2796458303928375
21864,650000,3147,0.0003,206,204.41,114823.1640625,162474,-147000.19317040997,131.5856170654297,5697.34716796875,-2.2634503841400146
21876,660000,3196,0.0003,206,312.4,103319.4140625,164974,-134108.65804614002,128.93368530273438,5667.681640625,-3.0737557411193848
21884,670000,3245,0.0003,206,378.02,86356.21875,167474,-123752.87682943999,127.9297103881836,5138.63818359375,0.9946265816688538
21896,680000,3294,0.0003,206,481.44,71290.65625,169974,-337561.96711936,128.84869384765625,4900.6162109375,0.06644570827484131
21904,690000,3343,0.0003,206,554.87,62310.44140625,172474,-615807.3391341501,121.47046661376953,4636.2919921875,0.32840123772621155
21916,700000,3393,0.0003,206,651.32,60437.08203125,174974,-612296.70502182,125.87934112548828,4993.33837890625,-1.2729098796844482
21924,710000,3442,0.0003,206,722.35,49946.7109375,177474,-613978.94928213,121.72367858886719,5051.7138671875,2.5565638542175293
21936,720000,3491,0.0003,206,830.16,39939.0546875,179974,-620527.5945988899,116.36807250976562,4851.728515625,-1.073635458946228
21944,730000,3540,0.0003,206,899.54,29810.447265625,182474,-630048.64407708,112.25276947021484,4734.85986328125,-0.12411671876907349
21956,740000,3589,0.0003,206,1000.0,37428.328125,184974,-652924.49394051,108.65689849853516,4716.6748046875,-1.5428448915481567
21964,750000,3638,0.0003,206,1000.0,29107.0625,187474,-657586.87734932,107.81775665283203,4755.40087890625,-0.17394398152828217
21976,760000,3688,0.0003,206,1000.0,32741.609375,189974,-663485.29125908,104.43987274169922,4426.18798828125,1.9164364337921143
21984,770000,3737,0.0003,205,1000.0,22236.708984375,192474,-665983.80847671,105.53688049316406,4373.75830078125,0.24393577873706818
21996,780000,3788,0.0003,205,1000.0,24061.646484375,194974,-462750.11425844,106.5202865600586,4081.479248046875,-2.9492828845977783
22004,790000,3837,0.0003,205,1000.0,9323.01953125,197474,-234945.38429038998,104.71163940429688,4441.98291015625,0.598175585269928
22016,800000,3887,0.0003,205,1000.0,8650.8447265625,199974,-354874.61516522994,104.8282470703125,4452.83935546875,-3.890251636505127
22024,810000,3937,0.0003,205,1000.0,6466.1328125,202474,-353097.20068867,103.8191146850586,4452.14599609375,-0.09887474775314331
22036,820000,3986,0.0003,205,1000.0,-2296.93115234375,204974,-341210.17108862,100.19312286376953,4972.68994140625,0.011085957288742065
22044,830000,4036,0.0003,205,1000.0,-7815.8720703125,207474,-329580.61033636,96.75894165039062,4405.326171875,0.6841387748718262
22056,840000,4086,0.0003,205,1000.0,-15285.447265625,209974,-301442.95397116,94.56607055664062,4586.791015625,-0.44723695516586304
22064,850000,4136,0.0003,205,1000.0,-6081.57666015625,212474,-293966.56172123,92.19243621826172,4940.09423828125,0.8057878613471985
22076,860000,4185,0.0003,205,1000.0,-10362.7978515625,214974,-286147.15769565996,89.13459777832031,4583.21044921875,-0.06599408388137817
22084,870000,4235,0.0003,205,1000.0,-1347.095703125,217474,-282685.23892632,86.91030883789062,4866.63623046875,-0.4604557156562805
22096,880000,4285,0.0003,205,1000.0,-3995.42529296875,219974,-257874.68177515996,84.3289566040039,4975.93798828125,0.9316670894622803
22106,890000,4335,0.0003,205,997.35,5998.99169921875,222474,-193224.48308956999,81.45806121826172,4636.8369140625,-0.6372792720794678
22144,900000,4384,0.0003,205,731.03,7474.31591796875,224974,-74064.53533147,84.28638458251953,4713.88623046875,0.7408504486083984
22162,910000,4433,0.0003,205,637.15,7181.83203125,227474,-75834.35238753,85.89257049560547,4570.89453125,-1.5287367105484009
22171,920000,4482,0.0003,205,637.15,-4148.875,229974,-78725.46748140999,85.31453704833984,4337.3095703125,0.1122056245803833
22183,930000,4531,0.0003,205,623.99,978.4072265625,232474,-82231.55467907999,81.10795593261719,4069.102294921875,0.1759406328201294
22196,940000,4581,0.0003,205,599.04,-5553.64892578125,234974,-83190.72683849999,78.02839660644531,3593.779052734375,-1.4373705387115479
22206,950000,4630,0.0003,205,601.69,-3574.99365234375,237474,-79190.61180752999,78.33566284179688,3596.449462890625,-1.8192527294158936
22216,960000,4680,0.0003,205,637.52,-6944.60107421875,239974,-75010.86253633,74.18563842773438,3089.037109375,0.2650050222873688
22226,970000,4729,0.0003,205,714.42,-3800.102294921875,242474,-68888.56870510001,71.5168228149414,3625.81298828125,-0.2834421992301941
22236,980000,4778,0.0003,205,799.5,-13782.513671875,244974,-64329.91937927999,67.6196517944336,3220.312744140625,1.4814958572387695
22246,990000,4830,0.0003,204,886.89,-5678.90234375,247474,-59132.15624865001,65.0387954711914,3380.96533203125,0.8433476686477661
22256,1000000,4881,0.0003,204,961.89,-15972.5048828125,249974,-53890.37925434,62.62222671508789,3066.6943359375,0.559928834438324
