rollout/ep_len_mean,time/total_timesteps,train/policy_loss,train/std,time/fps,train/n_updates,time/time_elapsed,train/learning_rate,train/entropy_loss,train/explained_variance,rollout/ep_rew_mean,train/value_loss
34.38,10000,-1924742.25,1.0096601247787476,1104,499,9,0.0007,-21.42357063293457,0.0,-1065145.23038705,10268485632.0
42.46,20000,-1851022.75,1.0187662839889526,1109,999,18,0.0007,-21.552230834960938,0.0,-1426856.10046616,10905541632.0
15.0,30000,-2198774.75,1.019073724746704,1112,1499,26,0.0007,-21.560253143310547,0.0,-514900.60110481,13423347712.0
32.32,40000,-2249602.0,1.0245769023895264,1105,1999,36,0.0007,-21.640277862548828,0.0,-1075596.3432534698,13998765056.0
41.3,50000,-1893868.0,1.029744029045105,1098,2499,45,0.0007,-21.713335037231445,1.1920928955078125e-07,-1229937.7547387802,10164365312.0
24.48,60000,-2199382.0,1.0324448347091675,1092,2999,54,0.0007,-21.749818801879883,0.0,-731518.0231284801,15399021568.0
31.47,70000,-2152670.0,1.0345691442489624,1095,3499,63,0.0007,-21.789690017700195,1.7881393432617188e-07,-955997.9374454601,10634377216.0
25.48,80000,-1990457.75,1.0411561727523804,1097,3999,72,0.0007,-21.880632400512695,-1.1920928955078125e-07,-739807.6121295402,10538947584.0
21.64,90000,-1989935.625,1.047910213470459,1098,4499,81,0.0007,-21.977113723754883,0.0,-651689.6198977799,9820936192.0
23.86,100000,-1075700.625,1.0534933805465698,1098,4999,91,0.0007,-22.053625106811523,1.1920928955078125e-07,-685274.3466938201,5361957888.0
27.69,110000,-1851430.375,1.0529215335845947,1099,5499,100,0.0007,-22.04945182800293,0.0,-834268.4144792103,8463302656.0
29.71,120000,-1797471.625,1.0489048957824707,1099,5999,109,0.0007,-21.982389450073242,0.0,-841418.80441377,8037200896.0
40.04,130000,-2116813.75,1.0504566431045532,1101,6499,117,0.0007,-21.99295425415039,1.1920928955078125e-07,-1323119.65292696,12250394624.0
34.15,140000,-1827987.0,1.0524979829788208,1103,6999,126,0.0007,-22.01987075805664,-1.1920928955078125e-07,-1264665.57849058,8934359040.0
37.65,150000,-1758001.75,1.054700255393982,1105,7499,135,0.0007,-22.052379608154297,0.0,-1114765.06628385,7915662336.0
21.23,160000,-1661284.125,1.0521918535232544,1106,7999,144,0.0007,-22.01283073425293,0.0,-616856.11476699,7754352128.0
25.7,170000,-2500154.5,1.0574755668640137,1107,8499,153,0.0007,-22.096715927124023,-1.1920928955078125e-07,-863090.0728750601,15756204032.0
27.22,180000,-2256801.25,1.0554842948913574,1108,8999,162,0.0007,-22.070337295532227,-2.384185791015625e-07,-785441.8349611502,13990185984.0
