rollout/ep_len_mean,time/total_timesteps,train/policy_loss,train/std,time/fps,train/n_updates,time/time_elapsed,train/learning_rate,train/entropy_loss,train/explained_variance,rollout/ep_rew_mean,train/value_loss
26.89,190000,-1818111.75,1.0674755573272705,1108,9499,171,0.0007,-22.242895126342773,0.0,-779729.2398319697,8606118912.0
22.67,200000,-1516749.375,1.0710277557373047,1108,9999,180,0.0007,-22.287660598754883,0.0,-630117.3477537499,6357443072.0
43.03,210000,-1962754.625,1.076314091682434,1107,10499,189,0.0007,-22.36223030090332,0.0,-1325802.00589262,9650159616.0
18.42,220000,-1612886.0,1.0792763233184814,1108,10999,198,0.0007,-22.4039249420166,0.0,-541724.77923365,5887484928.0
15.36,230000,-1479563.875,1.0872472524642944,1108,11499,207,0.0007,-22.507036209106445,0.0,-471561.34948528005,6306824192.0
18.83,240000,-2508331.25,1.0963369607925415,1109,11999,216,0.0007,-22.635698318481445,0.0,-627674.32817007,13401259008.0
15.81,250000,-1820644.375,1.0937672853469849,1109,12499,225,0.0007,-22.587404251098633,1.1920928955078125e-07,-520875.92098457,7965154304.0
31.69,260000,-2049506.625,1.1001183986663818,1108,12999,234,0.0007,-22.670320510864258,0.0,-995554.23569517,9747482624.0
29.55,270000,-1809943.625,1.105307936668396,1107,13499,243,0.0007,-22.732666015625,0.0,-869908.375617,8216099840.0
16.76,280000,-2231401.5,1.109113335609436,1106,13999,253,0.0007,-22.792449951171875,0.0,-509189.1581859,11357011968.0
25.83,290000,-1716859.375,1.1083691120147705,1104,14499,262,0.0007,-22.775632858276367,0.0,-754300.50479896,7217887744.0
13.08,300000,-1665373.25,1.1133660078048706,1103,14999,271,0.0007,-22.84245491027832,-1.1920928955078125e-07,-418002.2028004599,6912162304.0
17.43,310000,-2658663.5,1.12028968334198,1102,15499,281,0.0007,-22.93699836730957,-1.1920928955078125e-07,-640683.52684882,15766726656.0
21.99,320000,-2458622.75,1.124508023262024,1101,15999,290,0.0007,-22.99928092956543,0.0,-678956.09791825,12236901376.0
25.17,330000,-1990999.375,1.1280195713043213,1101,16499,299,0.0007,-23.030559539794922,0.0,-707018.34309415,10577856512.0
41.86,340000,-2009773.625,1.1300455331802368,1103,16999,308,0.0007,-23.064905166625977,0.0,-1353248.09773253,10366732288.0
26.69,350000,-1786303.25,1.1319172382354736,1105,17499,316,0.0007,-23.079036712646484,1.1920928955078125e-07,-736078.82356684,7747331072.0
14.83,360000,-1987689.625,1.1324458122253418,1106,17999,325,0.0007,-23.080778121948242,1.7881393432617188e-07,-460580.29634036997,9546491904.0
16.59,370000,-1698032.75,1.136974811553955,1106,18499,334,0.0007,-23.139848709106445,0.0,-529578.7671188801,7247893504.0
21.29,380000,-2464277.5,1.1367002725601196,1107,18999,343,0.0007,-23.130582809448242,0.0,-670938.7622851501,14420030464.0
15.65,390000,-2436036.0,1.1334484815597534,1108,19499,351,0.0007,-23.095495223999023,0.0,-476910.87979278,11767767040.0
20.88,400000,-1824641.0,1.1382076740264893,1109,19999,360,0.0007,-23.152982711791992,5.960464477539063e-08,-620447.38640561,8010730496.0
21.73,410000,-2464052.5,1.1505171060562134,1110,20499,369,0.0007,-23.30413818359375,0.0,-676979.15740985,15075024896.0
29.4,420000,-1929578.0,1.1616851091384888,1110,20999,378,0.0007,-23.455352783203125,1.7881393432617188e-07,-891198.4551130702,7973791232.0
25.02,430000,-1803091.0,1.1674156188964844,1111,21499,386,0.0007,-23.512418746948242,0.0,-721783.0071076802,7946133504.0
29.64,440000,-2430369.25,1.1715731620788574,1112,21999,395,0.0007,-23.572492599487305,-1.1920928955078125e-07,-869044.38608698,12413449216.0
26.18,450000,-1534643.375,1.1715219020843506,1112,22499,404,0.0007,-23.577068328857422,0.0,-759807.9163246101,5990955520.0
18.27,460000,-2226091.5,1.176157832145691,1113,22999,412,0.0007,-23.634231567382812,1.1920928955078125e-07,-564123.70566489,12021425152.0
25.79,470000,-1855701.625,1.1788817644119263,1115,23499,421,0.0007,-23.667387008666992,0.0,-760849.58849524,7883095040.0
24.7,480000,-2060116.0,1.1865147352218628,1116,23999,430,0.0007,-23.769498825073242,-1.1920928955078125e-07,-752126.83170812,9868851200.0
23.59,490000,-1905184.0,1.1976174116134644,1117,24499,438,0.0007,-23.918458938598633,-1.1920928955078125e-07,-699874.0414114401,7644951552.0
29.23,500000,-1786971.25,1.208513617515564,1119,24999,446,0.0007,-24.05485725402832,-1.1920928955078125e-07,-851802.59202848,6271107072.0
20.81,510000,-2540157.5,1.2150990962982178,1120,25499,455,0.0007,-24.13546371459961,0.0,-657956.75685333,13445698560.0
40.31,520000,-2133631.5,1.2338460683822632,1121,25999,463,0.0007,-24.360578536987305,0.0,-1483466.57216564,9496892416.0
22.36,530000,-2611175.5,1.2404239177703857,1122,26499,472,0.0007,-24.4436092376709,0.0,-743776.5991960699,13414205440.0
22.9,540000,-1955278.75,1.243404507637024,1123,26999,480,0.0007,-24.476350784301758,5.960464477539063e-08,-740083.6990487899,8108593152.0
20.91,550000,-2477585.75,1.2509243488311768,1123,27499,489,0.0007,-24.573776245117188,-1.1920928955078125e-07,-687887.32019113,12028459008.0
17.4,560000,-2733412.75,1.2508587837219238,1124,27999,498,0.0007,-24.571630477905273,0.0,-594374.53492309,15588392960.0
12.85,570000,-2327573.75,1.2619502544403076,1124,28499,506,0.0007,-24.703859329223633,0.0,-442055.14498461003,10203651072.0
11.17,580000,-2927089.75,1.2686723470687866,1125,28999,515,0.0007,-24.779481887817383,0.0,-393365.40225139004,17557620736.0
11.13,590000,-1953850.25,1.266902208328247,1126,29499,523,0.0007,-24.76799964904785,-1.1920928955078125e-07,-392796.11360624,7646747136.0
9.68,600000,-3137005.25,1.2724605798721313,1126,29999,532,0.0007,-24.826494216918945,5.960464477539063e-08,-337785.82966658,20381366272.0
12.4,610000,-2717172.5,1.270464539527893,1127,30499,540,0.0007,-24.79128646850586,1.1920928955078125e-07,-425086.07224477,14800832512.0
8.55,620000,-2152662.5,1.2732573747634888,1128,30999,549,0.0007,-24.820859909057617,1.1920928955078125e-07,-281730.4586109,10063661056.0
16.57,630000,-2544736.75,1.2792614698410034,1129,31499,557,0.0007,-24.90700912475586,1.1920928955078125e-07,-575059.0754289799,11901889536.0
25.9,640000,-1948748.25,1.2834759950637817,1129,31999,566,0.0007,-24.95830726623535,0.0,-732814.3716441399,7478004736.0
20.03,650000,-2270935.5,1.2850934267044067,1130,32499,575,0.0007,-24.9768009185791,0.0,-572388.9938835901,12228543488.0
23.67,660000,-2634454.25,1.2940430641174316,1130,32999,584,0.0007,-25.081470489501953,5.960464477539063e-08,-720968.37454644,14296446976.0
21.43,670000,-1414176.75,1.2986493110656738,1130,33499,592,0.0007,-25.141401290893555,0.0,-640243.32017972,4943716352.0
18.65,680000,-2484647.5,1.3095115423202515,1130,33999,601,0.0007,-25.266984939575195,0.0,-550110.20441327,11727549440.0
23.07,690000,-1810009.625,1.3128293752670288,1130,34499,610,0.0007,-25.295379638671875,0.0,-713669.31281596,7846321152.0
28.3,700000,-2053224.75,1.315304160118103,1131,34999,618,0.0007,-25.3271427154541,0.0,-815467.34716722,7898051584.0
17.8,710000,-2368699.5,1.317710041999817,1131,35499,627,0.0007,-25.35731315612793,0.0,-528774.9449109,11336173568.0
21.43,720000,-2264999.75,1.326133370399475,1132,35999,635,0.0007,-25.454574584960938,-1.1920928955078125e-07,-629342.81735819,9599227904.0
48.36,730000,-2013443.375,1.3364332914352417,1133,36499,643,0.0007,-25.57149887084961,0.0,-1551970.20279172,7725422080.0
28.89,740000,-2296214.5,1.3355205059051514,1134,36999,652,0.0007,-25.558313369750977,1.1920928955078125e-07,-838737.2251353498,10389707776.0
30.0,750000,-1951872.375,1.3334218263626099,1134,37499,660,0.0007,-25.539112091064453,-1.1920928955078125e-07,-878966.5190431499,6779894272.0
23.97,760000,-1752389.625,1.342125415802002,1135,37999,669,0.0007,-25.63433837890625,0.0,-697229.3637983799,5943084032.0
23.41,770000,-2289888.75,1.3533284664154053,1135,38499,677,0.0007,-25.753551483154297,0.0,-699897.7335954901,11008768000.0
54.32,780000,-1882800.0,1.3636271953582764,1136,38999,686,0.0007,-25.862064361572266,-1.1920928955078125e-07,-2020597.7675041198,7489271296.0
25.3,790000,-2161277.0,1.3782284259796143,1136,39499,695,0.0007,-26.027400970458984,0.0,-767169.2041272201,9222174720.0
23.93,800000,-2187927.25,1.3745940923690796,1136,39999,704,0.0007,-25.981700897216797,0.0,-697916.2994968799,8562919936.0
22.46,810000,-2427264.0,1.3861640691757202,1136,40499,712,0.0007,-26.107601165771484,0.0,-755364.78292933,10896082944.0
20.85,820000,-2282405.0,1.3956528902053833,1136,40999,721,0.0007,-26.212383270263672,0.0,-594540.84114498,9552943104.0
36.44,830000,-2356492.25,1.4077646732330322,1136,41499,730,0.0007,-26.33096694946289,1.1920928955078125e-07,-1096869.44804856,11022991360.0
23.77,840000,-3313687.0,1.4039218425750732,1137,41999,738,0.0007,-26.29317855834961,0.0,-718721.38966784,18106750976.0
15.98,850000,-2024881.0,1.4127944707870483,1137,42499,747,0.0007,-26.387897491455078,1.1920928955078125e-07,-474739.11824106,7028339712.0
17.54,860000,-2213725.0,1.419209599494934,1137,42999,755,0.0007,-26.444934844970703,2.384185791015625e-07,-572003.08309198,10054657024.0
27.87,870000,-2496460.0,1.4295204877853394,1137,43499,764,0.0007,-26.55270767211914,0.0,-838395.5194112601,11529229312.0
15.31,880000,-2285172.25,1.4411553144454956,1137,43999,773,0.0007,-26.666431427001953,5.960464477539063e-08,-474961.99917890003,9447524352.0
25.79,890000,-2242570.25,1.4395546913146973,1137,44499,782,0.0007,-26.655406951904297,-1.1920928955078125e-07,-821682.6287298701,9267492864.0
18.49,900000,-1898487.625,1.4592347145080566,1136,44999,791,0.0007,-26.841724395751953,0.0,-544375.40216257,6554805248.0
13.67,910000,-2526101.75,1.4637737274169922,1136,45499,800,0.0007,-26.90786361694336,1.1920928955078125e-07,-421889.59867308004,11059908608.0
20.93,920000,-2239950.25,1.4715235233306885,1136,45999,809,0.0007,-26.978076934814453,0.0,-602146.59233425,8976186368.0
17.28,930000,-3027841.0,1.4737305641174316,1136,46499,818,0.0007,-27.000385284423828,0.0,-527379.4515864401,14262814720.0
19.59,940000,-1964494.25,1.4833943843841553,1135,46999,827,0.0007,-27.081096649169922,0.0,-616748.25349863,7109053440.0
21.45,950000,-2128355.5,1.4938671588897705,1135,47499,836,0.0007,-27.18911361694336,5.960464477539063e-08,-628675.6935374,7904314880.0
20.58,960000,-1837215.75,1.5073199272155762,1134,47999,846,0.0007,-27.31448745727539,0.0,-621449.4053939299,6037622784.0
24.1,970000,-1899272.375,1.5174143314361572,1133,48499,855,0.0007,-27.414962768554688,0.0,-691699.6341971899,5872204288.0
20.93,980000,-2203180.25,1.5217241048812866,1132,48999,865,0.0007,-27.44924545288086,5.960464477539063e-08,-601499.23325403,9035037696.0
28.29,990000,-2537242.0,1.5346271991729736,1131,49499,874,0.0007,-27.5860595703125,0.0,-826884.5522883999,9813624832.0
25.92,1000000,-2440411.0,1.5354440212249756,1130,49999,884,0.0007,-27.60086441040039,0.0,-724702.5318298801,9374202880.0
