train/n_updates,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/learning_rate,train/critic_loss,train/actor_loss,train/ent_coef,time/fps,train/ent_coef_loss,time/episodes
2474,69,10000,-698481.8276027899,14.95,0.0003,11493.0302734375,400851.3125,1.9753412008285522,144,-35.29155349731445,501
4974,136,20000,-193369.81804189002,5.0,0.0003,33004.9140625,506160.90625,4.68190860748291,146,-93.48764038085938,2501
7474,199,30000,-203189.25308507003,5.26,0.0003,9710.4912109375,305819.15625,9.649972915649414,150,-100.80294799804688,3755
9974,262,40000,-195110.18836746,5.0,0.0003,10121.2421875,392331.46875,18.701967239379883,152,-109.74884033203125,5603
12474,329,50000,-193504.30520059992,5.0,0.0003,9618.2578125,391354.4375,36.69175720214844,151,-98.11317443847656,7603
14974,398,60000,-193637.34479871005,5.0,0.0003,7924.517578125,466049.1875,69.41250610351562,150,-73.63765716552734,9603
17474,464,70000,-192741.67393093999,5.02,0.0003,7886.20458984375,363408.59375,118.98715209960938,150,-36.501304626464844,11297
19974,532,80000,-696963.0441211298,15.1,0.0003,6212.77587890625,519505.125,178.7857666015625,150,-13.299264907836914,12407
22474,597,90000,-195337.27805887,5.1,0.0003,6142.63671875,589766.5,208.19024658203125,150,3.311525344848633,13964
24974,661,100000,-196317.30342989002,5.12,0.0003,12898.849609375,625555.3125,211.54360961914062,151,-0.4223127067089081,15727
27474,727,110000,-196028.57367282,5.12,0.0003,4562.890625,621393.9375,207.25393676757812,151,-2.5674166679382324,17480
29974,791,120000,-192809.55556500997,5.02,0.0003,5284.07177734375,787542.625,192.7472381591797,151,0.03677166998386383,19173
32474,857,130000,-194533.91868692997,5.04,0.0003,15047.4609375,654955.75,182.14837646484375,151,0.466693639755249,21031
34974,925,140000,-194187.85094024998,5.04,0.0003,11505.2841796875,680471.4375,172.14462280273438,151,-0.5259891152381897,23008
37474,991,150000,-189530.51898390002,5.0,0.0003,4325.4208984375,688370.9375,155.32760620117188,151,-0.6887498497962952,24901
39974,1055,160000,-2159691.99276361,44.27,0.0003,4479.8056640625,692354.75,127.8082504272461,151,-1.1441993713378906,25891
42474,1119,170000,-6790077.766483851,136.99,0.0003,9365.1015625,887391.5625,122.27860260009766,151,0.7358590960502625,25957
44974,1182,180000,-743399.5213378001,17.34,0.0003,31825.7109375,1007450.6875,137.5335235595703,152,-0.0014688968658447266,26557
47474,1245,190000,-230467.44297776997,6.9,0.0003,23695.6171875,1236223.125,135.1658172607422,152,-0.4243895709514618,27249
49974,1310,200000,-1693306.25014851,35.59,0.0003,21946.12890625,1183953.0,134.44337463378906,152,-1.4897667169570923,27699
52474,1373,210000,-6688249.398221839,134.92,0.0003,30667.55078125,1400437.125,162.2068634033203,152,-2.1969120502471924,27717
54974,1439,220000,-191551.31139823,5.02,0.0003,25492.203125,1536770.625,217.54354858398438,152,4.354357719421387,28694
57474,1505,230000,-197000.50759464997,5.17,0.0003,42730.609375,1471909.125,240.01568603515625,152,3.9180288314819336,30272
59974,1571,240000,-555001.04041676,12.51,0.0003,40375.01171875,1442198.375,259.4793701171875,152,3.1561295986175537,31807
62474,1636,250000,-2324052.10540433,48.83,0.0003,48558.52734375,1604025.875,268.878662109375,152,-0.5819250345230103,32091
64974,1701,260000,-6841276.094266159,139.05,0.0003,32517.701171875,1719077.625,262.3209228515625,152,-1.8638672828674316,32126
67474,1768,270000,-543214.66822407,13.23,0.0003,51116.25,1812041.625,269.1255798339844,152,-0.7179946899414062,32828
69974,1834,280000,-517160.96618094004,14.04,0.0003,40728.80859375,1813538.5,317.22418212890625,152,3.749082565307617,33566
72474,1902,290000,-1981353.61926231,43.65,0.0003,57999.95703125,1995792.75,437.2148742675781,152,-5.592247009277344,33921
74974,1972,300000,-361042.2814687999,9.04,0.0003,57864.16015625,1856685.0,405.73089599609375,152,1.875385046005249,34076
77474,2039,310000,-193177.39922390002,5.31,0.0003,81701.4921875,2166321.75,300.2489013671875,152,2.625842332839966,34827
79974,2107,320000,-454971.01411998004,12.12,0.0003,92378.3515625,1937413.75,342.6692810058594,151,-3.958040237426758,35457
82474,2177,330000,-3086646.0983343706,67.74,0.0003,75617.8125,1983786.0,374.6661682128906,151,-6.226973533630371,35567
84974,2247,340000,-1119472.42767348,27.73,0.0003,80077.234375,2205044.5,446.47235107421875,151,-0.2918176054954529,36063
87474,2320,350000,-645483.24890683,20.2,0.0003,98388.0234375,2385343.25,477.72393798828125,150,-3.864964723587036,36809
89974,2393,360000,-761268.87934575,19.44,0.0003,73007.3984375,1776836.25,392.7065124511719,150,6.469785690307617,37166
92474,2464,370000,-4136214.677329059,87.12,0.0003,91530.84375,2071304.0,342.9132995605469,150,0.3177105188369751,37273
94974,2537,380000,-1788738.8837916302,40.7,0.0003,73712.15625,2135610.0,316.24700927734375,149,1.2126659154891968,37712
97474,2612,390000,-312153.94565452996,9.24,0.0003,65270.38671875,2131620.5,311.63458251953125,149,-2.890655994415283,38295
99974,2686,400000,-222218.34071772997,6.35,0.0003,77104.65625,2063282.125,418.1664733886719,148,-7.368121147155762,39486
102474,2761,410000,-225536.866612,6.35,0.0003,77706.2578125,2219523.25,468.5813293457031,148,-1.96820068359375,40513
104974,2837,420000,-204853.78979923998,5.69,0.0003,68266.546875,2051398.5,446.0748596191406,148,-3.7210748195648193,41779
107474,2912,430000,-220829.04416398998,5.89,0.0003,74254.734375,2333266.5,495.7060852050781,147,5.186506748199463,43501
109974,2987,440000,-217758.63036852996,5.83,0.0003,107148.7890625,2181137.5,506.8662414550781,147,-6.3249664306640625,45145
112474,3062,450000,-212298.41311541,5.52,0.0003,72055.6953125,1817744.75,503.53729248046875,146,0.23935914039611816,46844
114974,3137,460000,-220490.37669308,5.77,0.0003,79054.6953125,1814186.0,470.407470703125,146,0.7618418335914612,48384
117474,3213,470000,-217313.49333410998,5.64,0.0003,78602.0625,1595687.375,411.5905456542969,146,-0.3816046714782715,50091
119974,3288,480000,-229015.69824005,6.13,0.0003,80255.75,1425360.5,341.7289123535156,145,-1.120093584060669,51453
122474,3360,490000,-4175683.58037714,87.77,0.0003,63353.56640625,1359432.75,228.56036376953125,145,1.2393548488616943,51573
124974,3432,500000,-4656726.32622257,106.88,0.0003,58917.84375,1423189.25,239.26402282714844,145,2.1574349403381348,51658
127474,3508,510000,-248792.32379374004,6.59,0.0003,61331.25,1611497.875,258.02886962890625,145,-1.5617914199829102,52618
129974,3579,520000,-203698.10326585,5.32,0.0003,70069.1953125,1504344.0,283.9043273925781,145,-2.785541534423828,54253
132474,3654,530000,-202201.79759483002,5.25,0.0003,72459.90625,1471170.125,307.1131591796875,145,2.5520546436309814,56122
134974,3727,540000,-202693.72101752003,5.25,0.0003,67392.0625,1482667.25,319.763427734375,144,-0.13025718927383423,57872
137474,3799,550000,-205401.49894807005,5.32,0.0003,55964.5859375,1521932.0,326.4974365234375,144,1.9463833570480347,59675
139974,3872,560000,-205401.54238595002,5.31,0.0003,57625.19921875,1540256.125,309.9883117675781,144,-0.8561422824859619,61568
142474,3948,570000,-699097.8098735,15.19,0.0003,69938.2109375,1370690.625,303.84405517578125,144,4.373956680297852,63281
144974,4024,580000,-202914.39867081,5.28,0.0003,64333.28515625,1308867.875,268.45806884765625,144,2.1475696563720703,64971
147474,4100,590000,-195133.45878805994,5.19,0.0003,62923.59765625,1276996.375,250.43157958984375,143,9.983698844909668,66831
149974,4176,600000,-192489.52581257,5.27,0.0003,62391.3125,1163572.125,223.9456024169922,143,0.8484189510345459,68552
152474,4251,610000,-207561.01848732005,6.02,0.0003,53661.58984375,1255942.625,222.46746826171875,143,-0.5432084798812866,70075
154974,4321,620000,-217129.50172215,6.54,0.0003,51105.77734375,1264886.5,213.79129028320312,143,3.040454387664795,71583
157474,4392,630000,-205797.15335387998,5.69,0.0003,60652.83984375,1385262.875,213.68101501464844,143,-1.6117291450500488,73188
159974,4463,640000,-159964.30050326002,4.03,0.0003,62524.48828125,1256205.0,213.53189086914062,143,-3.233698844909668,75435
162474,4534,650000,-202096.75861839,5.42,0.0003,58295.859375,1172894.625,203.95895385742188,143,-4.055768966674805,77494
164974,4607,660000,-185019.70325817997,5.22,0.0003,53344.47265625,1173372.75,200.63320922851562,143,-4.001642227172852,78704
167474,4681,670000,-190234.84542038996,5.42,0.0003,54512.578125,1183453.75,202.31712341308594,143,-3.7545995712280273,80150
169974,4753,680000,-214105.57869098,6.21,0.0003,46698.3828125,1002393.375,205.62881469726562,143,8.164895057678223,81603
172474,4824,690000,-224338.28408754003,6.64,0.0003,57244.73828125,1228834.0,210.0322265625,143,-4.759939193725586,83139
174974,4897,700000,-218606.89126543998,6.43,0.0003,59719.234375,1213694.0,211.0278778076172,142,-3.2399849891662598,84260
177474,4967,710000,-268968.33111058996,7.91,0.0003,59419.3828125,1036641.375,206.4987030029297,142,3.5894935131073,85166
179974,5037,720000,-1225629.9385311403,26.73,0.0003,61352.41796875,1284049.75,199.2274169921875,142,-1.2449619770050049,85555
182474,5111,730000,-348349.84726753004,9.21,0.0003,56966.390625,1194969.625,197.08152770996094,142,5.82322883605957,86545
184974,5182,740000,-538248.59598785,13.91,0.0003,57917.12890625,1246756.125,196.43959045410156,142,0.05059051513671875,87428
187474,5259,750000,-278135.51350447,8.41,0.0003,80838.828125,1040857.5,199.0147247314453,142,-3.47703218460083,88326
189974,5336,760000,-328114.89242866996,9.87,0.0003,62996.3046875,1362255.375,205.1900177001953,142,2.1681509017944336,89247
192474,5413,770000,-164554.42619565,4.2,0.0003,69759.015625,1262613.0,227.5908203125,142,2.522275686264038,90993
194974,5491,780000,-174390.48480167,4.58,0.0003,87374.1328125,1326415.125,229.3763885498047,142,-1.330240249633789,93259
197474,5569,790000,-161996.29765778,4.11,0.0003,73754.5,1304191.125,236.98573303222656,141,1.0263001918792725,95288
199974,5646,800000,-158910.88077229,4.0,0.0003,88924.2421875,1344107.625,242.56507873535156,141,-5.426120758056641,97741
202474,5723,810000,-158771.38494144,4.0,0.0003,81136.4140625,1226506.75,249.60467529296875,141,0.4210696220397949,100223
204974,5801,820000,-171896.14048246003,4.42,0.0003,85094.671875,1244644.875,246.8491973876953,141,-3.787985324859619,102704
207474,5879,830000,-158728.33983845,4.0,0.0003,80774.5390625,1389731.25,243.99542236328125,141,0.267829567193985,105183
209974,5955,840000,-158820.45935838998,4.0,0.0003,76371.59375,1394514.25,243.9503936767578,141,-6.075018405914307,107680
212474,6033,850000,-158563.89170786002,4.0,0.0003,73507.65625,1217938.75,233.0117645263672,140,-0.4246883988380432,110117
214974,6109,860000,-173083.03283032,4.66,0.0003,72098.6328125,1243138.375,228.12777709960938,140,-2.8455729484558105,112474
217474,6181,870000,-168337.98460414,4.39,0.0003,70176.9375,1248527.0,220.3562469482422,140,-3.219132423400879,114540
219974,6254,880000,-167003.17056275,4.34,0.0003,75272.9765625,1140726.75,215.9489288330078,140,-2.102783679962158,116568
222474,6328,890000,-325053.2302483,7.77,0.0003,67108.140625,1163906.5,213.81890869140625,140,-2.241102457046509,118476
224974,6403,900000,-157723.04436189999,4.03,0.0003,68761.0703125,1038934.375,208.15699768066406,140,2.427276134490967,120577
227474,6480,910000,-173257.16771541,4.93,0.0003,59646.9765625,1031669.625,199.9110565185547,140,0.776701033115387,122641
229974,6554,920000,-158162.28505042,4.0,0.0003,69802.7421875,1099925.75,207.9195098876953,140,1.2437324523925781,125008
232474,6627,930000,-158019.53069494,3.99,0.0003,63350.984375,1000806.0,203.3916778564453,140,-0.5324371457099915,127508
234974,6700,940000,-157565.19848534,3.97,0.0003,61353.19140625,1093409.25,195.0784454345703,140,-3.774597644805908,130009
237474,6772,950000,-161920.26872297,4.13,0.0003,58258.1484375,861292.5625,188.89952087402344,140,5.184010982513428,132227
239974,6845,960000,-159342.56039506,4.03,0.0003,49124.68359375,886626.375,187.6950225830078,140,2.0357658863067627,133931
242474,6919,970000,-186908.28342777007,4.87,0.0003,50876.1015625,927022.25,189.52178955078125,140,-0.9028947353363037,136185
244974,6992,980000,-157903.34164827,3.99,0.0003,50194.03515625,815255.0,186.68194580078125,140,2.428372859954834,138352
247474,7065,990000,-178594.76351644995,5.1,0.0003,43882.1796875,906135.1875,189.94320678710938,140,-0.6234655380249023,140469
249974,7138,1000000,-181428.09562634,5.2,0.0003,51535.67578125,880321.125,188.1242218017578,140,0.9585654735565186,142442
