time/time_elapsed,time/episodes,train/n_updates,time/total_timesteps,train/ent_coef_loss,train/learning_rate,train/ent_coef,rollout/ep_len_mean,train/critic_loss,train/actor_loss,time/fps,rollout/ep_rew_mean
833,24962,59974,240000,0.21826863288879395,0.001,49.73478698730469,4.0,138228176.0,131629.3125,287,-125958.39518235
868,27462,62474,250000,-1.6446536779403687,0.001,48.32463073730469,4.0,52957176.0,133867.8125,287,-125799.44008023001
903,29962,64974,260000,-3.4021379947662354,0.001,45.3109016418457,4.0,34966900.0,131664.671875,287,-125809.02073178999
938,32462,67474,270000,-1.9302899837493896,0.001,43.342254638671875,4.0,41665612.0,132562.125,287,-125873.49957872
973,34962,69974,280000,-0.03752011060714722,0.001,43.21187973022461,4.0,25739632.0,129390.390625,287,-125731.48322217002
1008,37462,72474,290000,-1.589750051498413,0.001,39.6740837097168,4.0,40204484.0,125436.453125,287,-125701.15684567997
1042,39958,74974,300000,-1.333737850189209,0.001,40.36482238769531,4.0,72690856.0,120644.3671875,287,-125890.28054472
1077,42458,77474,310000,2.447141170501709,0.001,38.573081970214844,4.0,52033956.0,124457.4921875,287,-125761.72671441999
1112,44958,79974,320000,-0.2529408931732178,0.001,35.70068359375,4.0,13497522.0,116519.125,287,-125479.91075588003
1146,47458,82474,330000,0.0055768489837646484,0.001,34.529483795166016,4.0,47168896.0,123141.109375,287,-125534.67643991
1181,49958,84974,340000,1.798017978668213,0.001,33.55533981323242,4.0,50199832.0,124736.046875,287,-125622.39007507
1216,52446,87474,350000,-0.11012089252471924,0.001,31.439468383789062,4.0,23982426.0,121698.625,287,-125688.37989271998
1251,54946,89974,360000,1.7049460411071777,0.001,30.084548950195312,4.0,30296020.0,120862.6875,287,-125318.11633236
1286,57446,92474,370000,-0.7719516754150391,0.001,31.462894439697266,4.0,24151250.0,123273.9140625,287,-125349.07959655001
1320,59935,94974,380000,-0.4029107093811035,0.001,29.495084762573242,4.0,18733500.0,119244.671875,287,-125289.04278107997
1356,62421,97474,390000,0.23853814601898193,0.001,28.4603328704834,4.0,33348840.0,121491.28125,287,-125217.12757219
1393,64921,99974,400000,-1.428566813468933,0.001,27.292156219482422,4.0,18731330.0,117692.609375,287,-125160.43489517001
1433,67421,102474,410000,-0.8344571590423584,0.001,55.58775329589844,4.0,55825900.0,127001.140625,286,-125974.63984374002
1472,69921,104974,420000,-3.738727569580078,0.001,44.114295959472656,4.0,13426756.0,125249.328125,285,-125930.67774323002
1510,72421,107474,430000,-1.3105876445770264,0.001,38.77301788330078,4.0,98080656.0,121129.0,284,-125771.27464210999
1548,74921,109974,440000,0.2127806544303894,0.001,33.332801818847656,4.0,20599788.0,121252.6328125,284,-125546.22149389
1586,77421,112474,450000,-4.742026329040527,0.001,29.55756950378418,4.0,61093488.0,122934.046875,283,-125554.67251860003
1624,79921,114974,460000,0.4678713083267212,0.001,28.63623809814453,4.0,11869930.0,121624.375,283,-125597.24392194
1662,82421,117474,470000,1.150416612625122,0.001,27.122285842895508,4.0,55446800.0,118473.7734375,282,-125333.19054471001
1701,84921,119974,480000,3.671398162841797,0.001,26.790843963623047,4.0,36045096.0,115905.375,282,-125333.55920829
1739,87421,122474,490000,1.9397249221801758,0.001,28.189790725708008,4.0,23590704.0,117823.15625,281,-125343.03903841
1777,89921,124974,500000,0.13472002744674683,0.001,24.43030548095703,4.0,14970132.0,119668.84375,281,-125154.98034501002
1815,92421,127474,510000,0.40373027324676514,0.001,24.846233367919922,4.0,9858674.0,116465.1484375,280,-125089.72238315003
1855,94921,129974,520000,3.1494836807250977,0.001,27.982938766479492,4.0,8792880.0,115467.765625,280,-125360.90088857
1895,97421,132474,530000,-1.5298502445220947,0.001,25.228015899658203,4.0,19400284.0,117472.53125,279,-125342.54179149002
1935,99920,134974,540000,-1.746567726135254,0.001,24.04901885986328,4.0,9674274.0,115477.125,278,-125122.28166515002
1973,102420,137474,550000,-1.4379842281341553,0.001,23.090532302856445,4.0,10030412.0,120553.03125,278,-125029.99454929
2011,104920,139974,560000,3.2672336101531982,0.001,24.284133911132812,4.0,8251209.5,116937.609375,278,-125361.01448845997
2049,107420,142474,570000,-2.8895556926727295,0.001,22.69392967224121,4.0,40504200.0,116435.7265625,278,-124991.14960182
2087,109902,144974,580000,3.462721347808838,0.001,22.406827926635742,4.0,10971488.0,117866.53125,277,-124991.61603611999
2125,112401,147474,590000,1.3961305618286133,0.001,20.996917724609375,4.0,8005714.5,120190.8046875,277,-124967.75768948
2163,114901,149974,600000,1.7030781507492065,0.001,22.11671257019043,4.0,9871299.0,115038.5234375,277,-125006.38296404
2201,117401,152474,610000,0.7044544219970703,0.001,20.642230987548828,4.0,8214329.0,115338.234375,277,-124803.03457882
2239,119901,154974,620000,-2.654966354370117,0.001,21.840421676635742,4.0,12620169.0,116993.3125,276,-125006.9226138
2278,122401,157474,630000,-2.435944080352783,0.001,19.822267532348633,4.0,10060286.0,115795.8359375,276,-124801.78992655
2316,124901,159974,640000,1.6653156280517578,0.001,19.167165756225586,4.0,9418506.0,116924.6640625,276,-124756.74143335002
2355,127401,162474,650000,-1.0156521797180176,0.001,19.636354446411133,4.0,9918784.0,117969.90625,275,-124955.58346069999
2394,129900,164974,660000,-1.0801966190338135,0.001,18.369834899902344,4.01,15619967.0,117290.0859375,275,-124749.63475124999
2432,132400,167474,670000,0.42418718338012695,0.001,19.447052001953125,4.0,10684836.0,116123.4375,275,-124853.96940828
2470,134900,169974,680000,-1.67868971824646,0.001,18.044910430908203,4.0,6800749.0,117815.75,275,-124777.11996656
2507,137400,172474,690000,-1.8217111825942993,0.001,17.031301498413086,4.0,5425440.0,116674.53125,275,-124690.90434147
2545,139900,174974,700000,1.1700565814971924,0.001,16.216720581054688,4.0,5261488.0,114271.8671875,274,-124700.42684559
2584,142400,177474,710000,-0.19338548183441162,0.001,17.6032657623291,4.0,4419582.0,113812.59375,274,-124791.93737001
2622,144899,179974,720000,-3.4415793418884277,0.001,18.06031608581543,4.0,3473724.5,114370.34375,274,-124590.21203753
2660,147397,182474,730000,2.687358856201172,0.001,18.348146438598633,4.0,4594396.0,114800.234375,274,-124865.04422029002
2698,149893,184974,740000,-0.712355375289917,0.001,16.258586883544922,4.0,10991632.0,115365.765625,274,-124678.59293667
2736,152392,187474,750000,4.995115280151367,0.001,18.217985153198242,4.0,7941545.0,116065.296875,274,-124782.15279146
2774,154892,189974,760000,2.2192935943603516,0.001,17.189620971679688,4.0,7203816.0,113922.9375,273,-124801.64674132
2813,157392,192474,770000,0.8377846479415894,0.001,17.828739166259766,4.0,5984709.0,115215.3984375,273,-124651.51956395002
2853,159892,194974,780000,-2.9030935764312744,0.001,17.656753540039062,4.0,5352274.5,114929.015625,273,-124706.77080555
2893,162391,197474,790000,1.2543363571166992,0.001,16.597990036010742,4.0,4392835.0,113663.078125,273,-124702.33606206001
2931,164885,199974,800000,0.01781529188156128,0.001,16.07866096496582,4.0,4628287.0,114417.0,272,-124668.47794164001
2968,167373,202474,810000,1.2999708652496338,0.001,15.305455207824707,4.0,4423178.0,113991.75,272,-124711.43695318
3006,169872,204974,820000,0.7270803451538086,0.001,14.871696472167969,4.0,3497813.5,115164.3984375,272,-124758.82880679
3044,172372,207474,830000,-0.17897158861160278,0.001,14.523003578186035,4.0,2864627.0,112703.7578125,272,-124655.87521573999
3081,174871,209974,840000,1.8310952186584473,0.001,15.737359046936035,4.0,6471392.0,114424.6171875,272,-124652.41118196
3119,177368,212474,850000,-0.7329905033111572,0.001,14.895879745483398,4.0,8733549.0,114011.203125,272,-124609.64637214999
3156,179864,214974,860000,-2.5814409255981445,0.001,15.747703552246094,4.0,2707158.0,115562.046875,272,-124625.86267028
3194,182362,217474,870000,-1.016657829284668,0.001,15.303034782409668,4.0,3882285.0,115117.796875,272,-124555.61658296
3231,184862,219974,880000,0.1293257474899292,0.001,15.722651481628418,4.0,5125022.0,110767.59375,272,-124647.41267315998
3270,187362,222474,890000,2.6908833980560303,0.001,15.160346984863281,4.0,6012801.0,115461.546875,272,-124605.99052678002
3309,189859,224974,900000,-0.38627511262893677,0.001,15.129773139953613,4.01,3354806.5,117060.640625,271,-124630.75769638
3348,192358,227474,910000,0.848136305809021,0.001,15.469345092773438,4.0,5760867.0,113337.90625,271,-124618.68625665002
3385,194858,229974,920000,0.43072712421417236,0.001,15.523216247558594,4.0,3396991.25,111308.6640625,271,-124572.76311286999
3422,197358,232474,930000,0.21378040313720703,0.001,14.691344261169434,4.0,6175698.0,111148.4140625,271,-124657.47372428002
3460,199849,234974,940000,3.261746883392334,0.001,16.5318603515625,4.0,3828481.0,113049.203125,271,-124745.18473224001
3497,202348,237474,950000,1.2683491706848145,0.001,15.046697616577148,4.0,2963982.5,113175.4375,271,-124579.09055314
3534,204848,239974,960000,2.1243529319763184,0.001,15.225496292114258,4.0,6465286.0,114813.5,271,-124701.88796473
3571,207347,242474,970000,-1.3623781204223633,0.001,14.952408790588379,4.02,2757264.0,114448.296875,271,-124744.88355551
3609,209847,244974,980000,3.982362747192383,0.001,14.395620346069336,4.0,4270857.5,113475.4765625,271,-124627.84708135002
3646,212342,247474,990000,-1.0820306539535522,0.001,14.322334289550781,4.07,10800746.0,114729.5546875,271,-125206.88406319
3683,214842,249974,1000000,-0.5158213973045349,0.001,13.054427146911621,4.0,7237012.0,112578.328125,271,-124807.57689453002
