time/time_elapsed,time/episodes,train/n_updates,time/total_timesteps,train/ent_coef_loss,train/learning_rate,train/ent_coef,rollout/ep_len_mean,train/critic_loss,train/actor_loss,time/fps,rollout/ep_rew_mean
35,166,2474,10000,-76.9945068359375,0.001,2.5546627044677734,36.28,311497792.0,-1065.653076171875,280,-1234099.8595655197
71,460,4974,20000,-149.40103149414062,0.001,6.462331295013428,34.26,71874888.0,8902.48046875,279,-601686.88212338
105,741,7474,30000,-206.00802612304688,0.001,15.140645980834961,33.7,79237264.0,18087.0625,284,-627878.1416932101
139,1012,9974,40000,-147.58726501464844,0.001,28.374155044555664,40.34,66339108.0,26133.01171875,286,-528581.9016083201
173,1152,12474,50000,-112.85940551757812,0.001,50.09880447387695,86.01,76811328.0,35938.4375,287,-1436803.2634275502
207,1215,14974,60000,-68.33113098144531,0.001,77.00847625732422,135.71,57591680.0,43401.203125,288,-2002165.1814763697
241,1300,17474,70000,-59.664493560791016,0.001,116.23393249511719,127.41,55565912.0,54990.5625,289,-1917948.7737070099
276,1386,19974,80000,-8.246777534484863,0.001,166.2948455810547,125.0,81273320.0,73619.0625,289,-1661762.8855230103
310,1480,22474,90000,-15.64716911315918,0.001,208.20098876953125,107.7,35674228.0,70323.796875,289,-1531350.8252893302
344,1657,24974,100000,-41.885704040527344,0.001,255.00559997558594,33.48,78982400.0,91874.0390625,289,-729588.02457035
379,1923,27474,110000,20.347515106201172,0.001,253.9005126953125,44.78,66897608.0,78974.4375,290,-894933.2513738999
413,2165,29974,120000,14.493959426879883,0.001,272.4356384277344,50.31,65486464.0,115845.8984375,290,-1503539.24062582
447,2461,32474,130000,0.13726454973220825,0.001,269.8378601074219,38.61,215721408.0,123233.6875,290,-1077408.3121333302
481,3018,34974,140000,-42.20275115966797,0.001,280.27337646484375,11.54,159410816.0,88617.015625,290,-306158.26670314
518,3650,37474,150000,-12.294321060180664,0.001,302.572021484375,12.96,118538592.0,147363.8125,289,-356609.22957415995
554,5018,39974,160000,-21.671560287475586,0.001,209.5789337158203,4.69,115077936.0,156765.703125,288,-135041.98064582
591,7491,42474,170000,13.108711242675781,0.001,126.4583969116211,4.0,122346200.0,160780.15625,287,-126571.35247602998
625,9967,44974,180000,4.274301528930664,0.001,86.75110626220703,4.0,54828624.0,155437.03125,287,-126591.01655254999
660,12466,47474,190000,0.5247237682342529,0.001,75.56845092773438,4.0,156311840.0,151791.15625,287,-126269.09212622001
695,14964,49974,200000,-0.4499770402908325,0.001,70.22635650634766,4.0,59759824.0,147281.515625,287,-126363.26878440002
729,17464,52474,210000,-1.7631913423538208,0.001,59.52629470825195,4.0,46206872.0,140302.09375,287,-125719.23165729997
764,19963,54974,220000,0.3357435464859009,0.001,54.99101257324219,4.0,43750104.0,140080.53125,287,-125994.65973732002
799,22463,57474,230000,3.703301191329956,0.001,55.53940200805664,4.0,44379808.0,139967.296875,287,-125739.81998684998
